,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
190,S-Bhf. Bruno-Leuschner-Strasse,bus,"{'98', '92'}","52.55078180822464, 13.548304662699753",nan,"{'92', '98'}",
191,S-Bhf. Buch,bus,"{'51', '31'}","52.636831376314575, 13.49252085642661",nan,"['31', '51']+ {'51', '51E', '31'}+ {'51E', '51', '31'}",
192,S-Bhf. Friedrichsfelde Ost,bus,"{'53', '99', '54', '48', '43'}","52.51386336175537, 13.519096048294683",nan,"['53', '43']+ {'54', '43', '53'}+ {'99', '48', '54', '43', '53'}",
193,S-Bhf. Grünau,bus,"{'36', '38', '37'}","52.41361515857581, 13.573796290663196",nan,"['36', '38']+ {'37', '38', '36'}+ {'37', '38', '36'}",
194,S-Bhf. Grünbergallee,bus,{'36'},"52.39982232817773, 13.540170966673278",nan,"['23', '36']+ {'23', '36'}+ {'23', '36'}",
195,S-Bhf. Jannowitzbrücke,bus,"{'32', '78'}","52.515549181612776, 13.418097971801808",nan,"['78', '32', '79', '78E']+ {'79', '78', '78E', '32'}+ {'79', '78E', '32', '78'}",
196,S-Bhf. Karlshorst,bus,{'97'},"52.481331,13.5254433",nan,{'97'},
197,S-Bhf. Kaulsdorf,bus,"{'91', '60', '27', '99', '95'}","52.512448306454054, 13.589582842781804",nan,"['95', '27', '112']+ {'27', '95'}+ {'99', '27', '91', '60', '95'}",
198,S-Bhf. Köpenick,bus,"{'68', '27'}","52.45882190200453, 13.579564677172508",nan,"['27', '68']+ {'27', '68'}+ {'69', '68', '27'}",
199,S-Bhf. Leninallee,bus,{'56'},"52.528513273942636, 13.455602547861579",nan,"['54', '48']+ {'54', '48'}+ {'56', '56E'}",
200,S-Bhf. Mahlsdorf,bus,"{'99', '95', '44'}","52.51234908870327, 13.61221793610957",nan,"['44']+ {'44', '95'}+ {'44', '99', '95'}",
201,S-Bhf. Marzahn,bus,"{'92', '54', '95', '43'}","52.542816145869935, 13.541649855943026","nan+nan, nan","['95', '92', '43']+ {'43', '92'}, {'95'}+ {'92', '10 SEV', '54', '43', '95'}",
