,stop_id,stop_name,type,location,in_lines,identifier
76,196376,Dimitroffstrasse Ecke Bötzowstrasse,Autobus,"52.53414393000563, 13.437397675986524",['A 9'],
77,196377,Dimitroffstrasse Ecke Greifswalderstrasse,strassenbahn,"52.53616928671014, 13.433023161244224",['74'],
78,196378,Dimitroffstrasse Ecke Leninallee,strassenbahn,"52.5259343,13.4462368","['64'], ['69', '63']","Q65553230, Q65553230"
79,196379,Dimitroffstrasse Ecke Prenzlauer Allee,strassenbahn,"52.539226902813354, 13.424209201692193","['72', '71']",
80,196380,Dimitroffstrasse/Leninallee,Omnibus,"52.52644398829154, 13.447645022319072",['O 37'],
81,196381,Dingelstädter Strasse,Omnibus,"52.53587676296107, 13.522058626010088",['O 37'],
82,196382,Dorfaue,Autobus,"52.47886105131975, 13.70053232372426","['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']",
83,196383,Dönhoffplatz,strassenbahn,"52.509950568117645, 13.398144081918815",['64'],
84,196384,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,"52.54061076763243, 13.404559930731686","['13', '4']",","
85,196385,Ebertystrasse Ecke Leninallee,Omnibus,"52.52722237261361, 13.450799684654514",['O 30'],
86,196386,Edisonstrasse Ecke An der Wuhlheide,strassenbahn,"52.468743401601294, 13.514467987195852","['82', '95']",
87,196387,Ehrenmal,Autobus,"52.57958419912971, 13.375974716701414","['A 55', 'A 58', 'A 45']",
88,196388,Ehrlichstrasse Ecke Treskowallee,strassenbahn,"52.47856329184395, 13.524546995527436",['82'],
89,196389,Eichbuschallee,Autobus,"52.47574296676633, 13.487312571777435",['A 47'],
90,196390,Eichbuschplatz,Autobus,"52.39366126137233, 13.582046308470128",['A 38'],
91,196391,Eichendamm,Autobus,"52.45563928691219, 13.730601143973864",['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],
92,196392,"Eichwalde, Uhlandstrasse",Autobus,"52.372634587228696, 13.62680242919348",['Schmöckwitz - Eichwalde'],
93,196393,Elisabethstrasse,Omnibus,"52.53409533705918, 13.55949915809485",['O 37'],
94,196394,Elsenstrasse/S-Bhf. Treptower Park,strassenbahn,"52.49175631513716, 13.457761342155928","['87', '92']",
95,196395,Elsässer Strasse,Autobus,"52.63337294510061, 13.345103420124245",['A 7'],
96,196396,Fahlenbergstrasse/Fürstenwalder Allee,Autobus,"52.431470149043314, 13.718708856639706",['A 22'],
97,196397,Falkenberger Chaussee,Autobus,"52.565814225343445, 13.511924619006814",['A 39'],
98,196398,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,"52.55036672097044, 13.509915032138812",['63'],
99,196399,Fasanenstrasse,Autobus,"52.45303125634222, 13.744280675634114",['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],
100,1963100,Feldtmannstrasse,Autobus,"52.56401588379611, 13.46980857664685",['A 46'],
101,1963101,"Fichtenau, Stadtgrenze",Autobus,"52.45479242349705, 13.701499962608066",['A 22'],
102,1963102,Fichtestrasse Ecke Schopenhauerstrasse,Autobus,"52.47979924975105, 13.617292306977053",['A 8'],
103,1963103,Frankfurter Tor,strassenbahn,"52.5153903,13.4540172","['13', '4']",Q65706246
104,1963104,Frankfurter Tor,u-bahn,"52.515833333333,13.454166666667",['E'],Q568627
105,1963105,Freibad Grünau,strassenbahn,"52.4086224,13.604455",['86'],Q66489598
106,1963106,Friedrich-Junge-Strasse,Autobus,"52.49382897072681, 13.471572865851856",['A 82 P'],
107,1963107,Friedrichsfelde (Tierpark),u-bahn,"52.506111111111,13.512777777778",['E'],Q429781
108,1963108,"Friedrichshagen, Wasserwerk",strassenbahn,"52.4560563,13.6419956",['84'],Q66362601
109,1963109,Friedrichstrasse Ecke Unter den Linden,Autobus,"52.51718498081941, 13.388821428784585","['A 57'], ['A 9']",", "
110,1963110,Galenusstrasse/ Krankenhaus Pankow,strassenbahn,"52.58161537149107, 13.428740729800658",['49'],
