stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Quellweg Ecke Nonnendammallee,autobus,A99,19641074_west,"52.53666858,13.26843643",,52.53666858,13.26843643,100,Quellweg Ecke Nonnendammallee,19651103_west,['A99'],
Paulsternstr. Ecke Nonnendammallee,autobus,A99,19641075_west,"52.53814656,13.24775542",,52.53814656,13.24775542,100,Paulsternstr. Ecke Nonnendammallee,19651104_west,['A99'],
Gartenfelderstr. Ecke Nonnendammallee,autobus,A99,19641076_west,"52.53921965,13.23193032",,52.53921965,13.23193032,100,Gartenfelderstr. Ecke Nonnendammallee,19651105_west,['A99'],
Carl-Schurz-Str. Ecke Seegefelderstr.,autobus,A99,19641077_west,"52.53790109,13.36161851",,52.53790109,13.36161851,86,Tegelerstr. Ecke Fennstr.,19651097_west,['A99'],
Rathaus Spandau,autobus,A99,19641078_west,"52.53457836,13.19949094",,52.53457836,13.19949094,100,Rathaus Spandau,19651108_west,['A99'],
Hochgerichtstr.,autobus,A99,19641079_west,"52.53843535,13.1823937",,52.53843535,13.1823937,90,Hochgerichtstr. Ecke Seegefelderstr.,19651109_west,['A99'],
Germersheimerplatz,autobus,A99,19641080_west,"52.54456786,13.18701195",,52.54456786,13.18701195,97,Germesheimerplatz,19651110_west,['A99'],
Bhf. Zoo,autobus,AS1,19641081_west,"52.507029532025605, 13.333220118900503",,,,,,,,1964147.0
U-Bhf. Ernst-Reuter-Platz,autobus,AS1,19641082_west,"52.51159182,13.32257153",,52.51159182,13.32257153,95,Ernst-Reuter-Platz,19651112_west,['AS1'],
Cauerstr.,autobus,AS1,19641083_west,"52.51469847,13.31523032",,52.51469847,13.31523032,90,Cauerstr. Ecke Otto-Suhr-Allee,19651113_west,['AS1'],
Richard-Wagner-Platz,autobus,AS1,19641084_west,"52.51749099,13.3063971",,52.51749099,13.3063971,100,Richard-Wagner-Platz,19651114_west,['AS1'],
Luisenplatz,autobus,AS1,19641085_west,"52.52005409,13.29951339",,52.52005409,13.29951339,100,Luisenplatz,19651115_west,['AS1'],
Fürstenbrunnerweg,autobus,AS1,19641086_west,"52.51842262,13.28011647",,52.51842262,13.28011647,90,Fürstenbrunnerweg Ecke Spandauerdamm,19651116_west,['AS1'],
Kirschenallee,autobus,AS1,19641087_west,"52.52037881,13.26719193",,52.52037881,13.26719193,90,Kirschenallee Ecke Spandauerdamm,19651117_west,['AS1'],
Schloss Ruhwald,autobus,AS1,19641088_west,"52.52160458,13.26039687",,52.52160458,13.26039687,93,Schloß Ruhwald,19651118_west,['AS1'],
U-Bhf. Ruhleben,autobus,AS1,19641089_west,"52.52596833,13.24147858",,52.52596833,13.24147858,100,U-Bhf. Ruhleben,19651119_west,['AS1'],
Teltowerstr.,autobus,AS1,19641090_west,"52.52691598,13.21592513",,52.52691598,13.21592513,90,Teltowerstr. Ecke Ruhlebenerstr.,19651120_west,['AS1'],
Rathaus Spandau,autobus,AS1,19641091_west,"52.534578361518356, 13.199490942441287",,,,,,,,1964979.0
Hafenplatz,autobus,AS1,19641092_west,"52.50392084,13.37547988",,52.50392084,13.37547988,100,Hafenplatz,19651122_west,['AS1'],
Lynastr.,autobus,AS1,19641093_west,"52.54898935768741, 13.210225795636823",,,,,,,,1964745.0
Klinkeplatz,autobus,AS1,19641094_west,"52.55555146,13.19854978",,52.55555146,13.19854978,100,Klinkeplatz,19651124_west,['AS1'],
Hohenzollernring Ecke Schönwalderstr.,autobus,AS1,19641095_west,"52.55534807,13.19865762",,52.55534807,13.19865762,90,Hohenzollernring,19651125_west,['AS1'],
Bhf. Zoo,autobus,AS2,19641096_west,"52.50702953,13.33322012",,52.50702953,13.33322012,100,Bhf. Zoo,19651126_west,['AS2'],
Kurfürstendamm Ecke Joachimstalerstr.,autobus,AS2,19641098_west,"52.503861587707846, 13.33136802337261",,,,,,,,1964653.0
"Rankeplatz, Bundeshaus",autobus,AS2,19641099_west,"52.50042978,13.33086733",,52.50042978,13.33086733,90,Rankeplatz,19651128_west,['AS2'],
Berlinerstr. Ecke Bundesallee,autobus,AS2,19641100_west,"52.48732427,13.33091399",,52.48732427,13.33091399,100,Berlinerstr. Ecke Bundesallee,19651131_west,['AS2'],
Bundesplatz,autobus,AS2,19641101_west,"52.47867899,13.32860278",,52.47867899,13.32860278,100,Bundesplatz,19651133_west,['AS2'],
"Schlossstr., Wilhelm-Schreiber-Platz",autobus,AS2,19641102_west,"52.46497175478016, 13.328534991548652",,,,,,,,19641106.0
Canovastr.,autobus,AS2,19641103_west,"52.46303228,13.34275862",,52.46303228,13.34275862,90,Canovastr. Ecke Thorwaldsenstr.,19651136_west,['AS2'],
Attilaplatz,autobus,AS2,19641104_west,"52.4559018,13.3765125",,52.4559018,13.3765125,100,Attilaplatz,19651137_west,['AS2'],
Mariendorferdamm Ecke Kaiserstr.,autobus,AS2,19641105_west,"52.44555364,13.385783",,52.44555364,13.385783,100,Mariendorferdamm Ecke Kaiserstr.,19651138_west,['AS2'],
Alt-Mariendorf Ecke Mariendorferdamm,autobus,AS2,19641106_west,"52.44019477,13.38731753",,52.44019477,13.38731753,100,Alt-Mariendorf Ecke Mariendorferdamm,19651139_west,['AS2'],
"Tauernallee, Adlermühle",autobus,AS2,19641107_west,"52.42328224,13.39615754",,52.42328224,13.39615754,86,Tauernallee Ecke Mariendorferdamm,19651140_west,['AS2'],
