stop_name,type,line_name,stop_id,location,identifier
Lichtenberger Strasse Ecke Klement-Gottwald-Allee,tram,70,1965172_east,"52.55200517673564, 13.465477958826924",
Antonplatz,tram,70,1965173_east,"52.5484803,13.4517416",Q65548849
Prenzlauer Promenade Ecke Ostseestrasse,tram,70,1965174_east,"52.55135441277958, 13.430202672100975",
Humannplatz,tram,70,1965175_east,"52.5493627,13.4213646",Q65962652
U-Bhf. Dimitroffstrasse,tram,70,1965176_east,"52.5401928,13.4113979",Q65088313
Brunnenstrasse Ecke Veteranenstrasse,tram,70,1965177_east,,
Chausseestrasse Ecke Invalidenstrasse,tram,70,1965178_east,,
Oranienburger Tor,tram,70,1965179_east,"52.5256031,13.3872745",Q65095375
Bhf. Friedrichstrasse,tram,70,1965180_east,"52.5192805,13.3884107","Q65095382, Q65095382"
Am Kupfergraben,tram,70,1965181_east,"52.5194208,13.3953839",Q65055027
"Heinersdorf, Romain-Rolland-Strasse",tram,71,1965182_east,"52.5725511,13.4371063",Q65096052
"Heinersdorf, Kirche",tram,71,1965183_east,"52.5686908,13.4389053",Q65096107
Am Steinberg,tram,71,1965184_east,"52.5585796,13.4333751",Q65103320
Prenzlauer Promenade Ecke Ostseestrasse,tram,71,1965185_east,"52.55135441277958, 13.430202672100975",
S-Bhf. Prenzlauer Allee,tram,71,1965186_east,"52.5448075,13.427408",Q65219791
Dimitroffstrasse Ecke Prenzlauer Allee,tram,71,1965187_east,"52.539226902813354, 13.424209201692193",
Saarbrückerstrasse Ecke Prenzlauer Allee,tram,71,1965188_east,,
"Alexanderplatz, Memhardstrasse",tram,71,1965189_east,"52.5233439,13.4110773","Q65227406, Q65227406"
S-Bhf. Jannowitzbrücke,tram,71,1965190_east,"52.51478599600389, 13.418056238742702",
Molkenmarkt,tram,71,1965191_east,"52.51679321421663, 13.409330619020574",
"Weißensee, Pasedagplatz",tram,72,1965192_east,"52.5594027,13.4609594",Q65954665
Buschallee Ecke Klement-Gottwald-Allee,tram,72,1965193_east,"52.5537598,13.4691966",Q65546661
Lichtenberger Strasse,tram,72,1965194_east,"52.552032612200605, 13.465689924366766",
Antonplatz,tram,72,1965195_east,"52.5484803,13.4517416",Q65548849
Prenzlauer Promenade,tram,72,1965196_east,"52.55155536618067, 13.43032253030515",
S-Bhf. Prenzlauer Allee,tram,72,1965197_east,"52.5448075,13.427408",Q65219791
Prenzlauer Allee Ecke Dimitroffstrasse,tram,72,1965198_east,"52.539197857899126, 13.424201067893557",
Saarbrücker Strasse Ecke Prenzlauer Allee,tram,72,1965199_east,"52.52853502182196, 13.41711797726751",
"Alexanderplatz, Memhardstrasse",tram,72,1965200_east,"52.5233439,13.4110773",Q65227406
Spittelmarkt,tram,72,1965201_east,"52.511243321361405, 13.40494539543245",
Charlottenstrasse,tram,72,1965202_east,"52.51050786460274, 13.391831492474326",
Taubenstrasse Ecke Glinkastrasse,tram,72,1965203_east,"52.51282807699578, 13.386550049684635",
Bernkasteler Strasse Ecke Klement-Gottwald-Allee,tram,74 E,1965204_east,,
Klement-Gottwald-Allee Ecke Buschallee,tram,74 E,1965205_east,,
Lichtenberger Strasse Ecke Klement-Gottwald-Allee,tram,74 E,1965206_east,"52.55200517673564, 13.465477958826924",
Antonplatz,tram,74 E,1965207_east,"52.5484803,13.4517416",Q65548849
S-Bhf. Greifswalder Strasse,tram,74 E,1965208_east,"52.5407234,13.4382904",Q65548932
Dimitroffstrasse Ecke Greifswalderstrasse,tram,74 E,1965209_east,"52.53616928671014, 13.433023161244224",
Königstor,tram,74 E,1965210_east,"52.52821600265539, 13.423869016265495",
"Alexanderplatz, Memhardstrasse",tram,74 E,1965211_east,"52.5233439,13.4110773","Q65227406, Q65227406"
S-Bhf. Jannowitzbrücke,tram,74 E,1965212_east,"52.51478599600389, 13.418056238742702",
Spittelmarkt,tram,74 E,1965213_east,"52.511243321361405, 13.40494539543245",
"Weißensee, Pasedagplatz",tram,74,1965214_east,"52.5594027,13.4609594",Q65954665
Buschallee Ecke Klement-Gottwald-Strasse,tram,74,1965215_east,,
Lichtenberger-Strasse Ecke Klement-Gottwald-Strasse,tram,74,1965216_east,,
Antonplatz,tram,74,1965217_east,"52.5484803,13.4517416",Q65548849
S-Bhf. Greifswalder Strasse,tram,74,1965218_east,"52.5407234,13.4382904",Q65548932
Greifswalderstrasse Ecke Dimitroffstrasse,tram,74,1965219_east,"52.5362177572407, 13.433017500945247",
Königstor,tram,74,1965220_east,"52.52821600265539, 13.423869016265495",
"Alexanderplatz, Memhardstrasse",tram,74,1965221_east,"52.5233439,13.4110773",Q65227406
Molkenmarkt,tram,74,1965222_east,"52.51679321421663, 13.409330619020574",
Spittelmarkt,tram,74,1965223_east,"52.511243321361405, 13.40494539543245",
Leipziger Strasse Ecke Otto-Grotewohl-Strasse,tram,74,1965224_east,"52.51001824906088, 13.384159938189619",
"Mahlsdorf-Süd, Hubertus",tram,82,1965225_east,"52.4741663,13.5991443",Q66368466
S-Bhf. Köpenick,tram,82,1965226_east,"52.4582153,13.5790435",Q66370784
