stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Buschkrug,tram,47,196417_west,"52.44543069,13.45497615",,52.44543069,13.45497615,90.0,Parchimerallee Ecke Buschkrugallee,196519_west,['47'],,Britz,Neukölln,west,12359
Onkel-Herse-Str.,tram,47,196418_west,"52.44824572,13.45392578",,52.44824572,13.45392578,90.0,Onkel-Herse-Str. Ecke Buschkrugallee,196518_west,['47'],,Britz,Neukölln,west,12359
Parachimerallee Ecke Buschkrugallee,tram,47,196419_west,"52.44543069,13.45497615",,52.44543069,13.45497615,99.0,Parchimerallee Ecke Buschkrugallee,196519_west,['47'],,Britz,Neukölln,west,12359
Grünerweg Ecke Buschkrugallee,tram,47,196420_west,"52.44256249,13.45634565",,52.44256249,13.45634565,100.0,Grünerweg Ecke Buschkrugallee,196520_west,['47'],,Britz,Neukölln,west,12359
Krankenhaus Neukölln,tram,47,196421_west,"52.43977054,13.45935906",,52.43977054,13.45935906,100.0,Krankenhaus Neukölln,196521_west,['47'],,Buckow,Neukölln,west,12351
Johannisthalerchaussee Ecke Rudowerstr.,tram,47,196422_west,"52.43431775,13.46904333",,52.43431775,13.46904333,99.0,Johannisthaler Chaussee Ecke Rudowerstr.,196522_west,['47'],,Buckow,Neukölln,west,12351
Wildmeisterdamm Ecke Neuköllnerstr.,tram,47,196423_west,"52.42577675,13.48323925",,52.42577675,13.48323925,100.0,Wildmeisterdamm Ecke Neuköllnerstr.,196523_west,['47'],,Rudow,Neukölln,west,12357
Stubenrauchstr.,tram,47,196424_west,"52.42416862,13.48544348",,52.42416862,13.48544348,90.0,Stubenrauchstr. Ecke Neuköllnerstr.,196524_west,['47'],,Rudow,Neukölln,west,12357
Köpenickerstr. Ecke Neuköllnerstr.,tram,47,196425_west,"52.41693184,13.49408867",,52.41693184,13.49408867,100.0,Köpenickerstr. Ecke Neuköllnerstr.,196525_west,['47'],,Rudow,Neukölln,west,12355
Große-Ziethenchaussee Ecke Waltersdorferchaussee,tram,47,196426_west,"52.40158343,13.51356283",,,,,,,,1964412.0,Rudow,Neukölln,west,12355
Richard-Wagner-Platz,tram,53,196427_west,"52.51757062,13.30624812",,,,,,,,19641005.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Luisenplatz,tram,53,196428_west,"52.52039497,13.29942701",,52.52039497,13.29942701,100.0,Luisenplatz,196530_west,['53'],,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Klausenerplatz,tram,53,196429_west,"52.51920201,13.29186737",,,,,,,,1964609.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Königin-Elisabeth-Str.,tram,53,196430_west,"52.51841662,13.28018527",,,,,,,,1964670.0,Westend,Charlottenburg-Wilmersdorf,west,14050
Kirschenallee,tram,53,196431_west,"52.52038534,13.26714901",,52.52038534,13.26714901,90.0,Kirschenallee Ecke Spandauerdamm,196532_west,['53'],,Westend,Charlottenburg-Wilmersdorf,west,14050
