line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30),profile,capacity
196473_west,1964,A90,autobus,"Bhf. Zoo, Hardenbergplatz<> Vinetaplatz",35.0,,west,15.0,,0
196474_west,1964,A91,autobus,U-Bhf. Leinestr.<> Alt-Buckow Ecke Buckowerdamm,19.0,,west,7.0,,0
196475_west,1964,A92,autobus,Machandelweg<> Reimerweg Ecke Heerstr.,24.0,,west,20.0,,0
196476_west,1964,A99,autobus,Brunnenstr. Ecke Lortzingstr.<> Germersheimerplatz,48.0,,west,10.0,,0
196477_west,1964,AS1,autobus,Bhf. Zoo<> Hohenzollernring Ecke Schönwalderstr.,28.0,,west,15.0,,0
196478_west,1964,AS2,autobus,"Bhf. Zoo<> Lichtenrade, Blohmstr. Ecke Wünsdorferstr.",44.0,,west,17.0,,0
196479_west,1964,AS3,autobus,Bhf. Zoo<> Rathaus Zehlendorf,29.0,,west,15.0,,0
196480_west,1964,AS4,autobus,Bhf. Zoo<> Stölpchensee,39.0,,west,20.0,,0
196481_west,1964,A I,u-bahn,Schlesisches Tor<> Ruhleben,36.0,,west,10.0,Kleinprofil,750
196482_west,1964,A II,u-bahn,Schlesisches Tor<> Krumme Lanke,40.0,,west,10.0,Kleinprofil,750
196483_west,1964,A III,u-bahn,Deutsche Oper (bismarckstr.)<> Richard-Wagner-Platz,2.0,,west,10.0,Kleinprofil,750
196484_west,1964,B I,u-bahn,Nollendorfplatz<> Innsbruckerplatz,6.0,,west,5.0,Kleinprofil,750
196485_west,1964,B III,u-bahn,Wittenbergplatz<> Kurfürstendamm,3.0,,west,10.0,Kleinprofil,750
196486_west,1964,C I,u-bahn,Tegel<> Britz-Süd,45.0,,west,5.0,Großprofil,1000
196487_west,1964,C II,u-bahn,Mehringdamm<> Tempelhof (südring),5.0,,west,5.0,Großprofil,1000
196488_west,1964,D,u-bahn,Gesundbrunnen<> Leinestr.,19.0,,west,10.0,Großprofil,1000
196489_west,1964,G,u-bahn,Leopoldplatz<> Spichernstr.,10.0,,west,3.0,Großprofil,1000
196490_west,1964,KBS 100,s-bahn,Gesundbrunnen<> Sonnenallee,0.0,,west,0.0,,1100
196491_west,1964,KBS 100a,s-bahn,Gesundbrunnen<> Spandau West,0.0,,west,0.0,,1100
196492_west,1964,KBS 100c,s-bahn,Heiligensee<> Lichtenrade,0.0,,west,0.0,,1100
196493_west,1964,KBS 100b,s-bahn,Jungfernheide<> Gartenfeld,0.0,,west,0.0,,1100
196494_west,1964,KBS 100d,s-bahn,Gesundbrunnen<> Lichterfelde Süd,0.0,,west,0.0,,1100
196495_west,1964,KBS 100e,s-bahn,Frohnau<> Wannsee,0.0,,west,0.0,,1100
196496_west,1964,KBS 100f,s-bahn,Zehlendorf<> Düppel-Kleinmachnow,0.0,,west,0.0,,1100
196497_west,1964,KBS 100g,s-bahn,Friedrichstr.<> Spandau West,0.0,,west,0.0,,1100
196498_west,1964,KBS 100h,s-bahn,Friedrichstr.<> Wannsee,0.0,,west,0.0,,1100
196499_west,1964,KBS 100k,s-bahn,Zoologischer Garten<> Köllnische Heide,0.0,,west,0.0,,1100
1964100_west,1964,Kladow<>Wannsee,ferry,Kladow<> Wannsee,20.0,,west,60.0,,0
