,stop_name,line_count,type,in_lines
1151,Hermannplatz,6,u-bahn,"['D', 'C I']"
1152,Rathaus Neukölln,2,bus,['A4']
1153,Rathaus Neukölln,2,u-bahn,['C I']
1154,Karl-Marx-Strasse,1,u-bahn,['C I']
1155,Neukölln (Südring),1,u-bahn,['C I']
1156,Grenzallee,1,u-bahn,['C I']
1157,Mehringdamm,3,strassenbahn,['95']
1158,Mehringdamm,3,u-bahn,"['C II', 'C I']"
1159,Flughafen,2,strassenbahn,['95']
1160,Flughafen,2,u-bahn,['C II']
1161,Paradestrasse,1,u-bahn,['C II']
1162,Tempelhof (Südring),2,strassenbahn,['96']
1163,Tempelhof (Südring),2,u-bahn,['C II']
1164,Gesundbrunnen,6,u-bahn,['D']
1165,Gesundbrunnen,6,s-bahn,"['KBS 105', 'KBS 104', 'KBS 106', 'KBS 100']"
1166,Voltastr.,1,u-bahn,['D']
1167,Bernauer Str.,1,u-bahn,['D']
1168,Rosenthaler Platz,2,strassenbahn,['49']
1169,Rosenthaler Platz,2,u-bahn,['D']
1170,Weinmeisterstr.,1,u-bahn,['D']
1171,Alexanderplatz,7,strassenbahn,['1']
1172,Alexanderplatz,7,u-bahn,"['A I', 'D', 'E']"
1173,Alexanderplatz,7,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1174,Jannowitzbrücke,4,u-bahn,['D']
1175,Jannowitzbrücke,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1176,Neanderstr.,1,u-bahn,['D']
1177,Moritzplatz,1,u-bahn,['D']
1178,Kottbusser Tor,3,u-bahn,"['B II', 'D']"
1179,Kottbusser Tor,3,u-bahn,"['B II', 'D']"
1180,Schönleinstrasse,1,u-bahn,['D']
1181,Hermannplatz,6,strassenbahn,"['3', '95', '26', '47']"
1182,Hermannplatz,6,u-bahn,"['D', 'C I']"
1183,Boddinstr.,1,u-bahn,['D']
1184,Leinestr.,1,u-bahn,['D']
1185,Friedrichsfelde,1,u-bahn,['E']
1186,Bahnhof Lichtenberg,1,u-bahn,['E']
1187,Magdalenenstrasse,1,u-bahn,['E']
1188,Stalinallee,3,strassenbahn,['3']
1189,Stalinallee,3,u-bahn,['E']
1190,Stalinallee,3,s-bahn,['KBS 100']
1191,Samariterstrasse,1,u-bahn,['E']
1192,Bersarinstrasse,2,strassenbahn,['13']
1193,Bersarinstrasse,2,u-bahn,['E']
1194,Marchlewskistrasse,1,u-bahn,['E']
1195,Straußberger Platz,1,u-bahn,['E']
1196,Schillingstrasse,1,u-bahn,['E']
1197,Alexanderplatz,7,strassenbahn,['1']
1198,Alexanderplatz,7,u-bahn,"['A I', 'D', 'E']"
1199,Alexanderplatz,7,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1200,Gesundbrunnen,6,u-bahn,['D']
1201,Gesundbrunnen,6,s-bahn,"['KBS 105', 'KBS 104', 'KBS 106', 'KBS 100']"
1202,Schönhauser Allee,2,u-bahn,['A I']
1203,Schönhauser Allee,2,s-bahn,['KBS 100']
1204,Prenzlauer Allee,1,s-bahn,['KBS 100']
1205,Greifswalder Str.,1,s-bahn,['KBS 100']
1206,Leninallee,1,s-bahn,['KBS 100']
1207,Zentralviehhof,1,s-bahn,['KBS 100']
1208,Stalinallee,3,strassenbahn,['3']
1209,Stalinallee,3,u-bahn,['E']
1210,Stalinallee,3,s-bahn,['KBS 100']
1211,Ostkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1212,Treptower Park,2,s-bahn,"['KBS 103', 'KBS 100']"
1213,Sonnenallee,1,s-bahn,['KBS 100']
1214,Neukölln,2,s-bahn,"['KBS 100a', 'KBS 100']"
1215,Hermannstr.,2,s-bahn,"['KBS 100a', 'KBS 100']"
1216,Tempelhof,2,s-bahn,"['KBS 100a', 'KBS 100']"
1217,Papestr.,4,s-bahn,"['KBS 100a', 'KBS 106', 'KBS 105b', 'KBS 100']"
1218,Schöneberg,3,s-bahn,"['KBS 100a', 'KBS 104', 'KBS 100']"
1219,Innsbrucker Platz,5,strassenbahn,['88']
1220,Innsbrucker Platz,5,bus,['A16']
1221,Innsbrucker Platz,5,u-bahn,['B I']
1222,Innsbrucker Platz,5,s-bahn,"['KBS 100a', 'KBS 100']"
1223,Wilmersdorf,2,s-bahn,"['KBS 100a', 'KBS 100']"
1224,Schmargendorf,1,s-bahn,['KBS 100']
1225,Hohenzollerndamm,1,s-bahn,['KBS 100']
1226,Halensee,1,s-bahn,['KBS 100']
1227,Westkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1228,Witzleben,1,s-bahn,['KBS 100']
1229,Westend,1,s-bahn,['KBS 100']
1230,Jungfernheide,2,s-bahn,"['KBS 100b', 'KBS 100']"
1231,Beusselstr.,1,s-bahn,['KBS 100']
1232,Putlitzstr.,1,s-bahn,['KBS 100']
1233,Wedding,1,s-bahn,['KBS 100']
1234,Gesundbrunnen,6,u-bahn,['D']
1235,Gesundbrunnen,6,s-bahn,"['KBS 105', 'KBS 104', 'KBS 106', 'KBS 100']"
1236,Wilmersdorf,2,s-bahn,"['KBS 100a', 'KBS 100']"
1237,Innsbrucker Platz,5,strassenbahn,['88']
1238,Innsbrucker Platz,5,bus,['A16']
1239,Innsbrucker Platz,5,u-bahn,['B I']
1240,Innsbrucker Platz,5,s-bahn,"['KBS 100a', 'KBS 100']"
1241,Schöneberg,3,s-bahn,"['KBS 100a', 'KBS 104', 'KBS 100']"
1242,Papestr.,4,s-bahn,"['KBS 100a', 'KBS 106', 'KBS 105b', 'KBS 100']"
1243,Tempelhof,2,s-bahn,"['KBS 100a', 'KBS 100']"
1244,Hermannstr.,2,s-bahn,"['KBS 100a', 'KBS 100']"
1245,Neukölln,2,s-bahn,"['KBS 100a', 'KBS 100']"
1246,Köllnische Heide,1,s-bahn,['KBS 100a']
1247,Baumschulenweg,2,s-bahn,"['KBS 100a', 'KBS 103']"
1248,Schöneweide,3,s-bahn,"['KBS 100a', 'KBS 100d', 'KBS 103']"
1249,Betriebsbahnhof Schöneweide,2,s-bahn,"['KBS 100a', 'KBS 103']"
1250,Adlershof,2,s-bahn,"['KBS 100a', 'KBS 103']"
1251,Grünau,2,s-bahn,"['KBS 100a', 'KBS 103']"
1252,Jungfernheide,2,s-bahn,"['KBS 100b', 'KBS 100']"
1253,Wernerwerk,2,strassenbahn,['55']
1254,Wernerwerk,2,s-bahn,['KBS 100b']
1255,Siemensstadt,1,s-bahn,['KBS 100b']
1256,Gartenfeld,1,s-bahn,['KBS 100b']
1257,Schöneweide,3,s-bahn,"['KBS 100a', 'KBS 100d', 'KBS 103']"
1258,Oberspree,1,s-bahn,['KBS 100d']
1259,Spindlersfeld,1,s-bahn,['KBS 100d']
1260,Staaken,1,s-bahn,['KBS 101']
1261,Spandau West,2,s-bahn,"['KBS 101', 'KBS 103']"
1262,Spandau,2,s-bahn,"['KBS 101', 'KBS 103']"
1263,Pichelsberg,2,s-bahn,"['KBS 101', 'KBS 103']"
1264,Reichssportfeld,2,s-bahn,"['KBS 101', 'KBS 103']"
1265,Heerstr.,2,s-bahn,"['KBS 101', 'KBS 103']"
1266,Eichkamp,2,s-bahn,"['KBS 101', 'KBS 103']"
1267,Westkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1268,Charlottenburg,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1269,Savignyplatz,4,strassenbahn,['75']
1270,Savignyplatz,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1271,Zoologischer Garten,4,u-bahn,['A I']
1272,Zoologischer Garten,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1273,Tiergarten,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1274,Bellevue,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1275,Lehrter Stadtbahnhof,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1276,Friedrichstr.,7,s-bahn,"['KBS 105', 'KBS 105b', 'KBS 106', 'KBS 101', 'KBS 104', 'KBS 103', 'KBS 102']"
