line_name,Stops,Frequency,Length (time),Length (km),type,east-west,year
26,"Görlitzer Bhf., Spreewaldplatz - Hermannplatz - Erkstrasse Ecke Karl-Marx-Strasse - U-Bhf. Neukölln - Bhf. Grenzallee - Buschkrugallee Ecke Blaschkoallee - Chaussestrasse Ecke Gradestrasse - Wilhelm-Borgmann Brücke",15,,,strassenbahn,both/unkown,1951
27,"Neukölln, Hermannplatz - U-Bhf. Boddinstrasse - Bhf. Leinestrasse - Bhf. Hermannstrasse - Gradestrasse Ecke Chausseestrasse - Buckow-West, Alt-Buckow",15,,,strassenbahn,both/unkown,1951
28,"Tegelort, Kurzestrasse - Falkenplatz - Gabelung - Alt-Tegel - Bernauerstrasse (Gaswerke) - Sportplatz (Reinickendorf-West) - Berlinerstrasse Ecke Scharnweberstrasse - Londonerstrasse (Rehberge) - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Pankstrasse/Prinzenallee - Bhf. Gesundbrunnen - Rügenesrstrasse Ecke Brunnenstrasse",30,,,strassenbahn,both/unkown,1951
29,"Heiligensee, Dorfaue - Hennigsdorferstrasse Ecke Heiligensee - Gabelung - Alt-Tegel - Bernauerstrasse (Gaswerke) - Sportplatz (Reinickendorf-West) - Berlinerstrasse Ecke Scharnweberstrasse - Londonerstrasse (Rehberge) - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Pankstrasse/Prinzenallee - Bhf. Gesundbrunnen - Rügenesrstrasse Ecke Brunnenstrasse",30,,,strassenbahn,both/unkown,1951
35,"Siemensstadt (Verwaltungsgebäude) - Bhf. Jungfernheide - Gotzkowskystrasse/Waldstrasse - Stromstrasse Ecke Turmstrasse - Rathenowerstrasse (Kriminalgericht) - Weddingplatz - Nettelbeckplatz - Pankower Allee (Schäfersee) - Residenzstrasse Ecke Hauptstrasse - Wilhelmsruh, Hauptstrasse",15,,,strassenbahn,both/unkown,1951
36,"Wilhelmsruh, Hauptstrasse - Hauptstrasse (Reinickendorf-Ost) - Pankower Allee (Schäfersee) Osloerstrasse Ecke Kolonie-Drontheim - Badstrasse Ecke Pankstrasse - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse",15,,,strassenbahn,both/unkown,1951
40,"Dahlem, Clayallee - Pacelliallee Ecke Königin-Luise-strasse - U-Bhf. Dahlem-Dorf - Podbielskiallee (Botanischer Garten) - Steglitz Rathaus - Steglitz, Birkbuschstrasse Ecke Siemensstrasse",15,,,strassenbahn,both/unkown,1951
41,"Tegel, Alt-Tegel - Bernauerstrasse (Gaswerke) - Sportplatz (Reinickendorf-West) - Scharnweberstrasse Ecke Berlinerstrasse - Teichstrasse Ecke Gotthardstrasse - Hauptstrasse Ecke Residenzstrasse - Pankower Allee (Schäfersee) - Oslowerstrasse Ecke Schwedenstrasse - Pankstrasse/Prinzenallee - U-Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse ",15,,,strassenbahn,both/unkown,1951
44,"Sandkrugbrücke, Lehrter Bahnhof - Rathenowerstrasse Ecke Invalidenstrasse - Stromstrasse Ecke Alt-Moabit - Gotzkowskystrasse Ecke Alt-Moabit - U-Bhf. Ernst-Reuter-Platz - Wilmersdorfer Strasse Ecke Berlinerstrasse - Kantstrasse Ecke Wilmersdorferstrasse - Kurfürstendamm Ecke Wilmersdorferstrasse - Fehrbelliner Platz - Berlinerstrasse Ecke Blissestrasse - Hildegardstrasse  Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Titania-Palast - Bhf. Steglitz - Schloßstrasse Ecke Albrechtstrasse - Birkbuschstrasse Ecke Siemensstrasse",17.5,,,strassenbahn,both/unkown,1951
46,"Nordend, Kaiser-Wilhelm-Strasse - Ossietzkyplatz - Bismarckplatz - Pankow, Rathaus - Pankow, Kirche - Kissingenstrasse Ecke Berlinerstrasse - Bhf. Vinetastrasse - Bornholmerstrasse/Wisbyerstrasse - Bhf. Schönhauser Allee - Bhf. Dimitroffstrasse - Zionskirchplatz - Nordbahnhof - Oranienburger Tor - Dorothenstrasse Ecke Friedrichstrasse - Franzstrasse Ecke Oberwallstrasse - Dönhoffplatz",15,,,strassenbahn,both/unkown,1951
47,"Hermannplatz - Erkstrasse, Rathaus Neukölln - Karl-Marx-Strasse Station - U-Bhf. Neukölln - U-Bhf. Grenzallee - Buschkrugallee Ecke Blaschkoallee - Parchimerallee Ecke Rudowerstrasse - Krankenhaus Neukölln - Johannisthaler Chaussee Ecke Rudowerstrasse - Waltersdorfer Chaussee Ecke Neuköllnerstrasse - Rudow, Bahnhofstrasse - Rudow, Stadtgrenze",12.5,,,strassenbahn,both/unkown,1951
49,"Buchholz, Hauptstrasse - Eweststrasse Ecke Pasewalkerstrasse - Galenusstrasse, Pankow, Krankenhaus - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow, Florastrasse - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - Eberswalderstrasse, U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Rosenthaler Platz - Hackescher Markt - Große Präsidentenstrasse",15,,,strassenbahn,both/unkown,1951
51,Roseneck - Bhf. Schmargendorf - Berlinerstrasse Ecke Uhlandstrasse - Kurfürstendamm Ecke Uhlandstrasse - Bhf. Zoo,15,,,strassenbahn,both/unkown,1951
54,"Spandau, Johannesstift - Spandau Stadtpark - Hafenplatz - Spandau Markt - Bhf. Spandau - Güterbahnhof Ruhleben - U-Bhf. Ruhleben - Spandauer Bock - Kirschenallee Ecke Spandauer Damm - Königin-Elisabethstrasse Ecke Spandauer Damm - U-Bhf. Richard-Wagner-Platz, Wintersteinstrasse",20,,,strassenbahn,both/unkown,1951
55,"Spandau, Nauener Strasse - Bhf. Spandau-West - Spandau, Markt - Industriebahn - Paulsternstrasse Ecke Gartenfelderstrasse - Verwaltungsgebäude - Wernerwerk - Bhf. Jungfernheide - Tauroggenerstrasse Ecke Osnabrückerstrasse - Berlinerstrasse Ecke Wilmersdorferstrasse - Knie - Bhf. Zoo - Kurfürstendamm v. Marmorhaus",15,,,strassenbahn,both/unkown,1951
57,Emser Platz - Fehrbelliner Platz - Bhf. Hohenzollerndamm - Elsterplatz - Roseneck,10,,,strassenbahn,both/unkown,1951
60,"Königin-Elisabeth-Strasse Ecke Kaiserdamm - Spandauer Damm Ecke Königin-Elisabeth-Strasse - Sophie-Charlotte-Platz - Amtsgerichtsplatz - Stuttgarter Platz - Kurfürstendamm Ecke Wilmersdorferstrasse - Fehrbelliner Platz - Bundesallee Ecke Berlinerstrasse - Bayerischer Platz - Rudolf-Wilde-Platz - Hauptstrasse Ecke Dominicusstrasse - Sachsendamm Ecke Alboinstrasse - Lindenhof, Eythstrasse",15,,,strassenbahn,both/unkown,1951
64,"Hohenschönhausen, Falkenberger Strasse - Orankestrasse - Weißenseer Weg - Steuerhaus - S-Bhf. Leninallee - Leninallee Ecke Dimitroffstrasse - Leninplatz - Kleine Frankfurterstrasse - Alexanderplatz, Grunestrasse - Bhf. Jannowitzbrücke - U-Bhf. Neanderstrasse - Spittelmarkt - Dönhoffplatz, Krausenstrasse",15,,,strassenbahn,both/unkown,1951
65,"Hackescher Markt - Weinmeisterstrasse - Prenzlauerstrasse Ecke Memhardtstrasse - Alexanderplatz, Neue Königsstrasse - Leninallee Ecke Friedenstrasse - Dimitroffstrasse Ecke Bersarinstrasse - Weidenweg Ecke Bersarinstrasse - Eldenaerstrasse Ecke Scheffelstrasse - Loeperplatz, Scheffelstrasse",15,,,strassenbahn,both/unkown,1951
66,"Schöneberg, Belzigerstrasse (Straßenbahnhof) - U-Bhf. Innsbrucker Platz - Schöneberg, Thorwaldsenstrasse (August-Viktoria-Krankenhaus ",15,,,strassenbahn,both/unkown,1951
68,"Wittenau, Nordbahn - Wittenau, Heilanstalt - Berlinerstrasse Ecke Scharnweberstrasse - Londonerstrasse (Rehberge) - Müllerstrasse Ecke Seestrasse - Schulstrasse Ecke Müllerstrasse - Nettelbeckplatz",15,,,strassenbahn,both/unkown,1951
69,"Hackescher Markt - Alexanderplatz, Neue Königsstrasse - Lenineallee Ecke Friedenstrasse - Dimitroffstrasse/Bersarinstrasse - Roederstrasse Ecke Möllendorffstrasse - Siegfriedstrasse Ecke Alt-Friedrichfelde - Marzahner Chaussee Ecke Schloßstrasse - Treskow Allee Ecke Marksburgstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse",16,,,strassenbahn,both/unkown,1951
70,"Weißensee, Buschallee - Antonplatz - Prenzlauer Promenade Ecke Krügerstrasse - U-Bhf. Danzigerstrasse - Zionskirchplatz - Brunnenstrasse Ecke Veteranenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Kupfergraben",12,,,strassenbahn,both/unkown,1951
71,"Heinersdorf, Helgestrasse - Prenzlauer Promenade Ecke Prenzlauer Allee - Danziger Strasse Ecke Prenzlauer Allee - Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Jüdenstrasse, Rathaus",10,,,strassenbahn,both/unkown,1951
72,"Weißensee, Rennbahnstrasse Ecke Parkstrasse - Antonplatz - Gustav-Adolf-Strasse Ecke Prenzlauer Promenade - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrücker Strasse, Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Molkenmarkt - Spittelmarkt - Charlottenstrasse Ecke Taubenstrasse",10,,,strassenbahn,both/unkown,1951
73,"Bhf. Lichterfelde-Ost - Wiesenbaude, Giesendorferstrasse  - Händelplatz - Rathaus Steglitz - Kaisereiche - U-Bhf. Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Eisenacherstrasse Ecke Potsdamerstrasse - Pallasstrasse Ecke Potsdamerstrasse - Lützowstrasse Ecke Potsdamerstrasse - Potsdamer Platz, Linkstrasse - Dönhoffplatz - Spittelmarkt - Molkenmarkt - Alexanderplatz, Grunerstrasse - Königstor - Danzigerstrasse Ecke Greifswalderstrasse - Antonplatz - Rennbahnstrasse, Weißensee",20,,,strassenbahn,both/unkown,1951
74,"Lichtefelde, Finckensteinallee - Wiesenbaude - Händelplatz - Rathaus Steglitz - Kaisereiche - U-Bhf. Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Eisenacherstrasse Ecke Potsdamerstrasse - Pallasstrasse Ecke Potsdamerstrasse - Kurfürstenstrasse Ecke Potsdamerstrasse - Lützowstrasse Ecke Potsdamerstrasse - Potsdamer Platz, Link-Strasse - Dönhoffplatz - Spittelmarkt - Alexanderplatz, Grunerstrasse - Königstor - Danzigerstrasse Ecke Greifswalderstrasse - Antonplatz - Rennbahnstrasse, Weißensee",20,,,strassenbahn,both/unkown,1951
75,Spandau Hakenfelde - Hafenplatz - Spandau Markt - Spandau Rathaus - Strassenbahnhof Spandau - Heerstrasse Ecke Pichelsdorferstrasse - Scholzplatz - Bhf. Heerstrasse - Reichskanzler-Platz - Ausstellungshallen - Amtsgericht - Savignyplatz - Bhf. Zoo,10,,,strassenbahn,both/unkown,1951
76,Hundekehle über Königsallee - Bhf. Halensee - Wilmersdorferstrasse Ecke Kurfürsten Damm - U-Bhf. Uhlandstrasse - Bhf. Zoo - Wittenbergplatz - Lützowplatz - Lütsowstrasse Ecke Potsdamerstrasse - Anhalter Bhf.,20,,,strassenbahn,both/unkown,1951
76E,Hundekehlenstrasse Ecke Teplitzerstrasse - Hagenstrasse Ecke Königsallee - Hubertusallee Ecke Kurfürstendamm - Kurfürstendamm Ecke Wilmersdorferstrasse - Kurfürstendamm Ecke Uhlandstrasse - Kurfürstendamm Ecke Joachimsthalerstrasse - Bhf. Zoo - Wittenbergplatz - Nollendorfplatz,15,,,strassenbahn,both/unkown,1951
77,"Bhf. Zoo - Wittenbergplatz - Kurfürstendamm Ecke Joachimsthalerstrasse - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Bundesallee - Rathaus Steglitz - Hindenburgdamm Ecke Schloßstrasse - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Baselerstrasse - Rittberg-Krankenhaus - Goerzallee Ecke Wismarer Strasse - Lichterfelde, Goerzallee",20,,,strassenbahn,both/unkown,1951
78,"Lichterfelde-Süd, Lindenstrasse - Goerzallee Ecke Wismarstrasse - Rittberg-Krankenhaus - Drakestrasse (Bhf. Lichterfelde-West) - Händelplatz - Steglitz Rathaus - Bundesplatz - Berlinerstrasse Ecke Bundes Allee - Rankeplatz - Bhf. Zoo",15,,,strassenbahn,both/unkown,1951
82,"Breitestrasse Ecke Mühlendamm - Molkenmarkt - Bhf. Jannowitzbrücke - Schlesischer Bhf./Ostbahnhof - Stralauer Allee Ecke Warschauerstrasse - Osthafen - Markgrafendamm - Alt-Stralau",20,,,strassenbahn,both/unkown,1951
83,"Wendenschloß Ecke Ekhofstrasse - Strassenbahnhof Köpenick - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Mahlsdorf-Süd, Hubertus - Voltastrasse Ecke Hultschiner Damm - Mahlsdorf, Rathaus - S-Bhf. Mahlsdorf",25,,,strassenbahn,both/unkown,1951
84,"Bhf. Friedrichshagen - Hirschgarten - Köpenick, Lindenstrasse Ecke Bahnhofstrasse - Köllnischer Platz - Bhf. Adlershof - Adlershof, Oppenbrücke (Benzolwerk) - Alt-Glienicke, Am Falkenberg",20,,,strassenbahn,both/unkown,1951
86,"Mahlsdorf-Süd, Hubertus - Bhf. Köpenick - Lindenstrasse Ecke Bahnhofstrasse - Köllnischer Platz - Vollkropfgraben - Bootshaus - Kattunfabrik - Schule - Bhf. Grünau - Regattahaus - Freibad Grünau - Richtershorn - Karolinenhof - Alt-Schmöckwitz",20,,,strassenbahn,both/unkown,1951
87,"Dönhoffplatz, Krausenstrasse - U-Bhf. Spittelmarkt - U-Bhf. Neanderstrasse - U-Bhf. Schlesisches Tor - Elsenstrasse Ecke Köpenicker Landstrasse - Baumschulenstrasse Ecke Köpenicker Landstrasse - Nalepastrasse Ecke Wilhelminenhofstrasse - Königsplatz - Lindenstrasse Ecke Bahnhofstrasse - Seelenbinderstrasse - Hirschgarten - Spreetunnel - Bhf. Friedrichshagen - Freibad Müggelsee - Rahnsdorf (Mühle)",25,,,strassenbahn,both/unkown,1951
88,"Steglitz, Stadtpark - Kaisereiche Ecke Rheinstrasse - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Eisenacherstrasse Ecke Hauptstrasse - Pallasstrasse Ecke Potsdamerstrasse - U-Bhf. Kurfürstenstrasse - Potsdamerstrasse Ecke Lützowstrasse - Anhalter Bahnhof - Jerusalemer Kirche - U-Bhf. Moritzplatz - U-Bhf. Görlitzer Bahnhof - Wiener Brücke",15,,,strassenbahn,both/unkown,1951
91,"Treptow, Rathaus - Baumschulenstrasse - Grünauerstrasse, Bhf. Schöneweide - Friedrichstrasse, Johannisthal ",20,,,strassenbahn,both/unkown,1951
92,"Dönhoffplatz, Krausenstrasse - U-Bhf. Spittelmarkt - U-Bhf. Neanderstrasse - U-Bhf. Schlesisches Tor - Elsenstrasse Ecke Köpenicker Landstrasse - Baumschulenstrasse Ecke Köpenicker Landstrasse - Bhf. Schöneweide - Bhf. Oberspree, Sedanstrasse",20,,,strassenbahn,both/unkown,1951
95,"Attilaplatz - Alt-Tempelhof Ecke Manteuffelstrasse - Flughafen - Mehringdamm - Mehringdamm Ecke Blücherstrasse - Hermannplatz - Sonnenallee Ecke Teupitzerstrasse - Köpenicker Landstrasse Ecke Schnellerstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Lindenstrasse Ecke Bahnhofstrasse - Oberspreestrasse Ecke Grünstrasse - Wendenschloßstrasse Ecke Müggelheimerstrasse - Köpenick, Krankenhaus",15,,,strassenbahn,both/unkown,1951
96,Machnower Schleuse - Hauptstrasse Ecke Potsdamerstrasse - Potsdamerstrasse Ecke Lichterfelderstrasse - Berlinerstrasse Ecke Wismarerstrasse - Wilhelmstrasse/Oberhoferweg - Kaiser-Wilhelm-Strasse Ecke Leonorenstrasse - Attilaplatz - Friedrich-Karl-Strasse Ecke Mariendorferdamm - Alt-Tempelhof Ecke Tempelhofer Damm - Tempelhof (Südring) - Bhf. Tempelhof,20,,,strassenbahn,both/unkown,1951
98,U-Bhf. Tempelhof - Alt-Tempelhof Ecke Tempelhofer Damm - Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Mariendorfer Damm Ecke Alt-Mariendorf - Grossbeerenstrasse Ecke Daimlerstrasse - Daimlerstrasse  Ecke Birnhornweg,15,,,strassenbahn,both/unkown,1951
99,"Mehringplatz/Hallesches Tor - Yorckstrasse/Gneisenaustrasse - Dudenstrasse Ecke Mehringdamm - Bhf. Tempelhof - Alt-Tempelhof Ecke Tempelhofer Damm - Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Alt-Mariendorf Ecke Mariendorfer Damm - Rennbahn, Mariendorf - Marienfelder Chaussee Ecke Lichtenrader Damm - Grimmstrasse Ecke Lichtenrader Damm - Bhf. Lichtenrade",15,,,strassenbahn,both/unkown,1951
76E,Hundekehle über Königsallee - Bhf. Halensee - Wilmersdorferstrasse Ecke Kurfürsten Damm - U-Bhf. Uhlandstrasse - Bhf. Zoo - Wittenbergplatz - Nollendorfplatz,10,,,strassenbahn,both/unkown,1951
A I,Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte (Mohrenstr.) - Thälmannplatz - Potsdamer Platz - Gleisdreieck - Bülowstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsches Opernhaus (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz - Neu-Westend - Olympia-Stadion - Ruhleben,10,,,u-bahn,both/unkown,1951
A II,Wittenbergplatz - Nürnberger Platz - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10,,,u-bahn,both/unkown,1951
A III,Deutsches Opernhaus (Bismarckstr.) - Richard-Wagner-Platz,10,,,u-bahn,both/unkown,1951
A1 (Obus),"Moabit, Waldstrasse Ecke Turmstrasse - Heimholtzstrasse - Berlinerstrasse Ecke Cauerstrasse - Kantstrasse Ecke Leibnizstrasse - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Hildegardstrasse Ecke Blissestrasse - U-Bhf. Breitenbachplatz - Pacellialle Ecke Im Dol - U-Bhf. Oskar-Helene-Heim - Berlinerstrasse Ecke Clayallee - Bhf. Zehlendorf - Teltower Damm Ecke Beeskowdamm - Goerzallee Ecke Wismarerstrasse - Lichterfelde-Süd, Lindenstrasse",15,,,bus,both/unkown,1951
A10,"Westend, Königin-Elisabeth-Strasse - U-Bhf. Neu-Westend - U-Bhf. Reichskanzlerplatz - Bhf. Halensee - Elsterplatz - Wilder Eber - Dahlem-Dorf - U-Bhf. Thielplatz - Thielallee Ecke Berlinerstrasse - Berlinerstrasse Ecke Seehofstrasse - Bhf. Zehlendorf - Machnowerstrasse Ecke Andreezeile, Zehlendorf",15,,,bus,both/unkown,1951
A11,"U-Bhf. Dahlem-Dorf - U-Bhf. Thielplatz - Habelschwerdter Allee Ecke Unter den Eichen - Bhf. Lichterfelde-West - Wiesenbaude - Bhf. Lichterfelde-Ost - Lankwitz, Trippsteinstrasse ",20,,,bus,both/unkown,1951
A12,"Frohnau, Sigismundkorso - Bhf. Frohnau - Am Pilz - Sandkrug - Hermsdorfer Damm - Waidmannsluster Damm - Oranienburgerstrasse Ecke Hauptstrasse - Hauptstrasse Ecke Roedernallee - Schillerhof - Seestrasse Ecke Müllerstrasse",10,,,bus,both/unkown,1951
A13,"Spandau, Weinmeisterhornweg - Heerstrasse Ecke Wilhelmstrasse - Adamstrasse Ecke Wilhelmstrasse - Rathaus Spandau - Spandau, Markt - Gartenfelderstrasse Ecke Am Juliusturm - Gartenfelderstrasse Ecke Paulsternstrasse - Gartenfeld, Tegeler Brücke - Weg nach Saatwinkel - Wasserwerk - Krankenhaus Tegel-Süd - Berlinerstrasse Ecke Bernauerstrasse - Bhf. Tegel ",15,,,bus,both/unkown,1951
A14,"Bhf. Tegel - Waidmannslusterdamm Ecke Buddestrasse - Hauptstrasse Ecke Hermsdorferstrasse - Haupstrasse Ecke Holzhauserdamm - Oranienburgerstrasse Ecke Hauptstrasse - Reinickendorf, Hauptstrasse Ecke Residenzstrasse - Kopenhagenerstrasse Ecke Flottenstrasse - Reinickendorf Hauptstrasse Ecke Aroserallee",20,,,bus,both/unkown,1951
A15,Bhf. Wittenau - Holzhauserstrasse Ecke Hauptstrasse - Breitenbachstrasse Ecke Eichborndamm - Borsigweg Ecke Schubstrasse - Bernauerstrasse Ecke Seidelstrasse - Berlinerstrasse Ecke Bahnhofstrasse - Bhf. Tegel,30,,,bus,both/unkown,1951
A16,U-Bhf. Seestrasse - Augustenburger Platz - Fennbrücke - Kriminalgericht - Rathaus Tiergarten - Hansaplatz - Großer Stern - Lützowplatz - Nollendorfplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg - Innsbrucker Platz - Bundesplatz - U-Bhf. Breitenbachplatz,6,,,bus,both/unkown,1951
