line_name,type,east-west,Stops,Frequency_7-30,Length (time),direction,Length (km),year
13,strassenbahn,east,Hönower Wiesenweg Ecke Blockdammweg - Kraftwerk Klingenberg - Karlshorster Strasse - Holteistrasse Ecke Boxhagenerstrasse - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse Ecke Eberswalderstrasse,14,38,,10.6,1964
22,strassenbahn,east,"Rosenthal, Hauptstrasse - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke",12,46,,10.7,1964
46,strassenbahn,east,"Niederschönhausen, Schillerstrasse - Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",5,47,,7.7,1964
49,strassenbahn,east,"Buchholz, Hauptstrasse - Rosenthaler Strasse - Galenusstrasse - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastrasse - Bornholmer Strasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt, Große Präsidentenstrasse",11,39,,21.2,1964
63,strassenbahn,east,"Hohenschönhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Hohenschönhausen, Hauptstrasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt, Große Präsidentenstrasse",20,38,,21.2,1964
64,strassenbahn,east,"Hohenschönhausen, Falkenberger Strasse - Hohenschönhausen, Hauptstrasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Leninallee - S-Bhf. Jannowitzbrücke - Spittelmarkt - Dönhoffplatz",20,40,,11.9,1964
69,strassenbahn,east,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfelde Ecke Am Tierpark - Bhf. Lichtenberg - Strab. Bhf. Siegfriedstrasse - Herzbergstrasse - Roederplatz - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt - Oranienburger Tor - Walter-Ulbricht-Stadion",20,84,,8.5,1964
69E,strassenbahn,east,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfelde Ecke Am Tierpark - Alt-Friedrichsfelde - Bhf. Lichtenberg - Strab. Bhf. Siegfriedstrasse - Herzbergstrasse - Roederplatz - Steuerhaus - Dimitroffstrasse - Kniprodestrasse",20,55,,9.9,1964
70,strassenbahn,east,"Hohenschönhausen, Falkenberger Strasse - Berliner Strasse Ecke Suermondtstrasse - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,49,,7.5,1964
72,strassenbahn,east,"Weißensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Saarbrücker Strasse - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Charlottenstrasse - Taubenstrasse Ecke Glinkastrasse",12,44,,8.3,1964
,,,,,,,20.9,1964
74,strassenbahn,east,"Wießensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Königstor - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Leipziger Strasse Ecke Wilhelmstrasse",6,37,,15,1964
74E,strassenbahn,east,"Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Königstor - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke",6,28,,12,1964
82,strassenbahn,east,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Lindenstrasse Ecke Hegelschule - Pionierpark - Wilhelminenhofstrasse Ecke Edisonstrasse - Heinrich-Duncker-Strasse Ecke Ehrlichstrasse - Kraftwerk Klingenberg - S-Bhf. Ostkreuz - Stralauer Allee Ecke Markgrafendamm - Warschauer Strasse - Ostbahnhof - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - Invalidenstrasse - Chausseestrasse - Walter-Ulbricht-Stadion",20,88,,16.2,1964
83,strassenbahn,east,Wendenschloß Ecke Ekhofstrasse - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Mahlsdorf-Süd - Bürgerwäldchen - Rahnsdorfer Strasse - S-Bhf. Mahlsdorf,20,44,,14.2,1964
84,strassenbahn,east,"Am Falkenberg - Altglienicke, Kirche - S-Bhf. Adlershof - S-Bhf. Spindlersfeld - Luisenhain - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse Ecke Bahnhofstrasse - Hirschgarten - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei - Friedrichshagen, Wasserwerk",10,57,,21.5,1964
85,strassenbahn,east,"Wendenschloß - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstrasse Ecke Hegelschule - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Johannisthal, Haeckelstrasse",20,42,,8.6,1964
86,strassenbahn,east,"Alt-Schmöckwitz - Karolinenhof Mitte - Richtershorn - Freibad Grünau - S-Bhf. Grünau - Chemische Fabrik - Grünstrasse - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Hirtestrasse - Mahlsdorf-Süd, Hubertus",20,43,,9.6,1964
87,strassenbahn,east,"Rahnsdorf - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei -  Hirschgarten - Seelenbinderstrasse Ecke Bahnhofstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Köpenicker Landstrasse Ecke Baumschulenstrasse - S-Bhf. Plänterwald - Am Treptower Park Ecke Elsenstrasse - Wiener Brücke",20,67,,7.6,1964
92,strassenbahn,east,"Oberspree, Bruno-Bürgel-Weg - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Baumschulenweg - Sonnenallee Ecke Baumschulenstrasse",15,18,,,1964
95,strassenbahn,east,Krankenhaus Köpenick - Lindenstrasse Ecke Hegelschule - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Plänterwald - Elsenstrasse - Wiener Brücke,20,47,,,1964
96,,east,"Machnower Schleuse (DDR) - Teltow, Paul-Gerhardt-Str. (DDR)",,,,7.5,1964
71,strassenbahn,east,"Heinersdorf, Romain-Rolland-Str. - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Allee Ecke Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - SaarBrücker Strasse - Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Jüdenstrasse, Molkenmarkt",10,32,,7.1,1964
"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",strassenbahn,east,"S-Bhf. Friedrichshagen (Grenze) - Schöneiche, Waldstrasse - Schöneiche, Goethepark - Schöneiche, Dorfstrasse - Dorfaue - Schöneiche, Schillerstrasse - Schöneiche, Grätzwalde - Schöneiche, Jägerstrasse - Rüdersdorf, Thälmannstrasse - Rüdersdorf, Heinitzstrasse - Rüdersdorf, Post - Rüdersdorf, Schulstrasse - Rüdersdorf, Karl-Marx-Platz",20,45,,13,1964
S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),strassenbahn,east,"S-Bhf. Rahnsdorf - Goethestrasse - Eichendamm - Lerchenstrasse - Fasanenstrasse - Thälmannplatz - Blumenstrasse - Woltersdorf, Krankenhaus - Woltersdorfer Schleuse",20,20,,5.6,1964
A,u-bahn,east,Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte - Thälmannplatz,2.5,19,,,1964
E,u-bahn,east,Alexanderplatz - Schillingstr. - Strausberger Platz - Marchlewskistr. - Frankfurter Tor - Samariterstr. - Stalinallee (Ringbahn) - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),5,16,,,1964
