line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
20,strassenbahn,Ost,"Bhf. Lichtenberg - Straßenbahn-Betriebshof - Herzbergstrasse - Ho-Chi-Minh-Strasse - Leninallee - Hohenschönhauserstrasse - Omnibus-Betriebshof - Klement-Gottwald-Strasse - Antonplatz - Wisbyerstrasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackerscher Markt",20,50,,1980,
21,bus,West,Quickbornerstrasse Märkisches Viertel - Wilhelmsruher Damm - Schorfheidestrasse - Wilhelmsruher Damm/Dannenwalder Weg - Oranienburgerstrasse - Alt-Wittenau - Rathaus Reinickendorf - Breitenbachstrasse - U-Bhf. Scharnweberstrasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Südtor - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Luisenplatz - Bismarckstrasse - Kantstrasse - Amtsgericht Charlottenburg - Kurfürstendamm - Westfälischestrasse - Rudolstädterstrasse - Berlinerstrasse - Fehrbelliner Platz,15,63,,1980,
21,strassenbahn,Ost,"Eberswalderstrasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalderstrasse - Artur-Becker-Strasse - Leninallee - Frankfurter Tor - Holteistrasse - Hauptstrasse - VEB Chemiehandel - Kraftwerk Klingenberg - Hönower Wiesenweg - Hermann-Duncker-Strasse - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Ernst-Weinert-Klubhaus - Institut für Lehrerbildung - Grünstrasse - Wendeschloßstrasse - Köpenick, Krankenhaus",20,72,,1980,
22,bus,West,U-Bhf. Osloerstrasse - Ritterlandweg - Pankower Allee - Emmentalerstrasse - Lindauer Allee - Aroser Allee - Roedernallee/Paracelsus-Bad - Tessenowstrasse - Am Nordgraben - Dannenwalder Weg - Wilhelmsruher Damm - Gemeinde-Zentrum - Märkisches Zentrum - Wesendorferstrasse - Senftenberger Ring-Ost - Senioren-Zentrum - Calauerstrasse - Eichhorster Weg - Lübarserstrasse - Hermsdorferstrasse - Zabel-Krüger-Damm - Waidmannslust Titiseestrasse,15,37,,1980,
22,strassenbahn,Ost,"Rosenthal, Hauptstrasse - Nordendstrasse - Platanenstrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Björnsonstrasse - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,50,,1980,
22E,bus,West,"U-Bhf. Holzhauserstrasse - Wittestrasse - Soltauerstrasse - Breitenbachstrasse - Miraustrasse - Triftstrasse - Rathaus Reinickendorf - Alt-Wittenau - Wittenau, Kirche",15,11,,1980,
23,bus,Ost,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Normannenstrasse - Wolfmarsteig - Schönefelder Chaussee - Altglienicke, Kirche - Glienicker Weg - VEB Berlin-Chemie - S-Bhf. Adlershof - Rudower Chaussee",20,28,,1980,
23,bus,West,"Zoo, Hardenbergplatz - Jebensstrasse/Amerikahaus - Steinplatz - U-Bhf. Ernst-Reuther-Platz - U-Bhf. Hansaplatz - Gotzkowskystrasse - Hutten-/Turmstrasse - Wittstockerstrasse - Sickingen-/Siemensstrasse - Beusselstrasse/Goerdelerdamm - Hüttigpfad - Friedrich-Olbricht-Damm - Heckerdamm - Jakob-Kaiser-Platz - U-Bhf. Jakob-Kaiser-Platz - Halemweg - Goebelplatz - Quellweg - U-Bhf. Rohrdamm - Saatwinkler Damm Mäkeritzwiesen",15,53,,1980,
24,bus,West,Moabit Wiebestrasse - Huttenstrasse - Reuchlinstrasse - Waldstrasse/Beusselstrasse - Rathaus Tiergarten - U-Bhf. Turmstrasse - Krankenhaus Moabit - Wilsnackerstrasse - Rathenowerstrasse - Alt-Moabit - Schloß Bellevue - Tiergartenstrasse - Lützowplatz - Magdeburger Platz - Potsdamerstrasse - Askanischer Platz - Großbeerenstrasse - U-Bhf. Hallesches Tor - U-Bhf. Gneisenaustrasse - Columbiadamm - Platz der Luftbrücke,15,41,,1980,
24,strassenbahn,Ost,Pasedagplatz - Lichtenbergerstrasse - Antonplatz - S-Bhf. Greifswalderstrasse - Dimitroffstrasse - Mollstrasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor - Stadion der Weltjugend,12,36,,1980,
25,bus,West,Britz-Süd - Fritz-Erler-Allee - Kormoranweg - Grüner Weg - Buschkrugallee - U-Bhf. Parchimer Allee - Britzer Damm - Gradestrasse - Karl-Elsasser-Strasse - Gottlieb-Dunkel-Strasse - Teilestrasse - Wenckebachstrasse - U-Bhf. Ullsteinstrasse - Attilaplatz - Alboinstrasse - Röblingstrasse/Arnulfstrasse - Priesterweg - Prellerweg - Auguste-Viktoria-Krankenhaus - Grazer Platz - Rubensstrasse - Friedenauer Brücke - Kaisereiche - U-Bhf. Friedrich-Wilhelm-Platz,12,40,,1980,
25,strassenbahn,Ost,Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Erich-Weinert-Klubhaus - Institut für Lehrerbildung - Seelenbinderstrasse - Brandenburgplatz - Hirschgarten - Bölschestrasse - S-Bhf. Friedrichshagen - Hartlebenstrasse - Müggelseedamm - Rahnsdorf,20,47,,1980,
26,strassenbahn,Ost,"Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Erich-Weinert-Klubhaus - Institut für Lehrerbildung - Grünstrasse - Wendenschloßstrasse - Köpenick, Krankenhaus",20,26,,1980,
27,bus,Ost,"S-Bhf. Kaulsdorf - Chemnitzerstrasse - Jägerstrasse - Gehsenerstrasse - S-Bhf. Köpenick - Lindenstrasse - Schloßplatz - Krankenhaus Köpenick - Müggelturm - Müggelheim, Dorf - Alt-Müggelheim",10,41,,1980,
28,bus,West,U-Bhf. Tempelhof - Boelckestrasse - Werner-Voß-Damm - Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse/Rathaus Kreuzberg - U-Bhf. Mehringdamm - U-Bhf. Gneisenaustrasse/Zossenerstrasse - U-Bhf. Südstern - Urbanstrasse - Geibelstrasse - Wilmsstrasse - U-Bhf. Prinzenstrasse/Gitschinerstrasse - U-Bhf. Kottbusser Tor - Oranienstrasse - Mariannenplatz - Köpenickerstrasse - U-Bhf. Schlesisches Tor - Falckensteinstrasse - Schlesischestrasse Ecke Heckmannufer,15,44,,1980,
28,strassenbahn,Ost,"Pasedagplatz - Bernkastelerstrasse - Lichtenbergerstrasse - Antonplatz - S-Bhf. Greifswalderstrasse - Dimitroffstrasse - Mollstrasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt",20,27,,1980,
29,bus,West,"Grunewald, Roseneck - Teplitzerstrasse - Franzensbaderstrasse/Sportplatz - Bismarckplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstr - U-Bhf. Kurfürstendamm - U-Bhf. Wittenbergplatz - An der Urania - Kurfürstenstrasse - Lützowplatz - Kluckstrasse - Potsdamer Brücke - Askanischer Platz - Friedrichstrasse/U-Bhf. Kochstrasse - Lindenstrasse - Alte Jakobstrasse  - Alexandrinenstrasse - U-Bhf. Moritz-Platz - Oranienplatz",10,45,,1980,
