,line_name,Stops,Frequency,Length (time),type,east-west,year
59,A31,Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Kinderheim Ruhleben - Teltower Strasse - Grenadierstrasse - Stresowplatz - Breite Strasse Ecke Charlottenstrasse - Rathaus Spandau - Nauener Strasse - Egelpfuhlstrasse - Magistratsweg - Spandauer Strasse - Hackbuschstrasse - Heidebergplan,20.0,30.0,bus,West,1964
60,A32,"Breitenbachplatz - Gritznerstrasse - Schlossstrasse Ecke Albrechtstrasse - Rathaus Steglitz - Kuhligkshofstrasse Ecke Albrechtstrasse - Sedanstrasse - Stindestrasse - Leonorenstrasse - Lankwitz, Kirche - Malteserstrasse Ecke Belßstrasse - Marchandstrasse - Marienfelder Allee - Stegerwaldstrasse - Bhf. Marienfelde",6.0,28.0,bus,West,1964
61,A33,"Berlinickestrasse Ecke Albrechtstrasse - Klingsorstrasse - Sedanstrasse - Bismarckstrasse Ecke Steglitzer Damm - Halskestrasse Ecke Attilastrasse Ecke Steglitzer Damm - Kaiserstrasse/Ringstrasse - Rathaus Mariendorf - Mariendorf, Kaiserstrasse",5.0,15.0,bus,West,1964
62,A34,"Spandau, Friedhof - Askanierring Ecke Falkenhagener Strasse - Hafenplatz - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse Ecke Gatower Strasse - Gatower Strasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow - Schwiezerhaus - Gutshof",30.0,48.0,bus,West,1964
63,A35,"Spandau, Friedhof - Askanierring Ecke Falkenseer Chaussee - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse Ecke Gatower Strasse - Gatower Strasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow - Krampnitzer Weg - Hottengrund",30.0,45.0,bus,West,1964
64,A35E,Altenheim Hottengrund - Pottensteiner Weg Ecke Selbitzer Strasse - Selbitzer Strasse Ecke Krampnitzer Weg - Sakrower Strasse Ecke Landstrasse - Alt-Kladow Ecke Kladower Damm,274.0,7.0,bus,West,1964
67,A4,Brixplatz - Theodor-Heuss-Platz - Messedamm - Henriettenplatz - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - Bundesallee Ecke Badenische Strasse - Rathaus Schöneberg - Innsbrucker Platz - Kaiser-Wilhelm-Platz - U-Bhf. Flughafen - Columbiadamm - Kienitzer Strasse - Sonnenallee Ecke Erkstrasse - Harzer Strasse,10.0,56.0,bus,West,1964
76,A48,"Potsdamer Strasse Ecke Fischerhüttenstrasse - Teltower Damm - Sundgauer Strasse - Dahlemer Weg - Drakestrasse - Hindenburgdamm - Rathaus Steglitz - Bundesallee Ecke Rheinstrasse - Kaisereiche - Innsbrucker Platz - Kaiser-Wilhelm-Platz - Goeben-/Pallasstrasse - U-Bhf. Bülowstrasse - Lützowstrasse - Philharmonie, Tiergartenstrasse",10.0,39.0,bus,West,1964
78,A5,Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Teltower Strasse Ecke Charlottenburger Chaussee - Stresowplatz - Breite Strasse Ecke Charlottenstrasse - Rathaus Spandau - Falkenseer Chaussee - Viersener Strasse - Wolburgsweg - Stadtrandstrasse - Waldkrankenhaus - Nervenklinik,10.0,32.0,bus,West,1964
79,A50,Roseneck - Elsterplatz - Forckenbeckstrasse - Flinsberger Platz - Seesenerstrasse Ecke Hohenzollerndamm - U-Bhf. Fehrbelliner Platz - Emser Platz - Uhlandstrasse Ecke Güntzelstrasse - Bundesallee Ecke Tratenaustrasse - Prager Platz,10.0,19.0,bus,West,1964
80,A51,Bhf. Wannsee - Königstrasse/Kronprinzessinnenweg - Am Grossen Wannsee - KoblanckStrasse - Colomierstrasse - Krankenhaus Wannsee - Zum Heckeshorn - Krankenhaus Heckeshorn,28.0,10.0,bus,West,1964
81,A52,"Marienfelde, Stadtrandsiedlung - Alt-Marienfelde - Kettinger Strasse Ecke Alt-Marienfelde - Lichtenrader Damm Ecke Marienfelder Chaussee - Bühler Weg - Buckower Friedhof - Buckower Damm - Grüner Weg - Triftweg - Rudower Strasse - Efeuweg - Wildmeisterdamm - Köpenicker Strasse - Friedhof Rudow - Kanalstrasse - Mimosenweg - Stubenrauchstrasse Ecke Kanalstrasse",20.0,46.0,bus,West,1964
82,A53,"Dreilindenstrasse - Zehlendorf, Hohenzollernplatz - Krottnaurerstrasse Ecke Alemannenstrasse - Waldemarplatz - Argentinische Allee Ecke Fischerhüttenstrasse - U-Bhf. Krumme Lanke - Hartmannsweiler Weg - Potsdamer Strasse Ecke Fischerhüttenstraße - Teltower Damm - Rathaus Zehlendorf - Knesebeckstrasse - Jänickestrasse - Dahlemer Weg - Osteweg - 4. Ring - Luzerner Strasse - Thuner Platz - Wiesenbaude - Ostpreußendamm Ecke Wilhelmstrasse - Jungfernstieg",20.0,47.0,bus,West,1964
89,A6,Bhf. Wannsee - Königstrasse - Pfaueninsel-Chaussee - Rathaus Wannsee - Friedenstrasse - Schäferberg - Nikolskoer Weg - Glienicker Brücke,30.0,13.0,bus,West,1964
