,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
1243,Ruhlebener Strasse,bus,"{'97', '54'}",,,,
1244,Rummelsburg,s-bahn,{'105'},,,,
1245,Ruppiner Chausee,bus,{'14'},"52.62650035610074, 13.227506970105749",nan,['14'],
1246,Röblingstrasse,bus,"{'76', '96'}",,,,
1247,Röblingstrasse/Arnulfstrasse,bus,"{'68', '25'}",,,,
1248,Röntgental,s-bahn,{'141'},,,,
1249,Rübezahl,bus,{'27'},,,,
1250,Rüdesheimer Platz,u-bahn,{'2'},"52.473333333333,13.314444444444",Q167147,['2'],
1251,S-Bhf. Adlershof,bus,{'23'},"52.43542122666862, 13.541382770529728",nan,['23'],
1252,S-Bhf. Adlershof,strassenbahn,{'84'},"52.435251,13.5408489",Q66363728,['84'],
1253,S-Bhf. Altglienicke,bus,{'23'},"52.40840519773821, 13.558816171743953",nan,['23'],
1254,S-Bhf. Baumschulenweg,bus,"{'65', '47'}","52.4674967534767, 13.489379882069517",nan,['47'],
1255,S-Bhf. Biesdorf,bus,"{'92E', '54', '92'}",,,,
1256,S-Bhf. Buch,bus,"{'51', '51E', '31'}",,,,
1257,S-Bhf. Friedrichsfelde Ost,bus,"{'54', '43', '53'}","52.51386336175537, 13.519096048294683",nan,"['53', '43']",
1258,S-Bhf. Friedrichsfelde Ost,strassenbahn,"{'17', '19'}","52.5132315,13.5190209",Q65953648,"['19', '17']",
1259,S-Bhf. Friedrichshagen,strassenbahn,"{'S-Bhf. Friedrichshagen <> Rüdersdorf', '84', '25'}",,,,
1260,S-Bhf. Greifswalder Strasse,strassenbahn,{'24'},,,,
1261,S-Bhf. Grünau,bus,"{'37', '38', '36'}",,,,
1262,S-Bhf. Grünbergallee,bus,"{'23', '36'}","52.39982232817773, 13.540170966673278",nan,"['23', '36']",
1263,S-Bhf. Jannowitzbrücke,bus,"{'79', '78', '78E', '32'}","52.515549181612776, 13.418097971801808",nan,"['78', '32', '79', '78E']",
1264,S-Bhf. Kaulsdorf,bus,"{'27', '95'}","52.512448306454054, 13.589582842781804",nan,"['95', '27', '112']",
1265,"S-Bhf. Kaulsdorf, Bausdorfstrasse",bus,{'60'},"52.51324214348987, 13.589781792135955",nan,['60'],
1266,S-Bhf. Köpenick,bus,"{'27', '68'}","52.45882190200453, 13.579564677172508",nan,"['27', '68']",
1267,S-Bhf. Köpenick,strassenbahn,"{'82', '83'}","52.4582153,13.5790435",Q66370784,"['83', '86', '82']",
1268,S-Bhf. Leninallee,bus,"{'54', '48'}","52.528513273942636, 13.455602547861579",nan,"['54', '48']",
1269,S-Bhf. Leninallee,strassenbahn,"{'11', '18', '19', '17', '63', '15'}","52.5285197,13.4557902",Q65553332,"['11', '15', '63', '19', '18', '17']",
1270,S-Bhf. Mahlsdorf,bus,"{'44', '95'}","52.51234908870327, 13.61221793610957",nan,['44'],
1271,S-Bhf. Mahlsdorf,strassenbahn,{'83'},"52.51221826761895, 13.612190748726157",nan,['83'],
1272,S-Bhf. Marzahn,bus,"{'43', '92'}","52.542816145869935, 13.541649855943026",nan,"['95', '92', '43']",
1273,S-Bhf. Marzahn,strassenbahn,"{'12', '11'}","52.5424883,13.5419279",Q65600718,"['11', '12']",
1274,"S-Bhf. Marzahn""",bus,{'95'},,,,
1275,S-Bhf. Nöldnerplatz,bus,"{'96', '43', '35'}","52.50326619516546, 13.484293730152238",nan,"['96', '43', '35']",
1276,S-Bhf. Oberspree,bus,{'65'},"52.45293599866134, 13.537614958614363",nan,['65'],
1277,S-Bhf. Ostkreuz,strassenbahn,{'82'},"52.50243021718411, 13.469020052690205",nan,['82'],
1278,S-Bhf. Pankow,bus,"{'45', '55', '33', '7'}","52.56742037379333, 13.412250129587665",nan,"['45', '55', '33', '7']",
1279,S-Bhf. Pankow,strassenbahn,"{'49', '22', '46'}","52.5675692,13.4121641",Q65055075,"['49', '46', '22']",
1280,S-Bhf. Pankow-Heinersdorf,strassenbahn,{'49'},"52.577507820515834, 13.427853061920917",nan,['49'],
1281,S-Bhf. Plänterwald,bus,"{'67', '65', '66'}","52.47906709904058, 13.47438536554077",nan,"['65', '66', '67']",
1282,S-Bhf. Prenzlauer Allee,strassenbahn,"{'72', '20', '71'}","52.5448075,13.427408",Q65219791,"['71', '20', '72']",
1283,S-Bhf. Rahnsdorf,bus,{'61'},"52.451628368326396, 13.691579101298974",nan,['61'],
1284,S-Bhf. Rahnsdorf,strassenbahn,{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse'},"52.451526,13.6929464",Q66977001,['S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse'],
1285,S-Bhf. Rummelsburg,bus,{'30'},"52.50179539105723, 13.478028581044718",nan,['30'],
1286,S-Bhf. Spindlersfeld,strassenbahn,{'84'},"52.4457311,13.5624298",Q66363397,['84'],
1287,S-Bhf. Springpfuhl,bus,"{'54', '43'}","52.525730108939904, 13.536747791865222",nan,"['43', '54']",
1288,S-Bhf. Springpfuhl,strassenbahn,{'18'},"52.5256909,13.53648",Q65681801,['18'],
1289,S-Bhf. Storkower Strasse,bus,{'56'},,,,
1290,S-Bhf. Treptower Park,bus,"{'64', '67', '65', '66', '47'}","52.49403640886682, 13.460762565516704",nan,"['47', '64', '65', '66', '67']",
1291,S-Bhf. Warschauer Strasse,bus,{'34'},,,,
1292,S-Bhf. Warschauer Strasse,strassenbahn,"{'4', '3'}",,,,
1293,S-Bhf. Wilhelmshagen,bus,{'61'},"52.43886122089184, 13.721060252199655",nan,['61'],
1294,Saalestrasse,bus,"{'41', '95'}","52.47386853962002, 13.45579833268409",nan,"['95', '41']",
1295,Saatwinkler Damm,bus,{'62'},"52.54802938567344, 13.300569461587116",nan,['62'],
1296,Saatwinkler Damm Mäkeritzwiesen,bus,{'23'},"52.54855943697922, 13.270397400956895",nan,['23'],
1297,Sachsendamm,bus,{'84'},"52.47539129247018, 13.359825039600706",nan,['84'],
1298,Samariterstrasse,bus,{'30'},"52.52016041786831, 13.466940699807608",nan,['30'],
1299,Samariterstrasse,u-bahn,{'E'},"52.514722222222,13.464444444444",Q552891,['E'],
1300,Sandheideweg,bus,"{'35', '34'}","52.5123413211593, 13.182459615917342",nan,"['34', '35']",
1301,Sandstrasse,bus,{'97'},"52.518563100142906, 13.169964674221779",nan,['97'],
1302,Savignyplatz,bus,"{'66', '92'}",,,,
1303,Savignyplatz,s-bahn,{'156'},,,,
1304,Schaltwerk,bus,{'55'},"52.53775067762068, 13.252920363905849",nan,['55'],
1305,Scharfestrasse,bus,{'18'},"52.43828828643976, 13.262213345971533",nan,['18'],
1306,Scharnhorststrasse,bus,{'57'},"52.530048717863, 13.374421833191816",nan,['57'],
1307,Scharnweberstrasse,strassenbahn,"{'12', '3'}",,,,
1308,Scharnweberstrasse,u-bahn,{'6'},"52.566944444444,13.312777777778",Q557586,['6'],
1309,Scheringstrasse,bus,{'12'},"52.54224615001172, 13.382878503443685",nan,['12'],
1310,Schichauweg,bus,"{'7', '30'}","52.39854961112146, 13.389289725983366",nan,"['30', '7']",
1311,Schildow,bus,{'7'},"52.6364725302849, 13.374512017906921",nan,['7'],
1312,Schillerstrasse,strassenbahn,{'S-Bhf. Friedrichshagen <> Rüdersdorf'},,,,
1313,Schillingstrasse,u-bahn,{'E'},"52.520277777778,13.421666666667",Q552899,['E'],
1314,Schlesische Strasse Ecke Heckmannufer,bus,{'28'},,,,
1315,Schlesisches Tor,u-bahn,{'1'},"52.500833333333,13.441666666667",Q602282,['1'],
1316,Schlichtallee,bus,{'96'},,,,
1317,Schlosserweg,bus,{'91'},,,,
1318,Schloß Bellevue,bus,{'24'},"52.51679066883996, 13.354261133973138",nan,"['24', '69']",
1319,Schloß Glienicke,bus,{'6'},,,,
1320,Schloßbrücke,bus,{'62'},"52.52195875177292, 13.300119182683678",nan,['62'],
1321,Schloßplatz,bus,{'68'},"52.444440717970195, 13.575132622824544","nan, nan","['27'], [ '68']",
1322,Schloßplatz,strassenbahn,"{'21', '84'}",,,,
1323,Schloßstrasse,bus,{'74'},,,,
1324,Schloßstrasse,u-bahn,{'9'},"52.46083,13.32444",Q554474,['9'],
1325,Schloßstrasse/Wrangelstrasse,bus,{'85'},"52.45479859967026, 13.318908801873068",nan,['85'],
1326,Schlüterstrasse,bus,{'66'},"52.50609789260962, 13.317525850369835",nan,['94'],
1327,Schmidt-Knobelsdorf-Strasse,bus,{'92'},,,,
1328,Scholzplatz,bus,{'92'},"52.50678815703117, 13.22840316297602",nan,['94'],
1329,Schorfheidestrasse,bus,{'21'},"52.5915185112632, 13.346110544760768",nan,['21'],
1330,Schreiberring,bus,{'96'},"52.480838310087485, 13.37928624318748",nan,['96'],
1331,Schulenburg-Park,bus,{'95'},"52.466486149886556, 13.470396332300556",nan,['95'],
1332,Schulzendorf,s-bahn,{'153'},,,,
1333,Schulzendorfer Strasse,bus,{'90'},,,,
1334,Schulzendorfer Weg,bus,{'20'},"52.59901996179592, 13.260318585104402",nan,['20'],
1335,Schulzenstrasse,bus,{'63'},"52.5392529538661, 13.178250341773861",nan,['63'],
1336,Schumannstrasse,bus,{'78'},"52.52350700053633, 13.379478600060418",nan,['78'],
1337,Schwanter Weg,bus,{'63'},"52.558138150844556, 13.182270913730692",nan,['63'],
1338,Schwarzelfenweg,bus,{'45'},"52.56730253884034, 13.465344446026576",nan,['45'],
