stop_id,stop_name,type,location,in_lines,identifier,stop_description
1946189,Grabbeallee,strassenbahn,"52.57107235599751, 13.39822592061002","['199', '47', '23']",,
1946190,Greifswalder Str.,s-bahn,"52.539722222222,13.439444444444",['KBS 100'],Q439246,
1946191,Greifswalder Strasse,strassenbahn,"52.5364975,13.4334045",['60'],Q65548960,
1946192,Greifswalder Strasse Ecke Danziger Strasse,strassenbahn,"52.5364975,13.4334045",['60'],Q65548960,
1946193,Grenadierstrasse,strassenbahn,"52.53233657156798, 13.20770038531928",['54'],,
1946194,Grenzallee,u-bahn,"52.463333333333,13.443888888889",['C'],Q571836,
1946195,Griebnitzsee,s-bahn,"52.3944,13.1272",['KBS 101'],Q315133,
1946196,Großgörschenstr.,s-bahn,"52.4922745,13.3678588",['KBS 104a'],Q21776726,
1946197,Grunewald,s-bahn,"52.4892,13.2614",['KBS 101'],Q457266,
1946198,"Grunewald, Hubertusallee",strassenbahn,"52.4896134950935, 13.28467047123755",['75'],,
1946199,Grunewaldstrasse,strassenbahn,"52.489099571674906, 13.344928521367574",['3'],,
1946200,Grunewaldstrasse,strassenbahn,"52.530183742982004, 13.20472327952269",['54'],,
1946201,Grünau,s-bahn,"52.4122,13.5746","['KBS 100a', 'KBS 100c']",Q111307258,
1946202,Gustav-Adolf-Strasse Ecke Langhansstrasse,strassenbahn,"52.5536867,13.4343757",['8'],Q65922653,
1946203,Gustav-Adolf-Strasse Ecke Prenzlauer Allee,strassenbahn,"52.551709529197026, 13.430370964345377",['72'],,
1946204,Görlitzer Bahnhof,u-bahn,"52.4992,13.428",['B'],Q597759,
1946205,Gürtelstrasse Ecke Frankfurter Allee,strassenbahn,"52.5135267127755, 13.477083855609834",['8'],,
1946206,Hackescher Markt,strassenbahn,"52.522700593509725, 13.401605863643521",['1'],Q65094590,
1946207,Hafenplatz,strassenbahn,"52.542292547760184, 13.206201126048732","['54', '75']",,
1946208,Hagenplatz,strassenbahn,"52.48338876739213, 13.26583142929224",['76'],,
1946209,Hakenfelde,strassenbahn,"52.57886009874865, 13.210057800310379",['75'],,
1946210,Halensee,s-bahn,"52.4961,13.2906",['KBS 100'],Q800476,
1946211,Halensee,strassenbahn,"52.4968906371703, 13.28953411069346",['75'],,
1946212,Hallesches Tor,bus,"52.49794750808006, 13.391726405887525",['1'],,
1946213,Hallesches Tor,u-bahn,"52.497777777778,13.391111111111","['B', 'C']",Q658302,
1946214,"Haselhorst, Gartenfelder Strasse",strassenbahn,"52.54415774195884, 13.247126131065503",['55'],,
1946215,Hauptstrasse Ecke Mühlenstrasse,strassenbahn,"52.48181232696976, 13.348271486759423",['74'],,
1946216,Hauptstrasse Ecke Residenzstrasse,strassenbahn,"52.57425115897413, 13.359165566408976",['41'],,
1946217,Heerstr.,s-bahn,"52.5086,13.2586",['KBS 100c'],Q800502,
1946218,Heerstrasse,strassenbahn,"52.50679898205845, 13.228382146205346",['75'],,
1946219,Heidelberger Platz,u-bahn,"52.479808333333,13.313236111111",['A2'],Q21777872,
1946220,Heiligensee,s-bahn,"52.6247,13.2292",['KBS 105'],Q800475,
1946221,Heiligensee,strassenbahn,"52.611249613775165, 13.217475242109284",['128'],,
1946222,Heinersdorf,strassenbahn,"52.5725511,13.4371063",['73'],Q65096052,
1946223,Hennigsdorf,s-bahn,"52.638,13.2057",['KBS 105'],Q800909,
1946224,Hermannplatz,strassenbahn,"52.487085572732276, 13.424752445258537",['95'],,
1946225,Hermannplatz,u-bahn,"52.48629,13.42455","['D', 'C']",Q658929,
1946226,Hermannstr.,s-bahn,"52.4675,13.431111111111","['KBS 100a', 'KBS 100']",Q111263802,
1946227,Hermannstrasse,strassenbahn,"52.46476232618638, 13.432818109719008",['27'],,
1946228,Hermannstrasse Ecke Leinestrasse,strassenbahn,"52.473415687320596, 13.42814231816192",['27'],,
