,stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
90,91,Baumschulenstrasse,strassenbahn,"92,95","52.469081846595664, 13.491329912138305",nan,81,"95,92",Baumschulenstrasse Ecke Köpenicker Landstrasse
91,92,Baumschulenstrasse Ecke Südostallee,bus,A47,"52.46095841731415, 13.481191835004426",nan,82,A47,Baumschulenstrasse Ecke Südostallee
92,93,Baumschulenweg,s-bahn,"KBS 106a,KBS 106,KBS 103,KBS 103a","52.4675,13.489722",Q324336,83,"KBS 103,KBS 103a,KBS 100a,KBS 106",Berlin-Baumschulenweg station
93,94,Bautzener Strasse Ecke Zorckstrasse,bus,A19,,,,,
94,95,Bayerischer Platz,u-bahn,B I,"52.488333333333,13.340277777778",Q668574,84,B III,Bayerischer Platz station
95,96,Bayernring Ecke Tempelhofer,bus,A78,,,,,
96,97,Bayernring Ecke Tempelhofer Damm,bus,"A76,A77",,,,,
97,98,Beeskowdamm Ecke Goerz Allee,bus,A1,,,,,
98,99,Behring-Krankenhaus,bus,A10,"52.42410894567823, 13.251764544509987",nan,86,A10,Behring-Krankenhaus
99,100,Bellevue,s-bahn,"KBS 100h,KBS 100g","52.52,13.348055555556",Q374018,87,"KBS 101,KBS 102",Berlin Bellevue station
100,101,Belßstrasse,bus,A83,,,,,
101,102,Benschallee,bus,A18,"52.42959261918116, 13.22400013419735",nan,89,A18,Benschallee Ecke Potsdamer Chaussee
102,103,Benschallee Ecke Potsdamer Chaussee,bus,A3,"52.429638035873005, 13.22393270091056",nan,90,A3,nan
103,104,Bergfelde (b Bln),s-bahn,KBS 104,,,,,
104,105,Bergstrasse Ecke Bismarckstrasse,bus,"A81,A2","52.45863817204511, 13.33931462421719+ 52.45863817204511, 13.33931462421719",nan+ nan,94+ 185,"A2+ A75,A68",nan+ nan
105,106,Bergstrasse Ecke Thorwaldstrasse,bus,A83,,,,,
106,107,Berkaer Strasse,bus,A29,"52.48209270683341, 13.281182952838728",nan,95,A29,Berkaer Strasse Ecke Teplitzer Strasse
107,108,"Berkaer Strasse, Elsterplatz",bus,AS3s,"52.479592141367654, 13.285296936169493",nan,96,AS3,"Berkaer Strasse, Elsterplatz"
108,109,Berliner Strasse,strassenbahn,70,,,,,
109,110,Berliner Strasse Ecke Brandenburgerstrasse,bus,A60,,,,,
110,111,Berliner Strasse Ecke Bundesallee,bus,"A2,AS2s,A25","52.48735367071187, 13.33100210517226",nan,98,"A2,A25",nan
111,112,Berliner Strasse Ecke Joachimstalerstrasse,bus,A81,,,,,
112,113,Berlinickeplatz,strassenbahn,96,"52.466329675590764, 13.378144688199017",nan,101,96,Berlinickeplatz Ecke Manteuffelstrasse
113,114,Berlinickestrasse Ecke Albrechtstrasse,bus,A33,,,,,
114,115,Bernau (b Bln),s-bahn,KBS 106,"52.6763,13.5931",Q479789,102,KBS 106,Bernau bei Berlin station
115,116,Bernauer Strasse,bus,A13,"52.57629905299874, 13.294692761311245 ; 52.538252555466876, 13.396009073652834",nan,103,A13 ; A61,Bernauer Strasse Ecke Berliner Strasse ; Bernauer Strasse Ecke Brunnenstrasse
116,117,Bernauer Strasse Ecke Brunnenstrasse,bus,A61,,,,,
117,118,Bernauer Strasse Ecke Wolliner Strasse,bus,"A64,A71","52.539825749774046, 13.4015229935377",nan,104,"A71,A64",nan
118,119,Bernauer Strasse/Brunnenstrasse,bus,A71,"52.53829556916397, 13.396023771544826",nan,106,A71,Bernauer Strasse/Brunnenstrasse
119,120,Bersarinplatz,strassenbahn,"4,13","52.519215,13.4525257",Q65706258,107,"13,4",Bersarinplatz
120,121,Betriebsbahnhof Rummelsburg,s-bahn,KBS 102,"52.4939,13.4978",Q829009,108,KBS 102,Betriebsbahnhof Rummelsburg station
121,122,Betriebsbahnhof Schöneweide,s-bahn,"KBS 106a,KBS 103,KBS 103a","52.44676,13.52391",Q4526101,109,"KBS 103,KBS 100a,KBS 106",Berlin-Johannisthal railway station
122,123,Beusselstr.,s-bahn,"KBS 100a,KBS 100","52.534444444444,13.329166666667",Q323219,110,KBS 100,Berlin Beusselstraße station
123,124,Bezirksamt,bus,A63,"52.54146443211212, 13.200850156157355",nan,111,A63,Bezirksamt
124,125,Bhf.,strassenbahn,55,,,,,
125,126,Bhf. Frankfurter Allee,strassenbahn,3,,,,,
126,127,Bhf. Fridrichstrasse,strassenbahn,11,,,,,
127,128,Bhf. Friedrichstrasse,bus,"A57,A9,A59","52.5205606637086, 13.388231915342985",nan,119,"A57,A9",Bhf. Friedrichstrasse
128,129,Bhf. Friedrichstrasse,strassenbahn,"46,70","52.5192805,13.3884107",Q65095382,120,"46,70,1",nan
129,130,Bhf. Gesundbrunnen,bus,"A61,A71","52.548738600413905, 13.387745851632966",nan,122,"A61,A71",Bhf. Gesundbrunnen
130,131,Bhf. Hermsdorf,bus,A15,"52.61953939324446, 13.30416069232153",nan,129,A15,Bhf. Hermsdorf
131,132,Bhf. Hohenzollerndamm Ecke Joachimsthalerstrasse,bus,A21,,,,,
132,133,Bhf. Jungfernheide,bus,A62,"52.530138785889896, 13.296018817180764",nan,131,"A65,A21,A62",Bhf. Jungfernheide
133,134,Bhf. Lichtenberg,bus,"O37,O30","52.5112875601879, 13.499591119128855",nan,134,"O30,O37",Bhf. Lichtenberg
134,135,Bhf. Lichtenberg,strassenbahn,"69,69E","52.5123603,13.4977547",Q66013733,135,69,S+U Lichtenberg/Siegfriedstraße
135,136,Bhf. Lichtenrade,bus,"A76,AS2s","52.386683297852706, 13.395506929836833",nan,136,"AS2,A76",nan
136,137,Bhf. Lichterfelde-West,bus,A11,"52.44397675869793, 13.295628699942629",nan,139,A11,Bhf. Lichterfelde-West
137,138,Bhf. Lindenthaler Allee,bus,A3,"52.43102570943782, 13.229881678326638",nan,141,"A3,A53",Bhf. Lindenthaler Allee Ecke Potsdamer Chaussee
