line_name,Stops,Frequency,Length (time),Length (km),type,east-west,year
60,Königin-Elisabeth-Strasse Ecke Kaiserdamm - Spandauer Damm Königin-Elisabeth-Strasse - Klausenerplatz - Schlossstrasse Ecke Suarezstrasse - Kaiser-Friedrich-Strasse Ecke Kantstrasse - Stuttgarter Platz - Kurfürstendamm Ecke Wilmersdorferstrasse - Konstanzerstrasse Ecke Brandenburgischestrasse - Westfälischestrasse Ecke Brandenburgischestrasse - Fehrbelliner Platz - Blissestrasse Ecke Berlinerstrasse - Uhlandstrasse Ecke Berlinerstrasse - Badenschestrasse Ecke Berlinerstrasse - Bundesallee Ecke Berliner Strasse - Martin-Luther-Strasse Ecke Grunewaldstrasse - Hauptstrasse Ecke Dominicusstrasse - Bhf. Papestrasse - Sachsendamm Ecke Alboinstrasse - Lindenhof Eythstrasse,15,49,,strassenbahn,West,1956
63,"Hohenschönhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Freienwalderstrasse Ecke Orankestrasse - Weißenseer Weg - Steuerhaus - S-Bhf. Leninallee - Leninallee, Dimitroffstrasse - Leninplatz - Kleine Frankfurterstrasse - Alexanderplatz, Memhardstrasse - U-Bhf. Weinmeisterstrasse - Hackescher Markt - Große Präsidentenstrasse",20,41,10.16,strassenbahn,Ost,1956
64,"Hohenschönhausen, Falkenberger Strasse - Orankestrasse - Weißenseer Weg - Steuerhaus - S-Bhf. Leninallee - Leninallee Ecke Dimitroffstrasse - Leninplatz - Kleine Frankfurterstrasse - Alexanderplatz, Grunestrasse - Bhf. Jannowitzbrücke - U-Bhf. Neanderstrasse - Spittelmarkt - Dönhoffplatz, Krausenstrasse",20,39,12.08,strassenbahn,Ost,1956
66,Belziger Strasse Ecke Martin-Luther-Strasse - Hauptstrasse Ecke Dominicusstrasse - Innsbrucker Platz - Traegerstrasse - Ceciliengärten - Beckerstrasse Ecke Rubensstrasse - Canovastrasse (Krankenhaus) - Thorwaldsenstrasse Ecke Grazer Damm,10,12,,strassenbahn,West,1956
68,"Bhf. Wittenau, Nordbahn, Cyclopstrasse - Alt-Wittenau Ecke Oranienburgerstrasse - Heilanstalt - Kurt-Schuhmacher-Platz - Londonerstrasse Ecke Müllerstrasse - Seestrasse Ecke Müllerstrasse - Schulstrasse Ecke Müllerstrasse - Nettelbeckplatz",15,27,,strassenbahn,West,1956
69,"Johannisthal, Haeckelstrasse - Königsweide - Bhf. Schöneweide - Oberschöneweide Ecke Wilhelminenhofstrasse - Hegemeisterweg, Rennbahn - S-Bhf. Karlshorst - Tierpark Berlin - Schlossstrasse Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg - BVG-Bf. Lichtenberg, Siegfriedstrasse - Roederplatz - Steuerhaus - Leninallee Ecke Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt - Oranienburger Tor - Walter-Ulbricht-Stadion",20,79,21.39,strassenbahn,Ost,1956
70,"Hohenschönhausen, Falkenberger Strasse - Suermondtstrasse Ecke Hauptstrasse - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade Ecke Gustav-Adolf-Strasse - Wichertstrasse, Humannplatz - Schönhauser Allee - Zionskirchstrasse  - Invalidenstrasse Ecke Brunnenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Weidendammbrücke, Bhf. Friedrichstrasse - Clara-Zetkin-Strasse Ecke Neue Wilhelmstrasse",12,52,12.43,strassenbahn,Ost,1956
71,"Heinersdorf, Romain-Rolland-Str. - Heinersdorf, Kirche - Am Steinberg, Thulestrasse - Prenzlauer Promenade Ecke Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrücker Strasse Ecke Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Jüdenstrasse, Berliner Rathaus",10,31,7.56,strassenbahn,Ost,1956
72,"Weißensee, Rennbahnstrasse Ecke Parkstrasse - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Antonplatz - Gustav-Adolf-Strasse Ecke Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrücker Strasse, Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Molkenmarkt - Roßstrasse Ecke Breitestrasse - Charlottenstrasse Ecke Taubenstrasse",10,42,10.39,strassenbahn,Ost,1956
73,"Bhf. Lichterfelde-Ost - Wiesenbaude, Giesendorferstrasse  - Hindenburgdamm Ecke Schloßstrasse - Rathaus Steglitz - Schloßstrasse Ecke Bundesallee - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Eisenacherstrasse Ecke Hauptstrasse - Pallasstrasse Ecke Potsdamerstrasse - U-Bhf. Bülowstrasse - Lützowstrasse Ecke Potdamerstrasse - Potsdamer Platz, Linkstrasse",20,41,,strassenbahn,West,1956
74,"Lichtefelde, Finckensteinallee - Wiesenbaude - Hindenburgdamm Ecke Schloßstrasse - Rathaus Steglitz - Bundesallee - Innsbrucker Platz - Dominicusstrasse - Pallasstrasse - Bülowstrasse - Potsdamer Platz, Linkstrasse",20,38,,strassenbahn,West,1956
74,"Wießensee, Rennbahnstrasse Ecke Parkstrasse - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse Ecke Greifswalderstrasse - Königstor - Alexanderplatz, Grunerstrasse - Molkenmarkt - Spittelmarkt - Charlottenstrasse Ecke Taubenstrasse",6,38,9.4,strassenbahn,Ost,1956
75,"Bhf. Zoo, Kantstrasse - Leibnizstrasse Ecke Kantstrasse - Wilmersdorfer Strasse Ecke Kantstrasse - Kaiser-Friedrich-Strasse Ecke Kantstrasse - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstrasse - Scholzplatz - Stößenseebrücke - Pichelsdorfer Strasse Ecke Heerstrasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse Ecke Klosterstrasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring Ecke streitstrasse - Hakenfelde",10,59,,strassenbahn,West,1956
77,"Bhf. Zoo - Wittenbergplatz - Pariserstrasse Ecke Bundesallee - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Bundesallee - Rathaus Steglitz - Hindenburgdamm Ecke Schloßstrasse - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Baselerstrasse - Rittberg-Krankenhaus - Goerzallee Ecke Wismarer Strasse - Lichterfelde, Goerzallee",20,45,,strassenbahn,West,1956
78,Bhf. Zoo - Wittenbergplatz - Pariserstrasse Ecke Bundesallee - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Bundesallee - Rathaus Steglitz - Hindenburgdamm Ecke Schloßstrasse - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Baselerstrasse - Rittberg-Krankenhaus - Wismarerstrasse Ecke Goerzallee - Lindenstrasse,20,44,,strassenbahn,West,1956
82,"Dönhoffplatz, Krausenstrasse - Spittelmarkt - Molkenmarkt - Ostbahnhof - Warschauerstrasse - Markgrafendamm - S-Bhf. Ostkreuz - Kraftwerk Klingenberg - Karlshorst, Treskowallee - Hegemeisterweg, Rennbahn - Edisonstrasse Ecke Wilhelminenhofstrasse - Oberschöneweide, Parkstrasse - Pionierrepublik - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Köpenick, Hirtestrasse",20,73,21.53,strassenbahn,Ost,1956
83,"Wendenschloß Ecke Ekhofstrasse - Strassenbahnhof Köpenick - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd, Hubertus - Bütowerstrasse - Rahnsdorferstrasse - S-Bhf. Mahlsdorf",20,47,12.23,strassenbahn,Ost,1956
84,"Altglienicke, Am Falkenberg - Köpenicker Strasse - Benzolwerk - S-Bhf. Adlershof - Marktplatz - S-Bhf. Spindlersfeld - Köllnischer Platz - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - Seelenbinderstrasse - Hirschgarten, Fürstenwalder Damm - S-Bhf. Friedrichshagen - Brauerei - Friedrichshagen, Wasserwerk",20,52,13.6,strassenbahn,Ost,1956
86,"Alt-Schmöckwitz - Vetschauer Allee - Richtershorn - Regattahäuser - Bhf. Grünau - Chemische Fabrik - Vollkropfgraben - Köllnischer Platz - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd, Hubertus",20,53,16.17,strassenbahn,Ost,1956
87,"Rahnsdorf - Müggelseedamm - S-Bhf. Friedrichshagen - Brauerei - Hirschgartenm Fürstenwalderdamm - Seelenbinderstrasse - Bahnhofstrasse Ecke Lindenstrasse - Pionierrepublik - Parkstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Brückenstrasse, Bhf. Schöneweide - Köpenicker Landstrasse Ecke Baumschulenstrasse - Bulgarische Strasse - Elsenstrasse Ecke Am Treptower Park - Wiener Brücke",20,73,21.58,strassenbahn,Ost,1956
88,Stadtpark - Feuerbachstrasse Ecke Knausstrasse - Kaisereiche Ecke Rheinstrasse - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Eisenacherstrasse Ecke Hauptstrasse - Pallasstrasse Ecke Potsdamerstrasse - Bülowstrasse Ecke Potsdamerstrasse - Potsdamerstrasse Ecke Lützowstrasse - Anhalter Bahnhof - U-Bhf. Kochstrasse - Jerusalemerstrasse Ecke Oranienstrasse - U-Bhf. Moritzplatz - U-Bhf. Görlitzer Bahnhof - Spreewaldplatz - Wiener Brücke,15,45,,strassenbahn,West,1956
91,"Treptow, Spreeterrassen - Treptow, Rathaus - Bulgarischestrasse Ecke Köpenicker Landstrasse - Baumschulenstrasse - Grünauerstrasse, Bhf. Schöneweide - Königsheideweg - Johannisthal, Haeckelstrasse ",20,23,6.33,strassenbahn,Ost,1956
92,"Treptow, Flutgraben - Elsenstrasse, S-Bhf. Treptow - Bulgarische Strasse - Baumschulenstrasse - Grünauerstrasse, Bhf. Schöneweide - Britzer Strasse - Oberspree",20,28,8.21,strassenbahn,Ost,1956
