Stops,Frequency,Length (time),Length (km),line_name,type,east-west,year,start_stop,last_change
Staaken - Spandau West - Spandau - Pichelsberg - Reichssportfeld - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Giebelsee - Strausberg,,,,KBS 101,s-bahn,,1960,Staaken<>Strausberg,03.08.1951
Strausberg - Strausberg Stadt - Strausberg Nord,,,,KBS 101a,s-bahn,,1960,Strausberg<>Strausberg Nord,03.06.1956
Potsdam - Babelsberg - Griebnitzsee - Wannsee - Nikolassee - Grunewald - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,,,,KBS 102,s-bahn,,1960,Potsdam<>Erkner,16.01.1949
Falkensee - Albrechtshof - Spandau West - Spandau - Pichelsberg - Reichssportfeld - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,,,,KBS 103,s-bahn,,1960,Falkensee<>Königs Wusterhausen,14.08.1951
Spandau West - Spandau - Siemensstadt-Fürstenbrunn - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Oberspree - Spindlersfeld,,,,KBS 103a,s-bahn,,1960,Spandau West<>Spindersfeld,16.03.1952
Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen-Neuendorf (b Bln) - Frohnau - Hermsdorf - Waidmannslust - Wittenau (Nordbahn) - Wilhelmsruh - Schönholz - Wollankstr. - Bornholmer Str. - Gesundbrunnen - Humboldthain - Nordbahnhof - Oranienburger Str. - Friedrichstr. - Unter den Linden - Potsdamer Platz - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauer Str. - Zehlendorf - Lindenthaler Allee - Schlachtensee - Nikolassee - Wannsee,,,,KBS 104,s-bahn,,1960,Oranienburg<>Wannsee,08.02.1950
Zehlendorf - Düppel-Kleinmachnow,,,,KBS 104a,s-bahn,,1960,Zehlendorf<>Düppel-Kleinmachnow,15.06.1948
Wannsee - Dreilinden - Stahnsdorf,,,,KBS 104b,s-bahn,,1960,Wannsee<>Stahnsdorf,11.09.1954
Velten (Mark) - Hohenschöpping - Hennigsdorf - Hennigsdorf (b Bln) - Stolpe Süd - Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstr. - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstr. - Bornholmer Str. - Gesundbrunnen - Humboldthain - Nordbahnhof - Oranienburger Str. - Friedrichstr. - Unter den Linden - Potsdamer Platz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade - Mahlow - Blankenfelde - Dahlewitz - Rangsdorf,,,,KBS 105,s-bahn,,1960,Velten<>Rangsdorf,18.05.1952
Bernau (b Bln) - Zepernick (Kr Niederbarnim) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - Bornholmer Str. - Gesundbrunnen - Humboldthain - Nordbahnhof - Oranienburger Str. - Friedrichstr. - Unter den Linden - Potsdamer Platz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd - Teltow,,,,KBS 106,s-bahn,,1960,Bernau<>Teltow,07.07.1951
