Stops,Frequency,Length (time),Length (km),line_name,type,east-west,year,start_stop,last_change
"Johannisthal, Haeckelstrasse - Königsweide - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule f r  konomie - Tierpark Berlin - Schlossstrasse  Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg - BVG-Bf. Lichtenberg, Siegfriedstrasse - Klubhaus VEB Elektrokohle - Roederplatz - Steuerhaus - Dimitroffstrasse - Kniprodestrasse",20,59.0,16.3,69E,strassenbahn,Ost,1960,,
"Hohensch nhausen, Falkenberger Strasse - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - WeidendammBrücke, Bhf. Friedrichstrasse - Am Kupfergraben (Haus der Frau)",12,49.0,11.9,70,strassenbahn,Ost,1960,,
"Heinersdorf, Romain-Rolland-Str. - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Allee Ecke Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - SaarBrücker Strasse - Prenzlauer Tor - Alexanderplatz, Grunerstrasse - J denstrasse, Mokenmarkt",10,32.0,7.6,71,strassenbahn,Ost,1960,,
"Weißensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - SaarBrücker Strasse - Prenzlauer Tor - Alexanderplatz, Grunerstrasse - J denstrasse, Molkenmarkt - Spittelmarkt - Taubenstrasse",13,46.0,10.5,72,strassenbahn,Ost,1960,,
Bhf. Lichterfelde-Ost - Wiesenbaude  - Moltkestrasse - Händelplatz - Schlossstrasse - Rathaus Steglitz - Bundesallee - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Lützowstrasse - Potsdamer Platz,20,42.0,,73,strassenbahn,West,1960,,
Finckensteinallee - Wiesenbaude - Moltkestrasse - Händelplatz - Schlossstrasse - Rathaus Steglitz - Bundesallee - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Lützowstrasse - Potsdamer Platz ,20,39.0,,74,strassenbahn,West,1960,,
"Wie ensee, Pasedagplatz - BVG-Bf. Weißensee - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Königstor - Alexanderplatz, Grunerstrasse - J denstrasse, Molkenmarkt - Spittelmarkt - Leipziger Platz",8,39.0,10.2,74,strassenbahn,Ost,1960,,
"Klement-Gottwald-Allee - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Königstor - Alexanderplatz, Grunerstrasse - J denstrasse, Molkenmarkt",8,26.0,7.5,74E,strassenbahn,Ost,1960,,
"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstrasse - Reichssportfeldstrasse - St  enseeBrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Hakenfelde",20,57.0,,75,strassenbahn,West,1960,,
"Spandau, Johannesstift - Hohenzollernring - Hafenplatz - Spandau, Markt - Rathaus Spandau - Seeburger Strasse - Weverstrasse, Strassenbahnhof - Pichelsdorfer Strasse - Stössenseebrücke - Reichssportfeldstrasse - Bhf. Heerstrasse - Reichskanzlerplatz - Messedamm - Amtsgericht - Wilmersdorfer Strasse - Kanststrasse Ecke Joachimsthaler Strasse",20,60.0,,76,strassenbahn,West,1960,,
Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstrasse - Rathaus Steglitz - Hindenburgdamm - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Wismarer Strasse - Goerzallee,20,49.0,,77,strassenbahn,West,1960,,
Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstrasse - Rathaus Steglitz - Hindenburgdamm - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Goerzallee - Lichterfelde Süd Lindenstrasse,20,48.0,,78,strassenbahn,West,1960,,
"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhof- Ecke Edisonstrasse - Treskowallee Ecke Ehrlichstrasse - Blockdammweg Ecke Köpenicker Chaussee - Hauptstrasse Ecke Karlshorster Strasse - S-Bhf. Ostkreuz - Stralauer Allee Ecke Markgrafendamm - Warschauer Strasse - Ostbahnhof - Andreasstrasse - Blumenstrasse/Schicklerstrasse - Alexanderplatz, Grunerstrasse - Elisabethstrasse",20,75.0,20.9,82,strassenbahn,Ost,1960,,
Wendenschloß Ecke Ekhofstrasse - Strassenbahnhof Köpenick - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd - Hubertus - Bütower Strasse - S-Bhf. Mahlsdorf,20,47.0,,83,strassenbahn,Ost,1960,,
"Altglienicke, Am Falkenberg - Köpenicker Strasse - Benzolwerk - S-Bhf. Adlershof - Marktplatz - S-Bhf. Spindlersfeld - Köllnischer Platz - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - Seelenbinderstrasse - Hirschgarten - Fürstenwalder Damm - S-Bhf. Friedrichshagen - Brauerei - Friedrichshagen, Wasserwerk",20,52.0,,84,strassenbahn,Ost,1960,,
"Alt-Schmöckwitz - Vetschauer Allee - Richtershorn - Regattahäuser - Bhf. Grünau - Chemische Fabrik - Vollkropfgraben - Köllnischer Platz - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd, Hubertus",20,53.0,,86,strassenbahn,Ost,1960,,
Rahnsdorf - S-Bhf. Friedrichshagen - Hirschgarten - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Bhf. Schöneweide - Köpenicker Landstrasse Ecke Baumschulenstrasse - Am Treptower Park Ecke Bulgarische Strasse - Elsenstrasse - Wiener Brücke,20,73.0,21.6,87,strassenbahn,Ost,1960,,
Stadtpark - Lauenburger Platz - Kaisereiche - Innsbrucker Platz - Dominicusstrasse - Eisenacher Strasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Lützowstrasse - Anhalter Bahnhof - U-Bhf. Kochstrasse - Oranienstrasse - U-Bhf. Moritzplatz - Skalitzer Strasse - Spreewaldplatz - Wiener Brücke,15,45.0,,88,strassenbahn,West,1960,,
"Treptow, Flutgraben - S-Bhf. Treptow - Bulgarische Strasse - Baumschulenstrasse - Bhf. Schöneweide - Britzer Strasse - Bhf. Oberspree",20,38.0,,92,strassenbahn,Ost,1960,,
Attilaplatz - Berlinickeplatz - Hoeppnerstrasse - Adolf-Scheidt-Platz - U-Bhf. Flughafen - Gneisenaustrasse - Blöcherplatz - Baerwaldstrasse - Urban-Krankenhaus - Hermannplatz - Erkstrasse - Hertzbergplatz - Bhf. Sonnenallee - Schulenburgpark - Schwarzer Weg,15,42.0,,95,strassenbahn,West,1960,,
"Baumschulenweg, Sonnenallee - Köpenicker landstrasse - S-Bhf. Schöneweide - Wilhelminenhofstrasse, Edisonstrasse - Pionierrepublik - Lindenstrasse, Bahnhofstrasse - Grünstrasse - Köpenick, Krankenhaus",20,,,95,strassenbahn,Ost,1960,,
"Machnower Schleuse - Alte Wagenhalle - Neue Wagenhalle - Hamburger Platz - Ruhlsdorfer Platz - Fritz-Reuter Strasse - Teltow, Paul-Gerhardt-Strasse",20,24.0,7.0,96,strassenbahn,Ost,1960,,
"U-Bhf. Tempelhof - Alt-Tempelhof - Kaiserin-Augusta-Strasse - Friedrich-Karl-Strasse - Attilaplatz - Röblingstrasse - Bhf. Mariendorf  - Friedrichstrasse - Lankwitz, Kirche - Seydlitzstrasse - Bhf. Lichterfelde-Ost - Berliner Strasse - Glesendorfer Strasse - Osdorfer Strasse - Wismarer Strasse - Schwelmer Strasse",15,33.0,,96,strassenbahn,West,1960,,
Mehringplatz (Hallesches Tor) - Yorckstrasse/Gneisenaustrasse - U-Bhf. Flughafen - U-Bhf. Paradestrasse - Bahnhof Tempelhof - Alt-Tempelhof - Kaiserin-Augusta-Strasse - Friedrich-Karl-Strasse - Kaiserstrasse - Prühßstrasse - Mariendorfer Damm Ecke Alt-Mariendorf - Grossbeerenstrasse Ecke Daimlerstrasse - Daimlerstrasse  Ecke Birnhornweg,15,35.0,,98,strassenbahn,West,1960,,
Lindenstrasse - Mehringplatz - Yorckstrasse - U-Bhf. Flughafen - Flughafen Tempelhof - Alt-Tempelhof - Rathaus Tempelhof - Kaiserin-Augusta-Strasse - Friedrich-Karl-Strasse - Kaiserstrasse - Alt-Mariendorf - Rennbahn - Marienfelder Chaussee - Marienfelder Strasse - Bhf. Lichtenrade,15,49.0,,99,strassenbahn,West,1960,,
Waldstrasse - Otto-Surh-Allee - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Detmolder Strasse - Breitenbachplatz - Botanischer Garten - Pacelli-/Thielallee - Clayallee - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Bhf. Zehlendorf - Beeskowdamm - Wismarer Strasse - Lindenstrasse,15,58.0,,A1,bus,West,1960,,
"Haselhorst, Kirche - Paulsternstrasse - Verwaltungs-Gebäude - Spandauer Damm - U-Bhf. Kaiserdamm - Amtsgerichsplatz - Kurfürstendamm - Bhf. Halensee - Elsterplatz - Hundekehlestrasse - Königin-Luise-Strasse - U-Bhf. Thielplatz - Dahlemer Weg - Teltower Damm - Behring-Krankenhaus - Lupsteiner Weg",15,62.0,,A10,bus,West,1960,,
