Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
1728,Schöneweide,s-bahn,"{'143', '115', '141', '140', '142', '110'}","52.455,13.509444444444",Q111323931,,"['KBS 141', 'KBS 115', 'KBS 142', 'KBS 110', 'KBS 140']+ {'141', '140', '142', '143', '115', '110'}+ {'140', '115', '141', '143', '142', '110'}",
1729,Schönfließ,s-bahn,{'140'},"52.6648,13.3397",Q801423,,['KBS 140']+ {'140'}+ {'140'},
1730,Schönhauser Allee,s-bahn,"{'141', '140', '143', '142'}","52.549329,13.413706",Q111264493,,"['KBS 141', 'KBS 140', 'KBS 142', 'KBS 143']+ {'141', '140', '143', '142'}+ {'143', '141', '142', '140'}",
1731,Schönhauser Allee,strassenbahn,"{'3', '103'}","52.5493619,13.4135734",Q65088013,"52.5493619,13.4135734",,
1732,Schönhauser Allee,u-bahn,{'A'},"52.549328888889,13.413706111111",Q47014936,,['A']+ {'A'}+ {'A'},
1733,Schönholz,s-bahn,{'2'},"52.5714,13.3814",Q800490,,"['KBS 153', 'KBS 152']+ {'152', '153'}",
1734,Schönleinstrasse/Jahnstrasse,bus,{'95'},"52.49001371334421, 13.419680579175534",,,,
1735,Schönower Strasse,bus,{'1'},"52.428932269493025, 13.256353666137535",,,,
1736,Schützallee,bus,"{'10', '50'}","52.44223471311071, 13.265487306064783",,,,
1737,Schützstrasse,bus,{'3'},"52.44219914052572, 13.26549413952419",,,,
1738,Sebastian-Friedhof,bus,{'61'},"52.57108780326093, 13.33666721981806",,,,
1739,Sedanstrasse,bus,{'86'},"52.45143021733514, 13.335289250392284",,,['86']+ {'86'}+ {'86'},
1740,Seeburger Strasse,bus,"{'92', '97', '34', '13', '31'}","52.529168169623766, 13.195657280540873",,,,
1741,Seecktstrasse,bus,{'92'},"52.52785257674519, 13.188601681034203",,,,
1742,Seehofstrasse,bus,"{'1', '48', '3'}","52.435206619586175, 13.263492371663524",,,,
1743,Seekorso,bus,{'34'},"52.46787180468717, 13.126497616325192",,,['34']+ {'34'}+ {'34'},
1744,Seelenbinderstrasse,bus,{'69'},"52.45578046188458, 13.577036794685934",,,{'27'}+ {'27'},
1745,Seelenbinderstrasse,strassenbahn,"{'83', '83E', '124', '86', '82'}","52.4554632,13.5769303",Q66324934,"52.4554632,13.5769303",,
1746,Seelenbinderstrasse Ecke Bahnhofstrasse,strassenbahn,{'25'},"52.4554632,13.5769303",Q66324934,"52.4554632,13.5769303",,
1747,Seelingstrasse,bus,{'74'},"52.515668608564184, 13.296328899731023",,,,
1748,Seesener Strasse,bus,{'50'},"52.48841776520298, 13.302151567038802",,,,
1749,Seestrasse,bus,{'64'},"52.546306845083336, 13.343997986677515",,,['64']+ {'23'}+ {'64'}+ {'23'}+ {'64'},
1750,Seestrasse,u-bahn,{'6'},"52.55056,13.35194",Q554391,,['6']+ {'6'}+ {'6'},
1751,Segitzdamm,bus,{'28'},"52.50028090650778, 13.414260799788028",,,,
1752,Seglerweg,bus,{'3'},"52.424516488418796, 13.161477634698937",,,,
1753,Seidelstrasse,u-bahn,{'6'},"52.571111111111,13.302777777778",Q557582,,['6']+ {'6'}+ {'6'},
1754,Selbitzer Strasse,bus,{'37'},"52.45315521778876, 13.122040068790739",,,{'35E'},
1755,Selerweg,bus,"{'81', '2'}","52.45453465621795, 13.338862038845688",,,['2']+ {'2'}+ {'2'},
1756,Selgenauer Weg,bus,"{'57', '58'}","52.418503085367895, 13.50579735719526",,,,
1757,Senefelderplatz,u-bahn,{'A'},"52.53242,13.412743",Q32661454,,['A']+ {'A'}+ {'A'},
1758,Senftenberger Ring-Ost,bus,{'22'},"52.604729158368016, 13.36171654974895",,,['22']+ {'22'}+ {'22'},
1759,Senftenbg. Ring West,bus,{'14'},"52.60392585420828, 13.35149057685417",,,,
1760,Seniorenheim,bus,{'75'},"52.380405665458724, 13.41491544856353",,,,
1761,Seniorenheim Hottengrund,bus,{'37'},"52.449617337259966, 13.112806438737119",,,,
1762,Seniorenzentrum,bus,{'22'},"52.60515462740114, 13.35598636291581",,,,
1763,Septimerbecken,bus,"{'8', '64'}","52.566533231437504, 13.34194253644378",,,,
1764,Septimerstrasse,bus,{'64'},"52.56430949738308, 13.338568125828404",,,,
1765,Seydlitzstrasse,bus,"{'96', '84'} ; {'90'}","52.431930350099805, 13.338161764059187 ; 52.52796584658153, 13.364175006368566",,,,
1766,Sickingenplatz,bus,{'70'},"52.53121060343302, 13.319006337291157",,,,
1767,Sickingenstrasse,bus,"{'89', '23'}","52.53300351856751, 13.328433177106923",,,['89']+ {'89'}+ {'89'},
1768,Siebenendenweg,bus,{'3'},"52.448547232954915, 13.247915978876094",,,,
1769,Siedlung,strassenbahn,{'22'},"52.59447974509029, 13.381077162765449",,,{'22'}+ {'22'},
1770,Siedlung Habichtswald,bus,{'36'},"52.47953922855692, 13.142061646347779",,,,
1771,Siedlung Hakenfelde,bus,{'97'},"52.57053652711961, 13.21250549221952",,,,
1772,Siedlung Haselhorst,bus,{'13'},"52.54190384370071, 13.235930867444068",,,['55']+ {'55'}+ {'55'},
1773,Siegener Strasse,bus,{'92'},"52.54878309324176, 13.178076914675403",,,,
1775,Siegfriedstrasse,strassenbahn,"{'102', '5', '110'}","52.5123603,13.4977547",Q66013733,"52.5123603,13.4977547",,
1776,Siegfriedstrasse Ecke Herzbergstrasse,strassenbahn,"{'17', '18', '18E'}","52.52637,13.499036",Q65684891,"52.52637,13.499036",,
1777,Siemensdamm,bus,{'72'},"52.53437748872942, 13.29287729358295",,,,
1778,Siemensdamm,u-bahn,{'7'},"52.536666666667,13.273055555556",Q663264,,['7']+ {'7'}+ {'7'},
1779,Siemensstrasse,bus,"{'86'} ; {'2', '32', '30'}","52.44244114357029, 13.332070210084323 ; 52.446947284872806, 13.34242667222804",,,,
1780,Siemensstrasse/Halskestrasse,bus,"{'17', '87'}","52.44693840219045, 13.342432340840855",,,,
1781,Siemenstrasse/Halskestrasse,bus,{'81'},"52.446945190019186, 13.342428164746384",,,,
1782,Simon-Bolivar-Strasse,strassenbahn,"{'72', '15', '63', '108', '63E'}","52.5399029,13.4844148",Q65553728,"52.5399029,13.4844148",,
1784,Simon-Dach-Strasse,strassenbahn,{'3'},"52.509884676199015, 13.456185373630985",,,{'3'}+ {'3'},
1785,Simpsonweg/Nuthestrasse,bus,{'30'},"52.39826998928288, 13.3926538489821",,,,
1786,Skarbinastrasse,bus,"{'82', '78', '30'}","52.39316633791419, 13.41977578295164",,,,
1787,Sodener Strasse,bus,{'86'},"52.475879136240415, 13.304558432093165",,,{'60'},
1788,Soldiner Strasse,bus,"{'79'} ; {'22'} ; {'70', '61'}","52.407666086688465, 13.416095515249884 ; 52.56075975084315, 13.377042223693174 ; 52.5586680252773, 13.386252910811457",,,,
1789,Sollmannweg,bus,{'91'},"52.42243866054207, 13.462081823554058",,,,
1790,Soltauer Strasse,bus,{'26'},"52.580779638670585, 13.302875315495998",,,{'22E'},
1791,Sonderburger Strasse,bus,{'89'},"52.55503400261179, 13.393982197076062",,,,
1792,Sondershauser Strasse,bus,"{'87', '11'}","52.41595041180215, 13.341713930350329",,,,
1793,Sonnenallee,bus,{'41'} ; {'4'} ; {'29'},"52.48777166939619, 13.425497440985696 ; 52.481708985743545, 13.440136223973962 ; 52.48783766723238, 13.425346912041377",,,,
1794,Sonnenallee Ecke Peter-Anders-Strasse,bus,{'95'},"52.4634218836755, 13.474897765570992",,,['95']+ {'95'},
