Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
683,Hackescher Markt,strassenbahn,"{'63', '63E'}","52.5238354,13.402603",Q65094590,"52.5238354,13.402603",,
684,Hackescher Markt,strassenbahn,"{'71', '70', '24', '49', '108', '28'}","52.5238354,13.402603",Q65094590,"52.5238354,13.402603",,
685,Hagenplatz,bus,{'86'},"52.483382973651, 13.265818700272884",,,"['17']+ {'17'}+ {'17', '19'}",
686,Hainbuchenstrasse,bus,{'12'},"52.634406831690676, 13.274751236121705",,,,
687,Halbauer Weg,bus,{'81'},"52.434581470107624, 13.362017116176771",,,,
688,Halemweg,u-bahn,{'7'},"52.536666666667,13.286388888889",Q571025,,['7']+ {'7'}+ {'7'},
689,Hallesches Tor,u-bahn,"{'1', '6'}","52.497777777778,13.391111111111",Q658302,,"['1', '6']+ {'1', '6'}+ {'6', '1'}",
690,Halskestrasse,bus,"{'2', '33'}","52.449975911659585, 13.34671540590703",,,"['17']+ {'17'}+ {'2', '81', '33'}",
691,Halskestrasse/Steglitzer Damm,bus,{'81'},"52.45002566751825, 13.346742063854826",,,,
692,Hamburger Platz,bus,{'109'},"52.555394187589414, 13.438973139463632",,,,
693,Hanauer Strasse,bus,{'1'},"52.476783708509714, 13.320305397338439",,,,
694,Hans-Beimler-Strasse,bus,{'9'},"52.52515376382797, 13.419905951093401",,,['32']+ {'32'}+ {'32'},
695,Hans-Beimler-Strasse,strassenbahn,"{'72', '63', '113', '108', '11', '63E'}","52.5255473,13.4202755",Q65548984,"52.5255473,13.4202755",,
696,Hans-Beimler-Strasse Ecke Mollstrasse,strassenbahn,{'18'},"52.5255473,13.4202755",Q65548984,"52.5255473,13.4202755",,
697,Hans-Meitner-Institut,bus,{'18'},"52.41159976992047, 13.133727048102902",,,,
698,Hansaplatz,u-bahn,{'9'},"52.517777777778,13.342222222222",Q287552,,['9']+ {'9'}+ {'9'},
699,Harburger Weg,bus,{'80'},"52.53331049970506, 13.163165096763427",,,"['80', '31']+ {'31'}+ {'80'}",
700,Harriesstrasse,bus,{'23'},"52.54618534010536, 13.259912753726098",,,{'23'},
701,Hartlebenstrasse,strassenbahn,{'25'},"52.4566822,13.6324878",Q66363202,,['25']+ {'25'}+ {'25'},
702,Hartmannsweilerweg,bus,{'53'},"52.43872963210998, 13.248829213221217",,,,
703,Harzer Strasse,bus,{'4'},"52.48639181349423, 13.446364620768463",,,,
704,Haselhorst,u-bahn,{'7'},"52.538888888889,13.232777777778",Q570916,"52.538888888889,13.232777777778",,
705,Haselhorster Damm,bus,{'13'},"52.54707556922512, 13.236790392928848",,,"['55', '13', '10']+ {'10', '13', '55'}+ {'13', '55', '10'}",
706,Hatzfeldtallee,bus,{'20'},"52.59240746024612, 13.29162629983109",,,,
707,Haubachstrasse/Hebbelstrasse,bus,{'62'},"52.515406120718886, 13.300858166045455",,,,
708,Hauptbahnhof,s-bahn,"{'100', '102', '115', '101', '105', '110'}","52.525083333333,13.369388888889",Q111240799,"52.525083333333,13.369388888889",,
709,Hauptstrasse,bus,"{'73', '4', '74'}","52.48189961451138, 13.348451031942695",,,"['4']+ {'73', '4', '74'}+ {'4', '74', '73'}",
710,Hauptstrasse,strassenbahn,"{'72', '15', '70', '10', '63', '108', '63E'} ; {'22'}","52.548899457008396, 13.50470656778837 ; 52.59717758553853, 13.375478539025853",,,,
711,Hauptstrasse/Dominicusstrasse,bus,{'87'},"52.48189961451138, 13.348451031942695",,,,
712,Haus Bremen,bus,{'77'},"52.46401910364108, 13.427807012179363",,,,
713,Hausotterstrasse,bus,{'61'},"52.56664308143329, 13.362854359299597",,,,
714,Hausvogteiplatz,u-bahn,{'A'},"52.513055555556,13.396666666667",Q656523,,['A']+ {'A'}+ {'A'},
715,Havelblick,bus,{'27'},"52.60198867886582, 13.210115307087476",,,['14E']+ {'14E'}+ {'14E'},
716,Havensteinstrasse,bus,"{'2', '87'}","52.43193326607941, 13.346360395121293",,,,
717,Haydnstrasse,bus,"{'86', '88', '85'}","52.447125268727255, 13.315264231850549",,,['84']+ {'84'}+ {'84'},
718,Haynauer Strasse,bus,{'81'},"52.43544748167344, 13.366704813347978",,,,
719,Hechelstrasse,bus,{'61'},"52.565597574916254, 13.321749374567478",,,{'61'},
720,Hechelstrasse ; U-Bhf. Kurt-Schumacher-Platz,bus,{'21'},"52.56560274176955, 13.321737307618948 ; 52.56338157214657, 13.32719915637487",,,,
721,Heckerdamm,bus,"{'23'} ; {'21', '62'}","52.54122850910285, 13.315098396299799 ; 52.53962816572025, 13.295048454368684",,,['23']+ {'23'},
722,Heckmannufer,bus,{'28'},"52.49754552939811, 13.44838500299095",,,,
723,Heerstrasse,bus,"{'13'} ; {'34', '97'}","52.516681444146954, 13.179074894670572 ; 52.515448440041354, 13.184617989755766",,,"['34']+ ['13']+ {'92', '34'}+ {'13'}+ {'92', '34'}+ {'13'}",
724,Heerstrasse 438-446,bus,{'94'},"52.52081316538413, 13.15933078237047",,,,
725,Heerstrasse 438-448,bus,{'92'},"52.52079058065256, 13.159363395596122",,,,
726,Heerstrasse Ecke Reimerweg,bus,{'94'},"52.52185290480752, 13.154325747514633",,,['94']+ {'94'},
727,Heerstrasse/Gatower Strasse,bus,{'35'},"52.51548949462382, 13.18464798591787",,,,
728,Heerstrasse/Sandstrasse,bus,{'92'},"52.51858732435299, 13.169933127809472",,,,
729,Heerstrasse/Stadtgrenze,bus,{'92'},"52.52866541956905, 13.122497644636924",,,['97']+ {'97'}+ {'97'},
730,Hegermühle,s-bahn,{'100'},"52.5488,13.8666",Q7622323,"52.5488,13.8666",,
731,Heidelberger Platz,u-bahn,{'2'},"52.479808333333,13.313236111111",Q21777872,,['2']+ {'2'}+ {'2'},
732,Heidestrasse/Güterbahnhof,bus,{'83'},"52.53098321467923, 13.367811669637412",,,,
733,Heiligensee Strasse,bus,{'14'},"52.6112953704025, 13.21737112120673",,,,
734,Heiligenseestrasse,bus,{'14'},"52.59796193636089, 13.275098894138587",,,"['13', '14']+ {'13', '14'}+ {'13', '14'}",
735,Heilmannring,bus,{'23'},"52.53976139575829, 13.291214919356063",,,{'23'},
736,"Heinersdorf, Kirche",strassenbahn,{'71'},"52.5686908,13.4389053",Q65096107,,['71']+ {'71'}+ {'71'},
737,"Heinersdorf, Romain-Rolland-Strasse",strassenbahn,{'71'},"52.5725511,13.4371063",Q65096052,"52.5725511,13.4371063",,
739,Heinrichplatz,bus,{'29'},"52.500275646446575, 13.42303895494608",,,,
740,Heizkraftwerk,strassenbahn,"{'21', '13', '82'}","52.4881374,13.4958685",Q66079524,,"{'13', '21', '82'}",
741,Helmholtzstrasse,bus,{'1'},"52.520922704374314, 13.32139647636853",,,,
742,Henneckestrasse,strassenbahn,"{'18E', '18', '12', '110', '14'}","52.5577949,13.5682656",Q66360905,"52.5577949,13.5682656",,
743,Hennigsdorfer Strasse,bus,{'13'},"52.62647579067385, 13.227597681966229",,,{'14'}+ {'14'},
744,Henningsdorfer Strasse,bus,{'14'},"52.626488368055995, 13.227555079466415",,,,
745,Henriettenplatz,bus,"{'19', '69', '4', '29', '10'}","52.49701780222877, 13.290339505649852",,,"['29', '4', '19', '10', '69']+ {'29', '10', '19', '69', '4'}+ {'69', '4', '10', '19'}",
746,Herbertstrasse,bus,{'19'},"52.48592765814362, 13.284252743983183",,,{'10'},
747,Hermann-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,{'21'},"52.4789566,13.5234316",Q65951921,"52.4789566,13.5234316",,
748,Hermannplatz,u-bahn,"{'7', '8'}","52.48629,13.42455",Q658929,,"['8', '7']+ {'8', '7'}+ {'7', '8'}",
749,Hermannstrasse,bus,{'77'},"52.466431974988886, 13.431932810613912",,,['65']+ {'77'}+ {'65'}+ {'77'}+ {'65'},
750,Hermsdorfer Friedhof,bus,{'15'},"52.62651595230501, 13.290727804086728",,,,
751,Hermsdorf,s-bahn,{'2'},"52.6178,13.3069",Q263189,,['KBS 152']+ {'152'},
752,Hermsdorfer Damm,bus,{'12'} ; {'15'},"52.622436342455615, 13.312864109919186 ; 52.599883148643556, 13.281299020234579",,,"['15']+ ['12', '12E']+ {'15'}+ {'12'}+ {'15'}+ {'12'}",
753,Hermsdorfer Strasse,bus,"{'14', '12'} ; {'22'}","52.59357265745558, 13.321249776696629 ; 52.60456496241569, 13.326631528092983",,,,
754,Herthastrasse,bus,{'10'},"52.48676149931567, 13.28437475413533",,,,
755,Hertzallee,bus,"{'94', '90', '54', '60', '73'}","52.50901569274797, 13.332908095572197",,,,
756,Hertzbergplatz,bus,"{'95', '41'}","52.477487105395774, 13.448598156816837",,,['95']+ {'95'},
757,Herzbergstrasse,strassenbahn,"{'3', '102', '12', '29'}","52.52668864635021, 13.479824769123358",,,,
758,Herzbergstrasse Ecke Ho-Chi-Minh-Strasse,strassenbahn,{'17'},"52.52671334187998, 13.479777856772904",,,,
759,Herzbergstrasse Ecke Ho-Chi-Minh-Strasse ; Siegfriedstrasse Ecke Herzbergstrasse,strassenbahn,{'19'},"52.52671334187998, 13.479777856772904 ; 52.52637,13.499036", ; Q65684891,,,
760,Herzbergstrasse Ecke Siegfriedstrasse,strassenbahn,{'20'},"52.52637,13.499036",Q65684891,"52.52637,13.499036",,
761,Heubnerweg,bus,{'74'},"52.52334631976074, 13.288644133285885",,,['87']+ {'87'}+ {'87'},
762,Neuenhagen,s-bahn,{'100'},"52.5208,13.7003",Q7001614,"52.5208,13.7003",,
763,Hilbertstrasse,bus,{'82'},"52.386679988887394, 13.395405287657601",,,,
764,Hildburghauser Strasse,bus,{'17'} ; {'79'} ; {'11'} ; {'30'} ; {'2'},"52.418548467021125, 13.324721510618819 ; 52.41593795781713, 13.341691611129447 ; 52.416638251249225, 13.338197425998136 ; 52.412533154427116, 13.361399300583617 ; 52.41431704303929, 13.350245618022374",,,,
765,Hildegardstrasse,bus,"{'1', '74'}","52.48185906011362, 13.320391438761659",,,['1']+ {'1'}+ {'1'},
766,Hinckeldeybrücke,bus,"{'21', '62'}","52.546867728122365, 13.299653116106096",,,,
767,Hindenburgdamm,bus,"{'85', '3', '11'} ; {'88'} ; {'48'}","52.43135370010971, 13.30968911415727 ; 52.45349002510866, 13.315578847499902 ; 52.44313404216153, 13.31568801166952",,,,
768,Hirschgarten,s-bahn,{'105'},"52.4579,13.6032",Q4892435,,['KBS 105']+ {'105'}+ {'105'},
769,Hirschgarten,strassenbahn,"{'25', '84', '124'}","52.4518533,13.6006245",Q66360740,"52.4518533,13.6006245",,
770,Hirtestrasse,strassenbahn,"{'86', '83E'}","52.4590446,13.5838302",Q66459446,"52.4590446,13.5838302",,
771,Ho-Chi-Minh-Strasse,strassenbahn,"{'72', '15', '63', '63E', '108', '12', '11', '14', '6'}","52.532258,13.476705",Q65942700,"52.532258,13.476705",,
772,Ho-Chi-Minh-Strasse Ecke Herzbergstrasse,strassenbahn,"{'20', '18', '18E'}","52.52671334187998, 13.479777856772904",,,,
773,Hochhausweg,bus,{'5'},"52.54992512140938, 13.152759762008099",,,,
774,Hochmeisterplatz,bus,{'4'},"52.49468637986547, 13.301254684721862",,,['4']+ {'4'}+ {'4'},
775,Hochstrasse,bus,{'71'},"52.54858495982175, 13.383442075656092",,,,
776,Hoeferstrasse,bus,"{'61', '62'}","52.56542487024234, 13.32854185936055",,,{'61'},
777,Hoeppnerstrasse,bus,"{'28'} ; {'84', '96'}","52.472446932777196, 13.37792193824297 ; 52.47156440809045, 13.38566161931619",,,,
778,Hofackerzeile,bus,{'23'},"52.5373036371746, 13.29089421533923",,,,
779,Hohefeldstrasse,bus,{'12'},"52.626267554133165, 13.29937720159586",,,['12E'],
780,Hohen Neuendorf,s-bahn,{'140'},"52.6684,13.287",Q4500489,,{'140'}+ {'140'},
781,Hohenschönhausen,s-bahn,{'101'},"52.5664,13.5122",Q111307677,"52.5664,13.5122",,
782,Hohenschönhausen Zingster Strasse,strassenbahn,{'113'},"52.5723698,13.494871",Q65551658,"52.5723698,13.494871",,
783,"Hohenschönhausen, Zingster Strasse",strassenbahn,"{'72', '70', '63', '28', '63E'}","52.5723698,13.494871",Q65551658,"52.5723698,13.494871",,
785,Hohenschönhauser Strasse,strassenbahn,"{'3', '103', '29'}","52.5359329,13.4729468",Q65553684,"52.5359329,13.4729468",,
786,Hohenschönhauser Strasse Ecke Ho-Chi-Minh-Strasse,strassenbahn,{'20'},"52.536115615968455, 13.47348553534397",,,,
787,Hohenstaufenplatz,bus,{'41'},"52.49085480753271, 13.423419999335453",,,,
788,Hohenstaufenstrasse,bus,"{'73', '16', '85'}","52.49444389446449, 13.345941313199432",,,"['85']+ {'73', '85'}+ {'85', '73'}",
789,Hohenzollern Damm,bus,{'74'},"52.49038120801713, 13.314213904197365",,,,
790,Hohenzollern Ring,bus,{'31'} ; {'63'},"52.55569744948575, 13.207540462468305 ; 52.53839554885651, 13.19711582457491",,,,
791,Hohenzollernplatz,u-bahn,{'2'},"52.493888888889,13.325",Q571570,,['2']+ {'2'}+ {'2'},
792,Hohenzollernring,bus,"{'92', '56', '97'}","52.54625296118971, 13.191571517436248",,,,
793,Hohenzollernstrasse,bus,{'15'},"52.62176573635374, 13.301212834697951",,,,
794,Hoher Steinweg,bus,{'92'},"52.53955195955217, 13.205656501136477",,,,
795,Holbeinstrasse,bus,{'11'},"52.438164112868435, 13.302039322534922",,,,
796,Hollanderweg,bus,{'12'},"52.56212013291553, 13.353777381876407",,,,
797,Holländerstrasse,bus,"{'8', '64'}","52.565213070831426, 13.33554302230938",,,"['8', '12', '12E']+ {'8', '12'}+ {'12'}+ {'8', '64'}",
798,Holländische Mühle,bus,"{'1', '48'}","52.440025226985234, 13.276701792664605",,,,
799,Holteistrasse,strassenbahn,{'13'},"52.5088235,13.465969",Q65675805,,"['13', '21']+ {'13', '21'}+ {'13', '21'}",
800,Holteistrasse Ecke Boxhagener Strasse,strassenbahn,{'21'},"52.5088235,13.465969",Q65675805,"52.5088235,13.465969",,
801,Holtheimer Weg,bus,{'96'},"52.40983362406638, 13.302676065686805",,,,
802,Holtzendorffplatz,bus,"{'10', '74'}","52.50190158785465, 13.296462662963823",,,,
803,Holzhauser Strasse,bus,"{'15', '26'}","52.579749898463504, 13.300921402047395",,,,
804,Holzhauser Strasse,u-bahn,{'6'},"52.575833333333,13.296111111111",Q557566,,{'6'}+ {'6'},
805,Hoppegarten,s-bahn,{'100'},"52.5183,13.6734",Q15197357,,{'100'}+ {'100'},
806,Horstwalder Strasse,bus,{'75'},"52.382889361390085, 13.413140148809083",,,,
807,Hottengrundweg,bus,{'35'},"52.44929292163507, 13.129993519842508",,,,
808,Hranitzkystrasse,bus,{'79'},"52.42251302643871, 13.370742695013",,,"['11', '32']+ {'32', '11'}+ {'79'}",
809,Hubertusallee,bus,{'29'},"52.48558920842819, 13.284164136867139",,,,
810,Hubertusbader Strasse,bus,{'86'},"52.478440226143476, 13.275501655279179",,,,
811,Hubertusbrücke,bus,{'18'},"52.40520890357096, 13.143468843872459",,,,
812,Hubertusweg,bus,{'15'},"52.65586455201034, 13.290374790368318",,,,
813,Humboldthain,s-bahn,{'2'},"52.5451,13.3796",Q481276,,"['KBS 153', 'KBS 152']+ {'152', '153'}+ {'2'}",
814,Hundekehlestrasse,bus,{'10'},"52.47548162130776, 13.290308772196097",,,['10']+ {'10'}+ {'10'},
815,Hussittenstrasse/Bernauer Strasse,bus,{'12'},"52.53618372038086, 13.39122619150479",,,,
816,Händelplatz,bus,"{'68', '85'}","52.449992542295014, 13.315419307645962",,,"['85', '84']+ {'85', '84'}+ {'84', '85'}",
818,Hönower Wiesenweg,strassenbahn,"{'21', '13', '82'}","52.484276289226976, 13.505820970561828",,,"['13', '21', '82']+ {'82', '13'}+ {'13', '21', '82'}",
819,Hünefeldzeile,bus,{'33'},"52.448597391793264, 13.357259668607606",,,,
820,Hüttenweg,bus,"{'10', '50'}","52.453524853886755, 13.27221009691603",,,,
821,Illigstrasse,bus,"{'7', '30'}","52.39764788718754, 13.385139222911588",,,"['30']+ {'82', '30'}+ {'7'}",
822,Illigstrasse/Grenzweg,bus,{'82'},"52.394311268445556, 13.386243321795426",,,,
823,Illigstrasse/Maffeistrasse,bus,{'82'},"52.39141996767044, 13.385920912789887",,,,
824,Illigstrasse,bus,{'82'},"52.397661860467224, 13.385153237359265",,,,
825,Ilsenburger Strasse,bus,"{'89', '72'}","52.525749229554776, 13.30988310299495",,,{'89'}+ {'89'},
826,Ilsensteinweg,bus,{'53'},"52.4375827782599, 13.220660975788507",,,,
827,Im Amseltal,bus,{'15'},"52.63400865757821, 13.283976299967957",,,,
828,Im Bauernbusch,bus,"{'57', '58'}","52.42293331696554, 13.509356432609435",,,,
829,Im Dol,bus,{'10'},"52.46092679564681, 13.275092012001629",,,,
830,Im Fischgrund,bus,{'12'},"52.62965843509205, 13.294335908368284",,,['12E'],
831,Im Gehege,bus,{'10'},"52.458766313699684, 13.283338670308819",,,,
832,Im Gestell,bus,{'3'},"52.448265027076225, 13.256432547113235",,,,
833,Im Rosengrund,bus,{'93'},"52.44087911818233, 13.420504830698073",,,{'93'}+ {'93'},
834,Im Spektefeld,bus,{'5'},"52.54829790256262, 13.162498507727685",,,,
835,Imbrosweg,bus,"{'81', '77', '33'}","52.44350957761695, 13.398621518664608",,,,
836,Imbrosweg 66,bus,{'33'},"52.44214311489979, 13.409496825559193",,,,
837,Indira-Gandhi-Strasse,strassenbahn,"{'72', '29', '3', '113', '28', '103'}","52.5521773,13.4659602",Q65548831,"52.5521773,13.4659602",,
838,Indira-Gandhi-Strasse Ecke Klement-Gottwald-Allee,strassenbahn,{'24'},"52.55202590795542, 13.465614551359081",,,,
839,Indira-Gandhi-Strasse Ecke Klement-Gottwald-Strasse,strassenbahn,{'70'},"52.552018890817415, 13.465585381394076",,,,
840,Indische Strasse,bus,{'89'},"52.55400429683892, 13.35885680761456",,,{'89'}+ {'89'},
841,Industriestrasse,bus,{'77'},"52.45533837253151, 13.40987433123687",,,{'77'}+ {'77'},
842,Innsbrucker Platz,u-bahn,{'4'},"52.4786,13.3439",Q10275871,,{'4'}+ {'4'},
843,Innungsstrasse,bus,{'15'},"52.57880992339889, 13.309342875632733",,,,
844,Insulaner/Sternwarte,bus,"{'25', '68', '87', '76'}","52.45806899351771, 13.348846881781839",,,,
845,Insulanerbad,bus,{'87'},"52.456158302741926, 13.348817851169034",,,,
846,Invalidensiedlung,bus,{'15'},"52.65522346695504, 13.284824771854323",,,,
847,"Invalidenstrasse, Post",strassenbahn,"{'121', '46', '11'}","52.53054048542779, 13.383024758240026",,,,
848,"Invalidenstrasse, Post Ecke Chausseestrasse",strassenbahn,{'18'},"52.530594618287786, 13.383112490266011",,,,
849,"Invalidenstrasse, Post",strassenbahn,{'22'},"52.53054048542779, 13.383024758240026",,,,
850,Iranische Strasse,bus,"{'72', '16'}","52.55505030900313, 13.365956949109046",,,,
851,Isoldestrasse,bus,"{'3', '99'}","52.41924848833331, 13.189020577573679",,,,
852,Jaczostrasse,bus,"{'34', '94', '97'}","52.51421725408393, 13.191015928298432",,,"['97', '34']+ {'97', '34'}+ {'97', '34'}",
853,Jakob-Kaiser-Platz,bus,"{'21', '72', '9', '62'}","52.534788166140615, 13.293539740189868",,,"['55', '99', '62', '23', '9', '65', '21']+ {'99', '21', '62', '9', '55', '65', '72'}+ {'55', '99', '21', '62', '72', '65'}",
854,Jakob-Kaiser-Platz,u-bahn,{'7'},"52.53633333333333,13.29336111111111",Q638526,,['7']+ {'7'}+ {'7'},
855,Jannowitzbrücke,s-bahn,"{'100', '102', '115', '101', '110'}","52.514822222222,13.41795",Q27955427,"52.514822222222,13.41795",,
856,Jansenstrasse,bus,"{'64', '62'}","52.58470430016947, 13.33485591996633",,,,
857,Jean-Jaurès-Strasse,bus,{'12'},"52.60211152466843, 13.324814237209715",,,,
858,Jebenstrasse,bus,{'90'},"52.50678698729613, 13.331141432819123",,,,
859,Jenneweg,bus,{'63'},"52.54131373536329, 13.19465620240814",,,,
860,Joachim-Friedrich-Strasse,bus,{'19'},"52.49798639251364, 13.2962135822083",,,,
861,Joachim-Friedrich-Strasse,bus,"{'69', '29'} ; {'4'}","52.49795053611048, 13.296208849846598 ; 52.49592833161554, 13.29595292615724",,,"['69', '29', '4']+ ['19']+ {'4'}+ {'69', '29'}+ {'19'}+ {'4'}+ {'69'}+ {'19'}",
862,Joachimstaler Strasse,bus,"{'69', '94'}","52.50045802765673, 13.3307652314023",,,"{'69'}+ {'66'}+ {'69', '94'}+ {'69', '94'}",
863,Joachimstaler Strasse/U-Bhf. Kurfürstendamm,bus,{'9'},"52.503380354055935, 13.331300147802493",,,,
865,Johannes-Diekmann-Strasse,bus,{'7'},"52.63183664861537, 13.33891637728793",,,['7']+ {'7'}+ {'7'},
866,Johannisthal,strassenbahn,{'114'},"52.4402944,13.5052638",Q66225573,"52.4402944,13.5052638",,
867,"Johannisthal, Haeckelstrasse",strassenbahn,"{'17', '85'}","52.44039533652145, 13.505590429052203",,,"['85', '17']+ {'85'}",
868,Johannisthaler Chaussee,bus,{'41'},"52.45136033294721, 13.488299619950027",,,['47']+ {'47'}+ {'47'},
869,Johannisthaler Chaussee,u-bahn,{'7'},"52.429166666667,13.453333333333",Q638553,,{'7'}+ {'7'},
870,Johannisthaler chaussee,bus,{'52'},"52.43194119502076, 13.46009713048056",,,,
871,Johanniterstrasse,bus,{'95'},"52.4964129290161, 13.398664078305833",,,['95']+ {'95'},
872,John-F.-Kennedy-Platz,bus,"{'85', '4', '74', '16', '73'}","52.484744961721695, 13.345157012411544",,,"['16']+ {'4'}, {'73', '74', '16'}",
873,John-Locke-Strasse,bus,{'79'},"52.392595230763796, 13.398057966921561",,,['76E']+ {'76E'}+ {'79'},
874,John-Schehr-Strasse,bus,{'9'},"52.53535918214356, 13.43910011271603",,,['9']+ {'9'}+ {'9'},
875,Jordanstrasse,bus,{'34'},"52.518198745474095, 13.197737223221402",,,,
876,Josef-Nawrocki-Strasse,strassenbahn,{'84'},"52.4466984,13.6285669",Q66360920,,{'84'}+ {'84'},
877,Josef-Orlopp-Strasse,strassenbahn,{'20'},"52.5236942,13.4996388",Q66015311,,"{'20', '15'}+ {'15', '20'}",
878,Jugenderholungsheim,bus,{'3'},"52.42617111269117, 13.161450253323418",,,['3']+ {'3'}+ {'3'},
879,Jugendheim,bus,{'23'},"52.53947416991215, 13.305402923067211",,,,
880,Jungfernheide,u-bahn,{'7'},"52.5307879,13.3006301",Q19951075,,['7']+ {'7'}+ {'7'},
881,Jungfernstieg,bus,"{'3', '11'}","52.428200989711605, 13.325187213044343",,,,
882,Jägerstieg,bus,{'15'},"52.651170608451594, 13.293866259144073",,,,
883,Jägerstrasse,bus,{'11'},"52.426567991484625, 13.331433411304337",,,,
884,Jänickestrasse,bus,{'53'},"52.42725961103817, 13.271688332569513",,,,
885,Kabelwerk,bus,"{'13', '72'} ; {'69'}","52.54877901870861, 13.247911091031332 ; 52.4553016175301, 13.590945404444449",,,,
886,Kadettenweg,bus,{'3'},"52.432433042743625, 13.299187162075915",,,['84']+ {'84'}+ {'84'},
887,Kaiser-Friedrich-Strasse,bus,"{'94', '74'}","52.506780325531686, 13.30234182337291",,,"['94']+ {'74', '66', '92'}+ {'92', '74', '94'}",
888,Kaiser-Wilhelm-Platz,bus,"{'48', '87', '4'}","52.486329247981715, 13.35655627172785",,,,
889,Kaiser-Wilhem-Platz,bus,{'83'},"52.48689920021619, 13.357074173349613",,,['4'],
890,Kaiserdamm,u-bahn,{'1'},"52.51,13.2822",Q656409,,['1']+ {'1'}+ {'1'},
891,Kaisereiche,bus,"{'25', '86', '48', '85'}","52.46896806014468, 13.332614886077709",,,,
892,Kaiserin-Augusta-Allee,bus,"{'89', '72'}","52.52572924294773, 13.306185767937748",,,"['89']+ {'89', '72'}+ {'72', '89'}",
893,Kaiserin-Augusta-Strasse,u-bahn,{'6'},"52.460152777778,13.384577777778",Q559226,,['6']+ {'6'}+ {'6'},
894,Kaiserstrasse,bus,{'76'},"52.445113831328655, 13.374035945478568",,,{'76'}+ {'76'},
895,Kamener Weg,bus,{'13'},"52.575755607972184, 13.277468633540101",,,,
896,Kamenzer Damm,bus,{'81'},"52.43497482448653, 13.364556680438328",,,,
897,Kanalbrücke,strassenbahn,"{'84', '114'}","52.42565024524898, 13.545298469936332",,,,
898,Kanalstrasse,bus,"{'57', '58'}","52.42382702942483, 13.514468139477932",,,,
899,Kanalstrasse 8-41,bus,"{'57', '52'}","52.43121084129543, 13.49625410947908",,,,
900,Kantstrasse,bus,{'1'} ; {'62'},"52.50627704780391, 13.313856688429256 ; 52.5068028893944, 13.302395499782351",,,,
901,Kapaunenstrasse,bus,{'57'},"52.405607973286045, 13.488667312981459",,,,
902,Karl-Elsasser-Strasse,bus,"{'25', '73'}","52.45771842683871, 13.4252471484758",,,"['25']+ {'73', '25'}+ {'25', '73'}",
903,Karl-Maron-Strasse,s-bahn,{'102'},"52.53556,13.53556",Q2180548,"52.53556,13.53556",,
904,Karl-Marx-Strasse,u-bahn,{'7'},"52.476111111111,13.439166666667",Q519494,,['7']+ {'7'}+ {'7'},
906,Karlshorst,s-bahn,{'105'},"52.4808,13.5258",Q111327045,,['KBS 105']+ {'105'}+ {'105'},
907,Karolinenhöhe,bus,{'13'},"52.508467950764086, 13.167611661370215",,,,
908,Karow,s-bahn,"{'141', '143'}","52.615,13.4692",Q800480,,"['KBS 141', 'KBS 143']+ {'141', '143'}+ {'143', '141'}",
909,Karwendelstrasse,bus,{'11'},"52.43340354690581, 13.3072909155276",,,"['84']+ {'84'}+ {'11', '84'}",
910,Karwendelstrasse/Drakestrasse,bus,{'3'},"52.43331954266282, 13.307414010231922",,,,
911,Kaserne Hottengrund,bus,{'35'},"52.44744391225549, 13.127624895345422",,,,
912,Kaserne Napoleon,bus,"{'21', '62'}","52.561238739799634, 13.32543368870084",,,['62']+ {'62'}+ {'62'},
913,Kaserne Nordtor,bus,"{'21', '62'}","52.559963046425736, 13.317600364404033",,,,
914,Kaserne Südtor,bus,"{'21', '8', '62'}","52.55685969560147, 13.3084342409763",,,"['8', '62', '21']+ {'8', '21', '62'}+ {'21', '8', '62'}",
915,Kastanienallee,bus,{'54'} ; {'4'},"52.51941045967783, 13.272601862740721 ; 52.51149474261519, 13.268895622270655",,,,
916,Kastanienallee,strassenbahn,{'22'},"52.591203008238026, 13.38485912150649",,,{'22'}+ {'22'},
917,Katzbachstrasse,bus,{'4'},"52.4850780170667, 13.376575640304333",,,,
918,Kaulsdorf,s-bahn,{'100'},"52.5121,13.5904",Q800478,,['KBS 100']+ {'100'}+ {'100'},
920,Kaulsdorfer Strasse,bus,{'69'},"52.46039451596403, 13.579989999006296",,,"{'68'}+ {'69', '68'}",
921,Kesselsdorfstrasse,bus,{'4'},"52.48510024153988, 13.367984727964572",,,,
922,Kettelerpfad,bus,{'20'},"52.59672422633584, 13.294798453683933",,,,
923,Kettinger Strasse,bus,"{'78', '76'} ; {'52'}","52.41699538134415, 13.39974606855991 ; 52.41333622006637, 13.395841434199497",,,,
924,Kiefernweg,bus,{'69'},"52.49341194634913, 13.2653799110605",,,,
925,Kiefheider Weg,bus,{'14'},"52.61875863448322, 13.240154103797662",,,,
926,Kieler Strasse,bus,"{'48', '85'}","52.45900263211566, 13.322779054057017",,,{'17'}+ {'17'},
927,Kienitzer Strasse,bus,{'4'},"52.476105470646026, 13.426835505238055",,,"{'4', '91'}+ {'91'}",
928,Kirchhainer Damm,bus,"{'75', '82'}","52.38291233701996, 13.413014605392261",,,,
929,Kirchstrasse,bus,"{'16', '90'}","52.52453033982485, 13.349602811171122",,,,
