stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
Ostbahnhof,tram,1,196523_east,"52.50910764,13.43550619",,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
U-Bhf. Strausbergerplatz,tram,1,196524_east,"52.51808307,13.43293834",,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Leninplatz,tram,1,196525_east,"52.52326580,13.43264570",Q65553105,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
"Alexanderplatz, Memhardstr.",tram,1,196526_east,"52.52334390,13.41107730","Q65227406, Q65227406",Mitte,Mitte,east,10178
Rosenthalerplatz,tram,1,196527_east,"52.53017690,13.40161210",Q65093945,Mitte,Mitte,east,10119
Invalidenstr. Ecke Brunnenstr.,tram,1,196528_east,"52.53245400,13.39742400",Q65691740,Mitte,Mitte,east,10115
Chausseestr. Ecke Invalidenstr.,tram,1,196529_east,"52.53041580,13.38273020",Q65552697,Mitte,Mitte,east,10115
Walter-Ulbricht-Stadion,tram,1,196530_east,"52.53651514,13.37777572",,Mitte,Mitte,east,10115
Köpenickerstr. Ecke Adalbertstr.,autobus,A 1 P,196531_east,"52.50880201,13.42459206",,Mitte,Mitte,east,10179
S-Bhf. Jannowitzbrücke,autobus,A 1 P,196532_east,"52.51478600,13.41805624",,Mitte,Mitte,east,10179
"Alexanderplatz, Grunerstr.",autobus,A 1 P,196533_east,"52.52008326,13.41408419",,Mitte,Mitte,east,10178
Revalerstr. (S-Bhf. Warschauerstr.),tram,3,196534_east,"52.50641667,13.45095556",Q111252298,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Kopernikusstr.,tram,3,196535_east,"52.51058420,13.45262580",,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Boxhagenerstr.,tram,3,196536_east,"52.50882350,13.46596900",Q65675805,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Bhf. Frankfurterallee,tram,3,196537_east,"52.51380370,13.47737720",Q65948557,Lichtenberg,Lichtenberg,east,10365
Roederplatz,tram,3,196538_east,"52.52660010,13.47906800",Q65685373,Fennpfuhl,Lichtenberg,east,10367
Omnibus Bhf. Lichtenbergerstr.,tram,3,196540_east,"52.54423460,13.46872150",Q65939077,Alt-Hohenschönhausen,Lichtenberg,east,13053
Klement-Gottwald-Allee,tram,3,196541_east,"52.55207481,13.46563086",,Weißensee,Pankow,east,13088
Antonplatz,tram,3,196542_east,"52.54848030,13.45174160",Q65548849,Weißensee,Pankow,east,13088
Prenzlauer Promenade,tram,3,196543_east,"52.55155537,13.43032253",,Prenzlauer Berg,Pankow,east,10409
Schönhauserallee,tram,3,196544_east,"52.55377050,13.41388980",Q65076842,Prenzlauer Berg,Pankow,east,10439
Björnsonstr.,tram,3,196545_east,"52.55442320,13.40305850",Q65920495,Prenzlauer Berg,Pankow,east,10439
Revalerstr. (S-Bhf. Warschauerstr.),tram,4,196546_east,"52.50641667,13.45095556",Q111252298,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Grünbergerstr. Ecke Warschauerstr.,tram,4,196547_east,"52.51223590,13.45260900",Q65706239,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Frankfurter Tor,tram,4,196548_east,"52.51539030,13.45401720",Q65706246,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Bersarinplatz,tram,4,196549_east,"52.51921500,13.45252570",Q65706258,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninallee Ecke Dimitroffstr.,tram,4,196550_east,"52.52593430,13.44623680",Q65553230,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Kniprodestr. Ecke Dimitroffstr.,tram,4,196551_east,"52.53212517,13.44148683",,Prenzlauer Berg,Pankow,east,10407
Greifswalderstr. Ecke Dimitroffstr.,tram,4,196552_east,"52.53649750,13.43340450",Q65548960,Prenzlauer Berg,Pankow,east,10405
Prenzlauerallee Ecke Dimitroffstr.,tram,4,196553_east,"52.53919786,13.42420107",,Prenzlauer Berg,Pankow,east,10405
U-Bhf. Dimitroffstr.,tram,4,196554_east,"52.54019280,13.41139790",Q65088313,Prenzlauer Berg,Pankow,east,10435
Eberswalderstr.,tram,4,196555_east,"52.54098900,13.40654900",Q65719051,Prenzlauer Berg,Pankow,east,10437
Heinrich-Heine-Str. Ecke Schmidstr.,tram,11,196556_east,"52.51098553,13.41647537",,Mitte,Mitte,east,10179
S-Bhf. Jannowitzbrücke,tram,11,196557_east,"52.51478600,13.41805624",,Mitte,Mitte,east,10179
