line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
75,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstrasse - Reichssportfeldstrasse - StößenseeBrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Hakenfelde",20,59,strassenbahn,West,1961
76,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstrasse - Reichssportfeldstrasse - StößenseeBrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Johannesstift",20,60,strassenbahn,West,1961
77,Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse - Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstrasse - Rathaus Steglitz - Hindenburgdamm - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Wismarer Strasse - Goerzallee,20,49,strassenbahn,West,1961
78,Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse - Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstrasse - Rathaus Steglitz - Hindenburgdamm - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Goerzallee - Lichterfelde-West Lindenstrasse,20,48,strassenbahn,West,1961
82,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Seelenbinderstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhof- Ecke Edisonstrasse - Heinrich-Duncker-Strasse Ecke Ehrlichstrasse - Klingenberg, Blockdammweg - Kraftwerk Klingenberg - Hauptstrasse Ecke Karlshorster Strasse - S-Bhf. Ostkreuz - Stralauer Allee Ecke Markgrafendamm - Warschauer Strasse - Ostbahnhof - S-Bhf. Jannowitzbrücke - Alexanderplatz, Elisabethstrasse",20,64,strassenbahn,Ost,1961
83,Wendenschloß Ecke Ekhofstrasse - VEB Schiffswerft - Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - S-Bhf. Köpenick - Mahlsdorf-Süd - Bürgerwäldchen - Rathaus Mahlsdorf - S-Bhf. Mahlsdorf,20,50,strassenbahn,Ost,1961
84,"Altglienicke, Am Falkenberg - Köpenicker Strasse - Benzolwerk - S-Bhf. Adlershof - Marktplatz Adlershof - S-Bhf. Spindlersfeld - Köllnischer Platz - Schüßlerplatz - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - Hirschgarten - Fürstenwalder Damm - S-Bhf. Friedrichshagen - Brauerei - Friedrichshagen, Wasserwerk",20,52,strassenbahn,Ost,1961
86,"Alt-Schmöckwitz - Karolinenhof Mitte - Richtershorn - Freibad Grünau - S-Bhf. Grünau - Chemische Fabrik - Köllnischer Platz - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - S-Bhf. Köpenick - Hirtestrasse - Mahlsdorf-Süd, Hubertus",20,43,strassenbahn,Ost,1961
87,"Rahnsdorf - Wasserwerk - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei -  Hirschgarten - Seelenbinderstrasse Ecke Bahnhofstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhof- Ecke Edisonstrasse - Bhf. Schöneweide, Brückenstrasse - Köpenicker Landstrasse Ecke Baumschulenstrasse - S-Bhf. Plänterwald - Am Treptower Park Ecke Elsenstrasse - Wiener Brücke",20,69,strassenbahn,Ost,1961
92,"Oberspree, Bruno-Bürgel-Weg - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Plänterwald - S-Bhf. Tremptower Park, Elsenstrasse - Wiener Brücke",20,30,strassenbahn,Ost,1961
