,stop_id,stop_name,type,in_lines
739,740,"Lübars, Dorfaue",bus,{'A20'}
740,741,Lübarser Strasse,bus,{'A15'}
741,742,Lützowplatz,bus,"{'A16', 'A24', 'A69'}"
742,743,Lützowstrasse,bus,"{'A29', 'A48'}"
743,744,Lützowstrasse,strassenbahn,"{'74', '73'}"
744,745,Machandelweg,bus,"{'A31', 'A5'}"
745,746,Machnower Strasse Ecke Berlepschstrasse,bus,{'A66'}
746,747,Magdalenenstr.,u-bahn,{'E'}
747,748,Magistratsweg,bus,{'A31'}
748,749,Mahlow,s-bahn,{'KBS 105'}
749,750,Mahlsdorf,s-bahn,{'KBS 101'}
750,751,Mahlsdorf-Süd,strassenbahn,{'83'}
751,752,"Mahlsdorf-Süd, Hubertus",strassenbahn,"{'82', '86'}"
752,753,"Malchow, Dorfstrasse",bus,"{'A46', 'AL'}"
753,754,Malchower Weg,bus,{'A46'}
754,755,Marburger Strasse,bus,{'A62'}
755,756,Marchandstrasse,bus,{'A32'}
756,757,Marchlewskistr.,u-bahn,{'E'}
757,758,Margaretenstrasse,bus,{'A48'}
758,759,Mariannenplatz,bus,{'A28'}
759,760,Mariendorf,s-bahn,{'KBS 105'}
760,761,Mariendorfer Damm,bus,"{'AS2', 'A77'}"
761,762,Mariendorfer Damm,strassenbahn,{'15'}
762,763,Mariendorfer Friedhof,strassenbahn,{'15'}
763,764,Mariendorfer Weg Ecke Hermannstrasse,strassenbahn,{'27'}
764,765,Marienfelde,s-bahn,{'KBS 105'}
765,766,Marienfelder Allee,bus,{'A32'}
766,767,Marienfelder Strasse,bus,{'A32'}
767,768,Marienfelder Strasse Ecke Lichtenrader Damm,bus,{'A76'}
768,769,Marienstrasse,bus,{'A11'}
769,770,Markgrafendamm,bus,{'A82P'}
770,771,Markgrafenstrasse Ecke Tempelhofer Damm,bus,{'A77'}
771,772,Marktplatz,strassenbahn,{'84'}
772,773,Martin-Luther-Friedhof,bus,{'A20'}
773,774,Martin-Luther-Strasse,bus,{'A74'}
774,775,Martin-Luther-Strasse Ecke Grunewald-Strasse,strassenbahn,{'3'}
775,776,Marx-Engels-Platz,bus,"{'A57', 'A9'}"
776,777,Marx-Engels-Platz,s-bahn,"{'KBS 101', 'KBS 103', 'KBS 102'}"
777,778,"Marzahn, Berliner Chaussee",bus,{'A43'}
778,779,Marzahner Chaussee,bus,{'O37'}
779,780,Masurenallee,bus,{'A65'}
780,781,Mattenbuder Pfad,bus,{'A14'}
781,782,Mehringdamm,bus,"{'A19', 'A28'}"
782,783,Mehringdamm,u-bahn,"{'C I', 'C II'}"
783,784,Mehringdamm Ecke Yorck Strasse,strassenbahn,{'3'}
784,785,Mehringplatz,strassenbahn,"{'96', '95'}"
785,786,Messedamm,bus,{'A4'}
786,787,Messedamm,strassenbahn,"{'76', '75'}"
787,788,Mimosenweg,bus,{'A52'}
788,789,Mittelstrasse,bus,{'A18'}
789,790,Mohriner Allee Ecke Buckower Damm,strassenbahn,{'27'}
790,791,Molkenmarkt,strassenbahn,"{'74', '72', '74E'}"
791,792,Moltkestrasse,strassenbahn,"{'74', '73'}"
792,793,Morgensternstrasse Ecke Wilhelmstrasse,bus,"{'A11', 'A17'}"
793,794,Moritzplatz,bus,{'A67'}
794,795,Moritzplatz,u-bahn,{'D'}
795,796,Motzstrasse,bus,{'A73'}
796,797,Munsterdamm Ecke Bergstrasse,bus,{'A68'}
797,798,Munsterdamm Ecke Steglitzer Damm,bus,{'A75'}
798,799,Märkisches Museum,u-bahn,{'A'}
799,800,Möckernbrücke,u-bahn,"{'B II', 'A II', 'B I'}"
800,801,Müggelheim,bus,{'A27'}
801,802,Müggelseeperle,bus,{'A27'}
802,803,Mühlenstrasse,bus,{'A20'}
803,804,Nachtigalplatz,bus,{'A64'}
804,805,Nassauische Strasse,bus,{'A50'}
805,806,Nauener Platz,bus,{'A72'}
806,807,Nauener Strasse,bus,{'A31'}
807,808,Nauener Strasse,strassenbahn,{'55'}
