stop_name,type,location,in_lines,identifier,east-west
Hirtestrasse,strassenbahn,"52.46228517510202, 13.582989445330378",86,,Ost
Hochschule für Ökonomie,strassenbahn,"52.4927681,13.5266059",69,Q65952866,Ost
Hohen-Neuendorf (b Bln),s-bahn,"52.6684,13.287",KBS 104,Q4500489,Ost
"Hohenschönhausen, Falkenberger Strasse",bus,"52.550229554941964, 13.509585042301534",A39,,Ost
"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"52.5508672,13.5094994","64,70",Q65555882,Ost
"Hohenschönhausen, Gartenstadt",strassenbahn,"52.5508672,13.5094994",63,Q65555882,Ost
"Hohenschönhausen, Hauptstrasse",strassenbahn,"52.548884396434666, 13.504600838756778","64,63",,Ost
Hohenschönhauser Strasse,strassenbahn,"52.5359329,13.4729468",3,Q65553684,Ost
Hohenschöpping,s-bahn,"52.67,13.1945",KBS 105,Q19274489,Ost
Hoppegarten (Mark),s-bahn,"52.5183,13.6734",KBS 101,Q15197357,Ost
Hultschiner Damm,bus,"52.47711373957008, 13.600598140620137",A8,,Ost
Humannplatz,strassenbahn,"52.5493627,13.4213646",70,Q65962652,Ost
"Hönow, Dorfstrasse",bus,"52.54884927869554, 13.63648687804691",A44,,Ost
Invalidenstrasse Ecke Chausseestrasse,strassenbahn,"52.5304158,13.3827302",1,Q65552697,Ost
Jannowitzbrücke,s-bahn,"52.514822222222,13.41795","KBS 101,KBS 103,KBS 102",Q27955427,Ost
Joachimstrasse,bus,"52.40316589631168, 13.57664158970399",A38,,Ost
"Johannisthal, Haeckelstrasse",strassenbahn,"52.4402944,13.5052638",69,Q66225573,Ost
Johannisthaler Chaussee,bus,"52.43435004063257, 13.469086013123487",A47,,Ost
Johannisthaler Chaussee,strassenbahn,"52.43434580082342, 13.469025837805159",47,,Ost
Kali-Chemie,strassenbahn,"52.46329854840191, 13.499789773217568","95, 92",",",Ost
Karlshorst,s-bahn,"52.4808,13.5258",KBS 102,Q111327045,Ost
Karlshorster Strasse,strassenbahn,"52.502334098187674, 13.475466875195085",13,,Ost
Karolinenhof Mitte,strassenbahn,"52.39176095915858, 13.634654256792825",86,,Ost
Karow,s-bahn,"52.615,13.4692",KBS 106,Q111324168,Ost
"Karow, Bahnhofstrasse",bus,"52.60931228539711, 13.481265848599735",A42,,Ost
Karower Strasse Ecke Alt-Buch,bus,"52.6353147366511, 13.49919747411447",A42,,Ost
Kaulsdorf,s-bahn,"52.5121,13.5904",KBS 101,Q800478,Ost
"Kaulsdorf, Bausdorfstrasse",bus,"52.51256368150751, 13.601906818686038",A49,,Ost
Kinderheim,bus,"52.4898153097415, 13.481404230737937",A82P,,Ost
Klein Ziethen,bus,"52.379580499215606, 13.44656986522325",AZ,,Ost
Klement-Gottwald-Allee Ecke Indira-Ghandi-Strasse,strassenbahn,"52.55207481375682, 13.465630856253787",3,,Ost
Klement-Gottwald-Allee Ecke Rennbahnstrasse,bus,"52.55694652931542, 13.466966083751453","A45, A46",",",Ost
Klement-Gottwald-Allee Ecke Rennbahnstrasse,strassenbahn,"52.5573986,13.4656872","72,74E,74",Q65954749,Ost
"Klingenberg, Blockdammweg",strassenbahn,"52.4842462,13.5104609","13,82",Q66085182,Ost
Klosterstr.,u-bahn,"52.516111111111,13.412222222222",A,Q657893,Ost
Klosterstrasse,bus,"52.51798604342281, 13.412126746747086",O30,,Ost
Kniprodestrasse,strassenbahn,"52.5325286,13.4406868","13,4",Q65707391,Ost
Kniprodestrasse Ecke Ermländische Strasse,bus,"52.53214047166688, 13.441498411095067",A57,,Ost
"Kolonie ""Land in Sonne""",bus,"52.55462883361286, 13.511870302373488",A39,,Ost
Konsum Wernsdorf,bus,"52.36448396303661, 13.698441127852544",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
Konsum Ziegenhals,bus,"52.353014165379946, 13.671672670712805",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
Kopernikusstrasse Ecke Warschauer Strasse,strassenbahn,"52.5105842,13.4526258","3,4",Q65950088,Ost
Kosterstrasse,bus,"52.51798604342281, 13.412126746747086",O30,,Ost
Kraftwerk Klingenberg,strassenbahn,"52.4881374,13.4958685","13, 82","Q66079524, Q66079524",Ost
Krankenhaus Köpenick,strassenbahn,"52.43861200573594, 13.592411258792163",95,,Ost
Kurische Strasse,bus,"52.53541468899389, 13.439085794623837",A9,,Ost
Kurt-Fischer-Platz,bus,"52.57973292845757, 13.398330728468228",A7,,Ost
Kurt-Fischer-Platz,strassenbahn,"52.578668,13.3983016","46,22",Q65032974,Ost
Köllnischer Platz,strassenbahn,"52.4447189,13.5686225","84,86",Q66363379,Ost
Königs Wusterhausen,s-bahn,"52.2966,13.6311",KBS 103,Q178002,Ost
Königstor,bus,"52.52520269485428, 13.419834994127731","O40,A57,A9",,Ost
Königstor,strassenbahn,"52.52821600265539, 13.423869016265495","74E,74",,Ost
Köpenick,s-bahn,"52.4586,13.5808",KBS 102,Q800479,Ost
"Köpenick, Krankenhaus",bus,"52.43861200573594, 13.592411258792163",A27,,Ost
Köpenicker Landstrasse Ecke Baumschulenstrasse,strassenbahn,"52.46913201072182, 13.491340045687773",87,,Ost
Küstriner Platz,bus,"52.51324778107561, 13.439333192026231","O30,O40",,Ost
LPG Falkenberg,bus,"52.57043275562403, 13.536024836217607",A46,,Ost
Landsberger Chaussee Ecke Weißenseer Weg,strassenbahn,"52.532258,13.476705",3,Q65942700,Ost
Langhans Strasse Ecke Gustav-Adolf-Strasse,bus,"52.55362785776103, 13.434716400018274",A45,,Ost
Langhansstrasse Ecke Gustav-Adolf-Strasse,bus,"52.55363454206649, 13.43469073771919",A55,,Ost
Lehnitz,s-bahn,"52.7411,13.2635",KBS 104,Q4258498,Ost
Leipziger Strasse Ecke Wilhelmstrasse,strassenbahn,"52.51000007018473, 13.384208357671987",74,,Ost
Leninallee,s-bahn,"52.5295,13.4548","KBS 103a,KBS 106",Q800507,Ost
Leninallee,strassenbahn,"52.5259343,13.4462368","13,4",Q65553230,Ost
Leninplatz,bus,"52.523238998562235, 13.433594583798834",O40,,Ost
Leninplatz,strassenbahn,"52.5232658,13.4326457","64,63,1",Q65553105,Ost
Lichtenberg,s-bahn,"52.5106,13.4964",KBS 101,Q634247,Ost
Lichtenberger Strasse Ecke Berliner Allee,strassenbahn,"52.552032612200605, 13.465689924366766","72,74E,70,74",,Ost
Lindenberg,bus,"52.602597712625055, 13.5250306401055",AL,,Ost
Lutherplatz,bus,"52.39011694014624, 13.089836574530883","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Luxemburgplatz,u-bahn,"52.528333333333,13.410277777778",A,Q658790,Ost
Magdalenenstr.,u-bahn,"52.5125,13.486388888889",E,Q473901,Ost
Mahlow,s-bahn,"52.3602,13.4085",KBS 105,Q2641431,Ost
Mahlsdorf,s-bahn,"52.5121,13.6106",KBS 101,Q800484,Ost
Mahlsdorf-Süd,strassenbahn,"52.4741663,13.5991443",83,Q66368466,Ost
"Mahlsdorf-Süd, Hubertus",strassenbahn,"52.4741663,13.5991443","86,82",Q66368466,Ost
"Malchow, Dorfstrasse",bus,"52.580462270708544, 13.482797576255583","AL,A46",,Ost
Malchower Weg,bus,"52.56152031238405, 13.500485897507804",A46,,Ost
Marchlewskistr.,u-bahn,"52.516794444444,13.444991666667",E,Q551768,Ost
Markgrafendamm,bus,"52.49919969372071, 13.465742293248686",A82P,,Ost
Marktplatz Adlershof,strassenbahn,"52.43822, 13.548937",84,Q66363717,Ost
Marx-Engels-Platz,bus,"52.51617617310524, 13.400937413635054","A57,A9",,Ost
Marx-Engels-Platz,s-bahn,"52.5226,13.4022","KBS 101,KBS 103,KBS 102",Q689312,Ost
"Marzahn, Berliner Chaussee",bus,"52.54469782123951, 13.564560329042491",A43,,Ost
Marzahner Chaussee,bus,"52.53978688562053, 13.53943029431785",O37,,Ost
Molkenmarkt,strassenbahn,"52.51679321421663, 13.409330619020574","72,74E,74",,Ost
Märkisches Museum,u-bahn,"52.511944444444,13.408888888889",A,Q657871,Ost
Müggelheim,bus,"52.41018331064196, 13.665897531850348",A27,,Ost
Müggelseeperle,bus,"52.42170168937569, 13.640893083169368",A27,,Ost
Neu-Lindenberg,bus,"52.600885625411856, 13.554794085696633",AL,,Ost
Neuenhagen (b Bln),s-bahn,"52.5208,13.7003",KBS 101,Q7001614,Ost
"Niederschönhausen, Schillerstrasse",strassenbahn,"52.5923051,13.41088",46,Q65032581,Ost
Nordend,bus,"52.59006569360479, 13.401740566033476",A7,,Ost
Nordend,strassenbahn,"52.5902104,13.4027524",46,Q65032696,Ost
Nordendstrasse,strassenbahn,"52.588534,13.3882952",22,Q65428345,Ost
Nöldnerplatz,s-bahn,"52.5038,13.4853",KBS 101,Q4892447,Ost
Oberspree,s-bahn,"52.4525,13.5382",KBS 103a,Q15192700,Ost
"Oberspree, Bruno-Bürgel-Weg",strassenbahn,"52.452777014581045, 13.537124836409932",92,,Ost
Oranienburg,s-bahn,"52.7536,13.2496",KBS 104,Q2341669,Ost
Oranienburger Tor,bus,"52.52716314203455, 13.38710905184874","O40,A9",,Ost
Oranienburger Tor,strassenbahn,"52.5256031,13.3872745","46,70,11,1",Q65095375,Ost
Ossietzkyplatz,strassenbahn,"52.58100580136794, 13.404014807678767",46,,Ost
Ostbahnhof,bus,"52.50976670730252, 13.43372198235041","Flughafen Schönefeld <> Strausberger Platz,O40",,Ost
Ostbahnhof,s-bahn,"52.51,13.4347","KBS 101,KBS 103,KBS 102",Q111325075,Ost
Ostbahnhof,strassenbahn,"52.509107635417394, 13.43550619008533","82,1",,Ost
Ostkreuz,s-bahn,"52.5031,13.4689","KBS 103a,KBS 106,KBS 101,KBS 103,KBS 102",Q111251530,Ost
Pankow,s-bahn,"52.5667,13.4111",KBS 106,Q111273850,Ost
Pankow (Vinetastr.),u-bahn,"52.559166666667,13.413333333333",A,Q570906,Ost
"Pankow, Kirche",bus,"52.57124680898358, 13.410670715665145","A55,A45",,Ost
"Pankow, Kirche",strassenbahn,"52.5706452,13.4103115","49,22",Q65055066,Ost
"Pankow, Rathaus",bus,"52.56953908840178, 13.404186437171612","A55,A45,A7",,Ost
"Pankow, Rathaus",strassenbahn,"52.5694816,13.4038045",46,Q65055060,Ost
Pankow-Heinersdorf,s-bahn,"52.5780653,13.4295093",KBS 106,Q4892366,Ost
Parkstrasse,strassenbahn,"52.45876522318908, 13.53993545855609","95,82,87",,Ost
Pistoriusstrasse Ecke Klement-Gottwald-Allee,bus,"52.55009435565474, 13.45900710843341",A45,,Ost
Platz vor dem Neuen Tor,bus,"52.52921245715711, 13.378513556812177",A9,,Ost
Plänterwald,s-bahn,"52.4786,13.4733","KBS 103,KBS 103a, KBS 106","Q7205917, Q7205917",Ost
Potsdam,s-bahn,"52.3917,13.0667",KBS 102,Q647973,Ost
"Potsdam, Bassinplatz",bus,"52.40184658729142, 13.05866306072075","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Prenzlauer Allee,s-bahn,"52.544775,13.426116",KBS 106,Q32661483,Ost
Prenzlauer Allee,strassenbahn,"52.5396522,13.4244789","13,4",Q65222180,Ost
Prenzlauer Allee Ecke Wisbyer Strasse,strassenbahn,"52.551183836372815, 13.43013561837268",71,,Ost
Prenzlauer Promenade,strassenbahn,"52.55155536618067, 13.43032253030515","72,3,70",,Ost
Prenzlauer Promenade (Spitze),bus,"52.5516751737526, 13.430326005865055",A56,,Ost
