,stop_name,type,in_lines,location,identifier,previous_in_lines
15,Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540,"['86']+ ['86']+ 86+ 86+ 86+ ['86']+ ['86']+ ['86']+ ['86']+ 86+ 124,86"
16,"Altglienicke, Am Falkenberg",strassenbahn,['84'],"52.41079970042163, 13.570452931545786",nan,['84']+ 84+ 84
17,"Altglienicke, Kirche",Autobus,['A 23'],"52.421845729296805, 13.539407702079252",nan,['A23']+ A23+ A23+ A23+ ['A23']+ ['23']+ ['23']+ ['23']+ 23+ 23+ 23
18,"Altglienicke, Kirche",strassenbahn,['84'],"52.421845729296805, 13.539407702079252",nan,"84+ ['84']+ ['84']+ ['84']+ ['84']+ 84+ 84+ 84,114"
19,Am Kupfergraben,strassenbahn,"['70', '46', '11']","52.5194208,13.3953839",Q65055027,"['1', '46']+ 1+ 46,70,1+ 46,70,11+ ['71', '46', '70']+ ['22', '46', '71', '70']+ ['71', '70', '22', '46']+ ['70', '71', '46', '22']+ 22,70,71,46+ 22,70,71,46+ 121,22,71,70,46"
20,Am Rosenhag,Autobus,"['A 44', 'A 44 E']","52.52474356253909, 13.621775828105108",nan,"['A44E', 'A44']+ A44E,A44+ A44,A44E+ A44,A44E+ ['A44', 'A44E']+ ['44E']+ ['44E', '44']+ ['44', '95']+ 95,44+ 99,95,44+ 99,95,44"
21,Am Steinberg,Autobus,"['A 45', 'A 42']","52.55648144940878, 13.429306764151775",nan,"A45,A42+ A55,A42,A45+ A45,A55,A42+ ['A42', 'A45']+ ['45']+ ['31', '45']+ ['45', '42', '31']+ 31,45,42+ 31,45,42+ 31,45,42"
22,Am Steinberg,strassenbahn,['71'],"52.5585796,13.4333751",Q65103320,"71+ 71+ 71+ ['71']+ ['71']+ 71+ 71+ 113,71"
23,Am Steinberg/Thulestrasse,Autobus,['A 55'],,,
24,Andreasstrasse,Omnibus,['O 30'],,,
25,Antonplatz,strassenbahn,"['70', '72', '74', '3']","52.5484803,13.4517416",Q65548849,"['73', '74', '70', '72']+ ['70', '74', '3', '72']+ 74,72,70,3,74E+ 3,70,72,74E,74+ 72,74E,3,74,70+ ['72', '70', '73', '74', '3']+ ['74', '70', '73', '72', '3', '75']+ ['3', '73', '75', '70', '74']+ ['24', '20', '28', '72', '3', '70']+ 20,3,70,24,72+ 20,3,28,70,24,72+ 3,20,113,28,103,70,24,72"
26,Arnswalder Platz,Autobus,['A 9'],,,
27,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,['E'],"52.510556,13.496389",Q3831986,['E']+ E+ E+ E
28,Bahnhofstrasse,strassenbahn,['49'],"52.38666976464739, 13.407955106521282+52.40244986860125, 13.512704137216817+52.4505094,13.572684+52.45104333079753, 13.57204270179361+52.59614952903345, 13.432832916180004",Q66095701+nan,"['99']+ ['83']+ 47+ 47+ ['26', '25', '85']+ 82+ 85+ 120"
29,Bahnhofstrasse Ecke Lindenstrasse,Autobus,['A 27'],"52.45096281111, 13.572146868709519",nan,['A27']+ ['A27']+ A27+ A27+ A27+ ['A27']+ ['27']
30,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"['84', '87', '86']","52.4505094,13.572684","Q66095701+Q66095701, Q66095701","['83']+ ['87']+ 87,82+ 82,87, 83,95,84,86+ 84,87+ ['84', '87']+ ['87', '84']"
31,Bahnhofstrasse/Lindenstrasse,strassenbahn,['83'],"52.4505094,13.572684",Q66095701,"84,114,83E,83,85,124,86"
32,Baumschulenstrasse,Autobus,['A 47'],"52.460823690124585, 13.503654622533428",nan,"['65']+ ['65', '66']+ 66+ 65,66+ 65,66"
33,Baumschulenstrasse,strassenbahn,"['87', '92', '95']","52.460884119473235, 13.481278679734508+52.469081846595664, 13.491329912138305",nan,"['95']+ ['91']+ ['92', '91']+ 92+ 95,92+ 92,95"
34,Bersarinplatz,strassenbahn,"['13', '4']","52.519215,13.4525257",Q65706258,"['14']+ ['13', '4']+ 13,4+ 13,4+ 4,13+ ['13', '4']+ ['4', '13']+ 4+ 4+ 4"
35,Bersarinstrasse Ecke Leninallee,strassenbahn,['63'],,,
36,Bertystrasse Ecke Leninallee,Omnibus,['O 30'],,,
37,Bf. Siegfriedstrasse,Omnibus,"['O 30', 'O 37']",,,
38,Bf. Siegfriedstrasse,strassenbahn,['69'],,,
39,Bhf. Eichwalde,Autobus,['Schmöckwitz - Eichwalde'],"52.371950560017005, 13.614447144096058",nan,Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)
40,Bhf. Friedrichstrasse,Autobus,"['A 57', 'A 9', 'A 59']","52.5205606637086, 13.388231915342985",nan,"['A9']+ A57,A9+ A57,A9+ A57,A9,A59+ ['A18', 'A57', 'A59']+ ['59', '57', '18']+ ['78', '57']+ ['78', '57']+ 57,78,59+ 57/E,78,59+ 57,78,59"
41,Bhf. Friedrichstrasse,strassenbahn,['11'],"52.5192805,13.3884107","Q65095382+Q65095382, Q65095382","46,70,1+ 11, 46,70+ ['71', '46', '70']+ ['22', '46', '70']+ ['70', '22', '46']+ ['70', '46', '22']+ 22,70,46+ 22,70,46+ 121,22,71,70,46"
42,Bhf. Friedrichstrasse,strassenbahn,"['70', '46']","52.5192805,13.3884107","Q65095382+Q65095382, Q65095382","46,70,1+ 11, 46,70+ ['71', '46', '70']+ ['22', '46', '70']+ ['70', '22', '46']+ ['70', '46', '22']+ 22,70,46+ 22,70,46+ 121,22,71,70,46"
43,Bhf. Lichtenberg,Omnibus,"['O 30', 'O 37']",,,
44,Bhf. Lichtenberg,strassenbahn,['69'],"52.5123603,13.4977547",Q66013733,"['69']+ ['69']+ 69,69E+ 69+ 69,69E+ ['69', '69E']+ ['69']+ ['15', '20']+ 15,20+ 20+ 5,110,20,102"
45,Bhf. Schönefeld,Autobus,"['A Z', 'A 24']","52.38192403313463, 13.511545079208773",nan,"AZ+ ['A36']+ ['36']+ ['36', '36E']+ ['36']+ 36"
46,Bhf. Schöneweide,Autobus,"['A 47', 'A 26']","52.45374952013775, 13.510200397684477",nan,"['A47']+ A47+ A47,Flughafen Schönefeld <> Strausberger Platz,A26+ A26,A47,A48+ ['A48', 'A47', 'A26']+ ['26', '65', '47', '48']+ ['47', '66', '67', '65']+ ['47', '62', '65', '66', '67']+ 47,67,66,65,62+ 47,67,66,65,62+ 47,67,66,65,62"
47,Bhf. Schöneweide,strassenbahn,"['69', '92', '95']","52.4553413,13.5110449+52.45610685453812, 13.510345679557007+52.45640818289644, 13.509916574756422",Q65950245+nan,"['95']+ ['92']+ ['69']+ 69,69E,92,87+ 95,69,92+ 85,69E,92,87,69,95+ ['87', '95', '92', '69', '69E', '85']+ ['85', '69', '95', '87', '21']+ ['17', '25', '85', '26']+ ['85', '26', '25', '17']+ 17,25,26+ 17,25,85,26+ 25,114,26,85,88+ 17"
48,"Bhf. Schöneweide, Brückenstrasse",strassenbahn,['87'],"52.45648404130997, 13.509984392000785",nan,87
49,Björnsonstrasse Ecke Ibsenstrasse,strassenbahn,['3'],,,
50,"Blankenburg, Bahnhofstrasse",Autobus,['A 42'],"52.591380472079955, 13.453512267562314",nan,['A42']+ A42+ A42+ A42+ ['A42']
51,Blankenburger Strasse,strassenbahn,['49'],"52.58856735400595, 13.430204947038318",nan,49+ 49+ 49
52,"Blankenfelde, Hauptstrasse",Autobus,['A 7'],"52.63002534735451, 13.38262328371393",nan,"['A7']+ ['A7']+ A7+ A7+ A7,A7E+ ['A7', 'A7E']+ ['7']"
53,Blumenstrasse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.44932599725309, 13.759715132008731",nan,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)
54,"Bohnsdorf, Kirche",Autobus,['A 36'],"52.39948771402893, 13.555574431978044",nan,['A36']+ ['A36']+ AD/36+ AD/36+ A36+ ['A36']+ ['36']+ ['36']+ ['36']+ 36+ 36+ 36
55,"Bohnsdorf, Waldstrasse",Autobus,['A 38'],"52.389397192754984, 13.570666562153916",nan,"['A38']+ A38+ A38+ AD,A38+ ['AD/38']+ ['D/38']+ ['38']+ ['38']+ 38+ 38+ 38"
56,Bornholmer Strasse Ecke Schönhauser Alle,strassenbahn,['22'],,,
57,Bornholmer Strasse Ecke Schönhauser Allee,strassenbahn,['46'],"52.5537705,13.4138898",Q65076842,['8']+ 49
58,Bornholmer Strasse Ecke Schönhauser Allee,strassenbahn,['49'],"52.5537705,13.4138898",Q65076842,['8']+ 49
59,Boxhagenerstrasse Ecke Holteistrasse,Omnibus,['O 30'],,,
60,Boxhagenerstrasse Ecke Holteistrasse,strassenbahn,['13'],"52.5088235,13.465969","Q65675805, Q65675805","3, 13"
61,Breslauerstrasse Ecke Andreasstrasse,strassenbahn,['1'],,,
62,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,"['1', '11']","52.5324542,13.3974236",Q65691740,11+ 11+ 18
63,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,"['82', '70', '46']","52.5324542,13.3974236",Q65691740,11+ 11+ 18
64,"Buch, Kiesgruben",Autobus,['A 42'],"52.641758052786535, 13.515964627443202",nan,A42+ A42+ ['A42']
65,"Bucholz, Elfenallee",strassenbahn,['49'],,,
66,"Bucholz, Hauptstrasse",strassenbahn,['49'],"52.60726996020294, 13.433394005316927",nan,['49']+ ['49']+ 49+ 49+ 49
67,Buschallee Ecke Berlinerstrasse,strassenbahn,['72'],,,
68,Buschallee Ecke Klement-Gottwald-Allee,Autobus,['A 46'],"52.55387173520125, 13.467543412166556",nan,['A46']+ ['L/41']
69,Buschallee/K.-Gottwald-Allee,strassenbahn,['70'],,,
70,"Bölschestrasse, Brauerei",strassenbahn,"['84', '87']","52.44699265840037, 13.624251999339991",nan,"87+ 84,87+ ['84', '87']+ ['84']"
71,Bürgerwäldchen,strassenbahn,['83'],"52.48924332057368, 13.606368760127548+52.4893741,13.6064139",Q66364551+nan,83+ 83+ ['83']+ ['83']+ ['83']+ ['83']+ 83+ 83+ 83
72,Bürknersfelde,Autobus,['A 43'],"52.538889807153126, 13.534159376784622+52.54261786154293, 13.54906017268816+52.549540493749184, 13.586689708671303",nan,"['O41', 'O37', 'A43']+ O41,A43,O37+ A43,O37+ A43+ ['A43', 'O37']+ ['37']+ ['54', '43']"
73,Bürnersfelde,Omnibus,['O 37'],,,
74,Charlottenstrasse,strassenbahn,['72'],"52.51050786460274, 13.391831492474326",nan,72
75,Chemische Fabrik,strassenbahn,['86'],"52.42696432509712, 13.573540465650169",nan,['86']+ 86+ 86+ 86+ ['86']+ ['86']
76,Chemnitzer Strasse/Alt-Kaulsdorf,Autobus,['A 27'],,,
77,Chemnitzerstrasse Ecke Ulmenstrasse,Autobus,['A 8'],"52.487292887135375, 13.574950596463296",nan,['A27']
78,Degnerstrasse,strassenbahn,['63'],"52.54488036635163, 13.493949954029993",nan,"64,63+ 64,63+ 63,64+ ['63', '64']+ ['14']"
79,Degnerstrasse Ecke Berlinerstrasse,strassenbahn,['64'],,,
80,Dimitroffstrasse,u-bahn,['A'],"52.541666666667,13.412222222222",Q571382,"['A I']+ ['A I']+ A I,A II+ A+ A+ ['A']+ ['A']+ ['A']+ ['A']+ A+ A+ A"
81,Dimitroffstrasse Ecke Bötzowstrasse,Autobus,['A 9'],,,
82,Dimitroffstrasse Ecke Greifswalderstrasse,strassenbahn,['74'],"52.53616928671014, 13.433023161244224",nan,['74']
83,Dimitroffstrasse Ecke Leninallee,strassenbahn,['64'],"52.5259343,13.4462368",Q65553230,"18E,18"
84,Dimitroffstrasse Ecke Leninallee,strassenbahn,"['69', '63']","52.5259343,13.4462368",Q65553230,"18E,18"
85,Dimitroffstrasse Ecke Prenzlauer Allee,strassenbahn,"['72', '71']","52.539226902813354, 13.424209201692193",nan,"['72']+ ['71', '72']"
86,Dimitroffstrasse/Leninallee,Omnibus,['O 37'],,,
87,Dingelstädter Strasse,Omnibus,['O 37'],,,
88,Dorfaue,Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.47886105131975, 13.70053232372426",nan,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)"
89,Dönhoffplatz,strassenbahn,['64'],"52.509950568117645, 13.398144081918815",nan,"['87', '74']+ ['46', '73', '74']+ 64+ 64+ ['74', '64']"
90,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,"['13', '4']","52.54061076763243, 13.404559930731686",",+nan","4, 13+ 4+ ['4']+ ['4']"
91,Edisonstrasse Ecke An der Wuhlheide,strassenbahn,"['82', '95']",,,
92,Ehrenmal,Autobus,"['A 55', 'A 58', 'A 45']","52.57958419912971, 13.375974716701414",nan,"A45,A55+ A55,A45+ A45,A55,A58+ ['A58']"
93,Ehrlichstrasse Ecke Treskowallee,strassenbahn,['82'],,,
94,Eichbuschallee,Autobus,['A 47'],"52.47574296676633, 13.487312571777435+52.47576427500861, 13.487330966100926",nan,A47+ A47+ A47+ 47+ 47
95,Eichbuschplatz,Autobus,['A 38'],"52.39366126137233, 13.582046308470128",nan,A38+ A38+ A38+ ['38']+ ['38']+ 38+ 38+ 38
96,Eichendamm,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.45563928691219, 13.730601143973864",nan,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)
97,"Eichwalde, Uhlandstrasse",Autobus,['Schmöckwitz - Eichwalde'],"52.372634587228696, 13.62680242919348",nan,Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)
98,Elisabethstrasse,Omnibus,['O 37'],,,
99,Elsenstrasse/S-Bhf. Treptower Park,strassenbahn,"['87', '92']",,,
100,Elsässer Strasse,Autobus,['A 7'],"52.63337294510061, 13.345103420124245",nan,A7+ A7+ ['A7']+ ['7']
101,Fahlenbergstrasse/Fürstenwalder Allee,Autobus,['A 22'],,,
102,Falkenberger Chaussee,Autobus,['A 39'],"52.565814225343445, 13.511924619006814+52.565816857333125, 13.511913714753+52.5706254674252, 13.534226375399161",nan,['A39']+ ['A39']+ A39+ A39+ A39+ ['39']+ ['39']+ 39+ 39+ 39
103,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,['63'],"52.55036672097044, 13.509915032138812",nan,['63']+ 63+ 63+ 63+ ['63']+ ['63']
104,Fasandenstrasse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],,,
105,Feldtmannstrasse,Autobus,['A 46'],"52.56401588379611, 13.46980857664685",nan,A46+ A46+ A46+ ['A46']+ ['L/41']+ ['41']+ 41+ 41+ 41
106,"Fichtenau, Stadtgrenze",Autobus,['A 22'],"52.45479242349705, 13.701499962608066",nan,['A22']+ A22+ A22+ A22
107,Fichtestrasse Ecke Schopenhauerstrasse,Autobus,['A 8'],"52.47979924975105, 13.617292306977053",nan,A8+ A8+ A8+ ['A8']
108,Frankfurter Tor,strassenbahn,"['13', '4']","52.511228472896995, 13.500207327717217+52.5153903,13.4540172",Q65706246+nan,"['14']+ 4,13+ ['13', '4']+ ['4', '13']+ ['4', '21', '13']+ ['13', '21', '4']+ 21,4,13+ 4"
109,Frankfurter Tor,u-bahn,['E'],"52.515833333333,13.454166666667",Q568627,E+ E+ ['E']+ ['E']+ ['E']+ ['E']+ E+ E+ E
110,Frankfurter Tor -Bersarinplatz,strassenbahn,['13'],,,
111,Freibad Grünau,strassenbahn,['86'],"52.4086224,13.604455",Q66489598,['86']+ 86+ 86+ ['86']
112,Friedrich-Junge-Strasse,Autobus,['A 82 P'],"52.49382897072681, 13.471572865851856",nan,['A82P']+ A82P+ A82P+ 82P+ ['82P']+ ['34']+ ['34']+ 34+ 34
113,Friedrichsfelde (Tierpark),u-bahn,['E'],"52.506111111111,13.512777777778",Q429781,['E']+ E+ E+ E
114,"Friedrichshagen, Wasserwerk",strassenbahn,['84'],"52.4560563,13.6419956",Q66362601,['84']+ 84+ 84+ 84+ ['84']+ ['84']
115,Friedrichstrasse Ecke Unter den Linden,Autobus,['A 57'],"52.51718498081941, 13.388821428784585",nan,"A57,A9+ ['A9']"
116,Friedrichstrasse Ecke Unter den Linden,Autobus,['A 9'],"52.51718498081941, 13.388821428784585",nan,"A57,A9+ ['A9']"
117,Galenusstrasse/ Krankenhaus Pankow,strassenbahn,['49'],,,
118,Gartenstadtweg,Autobus,['A 36'],"52.412313913821045, 13.56660267841369",nan,AD/36+ AD/36+ A36+ ['A36']+ ['36']+ ['36']+ ['36']+ 36+ 36+ 36
119,Genslerstrasse/Siegfriedstrasse,Omnibus,['O 37'],,,
120,"Glienicke, Kirche",Autobus,['A 7'],"52.63062737184449, 13.312861916755343",nan,"['A7']+ A7,AN+ A7+ A7+ ['A7']+ ['7']+ ['7']+ ['7']+ 7"
121,Goethestrasse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.40437395250698, 13.406194791584095+52.40437824622623, 13.406031370798006+52.40440968593904, 13.406189016984326+52.455522709275314, 13.725374316281378+52.50889249064269, 13.314314169578253",nan,"S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)+ ['A76']+ ['76E', '76']+ ['76E']+ 76E,76+ 78,76+ 78,76+ 1"
122,Greifswalder Strasse,Autobus,['A 44'],"52.53002871375482, 13.62681794411932+52.530034573162204, 13.626829299933483+52.54129394662311, 13.438891154043352+52.54130253684684, 13.438917276806427",nan,"['A44E']+ A44E,A44+ A44,A44E+ A44,A44E+ ['A44']+ ['44']+ ['56']+ ['44']+ ['56']+ 95,44+ 56+ 99,95,44+ 56E,56+ 99,95,44+ 56"
123,Greifswalder Strasse,strassenbahn,['4'],"52.5364975,13.4334045",Q65548960,"['60']+ ['13', '4']+ 13,4+ 13,4+ 4,13+ ['13', '4']+ ['4', '13']+ ['4', '13']+ 21,4,13+ 21,4,13+ 4,13,102"
124,Greifswalder Strasse Ecke Dimitroffstrasse,strassenbahn,['13'],"52.5364975,13.4334045",Q65548960,21
125,Greifswalder Strasse Ecke Hönower Strasse,Autobus,['A 44 E'],,,
126,Greifswalderstrasse Ecke Dimitroffstrasse,Omnibus,['O 30'],,,
127,Grottkauer Strasse,Autobus,['A 49'],"52.52747689361331, 13.606500303391726+52.52796238368814, 13.600805280630896",nan,A49+ A49+ A49+ ['A49']+ ['49']+ 60+ 60+ 60
128,Groß Ziethen,Autobus,['A Z'],"52.41404104155547, 13.438879163306126",nan,AZ+ AZ+ AZ
129,Große Präsidentenstrasse,strassenbahn,"['63', '49']","52.52326345734971, 13.401134586268517",nan,"['49']+ ['49', '63']"
130,Grünberger Strasse,strassenbahn,['4'],"52.5122359,13.452609",Q65706239,['4']+ 4+ 4+ 4+ ['4']+ ['4']+ ['4']+ 4+ 4+ 4
131,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,Autobus,['A 55'],"52.562178269666816, 13.454275093038184",nan,['A42']+ ['A42']+ A55+ A55
132,Güteraußenring,Autobus,['A 42'],"52.599887239389226, 13.469297130431492",nan,A42+ A42+ ['A42']
133,Güterbahnhof Springpfuhl,Autobus,['A 43'],"52.52561231977731, 13.533687321893124",nan,['A43']+ A43+ A43
134,Hackescher Markt,strassenbahn,"['69', '63', '49']","52.522700593509725, 13.401605863643521+52.522700593509725, 13.4016058636435214+52.5238354,13.402603+52.52386243784762, 13.402614038025424","Q65094590+Q65094590, Q65094590+nan","['1']+ ['69', '49', '65']+ ['49', '69']+ ['63']+ 69+ 69+ ['63', '72', '73', '49', '69', '71']+ ['71', '63', '69', '73', '72', '49', '75']+ ['73', '75', '49', '15', '63', '72']+ ['15', '24', '71', '63', '72', '49']+ 71,49,63,24,72+ 28,71,49,63,24,72+ {'63', '63E'}, {'71', '70', '24', '49', '108', '28'}"
135,Hamburger Platz,Autobus,"['A 56', 'A 55']","52.555394187589414, 13.438973139463632","nan+nan, nan","A56,A45+ A56,A55,A45+ A45,A56,A55+ ['A45', 'A56']+ ['45', '56']+ ['45', '56']+ ['45', '56']+ 45,56+ 56E,56,45+ {'109'}, {'56', '45'}"
136,Hannoversche Strasse,strassenbahn,['1'],"52.52716496126181, 13.387046759579254",nan,['11']+ 11+ 1
137,"Hauptstr,/Berliner Strasse",strassenbahn,['63'],,,
138,Hauptstrasse Ecke Edelweißstrasse,Autobus,"['A 55', 'A 45']","52.586379262142074, 13.36752938856218",nan,"['A45']+ ['A55', 'A45']+ A55,A45+ A45,A55+ ['A45']+ ['45']"
139,Hauptstrasse Ecke Hertzstrasse,Autobus,['A 58'],,,
140,Hauptstrasse/Berliner Strasse,strassenbahn,['64'],,,
141,Hauptstrasse/Suermondstrasse,strassenbahn,['70'],,,
142,"Heinersdorf, Kirche",Autobus,['A 42'],"52.568251990817764, 13.440484539756532+52.56826376476754, 13.440601903603064",nan,"['A42']+ ['A55', 'A42']+ A55,A42+ A42+ A42,A55+ ['A42']+ ['55']+ ['31', '55']+ ['42', '31', '55']+ 55,42+ 55,42+ 55,42"
143,"Heinersdorf, Kirche",strassenbahn,['71'],"52.5686908,13.4389053",Q65096107,['71']+ 71+ 71+ 71+ ['71']+ ['71']+ ['71']+ ['71']+ 71+ 71+ 71
144,"Heinersdorf, Romain-Rolland-Strasse",strassenbahn,['71'],"52.5725511,13.4371063",Q65096052,['71']+ 71+ 71+ 71+ ['71']+ 71
145,Heinersdorf/Kirche,Autobus,['A 55'],,,
146,Heinrich-Heine-Strasse,strassenbahn,['64'],"52.51099529411967, 13.416420239383946",nan,"64,11+ 11"
147,Heinrich-Heine-Strasse Ecke Schmidtstrasse,strassenbahn,['11'],,,
148,Heinrich-Mann-Platz,Autobus,"['A 55', 'A 58', 'A 45']","52.57297246262195, 13.392146133350426",nan,"['A45']+ A45+ A55,A45+ A45,A55,A58+ ['A58', 'A45']+ ['45', '58']+ ['45']+ ['45']+ 45+ 45+ 45"
149,"Hessenwinkel, Lindenstrasse",Autobus,['A 22'],"52.42653518647879, 13.728458969026482",nan,['A22']+ A22+ A22+ A22
150,Hirschgarten,strassenbahn,"['84', '87']","52.4518533,13.6006245",Q66360740,"['84', '87']+ 87,84+ 84,87+ 84,87+ ['84', '87']+ ['87', '84']+ ['25', '84']+ ['84', '25']+ 84,25+ 84,25+ 124,84,25"
151,Hirtestrasse,strassenbahn,['86'],"52.4590446,13.5838302+52.46228517510202, 13.582989445330378",Q66459446+nan,"86+ 86+ ['86']+ ['86']+ ['86']+ 86+ 83E,86"
152,Hochschule für Ökonomie,strassenbahn,['69'],"52.4927681,13.5266059",Q65952866+nan,"69+ 69,69E+ ['69', '69E']+ ['69']+ ['17', '19']+ ['19', '17']"
153,Hohenschönhaser Strasse,strassenbahn,['3'],,,
154,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"['70', '64']","52.5508672,13.5094994",Q65555882,"['64']+ ['70', '64']+ 64,70+ 70,64+ ['70', '64']+ ['70']"
155,"Hohenschönhausen, Falkenhagener Strasse",Autobus,['A 39'],,,
156,"Hohenschönhausen, Gartenstadt",strassenbahn,['63'],"52.5508672,13.5094994",Q65555882,['63']+ 63+ 63+ ['63']+ ['63']+ ['63']+ 63
157,Holteistrasse Ecke Boshagener Strasse,strassenbahn,['3'],,,
158,Hultschiner Damm,Autobus,['A 8'],"52.47711373957008, 13.600598140620137",nan,['A8']+ A8+ A8+ ['A8']+ ['8']+ ['8']+ ['8']+ 8+ 8+ 8
159,Humannplatz,strassenbahn,['70'],"52.5493627,13.4213646",Q65962652,70+ 70+ 70+ ['70']+ ['70']+ ['70']+ ['70']+ 70+ 70
160,"Hönow, Dorfstrasse",Autobus,['A 44'],"52.54884927869554, 13.63648687804691",nan,['A44']+ A44+ A44+ A44+ ['A44']+ ['44']
161,Invalidenstrasse Ecke Chausseestrasse,Autobus,['A 59'],"52.530584371359055, 13.383078391497033",nan,['A9']
162,Invalidenstrasse Ecke Chausseestrasse,strassenbahn,['82'],"52.5304158,13.3827302",Q65552697,"['1', '70']+ ['1', '46', '11', '70']+ 69,70+ 1+ 1+ ['63', '73']"
163,Joachimstrasse,Autobus,['A 38'],"52.40316589631168, 13.57664158970399",nan,A38+ A38+ A38+ ['AD/38']+ ['38']+ 38+ 38+ 38
164,"Johannisthal, Haeckelstrasse",strassenbahn,['69'],"52.4402944,13.5052638+52.44039533652145, 13.505590429052203",Q66225573+nan,"['69', '91']+ 69,69E+ 69+ 85,69,69E+ ['69', '69E', '85']+ ['85', '69']+ ['85', '17']+ 85+ 17,85"
165,Johannisthaler Chaussee,Autobus,['A 47'],"52.45136033294721, 13.488299619950027","nan+nan, nan","A47+ A47+ A47+ ['A47']+ ['47']+ ['47']+ ['47']+ 47+ 47+ {'41'}, {'47'}"
166,Jüdenstrasse,strassenbahn,['71'],,,
167,Kali-Chemie,strassenbahn,"['87', '92', '95']","52.46329854840191, 13.499789773217568",",+nan+nan, nan","95, 92+ 95, 92,87+ ['21']"
168,Karl-Marx-Allee,Omnibus,['O 40'],,,
169,Karlshorster Strasse,strassenbahn,['13'],"52.502334098187674, 13.475466875195085",nan,13+ 13+ 13+ ['82']+ 82
170,Karolinenhof Mitte,strassenbahn,['86'],"52.39176095915858, 13.634654256792825",nan,86+ 86+ ['86']+ ['86']
171,Karower Strasse/Alt-Buch,Autobus,['A 42'],,,
