line_id,stop_order,stop_id
194651,5,194654
194651,6,19460
194651,7,1946201
194652,0,1946262
194652,1,1946597
194652,2,1946504
194652,3,1946177
194653,0,1946511
194653,1,1946406
194653,2,1946441
194653,3,1946217
194653,4,1946141
194653,5,1946599
194653,6,1946117
194653,7,1946467
194653,8,1946631
194653,9,1946557
194653,10,194637
194653,11,1946310
194653,12,1946169
194653,13,1946113
194653,14,19463
194653,15,1946254
194653,16,1946473
194653,17,1946585
194653,18,1946389
194653,19,1946561
194653,20,194634
194653,21,1946485
194653,22,194654
194653,23,19460
194653,24,1946201
194654,0,1946485
194654,1,1946377
194654,2,1946520
194655,0,194651
194655,1,1946629
194655,2,1946463
194655,3,1946105
194655,4,1946272
194655,5,194691
194655,6,1946398
194655,7,1946399
194655,8,194694
194655,9,1946179
194655,10,1946243
194655,11,1946530
194656,0,1946413
194656,1,194617
194656,2,1946623
194656,3,1946401
194656,4,1946425
194656,5,1946543
194656,6,1946306
194656,7,1946319
194656,8,1946320
194657,0,1946379
194657,1,1946308
194657,2,194693
194657,3,194688
194657,4,1946233
194657,5,1946171
194657,6,1946229
194657,7,1946578
194657,8,1946615
194657,9,1946603
194657,10,1946493
194657,11,1946619
194657,12,194694
194657,13,1946179
194657,14,1946243
194657,15,1946530
194658,0,1946169
194658,1,1946572
194658,2,1946413
194658,3,194617
194658,4,1946196
194658,5,1946483
194658,6,1946163
194658,7,1946150
194658,8,1946526
194658,9,194697
194658,10,1946321
194658,11,1946542
194658,12,1946626
194658,13,1946627
194658,14,1946471
194658,15,1946370
194658,16,1946581
194658,17,1946137
194659,0,1946574
194659,1,1946236
194659,2,1946223
194659,3,1946220
194659,4,1946480
194659,5,1946544
194659,6,1946140
194659,7,1946615
194659,8,1946442
194659,9,1946493
194659,10,1946619
194659,11,194694
194659,12,1946179
194659,13,1946243
194659,14,1946530
194660,0,1946413
194660,1,194617
194660,2,1946623
194660,3,1946401
194660,4,1946425
194660,5,1946334
194660,6,1946338
194660,7,1946109
194660,8,1946317
194660,9,1946330
194660,10,1946129
194660,11,1946433
194661,0,1946411
194661,1,194622
194661,2,1946195
194661,3,1946581
194661,4,1946370
194661,5,1946197
194661,6,1946599
194661,7,1946117
194661,8,1946467
194661,9,1946631
194661,10,1946557
194661,11,194637
194661,12,1946310
194661,13,1946169
194661,14,1946113
194661,15,19463
194661,16,1946254
