line_id,jahr,linien_name,typ,dauer (min),ost_west,frequenz,länge (km),start,ziel
195180,1951,A36,autobus,,both/unkown,30,,S-Bhf. Grünau,"Schönefeld, Dorfplatz"
195181,1951,A37,autobus,,both/unkown,20,,Bhf. Lichtenberg,"Alt-Marzahn, Kirche"
195182,1951,A38,autobus,,both/unkown,20,,Bhf. Grünau,Walterdorferstrasse Ecke Waldstrasse
195183,1951,A39,autobus,,both/unkown,20,,Wartenbergerstrasse Ecke Falkenbergerstrasse,"Wartenberg, Siedlung"
195184,1951,A3E,autobus,,both/unkown,30,,U-Bhf. Oskar-Helene-Heim,"Lichterfelde, Osteweg"
195185,1951,A4,autobus,,both/unkown,7,,Rathaus Schöneberg,Rathaus Neukölln
195186,1951,A40,autobus,,both/unkown,20,,"Schlesischer Bhf./Ostbahnhof, Madaistrasse",Robert-Koch-Platz
195187,1951,A41,autobus,,both/unkown,30,,Dimitroffstrasse Ecke Leninallee,"Marzahn, Bürknersfelde"
195188,1951,A42,autobus,,both/unkown,20,,Ostseestrasse Ecke Prenzlauer Allee,"Buch, Zepernickerstrasse (Ludwig-Hoffmann-Krankenhaus)"
195189,1951,A43,autobus,,both/unkown,40,,U-Bhf. Friedrichsfelde,"Pekrunstrasse, Marzahn"
195190,1951,A44,autobus,,both/unkown,20,,"Bhf. Mahlsdorf, Wodanstrasse","Hönow, Dorfstrasse (Schule)"
195191,1951,A45,autobus,,both/unkown,20,,"Wilhelmsruh, Fontanestrasse","Weißensee, Lindenallee"
195192,1951,A5,autobus,,both/unkown,10,,"Falkensee, Hansastrasse Ecke Friedrich-Engel-Strasse","Spandau, Rathaus"
195193,1951,A6,autobus,,both/unkown,60,,Kladow/Hottengrund,Groß-Glienick/Gutshof
195194,1951,A7,autobus,,both/unkown,20,,"Pankow, Elsa-Brandströmstrasse","Schildow, Breitestrasse"
195195,1951,A8,autobus,,both/unkown,20,,U-Bhf. Friedrichsfelde,"Kaulsdorf, Sadowastrasse"
195196,1951,A19,autobus,,both/unkown,15,,Potsdamer Platz/Leipziger Platz,Stettiner Bhf./Nordbahnhof
195197,1951,B I,u-bahn,,both/unkown,12,,Innsbrucker Platz,Kottbusser Tor
195198,1951,B II,u-bahn,,both/unkown,12,,Warschauer Brücke,Uhlandstrasse
195199,1951,C I,u-bahn,,both/unkown,10,,Seestraße,Grenzallee
1951100,1951,C II,u-bahn,,both/unkown,10,,Mehringdamm,Tempelhof (Südring)
1951101,1951,D,u-bahn,,both/unkown,10,,Gesundbrunnen,Leinestr.
1951102,1951,E,u-bahn,,both/unkown,10,,Friedrichsfelde,Alexanderplatz
1951103,1951,KBS 100,s-bahn,,both/unkown,0,,Gesundbrunnen,Gesundbrunnen
1951104,1951,KBS 100a,s-bahn,,both/unkown,0,,Wilmersdorf,Grünau
1951105,1951,KBS 100b,s-bahn,,both/unkown,0,,Jungfernheide,Gartenfeld
1951106,1951,KBS 100d,s-bahn,,both/unkown,0,,Schöneweide,Spindlersfeld
1951107,1951,KBS 101,s-bahn,,both/unkown,0,,Staaken,Strausberg
1951108,1951,KBS 102,s-bahn,,both/unkown,0,,Potsdam,Erkner
1951109,1951,KBS 103,s-bahn,,both/unkown,0,,Falkensee,Königs Wusterhausen
1951110,1951,KBS 104,s-bahn,,both/unkown,0,,Oranienburg,Wannsee
1951111,1951,KBS 104a,s-bahn,,both/unkown,0,,Zehlendorf,Düppel
1951112,1951,KBS 105,s-bahn,,both/unkown,0,,Velten (Mark),Anhalter Bahnhof
1951113,1951,KBS 105b,s-bahn,,both/unkown,0,,Nordbahnhof,Rangsdorf
1951114,1951,KBS 106,s-bahn,,both/unkown,0,,Bernau (b Bln),Teltow
1951115,1951,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),fähre,20.0,West,60,,Kladow,Wannsee
19561,1956,1,straßenbahn,33.0,Ost,20,7.66,Schillingbrücke (Ostbahnhof),Am Kupfergraben
19562,1956,2,straßenbahn,70.0,West,15,,"Wienerstrasse, Spreewaldplatz",Bernauerstrasse Ecke Wollinerstrasse
19563,1956,3,straßenbahn,45.0,Ost,12,12.09,Mühlenstrasse,Björnsonstrasse
