Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
600,Pankow-Schönhausen,s-bahn,['KBS 106'],"52.5667,13.4111",Q653775,,
601,Pankower Allee (Schäfersee),strassenbahn,"['41', '35']","52.5638282437164, 13.364274804146625",,,
602,Pankower Allee (Schäfersee) Osloerstrasse Ecke Kolonie-Drontheim,strassenbahn,['36'],"52.55645628307908, 13.377253362609574",,,
603,Pankstrasse/Prinzenallee,strassenbahn,"['41', '29', '28']","52.55229630055077, 13.381421035926673",,"['41', '28', '29']",
604,Papestr.,s-bahn,"['KBS 100a', 'KBS 106', 'KBS 105b', 'KBS 100']","52.4756,13.3644",Q111323139,"['KBS 106', 'KBS 100', 'KBS 100a', 'KBS 105']+ KBS 106,KBS 105,KBS 100,KBS 100a+ KBS 100,KBS 100a,KBS 105,KBS 106+ KBS 100d,KBS 100c,KBS 100,KBS 100k",S-Bahnhof Berlin Südkreuz+ S-Bahnhof Berlin Südkreuz+ S-Bahnhof Berlin Südkreuz
605,Paradestrasse,u-bahn,['C II'],"52.478055555556,13.386111111111",Q557543,['C II'],
606,Parchimerallee Ecke Rudowerstrasse,strassenbahn,['47'],"52.44546832801967, 13.455025325633102",,['47'],
607,"Pekrunstrasse, Marzahn",bus,['A43'],"52.54023584809127, 13.546170091264191",,,
608,Paulsternstrasse Ecke Gartenfelderstrasse,strassenbahn,['55'],"52.54414705156193, 13.247081137354037",,,
609,Pichelsberg,s-bahn,"['KBS 101', 'KBS 103']","52.5103,13.2271",Q800488,"['KBS 101', 'KBS 103']+ KBS 103,KBS 101+ KBS 101+ KBS 100g",Berlin-Pichelsberg railway station+ Berlin-Pichelsberg railway station+ Berlin-Pichelsberg railway station
610,Platanenstrasse Ecke Klosterweg,strassenbahn,['23'],"52.58380752072133, 13.391073501138495",,,
611,Podbielskiallee,u-bahn,['A II'],"52.464444444444,13.296388888889",Q571324,"['A II']+ B II,A II+ A II,B II+ A II",Podbielskiallee+ Podbielskiallee+ Podbielskiallee
612,Podbielskiallee (Botanischer Garten),strassenbahn,['40'],"52.45866344963711, 13.303795091272793",,['40'],
613,Potsdam,s-bahn,['KBS 102'],"52.3917,13.0667",Q647973,['KBS 102']+ KBS 102+ KBS 102,Potsdam Hauptbahnhof+ Potsdam Hauptbahnhof
