,line_name,type,east-west,Stops,Frequency_7-30,Length (time),direction,Length (km),year,Info
27,84,strassenbahn,east,"Altglienicke, Am Falkenberg - Altglienicke, Kirche - S-Bhf. Adlershof - S-Bhf. Spindlersfeld - Köllnischer Platz - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - Hirschgarten - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei - Friedrichshagen, Wasserwerk",20,52,both,,1963,
28,86,strassenbahn,east,"Alt-Schmöckwitz - Karolinenhof Mitte - Richtershorn - Freibad Grünau - S-Bhf. Grünau - Chemische Fabrik - Köllnischer Platz - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - S-Bhf. Köpenick - Hirtestrasse - Mahlsdorf-Süd, Hubertus",20,48,both,,1963,
29,87,strassenbahn,east,"Rahnsdorf - Wasserwerk - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei - Hirschgarten - Seelenbinderstrasse Ecke Bahnhofstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Bhf. Schöneweide, Brückenstrasse - Kali-Chemie - Baumschulenstrasse - S-Bhf. Plänterwald - Elsenstrasse/S-Bhf. Treptower Park - Wiener Brücke, Krüllstrasse",20,67,both,,1963,
30,92,strassenbahn,east,"Oberspree, Bruno-Bürgel-Weg - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Plänterwald - Elsenstrasse/S-Bhf. Treptower Park - Wiener Brücke",20,29,both,,1963,
31,95,strassenbahn,east,Krankenhaus Köpenick - Lindenstrasse Ecke Bahnhofstrasse - Parkstrasse Ecke An der Wulheide - Edisonstrasse Ecke An der Wuhlheide - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Baumschulenweg,20,33,both,,1963,
32,95P,strassenbahn,east,S-Bhf. Baumschulenweg - Sonnenallee,20,5,both,,1963,
33,O 30,Omnibus,east,Klosterstrasse - Andreasstrasse - Küstriner Platz - Warschauer Strasse - Boxhagenerstrasse Ecke Holteistrasse - S-Bhf. Rummelsburg - Bhf. Lichtenberg - Bf. Siegfriedstrasse - Roederplatz - Proskauerstrasse Ecke Dolziger Strasse - Ebertystrasse Ecke Leninallee - Greifswalderstrasse Ecke Dimitroffstrasse - S-Bhf. Alexanderplatz - Klosterstrasse,20,67,both,,1963,
34,O 37,Omnibus,east,"Bf. Siegfriedstrasse - Bhf. Lichtenberg - Alt-Friedrichsfelde/Am Tierpark - Alt-Biesdorf, Oberfeldstrasse - S-Bhf. Biesdorf - Elisabethstrasse - Alt-Marzahn, Kirche - Marzahner Chaussee - Bürknersfelde - Dingelstädter Strasse - Genslerstrasse/Siegfriedstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse/Leninallee",15,46,both,,1963,
35,O 40,Omnibus,east,Ostbahnhof - Küstriner Platz - Karl-Marx-Allee - Leninplatz - Königstor - Prenzlauer Tor - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,8,23,both,,1963,
36,A 7,Autobus,east,"Glienicke, Kirche - Elsässer Strasse - Schildow, Kirche - Blankenfelde, Hauptstrasse - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Pankow (Vinetastrasse)",15,37,both,,1963,
37,A 8,Autobus,east,"Waldesruh, Mahlsdorfer Allee - Fichtestrasse Ecke Schopenhauerstrasse - Hultschiner Damm - Sadowastrasse - Chemnitzerstrasse Ecke Ulmenstrasse - Alt-Biesdorf, Oberfelderstrasse - Alt-Friedrichsfelde/Am Tierpark - U-Bhf. Friedrichsfelde (Tierpark)",20,33,both,,1963,
38,A 9,Autobus,east,Kurische Strasse - Dimitroffstrasse Ecke Bötzowstrasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Oranienburger Tor - Platz vor dem Neuen Tor - Scharnhorststrasse Ecke Kieler Strasse,6,27,hin,,1963,
39,A 9,Autobus,east,Kurische Strasse - Arnswalder Platz - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Oranienburger Tor - Platz vor dem Neuen Tor - Scharnhorststrasse Ecke Kieler Strasse,6,27,zurück,,1963,
40,A 22,Autobus,east,"Hessenwinkel, Lindenstrasse - Fahlenbergstrasse/Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,27,both,,1963,
41,A 23,Autobus,east,"S-Bhf. Altglienicke - Wendenstrasse - Normannenstrasse - Wolfmarsteig - Schönefelder Chaussee - Altglienicke, Kirche",20,18,both,,1963,
42,A 24,Autobus,east,"Schönefeld, Flughafen Süd - Waßmannsdorfer Weg - Waltersdorfer Chaussee - Bhf. Schönefeld - Schönefeld, Kirche - Schönefeld, Flughafen Nord",10,16,hin,,1963,
43,A 24,Autobus,east,"Schönefeld, Flughafen Süd - Waßmannsdorfer Weg - Kienbergstrasse - Bhf. Schönefeld - Schönefeld, Kirche - Schönefeld, Flughafen Nord",10,16,zurück,,1963,
44,A 26,Autobus,east,VEB Baustransporte - Bhf. Schöneweide,15,5,both,,1963,
45,A 27,Autobus,east,"Müggelheim - Müggelseeperle - Krankenhaus Köpenick - Bahnhofstrasse Ecke Lindenstrasse - S-Bhf. Köpenick - Wongrowitzer Steig - Ulmenstrasse - Chemnitzer Strasse/Alt-Kaulsdorf - S-Bhf. Kaulsdorf, Planitzstrasse",10,48,both,,1963,
46,A 36,Autobus,east,"Schönefeld, Gartenstrasse - S-Bhf. Grünbergallee - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau - Gartenstadtweg - Bohnsdorf, Kirche - S-Bhf. Grünbergallee - Schönefeld Gargenstrasse",20,14,both,,1963,
47,A 38,Autobus,east,"Waltersdorf - Bohnsdorf, Waldstrasse - Eichbuschplatz - Joachimstrasse - S-Bhf. Grünau",20,18,both,,1963,
48,A 39,Autobus,east,"Wartenberg, Siedlung - Wartenberg, Dorfstrasse - Falkenberger Chaussee - Kolonie ""Land im Sonne"" - Hohenschönhausen, Falkenhagener Strasse",16,13,both,,1963,
49,A 42,Autobus,east,"Buch, Kiesgruben - Karower Strasse/Alt-Buch - Strasse 78 - Alt-Karow, Bahnhofstrasse - Güteraußenring - Blankenburg, Bahnhofstrasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade (Spitze)",10,31,both,,1963,
50,A 43,Autobus,east,"Bürknersfelde - Marzahn, Berliner Chaussee - Güterbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - Alt-Friedrichsfelde/Am Tierpark - U-Bhf. Friedrichsfelde (Tierpark)",20,18,both,,1963,
51,A 44,Autobus,east,"Hönow, Dorfstrasse - Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",13,13,both,,1963,
52,A 44 E,Autobus,east,Greifswalder Strasse Ecke Hönower Strasse - Am Rosenhag - S-Bhf. Mahlsdorf,10,7,both,,1963,
53,A 45,Autobus,east,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - Prenzlauer Promenade Ecke Kissingenstrasse - Am Steinberg - Langhansstrasse Ecke Gustav-Adolf-Strasse - Klement-Gottwald-Allee/Rennbahnstrasse - Weißensee, Schwarzwelfenweg",15,38,both,,1963,
54,A 46,Autobus,east,"Ahrensfelde, Kirche - LPG Falkenberg - Strasse nach Wartenberg - Malchower Weg - Buschallee Ecke Klement-Gottwald-Allee - Klement-Gottwald-Allee/Rennbahnstrasse - Feldtmannstrasse - Malchow, Dorfstrasse",15,30,both,,1963,
55,A 47,Autobus,east,"Bhf. Schöneweide - Sterndamm - Johannisthaler Chaussee - Baumschulenstrasse - S-Bhf. Baumschulenweg - Eichbuschallee - Treptow, Rathaus - S-Bhf. Treptower Park",10,26,both,,1963,
56,A 49,Autobus,east,"Kaulsdorf, Bausdorfstrasse - Ridbacher Strasse - Grottkauer Strasse - Uckermarkstrasse - Kaulsdorf, Bausdorfstrasse",20,14,both,,1963,
57,A 55,Autobus,east,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - Prenzlauer Promenade Ecke Granitzstrasse - Heinersdorf/Kirche - Am Steinberg/Thulestrasse - Langhansstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Gustav-Adolf-Strasse Ecke Rennbahnstrasse - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Pielsporter Strasse",17,39,both,,1963,
58,A 56,Autobus,east,"Weißensee, Nüßlerstrasse - Rennbahnstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Prenzlauer Promenade - Wicherstrasse Ecke Prenzlauer Allee",15,12,both,,1963,
59,A 57,Autobus,east,Kniprodestrasse/Ermländische Strasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Schumannstrasse - Robert-Koch-Platz - Scharnhorststrasse,7,27,both,,1963,
60,A 58,Autobus,east,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Hertzstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow (Vinetastrasse)",12,18,both,,1963,
61,A 59,Autobus,east,Walter-Ulbricht-Stadion - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Bhf. Friedrichstrasse - U-Bhf. Franzsösische Strasse - U-Bhf. Stadtmitte - Wilhelmstrasse - U-Bhf. Thälmannplatz,7,12,both,,1963,
62,A 82 P,Autobus,east,"Stralau, Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm",20,5,both,,1963,
63,A L,Autobus,east,"Neu-Lindenberg - Lindenberg - Malchow, Dorfstrasse",42,15,both,,1963,
64,A Z,Autobus,east,"Groß Ziethen - Klein Ziethen - Waßmannsdorf - Schönefeld, Kirche - Bhf. Schönefeld",20,23,both,,1963,
65,"S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz",Autobus,east,"S-Bhf. Friedrichshagen - Schöneiche, Goethepark - Dorfaue - Rüdersdorf, Thälmannplatz - Post - Rüdersdorf, Karl-Marx-Platz",20,40,both,,1963,VEB Kraftverkehr Schöneiche-Rüdersdorf
66,S-Bhf. Rahnsdorf - Woltersdorfer Schleuse,Autobus,east,S-Bhf. Rahnsdorf - Goethestrasse - Eichendamm - Lerchenstrasse - Fasanenstrasse - Thälmannplatz - Blumenstrasse - Woltersdorfer Schleuse,20,22,both,,1963,VEB Kraftverkehr Woltersdorf
67,Schmöckwitz - Eichwalde,Autobus,east,"Alt-Schmöckwitz - Eichwalde, Uhlandstrasse - Bhf. Eichwalde",80,13,both,,1963,VEB Kraftverkehr Schöneiche-Rüdersdorf
68,Schmöckwitz - Ziegenhals,Autobus,east,"Alt-Schmöckwitz - Konsum Wernsdorf - Konsum Ziegenhals - Ziegenhals, VA-Dienststelle",75,18,both,,1963,VEB Kraftverkehr Schöneiche-Rüdersdorf
69,KBS 101,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Giebelsee - Strausberg,,1964,,,,
70,KBS 101c,s-bahn,east,Strausberg - Strausberg Stadt - Strausberg Nord,,1964,,,,
71,KBS 102,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,,1964,,,,
72,KBS 103,s-bahn,east,Falkensee - Albrechtshof,,1964,,,,
73,KBS 103,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,,1964,,,,
74,KBS 103a,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Altglienicke - Grünbergallee - Zentralflughafen Berlin-Schönefeld,,1964,,,,
75,KBS 104,s-bahn,east,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen Neuendorf (b Bln) - Bergfelde (b Bln) - Schönfließ - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Warschauer Str. - Ostbahnhof - Jannowitzbrücke - Alexanderplatz,,1964,,,,
76,KBS 104d,s-bahn,east,Hennigsdorf (b Bln) - Hennigsdorf Nord - Hohenschöpping - Velten (Mark),,1964,,,,
77,KBS 106,s-bahn,east,Bernau (b Bln) - Zepernick (b Bernau) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Oberspree - Spindlersfeld,,1964,,,,
78,KBS 106a,s-bahn,east,Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Altglienicke - Grünbergallee - Zentralflughafen Berlin-Schönefeld,,1964,,,,
