,station_id,stop_name,line_count,type,in_lines
533,403,"Alt-Biesdorf, Oberfelderstrasse",2,Omnibus,['O 37']
534,403,"Alt-Biesdorf, Oberfelderstrasse",2,Autobus,['A 8']
535,404,Alt-Friedrichsfelde/Am Tierpark,3,Omnibus,['O 37']
536,404,Alt-Friedrichsfelde/Am Tierpark,3,Autobus,"['A 43', 'A 8']"
537,405,U-Bhf. Friedrichsfelde (Tierpark),2,Autobus,"['A 43', 'A 8']"
538,406,Kurische Strasse,2,Autobus,['A 9']
539,407,Dimitroffstrasse Ecke Bötzowstrasse,1,Autobus,['A 9']
540,408,Königstor,6,strassenbahn,['74']
541,408,Königstor,6,Omnibus,['O 40']
542,408,Königstor,6,Autobus,"['A 57', 'A 9']"
543,409,S-Bhf. Alexanderplatz,4,Omnibus,['O 30']
544,409,S-Bhf. Alexanderplatz,4,Autobus,"['A 57', 'A 9']"
545,410,Marx-Engels-Platz,3,Autobus,"['A 57', 'A 9']"
546,411,Friedrichstrasse Ecke Unter den Linden,2,Autobus,['A 9']
547,412,Bhf. Friedrichstrasse,6,strassenbahn,"['70', '46']"
548,412,Bhf. Friedrichstrasse,6,Autobus,"['A 57', 'A 9', 'A 59']"
549,413,Oranienburger Tor,9,strassenbahn,"['1', '46', '70', '11', '69']"
550,413,Oranienburger Tor,9,Omnibus,['O 40']
551,413,Oranienburger Tor,9,Autobus,"['A 9', 'A 59']"
552,414,Platz vor dem Neuen Tor,2,Autobus,['A 9']
553,415,Scharnhorststrasse Ecke Kieler Strasse,2,Autobus,['A 9']
554,416,Kurische Strasse,2,Autobus,['A 9']
555,417,Arnswalder Platz,1,Autobus,['A 9']
556,418,Königstor,6,strassenbahn,['74']
557,418,Königstor,6,Omnibus,['O 40']
558,418,Königstor,6,Autobus,"['A 57', 'A 9']"
559,419,S-Bhf. Alexanderplatz,4,Omnibus,['O 30']
560,419,S-Bhf. Alexanderplatz,4,Autobus,"['A 57', 'A 9']"
561,420,Marx-Engels-Platz,3,Autobus,"['A 57', 'A 9']"
562,421,Friedrichstrasse Ecke Unter den Linden,2,Autobus,['A 9']
563,422,Bhf. Friedrichstrasse,6,strassenbahn,"['70', '46']"
