,line_id,year,line_name,type,start_stop,Length (time),Length (km),east_west,Frequency
35,195636,1956,71,strassenbahn,"Heinersdorf, Romain-Rolland-Str.<> Jüdenstrasse, Berliner Rathaus",31,7.56,Ost,10
36,195637,1956,72,strassenbahn,"Weißensee, Rennbahnstrasse Ecke Parkstrasse<> Charlottenstrasse Ecke Taubenstrasse",42,10.39,Ost,10
37,195638,1956,73,strassenbahn,"Bhf. Lichterfelde-Ost<> Potsdamer Platz, Linkstrasse",41,,West,20
38,195639,1956,74,strassenbahn,"Lichtefelde, Finckensteinallee<> Potsdamer Platz, Linkstrasse",38,,West,20
39,195640,1956,74,strassenbahn,"Wießensee, Rennbahnstrasse Ecke Parkstrasse<> Charlottenstrasse Ecke Taubenstrasse",38,9.4,Ost,6
40,195641,1956,75,strassenbahn,"Bhf. Zoo, Kantstrasse<> Hakenfelde",59,,West,10
41,195642,1956,77,strassenbahn,"Bhf. Zoo<> Lichterfelde, Goerzallee",45,,West,20
42,195643,1956,78,strassenbahn,Bhf. Zoo<> Lindenstrasse,44,,West,20
43,195644,1956,82,strassenbahn,"Dönhoffplatz, Krausenstrasse<> Köpenick, Hirtestrasse",73,21.53,Ost,20
44,195645,1956,83,strassenbahn,Wendenschloß Ecke Ekhofstrasse<> S-Bhf. Mahlsdorf,47,12.23,Ost,20
45,195646,1956,84,strassenbahn,"Altglienicke, Am Falkenberg<> Friedrichshagen, Wasserwerk",52,13.6,Ost,20
46,195647,1956,86,strassenbahn,"Alt-Schmöckwitz<> Mahlsdorf-Süd, Hubertus",53,16.17,Ost,20
47,195648,1956,87,strassenbahn,Rahnsdorf<> Wiener Brücke,73,21.58,Ost,20
48,195649,1956,88,strassenbahn,Stadtpark<> Wiener Brücke,45,,West,15
49,195650,1956,91,strassenbahn,"Treptow, Spreeterrassen<> Johannisthal, Haeckelstrasse",23,6.33,Ost,20
50,195651,1956,92,strassenbahn,"Treptow, Flutgraben<> Oberspree",28,8.21,Ost,20
51,195652,1956,94,strassenbahn,"Oranienplatz, Dresdenerstrasse<> Neukölln, Schulenburgpark",20,,West,15
52,195653,1956,95,strassenbahn,Attilaplatz<> Sonnenallee Ecke Schwarzer Weg,42,,West,15
53,195654,1956,95,strassenbahn,"Baumschulenweg, Sonnenallee<> Köpenick, Krankenhaus",37,10.95,Ost,20
54,195655,1956,96,strassenbahn,"U-Bhf. Tempelhof<> Lichterfelde-Süd, Schwelmerstrasse",32,,West,15
55,195656,1956,96,strassenbahn,"Machnower Schleuse<> Teltow, Paul-Gerhardt-Strasse",24,6.96,Ost,20
56,195657,1956,98,strassenbahn,Mehringplatz (Hallesches Tor)<> Daimlerstrasse Ecke Birnhornweg,35,,West,15
57,195658,1956,99,strassenbahn,"Lindenstrasse, Jerusalemer Kirche<> Bhf. Lichtenrade",49,,West,15
58,195659,1956,A I,u-bahn,Pankow (Vinetastr.)<> Ruhleben,50,,West,10
59,195660,1956,A II,u-bahn,Kottbusser Tor<> Krumme Lanke,38,,West,10
60,195661,1956,A III,u-bahn,Deutsches Opernhaus (Bismarckstr.)<> Richard-Wagner-Platz,1,,West,10
61,195662,1956,A1,bus,"Moabit, Waldstrasse<> Lichterfelde, Süd, Lindenstrasse",57,,West,15
62,195663,1956,A10,bus,"Haselhorst, Kirche<> Zehlendorf, Andreezeile Ecke Sachtlebenstrasse",58,,West,15
63,195664,1956,A11,bus,Saargemünder Strasse<> Trippsteinstrasse Ecke Sonderhauserstrasse,26,,West,5
64,195665,1956,A12,bus,"U-Bhf. Seestrasse<> Frohnau, Invalidensiedlung",44,,West,10
65,195666,1956,A12S,bus,U-Bhf. Seestrasse<> Bhf. Frohnau,34,,West,10
66,195667,1956,A13,bus,"Spandau, Weinmeisterhornweg<> Bhf. Tegel",45,,West,15
67,195668,1956,A14,bus,"Osloerstrasse Ecke Schwedenstrasse<> Heiligensee, Hennigsdorferstrasse Ecke Mattenbuder Pfad",44,,West,20
68,195669,1956,A15,bus,Bhf. Wittenau<> Bhf. Frohnau,38,,West,15
69,195670,1956,A16,bus,"U-Bhf. Seestrasse<> Englerallee, Breitenbachplatz",39,,West,6
