Column,stop_name,type,in_lines,location,identifier
1056,Südstern,strassenbahn,"['3', '2']","52.489200004098294, 13.407589825806399",
1057,Südstern,u-bahn,['C I'],"52.489444444444,13.407777777778",Q656081
1058,Titania-Palast,strassenbahn,['44'],"52.464032555260935, 13.32750541098576",
1059,Tauroggenerstrasse Ecke Osnabrückerstrasse,strassenbahn,['35'],"52.52583942409434, 13.301930866209489",
1060,Tegel,s-bahn,['KBS 105'],"52.5886,13.2894",Q800493
1061,"Tegel, Alt-Tegel",strassenbahn,"['41', '25']","52.589904229457645, 13.283306953160388",
1062,"Tegelort, Kurzestrasse",strassenbahn,['28'],"52.57057206458455, 13.229144292870291",
1063,Teltow,s-bahn,['KBS 106'],"52.388056,13.299444",Q7697868
1064,"Teltow, Paul-Gerhardt-Strasse",strassenbahn,['96'],"52.41175171527543, 13.297893346256327",
1065,Teltower Damm Ecke Beeskowdamm,bus,['A1'],"52.40898247800021, 13.267419069153956",
1066,Teltowerstrasse Ecke Charlottenburgerstrasse,strassenbahn,['54'],"52.52694632793839, 13.21601948232148",
1067,Teltowerstrasse Ecke Charlottenburgerstrasse,bus,['A5'],"52.52694632793839, 13.21601948232148",
1068,Tempelhof,s-bahn,"['KBS 100', 'KBS 100a']","52.4708,13.3854",Q111264368
1069,Tempelhof (Südring),u-bahn,['C II'],"52.47075,13.385361111111",Q3983109
1070,"Tempelhof, Flughafen",bus,"['A19', 'A24']","52.47821365665261, 13.385850741443086",
1071,"Tempelhof, Industriestrasse",strassenbahn,['26'],"52.4553398033838, 13.409901803195611",
1072,Tempelhofer Damm Ecke Alt-Tempelhof,strassenbahn,['6'],"52.46572607327646, 13.385615030980581",
1073,Tempelhofer Damm Ecke Friedrich-Karl-Strasse,bus,['A25'],"52.4557662805014, 13.383913574584998",
1074,Thielallee Ecke Berlinerstrasse,bus,['A48'],"52.44187703328261, 13.282715632576368",
1075,Thielplatz,u-bahn,['A II'],"52.451111111111,13.282222222222",Q571331
1076,Thorwaldsenstrasse Ecke Grazer Damm,strassenbahn,['66'],"52.459134019857125, 13.348736044492982",
1077,Thälmannplatz,u-bahn,['A I'],"52.51167,13.38472",Q658391
1078,Tiergarten,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.5144,13.3365",Q572112
1079,Tierpark Berlin,strassenbahn,['69'],"52.50297204519277, 13.520916474066839",
1080,Traegerstrasse,strassenbahn,['66'],"52.476296219875636, 13.341188525686016",
1081,"Treptow, Flutgraben",strassenbahn,['92'],"52.49652089552196, 13.450211854195379",
1082,"Treptow, Spreeterrassen",strassenbahn,['91'],"52.4858076815485, 13.48219418555229",
1083,Treptower Park,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 103']","52.4938,13.4618",Q559274
1084,Trippsteinstrasse Ecke Sondershauserstrasse,bus,['A11'],"52.42160582692339, 13.343681427593937",
1085,Turmstrasse Ecke Gotzkowskystrasse,strassenbahn,"['23', '25']","52.5272342163684, 13.330508113555048",
1086,Turmstrasse Ecke Huttenstrasse,bus,['A25'],"52.52739408994267, 13.328665796393357",
1087,Turmstrasse Ecke Rathenowerstrasse,strassenbahn,['2'],"52.52676605769317, 13.355268210021727",
1088,Turmstrasse Ecke Stromstrasse,bus,['A16'],"52.52631573511827, 13.34320006470035",
1089,Turmstrasse Ecke Stromstrasse,strassenbahn,['35'],"52.5263082977077, 13.343145312622728",
1090,U-Bhf Kottbusser Tor,bus,['A28'],"52.499051258453434, 13.418359009880978",
1091,U-Bhf. Alexanderplatz,bus,['O30'],"52.521587882181876, 13.413821924399596",
1092,U-Bhf. Boddinstrasse,bus,['A4'],"52.48028651973042, 13.425279574612379",
1093,U-Bhf. Boddinstrasse,strassenbahn,['27'],"52.48027865367161, 13.4251690465859",
1094,U-Bhf. Bülowstrasse,strassenbahn,['73'],"52.4977947071403, 13.362041491653272",
1095,U-Bhf. Dahlem-Dorf,strassenbahn,['40'],"52.45806630220509, 13.290310484320848",
1096,U-Bhf. Dimitroffstrasse,strassenbahn,"['13', '4']","52.5401928,13.4113979",Q65088313
1097,U-Bhf. Ernst-Reuter-Platz,bus,['A25'],"52.51164603099566, 13.322290858670174",
1098,U-Bhf. Ernst-Reuter-Platz,strassenbahn,"['54', '44', '25']","52.511726576083134, 13.32260139821175",
1099,U-Bhf. Fehrbelliner Platz,bus,"['A1', 'A21', 'A4']","52.490390927187676, 13.31417745809863",
1100,U-Bhf. Flughafen,bus,['A4'],"52.48488595983176, 13.38599654703171",
1101,U-Bhf. Flughafen,strassenbahn,"['98', '95', '99']","52.484779980367215, 13.385962227231367",
1102,U-Bhf. Friedrichsfelde,bus,"['A8', 'A43']","52.50624112361932, 13.512853060220209",
1103,U-Bhf. Gesundbrunnen,strassenbahn,['41'],"52.54821570803947, 13.38830480823042",
1104,U-Bhf. Gneisenaustrasse,bus,"['A24', 'A28']","52.491226587637556, 13.396327911797728",
1105,U-Bhf. Grenzallee,strassenbahn,"['47', '6']","52.46348178875844, 13.444377273631815",
1106,U-Bhf. Görlitzer Bahnhof,strassenbahn,['88'],"52.4992556401354, 13.42774699131215",
1107,U-Bhf. Hallesches Tor,bus,['A24'],"52.497910015148264, 13.391307667735301",
1108,U-Bhf. Heidelberger Platz,strassenbahn,['51'],"52.48019261801072, 13.312401045561629",
1109,U-Bhf. Hohenzollernplatz,strassenbahn,['51'],"52.493881414319354, 13.324128070900262",
1110,U-Bhf. Kaiserdamm,bus,['A10'],"52.50999451351762, 13.28180313022396",
1111,U-Bhf. Kochstrasse,strassenbahn,['88'],"52.50671104890453, 13.39050917018471",
1112,U-Bhf. Kottbusser Damm,strassenbahn,['94'],"52.49267738794113, 13.422287154794477",
1113,U-Bhf. Krumme Lanke,bus,['A3'],"52.44308074990891, 13.24046555211665",
1114,U-Bhf. Moritzplatz,strassenbahn,['88'],"52.503642228347914, 13.410708942561621",
1115,U-Bhf. Neanderstrasse,strassenbahn,"['11', '64']","52.511034507689814, 13.41638558442145",
1116,U-Bhf. Neukölln,strassenbahn,"['15', '47', '6', '26']","52.46965567921364, 13.441614939772098",
1117,U-Bhf. Onkel-Toms-Hütte,bus,['A3'],"52.45007713385221, 13.251272593463492",
1118,U-Bhf. Oskar-Helene-Heim,bus,"['A18', 'A11', 'A3E', 'A3', 'A1']","52.450279005868815, 13.270361987159156",
1119,U-Bhf. Paradestrasse,strassenbahn,['98'],"52.478209745217, 13.385797973983829",
1120,U-Bhf. Prinzenstrasse,bus,['A28'],"52.49844153838657, 13.406643837212261",
1121,U-Bhf. Rathaus Neukölln,strassenbahn,['6'],"52.48155631900372, 13.434303920603828",
1122,U-Bhf. Richard-Wagner-Platz,strassenbahn,"['55', '54']","52.51748234491785, 13.306584464164093",
1123,U-Bhf. Ruhleben,bus,['A5'],"52.52596833151868, 13.241478578696297",
1124,U-Bhf. Ruhleben,strassenbahn,['54'],"52.52595776615238, 13.241371866188729",
1125,U-Bhf. Rüdesheimer Platz,bus,['A17'],"52.4720831087791, 13.314909778144818",
1126,U-Bhf. Schlesisches Tor,bus,['A28'],"52.50108419874335, 13.441971259873345",
1127,U-Bhf. Seestrasse,bus,"['A16', 'A12', 'A12S']","52.550315408708514, 13.352298502985231",
1128,U-Bhf. Seestrasse,strassenbahn,['3'],"52.5502459,13.3516304",Q65729619
1129,U-Bhf. Tempelhof,strassenbahn,['96'],"52.47106947231412, 13.385621239987778",
1130,U-Bhf. Thielplatz,bus,['A10'],"52.45104520805668, 13.281736418792137",
1131,U-Bhf. Uhlandstrasse,strassenbahn,['51'],"52.50265789390516, 13.325933098024459",
1132,U-Bhf. Vinetastrasse,bus,['A7'],"52.55981894046453, 13.413208628380339",
1133,U-Bhf. Vinetastrasse,strassenbahn,"['22', '49', '46']","52.5596168,13.413232",Q65075426
1134,U-Bhf. Weinmeisterstrasse,strassenbahn,"['63', '11']","52.5253215,13.4035047",Q65094293
1135,Uckermarkstrasse,bus,['A49'],"52.52145144349922, 13.596724604247981",
1136,Uferstrasse Ecke Badstrasse,strassenbahn,['41'],"52.553714712982824, 13.37727108863802",
1137,Uferstrasse Ecke Exerzierstrasse,strassenbahn,['28'],"52.553723998432375, 13.377122671623093",
1138,Uferstrasse Ekce Exerziestrasse,strassenbahn,['29'],"52.553760127727564, 13.377089925102863",
1139,Uhlandstrasse,u-bahn,['B I'],"52.5025,13.325555555556",Q568224
1140,Uhlandstrasse Ecke Berlinerstrasse,strassenbahn,['60'],"52.48648120024464, 13.322426360810834",
1141,Uhlandstrasse Ecke Kurfürstendamm,bus,"['A29', 'A19']","52.502532428867724, 13.325280453057784",
1143,Uhlenhorst,strassenbahn,"['83', '86']","52.468276850494775, 13.5867542618861",
1144,Ulmenstrasse,bus,['A27'],"52.48730877811447, 13.574932033917504",
1145,Unionplatz,bus,['A25'],"52.533059397499464, 13.337278814540305",
1146,Unter den Eichen Ecke Habelschwerdterallee,bus,['A11'],"52.44571623856252, 13.293689331540065",
1147,Unter den Linden,s-bahn,"['KBS 106', 'KBS 105', 'KBS 104']","52.516388888889,13.380833333333",Q477185
1148,Unter den Linden Ecke Friedrichstrasse,bus,['A9'],"52.517002154850104, 13.388838236105823",
1149,Urban-Krankenhaus,strassenbahn,['95'],"52.493170013997506, 13.407958861404088",
1150,Urbanstrasse Ecke Baerwaldstrasse,bus,['A28'],"52.4939129076448, 13.403470823371807",
1151,Usedomerstrasse,strassenbahn,"['41', '2']","52.54110977481431, 13.393795244737682",
1152,Velten (Mark),s-bahn,['KBS 105'],"52.685,13.172222",Q19274518
1153,Verwaltungs-Gebäude,bus,['A10'],"52.537063326963775, 13.262285169635492",
1154,Verwaltungsgebäude,strassenbahn,['55'],"52.53699730933042, 13.262264223562065",
1155,Veteranenstrasse Ecke Brunnenstrasse,strassenbahn,['46'],"52.5324542,13.3974236",Q65691740
1156,Vetschauer Allee,strassenbahn,['86'],"52.3864124,13.633786",Q66459670
1157,Viktoria-Luise-Platz,u-bahn,['B II'],"52.496161111111,13.342702777778",Q178685
1158,Vollkropfgraben,strassenbahn,['86'],"52.4386665,13.5714889",Q66493847
1159,Voltastr.,u-bahn,['D'],"52.542093,13.393022",Q663308
1160,"Neue Wagenhalle, Kleiststrasse",strassenbahn,['96'],"52.394007518432645, 13.237288942514153",
1161,Waidmannslust,s-bahn,['KBS 104'],"52.6064,13.321",Q800492
1162,Waidmannsluster Damm Ecke Oraniendamm,bus,"['A12', 'A12S']","52.607850168715785, 13.323802799642452",
1163,Waldesruh,bus,['A8'],"52.48487246674627, 13.628942223225485",
1164,Walter-Ulbricht-Stadion,strassenbahn,['69'],"52.535963327585435, 13.376321651970404",
1165,Waltersdorf,bus,['A38'],"52.36492901110609, 13.555712408051676",
1166,Waltersdorfer Chaussee (Spinne),bus,['A36'],"52.392853002264665, 13.522677096747554",
1167,Wannsee,Fähre,['Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt)'],"52.421928022812146, 13.175815964118582",
1168,Wannsee,s-bahn,"['KBS 104b', 'KBS 102', 'KBS 104']","52.4214,13.1792",Q111325896
1169,Warschauer Brücke,u-bahn,['B I'],"52.5051,13.4491",Q18380174
1170,Warschauer Str.,s-bahn,"['KBS 100c', 'KBS 100b', 'KBS 102', 'KBS 101', 'KBS 103']","52.506416666667,13.450955555556",Q111252298
1171,Warschauer Strasse,bus,['O30'],"52.512432267445355, 13.452598837307189",
1172,Warschauerstrasse,strassenbahn,['82'],"52.502777525603406, 13.446908213469491",
1173,"Wartenberg, Siedlung",bus,['A39'],"52.58393195902164, 13.53076033685478",
1174,Wasserwerk,bus,['A13'],"52.57559434763526, 13.265051965662359",
1175,Wedding,s-bahn,"['KBS 100', 'KBS 103a']","52.5425,13.3661",Q638604
1176,Weddingplatz,strassenbahn,"['25', '23', '2']","52.54152535588228, 13.369198549039789",
1177,"Weddingplatz, Müllerstrasse",strassenbahn,['35'],"52.54067197409985, 13.36925376891696",
1178,Weg nach Saatwinkel,bus,['A13'],"52.56198891016255, 13.254628464556555",
1179,Weichselstrasse,strassenbahn,['26'],"52.48313752772782, 13.431480309407663",
1180,"Weidendammbrücke, Bhf. Friedrichstrasse",strassenbahn,"['1', '46', '70']","52.521693018839535, 13.387977713287484",
1181,Weinmeisterhornweg,bus,['A35'],"52.50924681744358, 13.180314851039075",
1182,Weinmeisterstr.,u-bahn,['D'],"52.525833333333,13.403888888889",Q661876
1183,"Weißensee, Feldmannstrasse",bus,['A45'],"52.56400731258861, 13.469728040430168",
1184,"Weißensee, Feldtmannstrasse",bus,['A46'],"52.56399218182505, 13.469768291231707",
1185,"Weißensee, Rennbahnstrasse Ecke Gustav-Adolf-Strasse",bus,['A55'],"52.56218731483447, 13.45427047483045",
1186,"Weißensee, Rennbahnstrasse Ecke Parkstrasse",strassenbahn,['72'],"52.558956439159395, 13.462042583727074",
1187,"Weißensee, Schwarzelfenweg",bus,['A55'],"52.56729838338304, 13.46535452978551",
1188,Weißenseer Weg,bus,"['O41', 'A41']","52.53305919668049, 13.476252837088406",
1189,Weißenseer Weg,strassenbahn,"['63', '64']","52.532258,13.476705",Q65942700
1190,Wendenschloß,Fähre,['Wendenschloß<>Grünau'],"52.418495536542906, 13.587117060699361",
1191,Wendenschloß Ecke Ekhofstrasse,strassenbahn,['83'],"52.41633000736971, 13.589690772826726",
1192,Wentowsteig Ecke Wilhelmsruher Damm,bus,['A21'],"52.596725620424536, 13.357038942593737",
1193,Wernerwerk,s-bahn,['KBS 100d'],"52.534863,13.27599",Q96077001
1194,Wernerwerk,strassenbahn,['35'],"52.53552540037026, 13.275770067588141",
1195,Westend,s-bahn,"['KBS 100', 'KBS 100a']","52.5181,13.2844",Q323214
1196,Westfälischestrasse Ecke Brandenburgischestrasse,strassenbahn,['60'],"52.4914070372114, 13.312743069846684",
1197,Westkreuz,s-bahn,"['KBS 100', 'KBS 102', 'KBS 101', 'KBS 100a', 'KBS 103']","52.5011,13.2839",Q678125
1198,"Weverstrasse, Strassenbahnhof",strassenbahn,['75'],"52.51946975407937, 13.19781896484702",
1199,"Wichertstrasse, Humannplatz",strassenbahn,['70'],"52.548490830161896, 13.421530198756246",
1200,Wiebestrasse Ecke Huttenstrasse,strassenbahn,['35'],"52.52837387288732, 13.319417647566699",
1201,Wiener Brücke,strassenbahn,"['87', '88']","52.49588477409083, 13.43650068505988",
1202,"Wienerstrasse, Spreewaldplatz",strassenbahn,['2'],"52.497484113614775, 13.431754452594797",
1203,Wiesbadener Strasse Ecke Süd-West-Korso,bus,['A16'],"52.471639768771304, 13.319585730218195",
1204,Wiesbadenerstrasse Ecke Bundesallee,bus,['A25'],"52.47133681077612, 13.328506541299452",
1205,Wiesenbaude,bus,['A11'],"52.430495242672045, 13.31180861060395",
1206,Wiesenbaude,strassenbahn,['74'],"52.43330952304924, 13.307272184416341",
1207,"Wiesenbaude, Giesendorferstrasse",strassenbahn,['73'],"52.43129460045176, 13.309610313200116",
1208,"Wießensee, Rennbahnstrasse Ecke Parkstrasse",strassenbahn,['74'],"52.5589592412027, 13.462044943671438",
1209,Wildau,s-bahn,['KBS 103'],"52.32,13.634",Q8000974
1210,Wildmeisterdamm,strassenbahn,['47'],"52.426124062490864, 13.48276594555747",
1211,Wildmeisterdamm Ecke Neuköllnerstrasse,bus,['A52'],"52.425751026416485, 13.483230583356491",
1212,Wilhelminenhofstrasse Ecke Edisonstrasse,strassenbahn,"['95', '87']","52.4619496,13.5139049",Q65951882
1213,Wilhelmshagen,s-bahn,['KBS 102'],"52.4386,13.7222",Q800494
1214,Wilhelmsruh,s-bahn,['KBS 104'],"52.5814,13.3631",Q800495
1215,"Wilhelmsruh, Fontanestrasse",bus,"['A55', 'A45']","52.58985938767378, 13.361193570257216",
1216,Wilhelmstrasse,bus,['A17'],"52.43057879952989, 13.318592903820731",
1217,Wilmersdorf,s-bahn,"['KBS 100', 'KBS 100a']","52.477658333333,13.328525",Q464094
1218,Wilmersdorfer Strasse Ecke Berlinerstrasse,strassenbahn,['44'],"52.51810404338167, 13.30449191797482",
1219,Wilmersdorfer Strasse Ecke Kantstrasse,strassenbahn,['75'],"52.506693329632505, 13.306673473535692",
1220,Wilmersdorfer Strasse Ecke Kurfürstendamm,bus,"['A19', 'A29']","52.50002844680595, 13.307125123915897",
1221,Wilmersdorferstrasse Ecke Berliner Strasse,strassenbahn,['3'],"52.518120287209314, 13.30441696262747",
1222,Wilmersdorferstrasse Ecke Berlinerstrasse,strassenbahn,['54'],"52.51806976258965, 13.304449974056093",
1223,Winfriedstrasse Ecke Berlinerstrasse,bus,['A10'],"52.43751005569713, 13.269455453459413",
1224,Wismarerstrasse Ecke Goerzallee,strassenbahn,['78'],"52.42194049381176, 13.298545829842265",
1225,Wittenau (Kremmener Bahn),s-bahn,['KBS 105'],"52.597013,13.334329",Q111264319
1226,Wittenau (Nordbahn),s-bahn,['KBS 104'],"52.597013,13.334329",Q111264319
1227,Wittenbergplatz,bus,"['A19', 'A29']","52.50188939146253, 13.342697883756577",
1228,Wittenbergplatz,strassenbahn,"['6', '25', '2', '77', '78']","52.50185025953713, 13.343098350806866",
1229,Wittenbergplatz,u-bahn,"['B I', 'A I']","52.501944444444,13.343055555556",Q692727
1230,Witzleben,s-bahn,"['KBS 100', 'KBS 100a']","52.5078,13.2836",Q321266
1231,Wolfmarsteig,bus,['A23'],"52.41268952057738, 13.536602630335091",
1232,Wollankstr.,s-bahn,"['KBS 105', 'KBS 104']","52.5651525,13.3923627",Q800515
1233,Wuhlheide,s-bahn,['KBS 102'],"52.4689,13.5533",Q800514
1234,Yorckstr.,s-bahn,"['KBS 106', 'KBS 105']","52.491777777778,13.372141666667",Q21776729
1235,Yorckstrasse Ecke Großbeerenstrasse,bus,['A28'],"52.49371348390495, 13.383502210451628",
1236,Yorckstrasse Ecke Mehringdamm,bus,['A19'],"52.49284414680239, 13.38759523078496",
1237,Yorckstrasse/Gneisenaustrasse,strassenbahn,"['98', '99']","52.492962048633196, 13.387727495303821",
1238,Zehlendorf,s-bahn,"['KBS 104', 'KBS 104a']","52.4309,13.2584",Q737962
1239,Zehlendorf West,s-bahn,['KBS 104'],"52.4375,13.2325",Q315891
1240,"Zehlendorf, Andreezeile Ecke Sachtlebenstrasse",bus,['A10'],"52.410390221161, 13.2663399148655",
1241,Zehlendorfer Damm,strassenbahn,['96'],"52.39232815680093, 13.222475728473649",
1242,Zentralschule,bus,['A22'],"52.43465069286089, 13.703692212644038",
1243,Zentralviehhof,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']","52.5238,13.4644",Q800512
1244,Zepernick (Kr Niederbarnim),s-bahn,['KBS 106'],"52.6598,13.5342",Q801657
1245,Zeppelinstrasse Ecke Falkenhagener Chaussee,bus,['A5'],"52.54753014000956, 13.18470939899787",
1246,Zeuthen,s-bahn,['KBS 103'],"52.3486,13.6274",Q8069824
1247,Ziekowstrasse Ecke Gorkistrasse,bus,['A14'],"52.59058635821372, 13.292106368112313",
1248,Zimmermannstrasse,bus,['A8'],"52.486610959320956, 13.5603667983302",
1249,Zionskirchstrasse,strassenbahn,"['70', '22', '49', '46']","52.53410664596866, 13.404963978167501",
1250,Zoologischer Garten,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.507222222222,13.3325",Q111326238
1251,Zoologischer Garten,u-bahn,['A I'],"52.5058669,13.3330236",Q4024764
1252,Zosener Strasse Ecke Gneisenaustrasse,strassenbahn,['3'],"52.49160445042071, 13.394429954032182",
1253,Zossenerstrasse Ecke Blücherstrasse,strassenbahn,['95'],"52.49619215453013, 13.395069779961219",
1254,Zum Heckeshorn,bus,['A51'],"52.43307505069834, 13.164008736441371",
