Column,stop_name,type,in_lines,location,identifier
614,"Lankwitz, Kirche",bus,"['A32 (Obus)', 'A2']","52.43629186979271, 13.345745387354132",
615,"Lankwitz, Kirche",strassenbahn,['96'],"52.43629411008752, 13.34577793920493",
616,"Lankwitz, Trippsteinstrasse",bus,['A2'],"52.418980941735455, 13.34615060419153",
617,Lauterplatz,strassenbahn,['73'],"52.475528954378376, 13.340160154844037",
618,Lehnitz,s-bahn,['KBS 104'],"52.7411,13.2635",Q4258498
619,Lehrter Stadtbahnhof,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.5253,13.3694",Q821299
620,Leibnizstrasse Ecke Berlinerstrasse,strassenbahn,['54'],"52.514658325486884, 13.315181218887487",
621,Leibnizstrasse Ecke Kantstrasse,strassenbahn,['75'],"52.50628298931102, 13.313891417291615",
622,Leinbnizstrasse Ecke Kurfürstendamm,bus,['A19'],"52.50066112971303, 13.31302315566327",
623,Leinestr.,u-bahn,['D'],"52.472777777778,13.428333333333",Q668563
624,Leninallee,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']","52.5295,13.4548",Q800507
625,Leninallee,strassenbahn,"['13', '4']","52.5259343,13.4462368",Q65553230
626,Leninallee Ecke Dimitroffstrasse,bus,"['A41', 'O30']","52.52640062347416, 13.44756753374412",
627,Leninallee Ecke Dimitroffstrasse,strassenbahn,"['69', '64']","52.526376866541014, 13.447609553656962",
628,"Leninallee, Kleine Frankfurterstrasse",strassenbahn,['1'],"52.52325524053295, 13.425909002630009",
629,Leninplatz,bus,"['AN'] ; ['O40']","52.63065467770951, 13.310368480730466 ; 52.523238998562235, 13.433594583798834",
630,Leninplatz,strassenbahn,"['1', '63', '69', '64']","52.5232658,13.4326457",Q65553105
631,Leonorenstrasse,bus,['A17'],"52.444367159567626, 13.338879863390057",
632,Leopoldplatz,u-bahn,['C I'],"52.5465,13.3591",Q1960809
633,"Lichtefelde, Finckensteinallee",strassenbahn,['74'],"52.43248605965966, 13.29928826605782",
634,Lichtenberg,s-bahn,['KBS 101'],"52.5106,13.4964",Q634247
635,Lichtenrade,s-bahn,['KBS 105'],"52.3876,13.3963",Q6543354
636,Lichtenrader Damm Ecke Buckower Chaussee,bus,['A52'],"52.41458109674137, 13.401170404046406",
637,Lichterfelde Ost,s-bahn,['KBS 106'],"52.43,13.3289",Q111311299
638,Lichterfelde Süd,s-bahn,['KBS 106'],"52.41,13.3086",Q800482
639,Lichterfelde West,s-bahn,['KBS 104'],"52.4433,13.2947",Q111327103
640,"Lichterfelde, Goerzallee",strassenbahn,['77'],"52.421933927255864, 13.298529678385423",
641,"Lichterfelde, Osteweg",bus,['A3E'],"52.42100405812812, 13.281128356360531",
642,"Lichterfelde, Saaleckplatz",bus,['A17'],"52.41647199447382, 13.324058758059154",
643,"Lichterfelde-Süd, Lindenstrasse",bus,['A1'],"52.41753870563818, 13.30666652302355",
644,"Lichterfelde-Süd, Schwelmerstrasse",strassenbahn,['96'],"52.4121712121314, 13.299051842415402",
645,Lindenberg,bus,['AL'],"52.602597712625055, 13.5250306401055",
646,Lindenberger Weg,bus,['A42'],"52.63267168488251, 13.500299102148412",
647,Lindenhof Eythstrasse,strassenbahn,['60'],"52.45989495654381, 13.362167423686113",
648,Lindenstrasse,strassenbahn,['78'],"52.41767689435255, 13.306043554097547",
649,Lindenstrasse Ecke Bahnhofstrasse,strassenbahn,"['84', '82', '83', '86']","52.4505094,13.572684",Q66095701
650,Lindenstrasse Ecke Berlinerstrasse,strassenbahn,['96'],"52.41789737041096, 13.305180259623016",
651,Lindenstrasse Ecke Waltersdorferstrasse,bus,['A38'],"52.392261654461066, 13.572266950845714",
652,"Lindenstrasse, Jerusalemer Kirche",strassenbahn,['99'],"52.503613870382836, 13.395579408898824",
653,Lindenweg Ecke Roedernallee,bus,['A14'],"52.58316056446954, 13.343735372540845",
654,Loewenhardtdamm Ecke Boelckestrasse,bus,['A28'],"52.47958964372846, 13.376900027080955",
