year,Stops,Frequency,Length (time),line_name,type,east-west
1946,Spandau - Pichelsberg - Reichssportfeld - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Börse - Alexanderplatz - Jannowitzbrücke - Schlesischer Bahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide – Adlershof - Grünau,30.0,,KBS 100c,s-bahn,
1946,Schöneweide - Oberspree - Spindlersfeld,30.0,,KBS 100d,s-bahn,
1946,Bernau (b Bln) - Zepernick (Kr Niederbarnim) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow-Schönhausen - Bornholmer Str. - Gesundbrunnen - Humboldthain - Stettiner Bahnhof,30.0,,KBS 103,s-bahn,
1946,Potsdamer Platz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd,30.0,,KBS 103,s-bahn,
1946,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen-Neuendorf (b Bln) - Frohnau - Hermsdorf - Waidmannslust - Wittenau (Nordbahn) - Wilhelmsruh - Schönholz - Wollankstr. - Bornholmer Str. - Gesundbrunnen - Humboldthain - Stettiner Bahnhof,30.0,,KBS 104,s-bahn,
1946,Friedrichstr. - Unter den Linden - Potsdamer Platz - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauer Str. - Zehlendorf - Zehlendorf West - Schlachtensee - Nikolassee - Wannsee - Dreilinden,30.0,,KBS 104a,s-bahn,
1946,Velten (Mark) - Hohenschöpping - Hennigsdorf (Kr Oberhavel) - Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstr. - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstr. - Bornholmer Str. - Gesundbrunnen - Humboldthain - Stettiner Bahnhof,30.0,60.0,KBS 105,s-bahn,
1946,Potsdamer Platz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade - Mahlow - Dahlewitz - Rangsdorf,40.0,40.0,KBS 105a,s-bahn,
1946,Potsdam - Babelsberg - Griebnitzsee - Wannsee - Nikolassee - Grunewald - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Börse - Alexanderplatz - Jannowitzbrücke - Schlesischer Bahnhof - Warschauer Str. - Ostkreuz - Neu-Lichtenberg - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf,15.0,15.0,KBS 101,s-bahn,
1946,"Pankow, Vinetastrasse - Schönhauser Alle - Danziger Strasse - Senefelderplatz - Schönhauser Tor - Alexanderplatz - Klosterstrasse - Märkisches Museum - Spittelmarkt - Stadtmitte - Potsdamer Platz - Gleisdreieck - Kurfürstenstrasse - Nollendorfplatz - Wittenbergplatz",7.5,10.0,A,u-bahn,
1946,Wittenbergplatz - Zoo - Knie - Städtische Oper - Sophie-Charlotte-Platz - Kaiserdamm - Reichskanzlerplatz - Neu-Westend - Reichsportfeld - Ruhleben,10.0,10.0,A1,u-bahn,
1946,Wittenbergplatz - Nürnberger Platz - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10.0,10.0,A2,u-bahn,
1946,Hallesches Tor - Prinzenstrasse - Kottbusser Tor - Görlitzer Bahnhof - Schlesisches Tor - Warschauer Brücke,12.0,12.0,B,u-bahn,
1946,Innsbrucker Platz - Bayerischer Platz - Viktoria-Luise-Platz - Nollendorfplatz,10.0,10.0,B1,u-bahn,
1946,Wittenbergplatz - Uhlandstrasse,10.0,10.0,B2,u-bahn,
1946,"Seestrasse - Leopoldplatz - Bhf. Wedding - Reinickendorfer Strasse - Schwartzkopffstrasse - Stettiner Bhf. - Oranienburger Tor - Bhf. Friedrichstrasse - Französische Strasse - Stadtmitte - Kochstrasse - Hallesches Tor - Franz-Mehring-Strasse - Gneisenaustrasse - Gardepionierplatz - Hermannplatz - Rathaus Neukölln - Bergstrasse - Neukölln, Südring - Grenzallee",6.0,7.5,C,u-bahn,
1946,Gesundbrunnen - Voltastrasse - Bernauer Strasse - Rosenthaler Platz - Weinmeisterstrasse - Alexanderplatz - Jannowitzbrücke - Neanderstrasse - Moritzplatz - Kottbusser Tor - Schönleinstrasse - Hermannplatz - Boddinstrasse - Leinestrasse,6.0,7.5,D,u-bahn,
1946,Alexanderplatz - Schillingstrasse - Strausberger Platz - Memeler Strasse - Petersburger Strasse - Samariterstrasse - Frankfurter Allee - Magdalenenstrasse - Bhf. Lichtenberg - Friedrichsfelde,10.0,10.0,E,u-bahn,
1946,"Pichelsberg, Stössenseebrücke - Kladow - Wannsee",120.0,120.0,Wannsee-Pichelsberg,Fähre,
