line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
15,bus,West,"Wittenauer Strasse Märkisches Viertel - Lübarser Strasse - Finsterwalder Strasse - Wilhelmsruher Damm - Oranienburger Strasse - Alt-Wittenau, Kirche - Rathaus Reinickendorf - Pannwitzstrasse - Olbendorfer Weg - Breitenbachstrasse - Holzhauser Strasse - Eschachstrasse/Ziekowstrasse - Buddestrasse - Alt-Tegel/U-Bhf. Tegel - Hermsdorfer Damm - Mühlenfeldstrasse - Falkentaler Steig - Hermsdorfer Friedhof - Donnersmarckplatz - Ludolfinger Platz - Zeltinger Platz - Am Pilz - Frohnau Invalidensiedlung",20,58,,1982,
15,strassenbahn,Ost,"Bhf. Lichtenberg - Straßenbahn-Betriebshof - Josef-Orlopp-Strasse - Herzbergstrasse - Ho-Chi-Minh-Strasse - Franz-Jacob-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Mollstrasse - Hans-Beimlerstrasse - Prenzlauer Allee - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt""",20,37,,1982,Kein Fahrten zwischen 7:31 und 13:31
16,bus,West,Reinickendorf Klemkestrasse/Sommerstrasse - Reginhardstrasse - Pankower Allee - Residenzstrasse - U-Bhf. Osloer Strasse - Luise-Schröder-Platz - U-Bhf. Seestrasse - Amrumer Strasse - U-Bhf. Amrumer Strasse - Fennstrasse - Turmstrasse - Alt-Moabit - U-Bhf. Hansaplatz - Großer Stern - Lützowplatz - U-Bhf. Nollendorfplatz - Martin-Luther-Strasse - John-F.-Kennedy-Platz - U-Bhf. Innsbrucker Platz - U-Bhf. Bundesplatz - Wiesbadener Strasse - Breitenbachplatz,15,63,,1982,
17,bus,West,Grundewald Fontanestrasse - Hagenplatz - Teplitzer Strasse - Roseneck - Berkaer Strasse - U-Bhf. Rüdesheimer Platz - Laubacher Strasse/Südwestkorso - U-Bhf. Friedrich-Wilhelm-Platz - Kaisereiche/Schmiljanstrasse - U-Bhf. Walther-Schreiber-Platz - U-Bhf. Schloßstrasse - Kieler Strasse - U-Bhf. Rathaus Steglitz - Klingsorstrasse - Bismarckstrasse - Halskestrasse - Albrechtstrasse - Leonorenstrasse - Birkbuschstrasse - Königsberger Strasse - Marienstrasse/Königswarter Krankenhaus - Jungfernstieg - Kranoldplatz - Oberhofer Platz - Lichterfelde Celsiusstrasse,12,56,,1982,
17,strassenbahn,Ost,Besarinstrasse - S-Bhf. Leninallee - Franz-Jacob-Strasse - Herzbergstrasse - Siegfriedstrasse - Allee der Kosmonauten - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - U-Bhf. Tierpark - Bhf. Karlshorst - Wilhelminenhofstrasse - Bhf. Schöneweide - Königsheideweg - Haeckelstrasse ,12,56,,1982,
18,bus,West,"U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Sophie-Charlotte-Strasse - Schützallee - Scharfestrasse - Potsdamer Strasse - Fischerhüttenstrasse - Lindenthaler Allee - Spanische Allee - Von-Luck-Strasse/Waldfriedhof - Isoldestrasse - Nibelungenstrasse - Kronprinzessinenweg - Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstrasse  - Wilhelmplatz, Stölpchensee - Kohlhasenbrück - Königsweg - Bernhard-Beyer-Strasse - Steinstücken",20,33,,1982,
18,strassenbahn,Ost,"Biesdorf, Elisabethstrasse - Boschpoler Strasse - Marchwitzastrasse - S-Bhf. Springpfuhl - Kraftwerksanlagenbau - Rhinstrasse - Siegfriedstrasse - Ho-Chi-Minh-Strasse - Franz-Jacob-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Krankenhaus Friedrichshain - Mollstrasse - Hans-Beimler-Strasse - Prenzlauer Allee - U-Bhf. Rosa-Luxemburg-Platz - Rosenthaler Platz - Veteranenstrasse - Invalidenstrasse, Post - Stadion der Weltjugend",20,49,,1982,
19,bus,West,Grunewald Roseneck - Teplitzer Strasse - Richard-Strauß-Strasse - Koenigsallee/Hagenplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstrasse - U-Bhf. Kurfürstendamm - Breitscheidplatz - Marburger Strasse - U-Bhf. Wittenbergplatz - Martin-Luther-Strasse - U-Bhf. Nollendorfplatz - Potsdamer Strasse - Goebenstrasse - U-Bhf.  Yorckstrasse - Großbeerenstrasse - U-Bhf. Mehringdamm - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,10,44,,1982,
19,strassenbahn,Ost,"Köpenick, Krankenhaus - Wendenschloßstrasse - Freiheit - Institut für Lehrerbildung - Erich-Weinert-Klubhaus - Pionierpark - Rathenaustrasse - Edisonstrasse - Bhf. Karlshorst - U-Bhf. Tierpark - Straße der Befreiung - S-Bhf. Friedrichsfelde Ost - Allee der Kosmonauten - Siegfriedstrasse - Ho-Chi-Minh-Strasse - Franz-Jacob-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Artur-Becker-Strasse",20,68,,1982,
2,bus,West,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestrasse - Bismarckstrasse - Lauenburger Platz - Bergstrasse - Selerweg - Steglitzer Damm - Munsterdamm - Albrechtstrasse - Leonorenstrasse - Rathaus Lankwitz - Lankwitz, Kirche - Hildburghauser Strasse - Waldsassener Strasse - Marienfelde, Waldsassener Strasse",7.5,36,,1982,
20,bus,West,Tegelort - Falkenplatz - Heiligenseestrasse/Gabelung - Schulzendorfer Weg - Karolinenstrasse - Gabrielenstrasse -  Alt-Tegel/U-Bhf.  Tegel - Gorkistrasse - Ziekowstrasse - Freie Scholle - Dianaplatz - Oraniendamm - Zabel-Krüger-Damm - Am Vierrutenberg - Lübars Alt-Lübars,15,41,,1982,
20,strassenbahn,Ost,Bhf. Lichtenberg - Straßenbahn-Betriebshof - Josef-Orlopp-Strasse - Herzbergstrasse - Ho-Chi-Minh-Strasse - Leninallee - Hohenschönhauser Strasse - Omnibus-Betriebshof - Lichtenberger Strasse - Antonplatz - Roelckestrasse - Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackerscher Markt,20,50,,1982,
21,bus,West,"Quickborner Strasse Märkisches Viertel - Wilhelmsruher Damm - Schorfheidestrasse - Wilhelmsruher Damm/Dannenwalder Weg - Oranienburger Strasse - Alt-Wittenau - Rathaus Reinickendorf - Breitenbachstrasse - U-Bhf. Scharnweber Strasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Südtor - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Luisenplatz - Bismarckstrasse - Kantstrasse - Amtsgericht Charlottenburg - Kurfürstendamm - Westfälische Strasse - Rudolstädter Strasse - Berliner Strasse - Fehrbelliner Platz",20,63,,1982,
21,strassenbahn,Ost,"Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Besarinplatz - Frankfurter Tor - Holteistrasse - Hauptstrasse - VEB Chemiehandel - Kraftwerk - Blockdammweg - Hermann-Duncker-Strasse - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Institut für Lehrerbildung - Schloßplatz - Köpenick, Krankenhaus",20,72,,1982,
22,bus,West,U-Bhf. Osloer Strasse - Ritterlandweg - Pankower Allee - Emmentaler Strasse - Lindauer Allee - Aroser Allee - Roedernallee/Paracelsus-Bad - Tessenowstrasse - Am Nordgraben - Dannenwalder Weg - Wilhelmsruher Damm - Gemeinde-Zentrum - Märkisches Zentrum - Wesendorfer Strasse - Senftenberger Ring-Ost - Senioren-Zentrum - Calauer Strasse - Eichhorster Weg - Lübarser Strasse - Hermsdorfer Strasse - Zabel-Krüger-Damm - Waidmannslust Titiseestrasse,15,37,,1982,
22,strassenbahn,Ost,"Rosenthal, Quickborner Strasse - Hauptstrasse - Siedlung - Kastanienallee - Nordendstrasse - Uhlandstrasse - Platanenstrasse - Skladanowskystrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Bornholmer Strasse - Björnsonstrasse - U- und S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Zionskirchplatz - Brunnenstrasse - Invalidenstrasse, Post - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,50,,1982,
23,bus,Ost,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Normannenstrasse - Wolfmarsteig - Schönefelder Chaussee - Altglienicke, Kirche - Glienicker Weg - VEB Berlin-Chemie - Dörpfeldstrasse - S-Bhf. Adlershof - Rudower Chaussee",20,28,,1982,
23,bus,West,"Zoo, Hardenbergplatz - Jebensstrasse/Amerikahaus - Steinplatz - U-Bhf. Ernst-Reuther-Platz - U-Bhf. Hansaplatz - Gotzkowskystrasse - Hutten-/Turmstrasse - Wittstocker Strasse - Sickingen-/Siemensstrasse - Seestrasse - Hüttigpfad - Friedrich-Olbricht-Damm - Heckerdamm - Kurt-Schumacher-Damm - U-Bhf. Halemweg - Goebelplatz - Quellweg - U-Bhf. Rohrdamm - Saatwinkler Damm Mäkeritzwiesen",15,50,,1982,
24,bus,West,"Moabit Wiebestrasse - Huttenstrasse - Reuchlinstrasse - Waldstrasse/Beusselstrasse - Rathaus Tiergarten - U-Bhf. Turmstrasse - Krankenhaus Moabit - Wilsnacker Strasse - Rathenower Strasse - Alt-Moabit - Schloß Bellevue - Tiergartenstrasse - Lützowplatz - Magdeburger Platz - Potsdamer Strasse - Askanischer Platz - Großbeerenstrasse - U-Bhf. Hallesches Tor - U-Bhf. Gneisenaustrasse - Columbiadamm - Platz der Luftbrücke",15,43,,1982,
24,strassenbahn,Ost,Pasedagplatz - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Mollstrasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Orianienburger Tor - Stadion der Weltjugend,12,36,,1982,
25,bus,West,Britz-Süd - Fritz-Erler-Allee - Kormoranweg - Grüner Weg - Buschkrugallee - U-Bhf. Parchimer Allee - Britzer Damm - Gradestrasse - Karl-Elsasser-Strasse - Gottlieb-Dunkel-Strasse - Teilestrasse - Wenckebachstrasse - U-Bhf. Ullsteinstrasse - Attilaplatz - Alboinstrasse - Röblingstrasse/Arnulfstrasse - Priesterweg - Prellerweg - Auguste-Viktoria-Krankenhaus - Grazer Platz - Rubensstrasse - Friedenauer Brücke - Kaisereiche - U-Bhf. Friedrich-Wilhelm-Platz,15,39,,1982,
25,strassenbahn,Ost,Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Erich-Weinert-Klubhaus - Institut für Lehrerbildung - Seelenbinderstrasse - Brandenburgplatz - Hirschgarten - Bölschestrasse - S-Bhf. Friedrichshagen - Hartlebenstrasse - Fürstenwalder Damm - Müggelseedamm - Freibad Müggelsee - Rahnsdorf,20,47,,1982,
26,strassenbahn,Ost,"Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Erich-Weinert-Klubhaus - Institut für Lehrerbildung - Grünstrasse - Wendenschloßstrasse - Köpenick, Krankenhaus",20,26,,1982,
27,bus,Ost,"S-Bhf. Kaulsdorf - Alt-Kaulsdorf - Chemnitzer Strasse - Jägerstrasse - Gehsener Strasse - S-Bhf. Köpenick - Seelenbinderstrasse - Lindenstrasse - Müggelheimer Strasse - Krankenhaus Köpenick - Chausseehaus - Rübezahl - Müggelseeperle - Müggelheim, Dorf - Alt-Müggelheim",10,41,,1982,
28,bus,West,U-Bhf. Tempelhof - Boelckestrasse - Werner-Voß-Damm - Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse/Rathaus Kreuzberg - U-Bhf. Mehringdamm - U-Bhf. Gneisenaustrasse/Zossener Strasse - U-Bhf. Südstern - Urbanstrasse - Geibelstrasse - Wilmsstrasse - U-Bhf. Prinzenstrasse/Gitschiner Strasse - U-Bhf. Kottbusser Tor - Oranienstrasse - Mariannenplatz - Köpenicker Strasse - U-Bhf. Schlesisches Tor - Falckensteinstrasse - Schlesische Strasse Ecke Heckmannufer,15,44,,1982,
29,bus,West,"Grunewald, Roseneck - Teplitzer Strasse - Franzensbader Strasse/Sportplatz - Bismarckplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstr - U-Bhf. Kurfürstendamm - U-Bhf. Wittenbergplatz - An der Urania - Kurfürstenstrasse - Lützowplatz - Kluckstrasse - Potsdamer Brücke - Askanischer Platz - Friedrichstrasse/U-Bhf. Kochstrasse - Lindenstrasse - Alte Jakobstrasse  - Alexandrinenstrasse - U-Bhf. Moritz-Platz - Oranienplatz",10,45,,1982,
3,bus,West,"Düppel-Süd - Machnower Strasse - Rathaus Zehlendorf - Potsdamer-/Berliner Strasse - Winfriedstrasse - Schützallee - Sophie-Charlotte-Strasse - U-Bhf. Onkel Toms Hütte - U-Bhf. Krumme Lanke - Mexikoplatz - Potsdamer Chaussee/Tierklinik FU - Spanische Allee - An der Rehwiese - Wannseebadweg - Fernbahnhof Wannsee - Am Großen Wannsee - Jugenderholungsheim - Wannsee, Heckeshorn",15,46,,1982,
3,strassenbahn,Ost,Björnsonstrasse - Bornholmer Strasse - Schönfließer Strasse - Schönhauser Allee - Stahlheimer Strasse - Prenzlauer Allee - Roelckestrasse - Antonplatz - Lichtenberger Strasse - Omnibus-Betriebshof - Hohenschönhauser Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse - Boxhagener Strasse - Gärtnerstrasse - Simon-Dach-Strasse - Warschauer Strasse - S-Bhf. Warschauer Strasse,10,43,,1982,
30,bus,Ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz -  U-Bhf. Rosa-Luxemburg-Platz - Prenzlauer Allee - Dimitroffstrasse -  Artur-Becker-Strasse - Leninallee - Mühsamstrasse -  Samariterstrasse - Jacques-Duclos-Strasse - Herzbergstrasse - Siegfriedstrasse - Omnibus Betriebshof - U-Bhf. Magdalenenstrasse - Bhf. Lichtenberg - Weitlingstrasse - Lückstrasse - S-Bhf. Rummelsburg - Holteistrasse - Warschauer Strasse - Franz-Mehring-Platz - Ostbahnhof,15,67,,1982,
30,bus,West,"U-Bhf. Rathaus Steglitz - Albrechtstrasse - Breitestrasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Calandrellistrasse/Stadtbad, Rathaus - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse/Hospital - Belßstrasse - Eiswald-/Emmerichstrasse, Hochschule - Preysingstrasse - Marienfelder Allee - Hildburghauser Strasse - Motzener Strasse - Nunsdorfer Ring/Süd - Schichauweg - Illigstrasse - Steinstrasse - Lichtenrader Damm - Alt-Lichtenrade - Lichtenrade Nahariyastrasse",20,37,,1982,
31,bus,Ost,"Buch, Hobrechtsfelder Chaussee - S-Bhf. Buch - Karower Strasse - Stadtrandsiedlung - Alt-Karow - Straße 26 - Alt-Blankenburg  - Heinersdorfer Kirche - Am Steinberg - Ostseestrasse",20,39,,1982,
31,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Klosterstrasse - Elsflether Weg - Grünhofer Weg - Nauener Strasse - Päwesiner Weg - Egelpfuhlstrasse - Harburger Weg - Brunsbütteler Damm - Spandauer Strasse - Eichholzbahn - Hackbuschstrasse - Staaken Heidebergplan",10,28,,1982,
32,bus,Ost,Hans-Beimler-Strasse - Am Friedrichshain - Leninplatz - Karl Marx-Allee - Ostbahnhof - S-Bhf. Jannowitzbrücke - Fischerinsel - Jerusalemer Strasse - Friedrichstrasse - Otto-Grotewohl-Strasse,6,22,,1982,
32,bus,West,"U-Bhf. Rathaus Steglitz - Breite Strasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Calandrellistrasse (Stadtbad)  - Rathaus Lankwitz - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse - Belßstrasse - Eiswaldstrasse - Preysingstrasse - Marchandstrasse - Friedrichsrodaer Strasse - Kloster ""Zum guten Hirten"" - Marienfelder Allee - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Marienfelde Bahnstrasse",10,28,,1982,
33,bus,Ost,"Grumbkowstrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",20,17,,1982,Kein Verkehr zwischen 7:32 und 13:45 (1982)
33,bus,West,U-Bhf. Breitenbachplatz - Björnsonstrasse - Gritznerstrasse - Lepsiusstrasse - U-Bhf. Schloßstrasse - Steglitzer Kreuz - Filandastrasse - Südendstrasse - Klingsorstrasse - Bismarckstrasse - Munsterdamm - Liebenowzeile - Buhrowstrasse - Attilastrasse - Kurfürstenstrasse - Gersdorfstrasse - Rathausstrasse - U-Bhf. Westphalweg - Eisenacher Strasse - Kollostrasse - Kosleckweg - Mariendorf Rixdorfer Strasse Ecke Dirschelweg,10,29,,1982,
34,bus,Ost,U-Bhf. Marchlewskistrasse - Kadiner Strasse - Warschauer Strasse - Revaler Strasse - S-Bhf. Warschauer Strasse - Rochowstrasse - Markgrafendamm - Friedrich-Junge-Strasse - Alt-Stralau,15,17,,1982,
34,bus,West,"Spandau, Wasserwerk - Friedhof In den Kisseln - Zeppelinstrasse - Askanierring - Wröhmännerpark - Rathaus Spandau - Brunsbütteler Damm - Seeburger Strasse - Weißenburger Strasse - Adamstrasse - Heerstrasse - Jaczostrasse - Gatower Strasse - Sandheideweg - Weinmeisterhornweg - Gatower Strasse ""Biberburg"" - Gatow, Kirche - Groß-Glienicker Weg - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Kladow, Ritterfelddamm - Schweizerhaus - Seekorso - Glienicke Gutshof",20,50,,1982,
35,bus,Ost,"Biesdorf-Süd, Köpenicker Strasse - Hadubrandstrasse - Zimmermannstrasse - Grabensprung - Elsterwerdaer Platz - Oberfeldstrasse - Werner-Lamberz-Strasse - U-Bhf. Friedrichsfelde - Lincolnstrasse - Weitlingstrasse - S-Bhf. Nöldnerplatz",20,32,,1982,"Kein Verkehr zwischen 8:25 und 12:45 (1982)"""
35,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Pichelsdorfer Strasse - Adamstrasse - Wilhelmstrasse - Am Omnibushof - Gatower Strasse/Heerstrasse - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Gatower Strasse ""Biberburg"" - Ortsgrenze Gatow - Gatow Kirche - Groß-Glienicker Weg - Am Graben - Straße zur Badewiese - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Finnensiedlung - Ritterfelddamm/Alt-Kladow - Krampnitzer Weg - Kladow Hottengrund",20,37,,1982,
36,bus,Ost,"S-Bhf. Grünau - Gartenstadtweg - Bohnsdorf, Kirche - S-Bhf. Grünbergallee - Bhf. Schönefeld - Schönefeld, Dorfstrasse",10,18,,1982,
361,bus,Ost,Flughafen Schönefeld - Bahnhof - Hotel - Flughafen Schönefeld,20,9,,1982,Nur nachts?
362,bus,Ost,Flughafen Schönefeld - Bahnhof - Flughafen Schönefeld,20,6,,1982,
37,bus,Ost,S-Bhf. Grünau - Germanenstrasse - Normannenstrasse - Köpenicker Strasse - Rudower Strasse,30,12,,1982,1980: Gibt es nicht
38,bus,Ost,"S-Bhf. Grünau - Joachimstrasse - Eichbuschplatz - Waltersdorfer Strasse - Bohnsdorf, Waldstrasse - Waltersdorf - Kienberg - Diepensee",60,25,,1982,"Kein durchgehender Verlauf, habe Grünau - Diepensee genommen müsstest du dir mal ansehen"
39,bus,Ost,"Wartenberg, Siedlung - Lindenberger Strasse - Falkenberger Chaussee - Arnimstrasse - Gehrenseestrasse",20,14,,1982,
4,bus,West,"Neu-Westend, Brixplatz - U-Bhf. Neu-Westend - U-Bhf. Theodor-Heuss-Platz - Ausstellungshallen - ICC/Omnibusbahnhof - ICC/Ausstellungshallen - Kurfürstendamm/Rathenauplatz. - Henriettenplatz - Joachim-Friedrich-Strasse - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - U-Bhf. Berliner Strasse - John-F.-Kennedy-Platz - Hauptstrasse - Kaiser-Wilhelm-Platz - Katzbach-/Boelckestrasse - Platz der Luftbrücke - Friesenstrasse - Hermannstrasse/U-Bhf. Boddinstrasse - Kienitzer Strasse - U-Bhf. Karl-Marx-Strasse - Erkstrasse/U-Bhf. Rathaus Neukölln - Sonnenallee - Neukölln, Teupitzer Strasse",10,64,,1982,
4,strassenbahn,Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Bersarinplatz - Frankfurter Tor - Grünberger Strasse - S-Bhf. Warschauer Strasse,10,24,,1982,
40,bus,Ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz -  U-Bhf. Rosa-Luxemburg-Platz - Prenzlauer Allee - Am Friedrichshain - Leninplatz - Koppenstrasse - Karl-Marx-Allee - Franz-Mehring-Platz - Erich-Steinfurth-Strasse - Ostbahnhof,7.5,21,,1982,
41,bus,Ost,"Neu-Lindenberg - Lindenberg, Dorf - Malchow, Dorf - Feldtmannstrasse - Rennbahnstrasse - Falkenberger Strasse - Liebermannstrasse - Straße nach Wartenberg - Falkenberg, Schule - Stadtrandsiedlung - Bhf. Ahrensfelde - Ahrensfelde, Kirche",30,39,,1982,
