Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
21,Alt-Buckow Ecke Buckower Damm,bus,['A91'],"52.42365120067525, 13.436635949176258",nan,A91,nan
23,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,"['69', '69E']","52.50914093654053, 13.518129930582422",nan,"69+ 69,69E",nan+ nan
24,"Alt-Friedrichsfelde, Am Tierpark",bus,"['A43', 'A8', 'O37', 'A8E']","52.5097025850849, 13.518832511815527",nan,"A43,O37,A8,A8E",nan
25,Alt-Gatow Ecke Groß-Glienicker Weg,bus,['A34E'],"52.48312745096272, 13.182671167963997",,,
26,Alt-Heiligensee,bus,['A14E'],"52.60616921042186, 13.210646859320935",nan,"A14,A13+ A14,A13+ A14,A13",Alt-Heiligensee+ Alt-Heiligensee+ Alt-Heiligensee
27,Alt-Heiligensee Ecke Sandhauserstrasse,bus,"['A14', 'A13']","52.601746367041294, 13.21022269051491",,,
28,Alt-Karow,bus,['A42'],"52.60931228539711, 13.481265848599735",nan,A42,nan
29,Alt-Kladow Ecke Kladower Damm,bus,"['A35E', 'A34', 'A35']","52.453456955410275, 13.143930501157236",nan,['A35']+ A35E,nan+ nan
30,"Alt-Lankwitz, Dorfaue",bus,['A81'],"52.43908382575332, 13.354417745001864",nan,A81,nan
31,Alt-Lichtenrade Ecke Goethestrasse,bus,['A82'],"52.404390044430414, 13.406152459156118",,,
32,"Alt-Lichtenrade, Dorfaue",bus,['A82'],"52.38972622915368, 13.409672538724415",,,
33,Alt-Mariendorf,u-bahn,['6'],"52.4391,13.3877",Q262168,,
34,Alt-Mariendorf Ecke Mariendorfer Damm,bus,"['A81', 'A76']","52.4401947729646, 13.38731752606722","nan, nan","A76,AS2s,A78, A81","nan, nan"
35,Alt-Marienfelde Ecke Marienfelderallee,bus,['A52'],"52.41357787421618, 13.363330517921128",nan,['A52'],nan
36,Alt-Marienfelde Ecke Merienfelderallee,bus,['A11'],"52.413416097126756, 13.363329246822346",,,
37,"Alt-Marzahn, Kirche",bus,['O37'],"52.542423454435976, 13.564061751343658",nan,"['A37']+ ['A37', 'O37']+ O37+ O37+ O37","nan+ nan+ Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche"
38,Alt-Moabit Ecke Gotzkowskystrasse,bus,"['A90', 'A86']","52.52377875537158, 13.329735095213607","nan, nan","A90, A86","nan, nan"
39,Alt-Moabit Ecke Paulstrasse,bus,['A24'],"52.52363146089112, 13.356876202729861",,,
40,Alt-Reinickendorf Ecke Rödern Allee,bus,['A72'],"52.57586051212987, 13.347765981901512",nan,A72+ A72,nan+ nan
41,Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540,['86']+ ['86']+ 86+ 86+ 86,nan+ nan+ Alt-Schmöckwitz+ Alt-Schmöckwitz+ Alt-Schmöckwitz
42,Alt-Tempelhof,u-bahn,['6'],"52.465952777778,13.385897222222",Q559212,,
43,Alt-Tempelhof Ecke Tempelhofer Damm,bus,['A68'],"52.465964306830664, 13.38558297633417",", ,+nan","A77,A68,A76, A73, A65+ A68,A76,A77,A78",", ,+ nan+ nan+ nan"
44,Alt-Wittenau Ecke Eichborndamm,bus,"['A21E', 'A21', 'A15']","52.59187977745068, 13.32645957736823",nan,"A14,A15,A21",nan
45,Alt-Wittenau Ecke Oranienburgerstrasse,bus,['A62'],"52.58969312574067, 13.334180930412149",,,
46,Altenheim Hottengrund,bus,['A35E'],"52.44892366863784, 13.114237745947817",nan,A35E,nan
47,Altglienicke,s-bahn,"['KBS 103a', 'KBS 106a']","52.4073,13.5588",Q4736651,,
48,"Altglienicke, Kirche",bus,['A23'],"52.421845729296805, 13.539407702079252",nan,['A23']+ A23+ A23+ A23,"nan+ Altglienicke, Kirche+ Altglienicke, Kirche+ Altglienicke, Kirche"
49,"Altglienicke, Kirche",strassenbahn,['84'],"52.421845729296805, 13.539407702079252",nan,84,nan
50,"Altglienicke, Schönefelder Chaussee",bus,['A23'],"52.41855858218425, 13.537270832952125",,,
51,Am Falkenberg,strassenbahn,['84'],"52.41079970042163, 13.570452931545786",nan,84,nan
52,Am Grossen Wannsee,bus,"['A18', 'A51']","52.420496581432594, 13.167192967572669",nan,"['A6']+ A6,A18,A51,A3+ A6,A51,A18+ A18,A51",nan+ Am Grossen Wannsee Ecke Königstrasse+ Am Grossen Wannsee Ecke Königstrasse+ Am Grossen Wannsee Ecke Königstrasse
53,Am Großen Wannsee Ecke Königstrasse,bus,"['A3', 'S4']","52.420496581432594, 13.167192967572669",nan,A3+ A3,nan+ nan
54,Am Karlsbad,bus,['A75'],"52.505510534075455, 13.36801582264215",nan,A75+ A75,nan+ nan
55,Am Kupfergraben,strassenbahn,"['71', '46', '70']","52.5194208,13.3953839",Q65055027,"['1', '46']+ 1+ 46,70,1+ 46,70,11",nan+ Am Kupfergraben+ Am Kupfergraben+ Am Kupfergraben
56,Am Nordhafen Ecke Tegelerstrasse,bus,['A90'],"52.53843836936191, 13.362733894464787",nan,A90,nan
57,Am Ostbahnhof,strassenbahn,"['74', '64']","52.509822387863856, 13.433731668419947",,,
58,Am Pilz,bus,['A15'],"52.64251497264632, 13.300908054411988",nan,['A12']+ A15,nan+ nan
59,Am Rosenhag,bus,"['A44', 'A44E']","52.52474356253909, 13.621775828105108",nan,"['A44E', 'A44']+ A44E,A44+ A44,A44E+ A44,A44E",nan+ Am Rosenhag+ Am Rosenhag+ Am Rosenhag
60,Am Steinberg,bus,"['A42', 'A45']","52.55648144940878, 13.429306764151775",nan,"A42,A45+ A55,A42,A45+ A45,A55,A42",Am Steinberg Ecke Prenzlauer Promenade+ Am Steinberg Ecke Prenzlauer Promenade+ Am Steinberg Ecke Prenzlauer Promenade
61,Am Treptower Park Ecke Elsenstrasse,strassenbahn,['87'],"52.4917648672198, 13.457703881892664",nan,87+ 87,nan+ nan
62,Am Vierrutenberg Ecke Zabel-Krüger-Damm,bus,['A20'],"52.61351518095798, 13.343830308232075",nan,A20,nan
63,Amrumer Str. (Rudolf-Virchow-Krankenhaus),u-bahn,['9'],"52.5425,13.350277777778",Q557577,,
64,Amtsgericht,bus,"['S4', 'A10', 'A94']","52.50682617853116, 13.297391449613752",nan,"AS4,A10",nan
65,Amtsgericht Charlottenburg,bus,['A21'],"52.50571853839105, 13.295347400894903",nan,['A21']+ A21+ A21+ A21,nan+ Amtsgericht Charlottenburg+ Amtsgericht Charlottenburg+ Amtsgericht Charlottenburg
66,Anhalter Bahnhof,s-bahn,"['KBS 100c', 'KBS 100e', 'KBS 100d']","52.503055555556,13.381944444444",Q111324573,"['KBS 105', 'KBS 104', 'KBS 105b', 'KBS 106']+ ['KBS 106', 'KBS 105', 'KBS 104']+ KBS 106,KBS 105,KBS 104+ KBS 104,KBS 105,KBS 106+ KBS 100d,KBS 100c,KBS 100e",nan+ nan+ S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof
67,Antonplatz,strassenbahn,"['72', '70', '73', '74', '3']","52.5484803,13.4517416",Q65548849,"['73', '74', '70', '72']+ ['70', '74', '3', '72']+ 74,70,74E,72,3+ 3,70,72,74E,74+ 72,74E,3,74,70",nan+ nan+ Antonplatz+ Antonplatz+ Antonplatz
68,Argentinische Allee Ecke Fischerhüttenstrasse,bus,['A53'],"52.44271134249338, 13.24015363503932",nan,A53,nan
69,Arkonaplatz,bus,['A16'],"52.53753415367688, 13.401767623579223",,,
70,Arnimallee,bus,['A68'],"52.45789378609326, 13.299570204130864",nan,A68+ A68+ A68,Arnimallee+ Arnimallee+ Arnimallee
71,Arnimstrasse Ecke Wartenbergerstrasse,bus,['A39'],"52.55810653253893, 13.515860697561052",,,
72,Aroser Allee Ecke Lindauer Allee,bus,['A61'],"52.57376073698464, 13.351849623815717",,,
73,Aroser Allee Ecke Lindauerallee,bus,['A14'],"52.57375413056441, 13.35199910931917",,,
74,Aroserallee Ecke Lindauerstrasse,bus,['A12'],"52.573749285365245, 13.352042648195372",,,
75,Askanierring Ecke Falkenhagener Strasse,bus,['A34'],"52.54891706140618, 13.193495587303872",nan,A34,Askanierring Ecke Falkenhagener Strasse
76,Askanischer Platz,bus,"['A29', 'A24', 'A75']","52.50447897041404, 13.382295467838158",nan,"A29,A75,A24+ A24,A75,A29",nan+ nan
77,Attilaplatz,bus,"['A68', 'A96', 'A25']","52.45590179888225, 13.376512495751076",nan,"['A25']+ A25,AS2+ A25,AS2,A68+ AS2s,A25,A68",nan+ Attilaplatz+ Attilaplatz+ Attilaplatz
78,Attilastrasse Ecke Röblingstrasse,bus,['A76'],"52.449663028361556, 13.36685930870775",,,
79,Augsburger Str.,u-bahn,['2'],"52.500556,13.336389",Q667035,"A II,B II+ A II",nan+ nan
80,"Augsburger Strasse, Nürnbergerstrasse",bus,['A60'],"52.49970883880637, 13.335701419592034",,,
81,Auguste-Viktoria-Allee Ecke Ollenhauerstrasse,bus,['A62'],"52.56923715909806, 13.32990334068821",,,
82,Bachwitzerstrasse,bus,['A27'],"52.46917849053893, 13.573556288694116",,,
83,Badeweg,bus,['A3'],"52.432234568429315, 13.186697604364635",,,
84,Badstrasse Ecke Pankstrasse,bus,['A70'],"52.55228517646218, 13.381466318985984",,,
85,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,['6'],"52.520111111111,13.388305555556",Q3753274,"['C I']+ C I,C II+ C I+ C I",nan+ Friedrichstraße metro station+ Friedrichstraße metro station+ Friedrichstraße metro station
86,Bahnhof Lichtenberg,u-bahn,['E'],"52.510556,13.496389",Q3831986,,
87,Bahnhof Wedding,u-bahn,['6'],"52.5425,13.366111",Q4018733,"['C I']+ ['C I']+ C I,C II+ C I+ C I",nan+ nan+ U-Bahnhof Wedding+ U-Bahnhof Wedding+ U-Bahnhof Wedding
88,Bahnhofstrasse Ecke Lindenstrasse,bus,['A27'],"52.45096281111, 13.572146868709519",nan,['A27']+ ['A27']+ A27+ A27+ A27,nan+ nan+ Bahnhofstrasse Ecke Lindenstrasse+ Bahnhofstrasse Ecke Lindenstrasse+ Bahnhofstrasse Ecke Lindenstrasse
89,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"['84', '87']","52.4505094,13.572684","Q66095701","['87']+ 82,87+ 82,87, 83,95,84,86+ 84,87","nan+ Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße, Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße"
90,Baumschulenstrasse Ecke Köpenicker Landstrasse,strassenbahn,"['95', '92']","52.46911904990173, 13.491364972283247",nan,"['92', '87']",nan
91,Baumschulenstrasse Ecke Südostallee,bus,['A47'],"52.46095841731415, 13.481191835004426",nan,['A47']+ A47+ A47+ A47,nan+ Baumschulenstrasse Ecke Südostallee+ Baumschulenstrasse Ecke Südostallee+ Baumschulenstrasse Ecke Südostallee
92,Baumschulenweg,s-bahn,"['KBS 105', 'KBS 103', 'KBS 106a', 'KBS 103a', 'KBS 106']","52.4675,13.489722",Q324336,"['KBS 100a', 'KBS 103']+ ['KBS 103a', 'KBS 100a', 'KBS 103']+ KBS 103,KBS 103a,KBS 100a+ KBS 103,KBS 103a,KBS 100a,KBS 106+ KBS 106a,KBS 106,KBS 103,KBS 103a",nan+ nan+ Berlin-Baumschulenweg station+ Berlin-Baumschulenweg station+ Berlin-Baumschulenweg station
93,Bautzener Strasse Ecke Yorckstrasse,bus,['A19'],"52.49265331044414, 13.370954942054576",nan,A19,nan
94,Bayerischer Platz,u-bahn,['4'],"52.488333333333,13.340277777778",Q668574,['B I']+ ['B II']+ B III+ B III+ B I,nan+ nan+ Bayerischer Platz station+ Bayerischer Platz station+ Bayerischer Platz station
95,Bayerischestrasse Ecke Wittelsbacherstrasse,bus,['A82'],"52.38562264698316, 13.425045729828712",,,
96,Beeskowdamm Ecke Goerz Allee,bus,['A1'],"52.40988367033843, 13.273529095833517",nan,A1,nan
97,Behring-Krankenhaus,bus,['A10'],"52.42410894567823, 13.251764544509987",nan,['A10']+ A10+ A10+ A10,nan+ Behring-Krankenhaus+ Behring-Krankenhaus+ Behring-Krankenhaus
98,Bellevue,s-bahn,"['KBS 100g', 'KBS 100h']","52.52,13.348055555556",Q374018,"['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 102+ KBS 100h,KBS 100g",nan+ nan+ Berlin Bellevue station+ Berlin Bellevue station+ Berlin Bellevue station
99,Belßstrasse Ecke Malteserstrasse,bus,['A83'],"52.42913175860308, 13.354643221492394",,,
100,Belßstrasse Ecke Prezsingstrasse,bus,['A83'],"52.42719439887323, 13.365896909537325",,,
101,Benschallee Ecke Potsdamer Chaussee,bus,['A3'],"52.429638035873005, 13.22393270091056",nan,A3+ A3,nan+ nan
102,Benzolwerk,strassenbahn,['84'],"52.426414690299055, 13.546444409734137",nan,['84']+ 84+ 84,nan+ Benzolwerk+ Benzolwerk
103,Bergfelde (b Bln),s-bahn,['KBS 104'],"52.6702,13.3203",Q4891640,KBS 104,nan
104,Bergiusstrasse Ecke Haberstrasse,bus,['A77'],"52.46212669746215, 13.460655911149994",,,
105,Bergstrasse Ecke Bismarckstrasse,bus,"['A2', 'A81']","52.45863817204511, 13.33931462421719",",+nan","A2, A75,A68+ A81,A2",",+ nan+ nan"
106,Bergstrasse Ecke Thorwaldstrasse,bus,['A83'],"52.45911303271541, 13.348433992418155",nan,A83,nan
107,Berkaer Strasse,bus,['A29'],"52.48209270683341, 13.281182952838728",nan,A29+ A29+ A29,Berkaer Strasse Ecke Teplitzer Strasse+ Berkaer Strasse Ecke Teplitzer Strasse+ Berkaer Strasse Ecke Teplitzer Strasse
108,Berliner Strasse Ecke Bundesallee,bus,"['A2', 'A25']","52.48735367071187, 13.33100210517226",nan,"A2,A25+ A2,AS2s,A25",nan+ nan
109,Berliner Strasse Ecke Joachimstalerstrasse,bus,['A81'],"52.487347586247154, 13.330990285702837",nan,A81,nan
110,Berliner Strasse Ecke Suermondtstrasse,strassenbahn,['70'],"52.54900402056681, 13.501740363652805",nan,70,nan
111,Berlinerstrasse Ecke Uhlandstrasse,bus,['A60'],"52.48647342676964, 13.322501516518328",,,
112,Berlinerstrasse Ecke Unter den Eichen,bus,['A10'],"52.441846111591126, 13.282724569565573",,,
113,Berlinickeplatz,bus,"['A73', 'A96']","52.46607292094852, 13.378516406213421",nan,A65+ A73,Berlinickeplatz+ Berlinickeplatz
114,Berlinickestrasse Ecke Albrechtstrasse,bus,['A33'],"52.45613384482348, 13.323889347619627",nan,A33,nan
115,Bernau (b Bln),s-bahn,['KBS 106'],"52.6763,13.5931",Q479789,['KBS 106']+ ['KBS 106']+ KBS 106+ KBS 106+ KBS 106,nan+ nan+ Bernau bei Berlin station+ Bernau bei Berlin station+ Bernau bei Berlin station
116,Bernauer Strasse,bus,['A13'],"52.576296962865115, 13.294692406253237",nan,A13+ A61+ A64+ A13+ A61+ A13,Bernauer Strasse Ecke Berliner Strasse +  Bernauer Strasse Ecke Brunnenstrasse +  Bernauer Straße & Gartenstraße+ Bernauer Strasse Ecke Berliner Strasse+ Bernauer Strasse Ecke Brunnenstrasse+ Bernauer Strasse Ecke Berliner Strasse
117,Bernauer Strasse Ecke Brunnenstrasse,bus,['A71'],"52.53829556916397, 13.396023771544826",nan,"A71, A61",Bernauer Strasse/Brunnenstrasse
118,Bernauerstrasse Ecke Brunnenstrasse,bus,['A61'],"52.53825328973879, 13.395985620128378",,,
119,Bersarinplatz,strassenbahn,"['13', '4']","52.519215,13.4525257",Q65706258,"['14']+ ['13', '4']+ 4,13+ 13,4+ 4,13",nan+ nan+ Bersarinplatz+ Bersarinplatz+ Bersarinplatz
120,Betriebsbahnhof Rummelsburg,s-bahn,['KBS 102'],"52.4939,13.4978",Q829009,['KBS 102']+ ['KBS 102']+ KBS 102+ KBS 102+ KBS 102,nan+ nan+ Betriebsbahnhof Rummelsburg station+ Betriebsbahnhof Rummelsburg station+ Betriebsbahnhof Rummelsburg station
121,Betriebsbahnhof Schöneweide,s-bahn,"['KBS 103', 'KBS 103a', 'KBS 106a', 'KBS 105']","52.44676,13.52391",Q4526101,"['KBS 100a', 'KBS 103']+ ['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a",nan+ nan+ Berlin-Johannisthal railway station+ Berlin-Johannisthal railway station+ Berlin-Johannisthal railway station
122,Beusselstr.,s-bahn,"['KBS 100a', 'KBS 100']","52.534444444444,13.329166666667",Q323219,"['KBS 100']+ ['KBS 100', 'KBS 103a']+ KBS 100c,KBS 103a,KBS 100+ KBS 100+ KBS 100a,KBS 100",nan+ nan+ Berlin Beusselstraße station+ Berlin Beusselstraße station+ Berlin Beusselstraße station
123,Beusselstrasse Ecke Huttenstrasse,bus,['A70'],"52.52738721932152, 13.32862287455893",,,
124,Bhf. Frankfurter Allee,strassenbahn,['3'],"52.5138037,13.4773772",Q65948557,3,nan
125,Bhf. Friedrichstrasse,bus,"['A18', 'A57', 'A59']","52.5205606637086, 13.388231915342985",nan,"['A9']+ A9,A57+ A57,A9+ A57,A9,A59",nan+ Bhf. Friedrichstrasse+ Bhf. Friedrichstrasse+ Bhf. Friedrichstrasse
126,Bhf. Friedrichstrasse,strassenbahn,"['71', '46', '70']","52.5192805,13.3884107","Q65095382","46,70,1+ 11, 46,70","nan+ nan, nan"
127,Bhf. Gesundbrunnen,bus,"['A71', 'A61']","52.548738600413905, 13.387745851632966",nan,"A61,A71+ A61,A71+ A61,A71",Bhf. Gesundbrunnen+ Bhf. Gesundbrunnen+ Bhf. Gesundbrunnen
128,Bhf. Hermsdorf,bus,['A15'],"52.61953939324446, 13.30416069232153",nan,['A15']+ A15+ A15+ A15,nan+ Bhf. Hermsdorf+ Bhf. Hermsdorf+ Bhf. Hermsdorf
129,Bhf. Hohenzollerndamm,bus,['A21'],"52.48832716566947, 13.301436926268025",nan,"['A21', 'A50']+ A65,A21,AS3,A50+ A65,A21,A50,AS3+ A21",nan+ Bhf. Hohenzollerndamm+ Bhf. Hohenzollerndamm+ nan
130,"Bhf. Kaulsdorf, Bausdorfstrasse",bus,['A49'],"52.513154384485595, 13.590937789889518",,,
131,Bhf. Lichtenberg,bus,"['O37', 'O30']","52.5112875601879, 13.499591119128855",nan,"['A37']+ ['A37', 'O37', 'O30']+ O37,O30+ O30,O37+ O37,O30",nan+ nan+ Bhf. Lichtenberg+ Bhf. Lichtenberg+ Bhf. Lichtenberg
132,Bhf. Lichtenberg,strassenbahn,"['69', '69E']","52.5123603,13.4977547",Q66013733,"['69']+ 69E,69+ 69+ 69,69E",nan+ S+U Lichtenberg/Siegfriedstraße+ S+U Lichtenberg/Siegfriedstraße+ S+U Lichtenberg/Siegfriedstraße
133,Bhf. Lindenthaler Allee,bus,['A3'],"52.43102570943782, 13.229881678326638",nan,"A3+ A3,A53+ A3",Bhf. Lindenthaler Allee Ecke Potsdamer Chaussee+ Bhf. Lindenthaler Allee Ecke Potsdamer Chaussee+ Bhf. Lindenthaler Allee Ecke Potsdamer Chaussee
134,Bhf. Schönefeld,bus,['A36'],"52.38192403313463, 13.511545079208773",nan,AZ,nan
135,Bhf. Schöneweide,bus,"['A48', 'A47', 'A26']","52.45374952013775, 13.510200397684477",nan,"['A47']+ A47+ A47,Flughafen Schönefeld <> Strausberger Platz,A26+ A26,A47,A48","nan+ Bhf. Schöneweide, Sterndamm+ Bhf. Schöneweide, Sterndamm+ Bhf. Schöneweide, Sterndamm"
136,Bhf. Schöneweide,strassenbahn,"['87', '95', '92', '69', '69E', '85']","52.45640818289644, 13.509916574756422",nan,"['92']+ ['69']+ 87,92,69E,69+ 95,69,92+ 85,69E,92,87,69,95",nan+ nan+ Bhf. Schöneweide+ Bhf. Schöneweide+ Bhf. Schöneweide
137,Bhf. Tempelhof,bus,['A68'],"52.47084694496318, 13.385638120230526",nan,A65+ A68+ A68,Bhf. Tempelhof+ Bhf. Tempelhof+ Bhf. Tempelhof
138,Bhf. Wannsee,bus,"['A3', 'A6', 'A51', 'S4']","52.42151302311533, 13.17810256503659",nan,"['A3']+ ['A6', 'A51', 'A3']+ A6,A51,A3+ A3,A51,A6+ AS4,A3,A51,A6",nan+ nan+ Bhf. Wannsee+ Bhf. Wannsee+ Bhf. Wannsee
139,Bhf. Wollankstrasse,bus,['A70'],"52.56453849178735, 13.393420272477442",nan,A70+ A70+ A70,Bhf. Wollankstrasse+ Bhf. Wollankstrasse+ Bhf. Wollankstrasse
140,Bhf. Zoo,bus,['A73'],"52.506232782829265, 13.332362081097921",nan,"['A2', 'A25']+ A25,AS3,A2,AS2,A62,AS1+ A73,AS2,AS3,A25,A62,AS1,A2+ A2,A62,AS2s,A25,AS3s,AS4,A73,AS1s",nan+ Bhf. Zoo+ Bhf. Zoo+ Bhf. Zoo
141,"Bhf. Zoo, Hardenbergplatz",bus,"['A85', 'A81', 'A94', 'S1', 'A90']","52.506961767508, 13.333080958799588",nan,"A85,A81,A90",nan
142,"Bhf. Zoo, Jebensstrasse",bus,['A25'],"52.50784698878806, 13.332089989862661",,,
143,Biesdorf,s-bahn,['KBS 101'],"52.5131,13.5554",Q4892357,['KBS 101']+ ['KBS 101']+ KBS 101+ KBS 101+ KBS 101,nan+ nan+ Berlin-Biesdorf station+ Berlin-Biesdorf station+ Berlin-Biesdorf station
144,"Biesdorf, Köpenickerstrasse",bus,"['A8', 'A8E']","52.486590045773035, 13.5603645828476",,,
145,Birkbuschstrasse Ecke Siemensstrasse,bus,['A86'],"52.4424390398498, 13.332082171164004",nan,A86,nan
146,Birkenstr.,u-bahn,['9'],"52.532222222222,13.341388888889",Q555998,,
147,Birkenstrasse Ecke Perlebergerstrasse,bus,['A16'],"52.530805568196136, 13.34719740444367",,,
148,Birkenwerder,s-bahn,['KBS 104'],"52.6885,13.2888",Q2343634,['KBS 104']+ ['KBS 104']+ KBS 104+ KBS 104+ KBS 104,nan+ nan+ Birkenwerder station+ Birkenwerder station+ Birkenwerder station
149,Bismarckplatz,bus,['A29'],"52.492064537089135, 13.28493897027407",nan,"['A7']+ ['A29']+ A69,A66,A29+ A29+ A29",nan+ nan+ Bismarckplatz+ Bismarckplatz+ Bismarckplatz
150,Bismarckstrasse Ecke Bergstrasse,bus,"['A68', 'A75']","52.45863794281251, 13.339298022918376",nan,"A75,A68",nan
151,Bismarckstrasse Ecke Feuerbachstrasse,bus,['A76'],"52.46451202484802, 13.338933433636415",,,
152,Bismarckstrasse Ecke Steglitzer Damm,bus,['A81'],"52.45103871422625, 13.337949524239141","nan, nan","A33, A81","nan, nan"
153,Björnsonstrasse,strassenbahn,['3'],"52.5544232,13.4030585",Q65920495,['3']+ 3+ 3,nan+ nan+ nan
154,Blankenburg,s-bahn,"['KBS 104', 'KBS 105', 'KBS 106']","52.5915,13.4435",Q800469,"['KBS 106']+ ['KBS 106', 'KBS 100b']+ KBS 106,KBS 100b+ KBS 106+ KBS 104,KBS 106",nan+ nan+ Berlin-Blankenburg station+ Berlin-Blankenburg station+ Berlin-Blankenburg station
155,"Blankenburg, Bahnhofstrasse",bus,['A42'],"52.591380472079955, 13.453512267562314",nan,['A42']+ A42+ A42+ A42,"nan+ Blankenburg, Bahnhofstrasse Ecke Heinersdorfer Strasse+ Blankenburg, Bahnhofstrasse Ecke Heinersdorfer Strasse+ Blankenburg, Bahnhofstrasse Ecke Heinersdorfer Strasse"
156,"Blankenfelde, Hauptstrasse",bus,"['A7', 'A7E']","52.63002534735451, 13.38262328371393",nan,"['A7']+ ['A7']+ A7+ A7+ A7,A7E","nan+ nan+ Blankenfelde, Hauptstrasse+ Blankenfelde, Hauptstrasse+ Blankenfelde, Hauptstrasse"
157,Blaschkoallee,u-bahn,['7'],"52.451944444444,13.449444444444",Q666911,C I,nan
