,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
139,1967140,1967,3,u-bahn,Wittenbergplatz<> Uhlandstr.,3,West,10
140,1967141,1967,4,u-bahn,Nollendorfplatz<> Innsbrucker Platz (Hauptstr.),6,West,5
141,1967142,1967,5,u-bahn,Deutsche Oper (Bismarckstr.)<> Richard-Wagner-Platz,1,West,10
142,1967143,1967,6,u-bahn,Tegel<> Alt-Mariendorf,41,West,5
143,1967144,1967,7,u-bahn,Möckernbrücke<> Britz-Süd,17,West,3
144,1967145,1967,8,u-bahn,Gesundbrunnen<> Leinestr.,20,West,10
145,1967146,1967,9,u-bahn,Leopoldplatz<> Spichernstr. (Bundesallee),10,West,3
146,1967147,1967,KBS 100,s-bahn,Gesundbrunnen<> Sonnenallee,0,West,0
147,1967148,1967,KBS 100a,s-bahn,Gesundbrunnen<> Staaken,0,West,0
148,1967149,1967,KBS 100b,s-bahn,Jungfernheide<> Gartenfeld,0,West,0
149,1967150,1967,KBS 100c,s-bahn,Heiligensee<> Lichtenrade,0,West,0
150,1967151,1967,KBS 100d,s-bahn,Gesundbrunnen<> Lichterfelde Süd,0,West,0
151,1967152,1967,KBS 100e,s-bahn,Frohnau<> Wannsee,0,West,0
152,1967153,1967,KBS 100f,s-bahn,Zehlendorf<> Düppel-Kleinmachnow,0,West,0
153,1967154,1967,KBS 100g,s-bahn,Friedrichstr.<> Spandau West,0,West,0
154,1967155,1967,KBS 100h,s-bahn,Friedrichstr.<> Wannsee,0,West,0
155,1967156,1967,KBS 100k,s-bahn,Zoologischer Garten<> Köllnische Heide,0,West,0
156,1967157,1967,KBS 101,s-bahn,Friedrichstr.<> Strausberg,0,Ost,0
157,1967158,1967,KBS 101c,s-bahn,Strausberg<> Strausberg Nord,0,Ost,0
158,1967159,1967,KBS 102,s-bahn,Friedrichstr.<> Erkner,0,Ost,0
159,1967160,1967,KBS 103,s-bahn,Friedrichstr.<> Königs Wusterhausen,0,Ost,0
160,1967161,1967,KBS 103a,s-bahn,Friedrichstr.<> Zentralflughafen Berlin-Schönefeld,0,Ost,0
161,1967162,1967,KBS 104,s-bahn,Oranienburg<> Ostbahnhof,0,Ost,0
162,1967163,1967,KBS 104d,s-bahn,Hennigsdorf (b Bln)<> Velten (Mark),0,Ost,0
163,1967164,1967,KBS 105,s-bahn,Blankenburg<> Zeuthen,0,Ost,0
164,1967165,1967,KBS 106,s-bahn,Bernau (b Bln)<> Spindlersfeld,0,Ost,0
165,1967166,1967,KBS 106a,s-bahn,Schönhauser Allee<> Zentralflughafen Berlin-Schönefeld,0,Ost,0
166,1967167,1967,O30,bus,Ostbahnhof<> Robert-Koch-Platz,66,Ost,15
167,1967168,1967,O37,bus,Dimitroffstrasse vor Cotheniusstrasse<> Bhf. Lichtenberg,46,Ost,15
168,1967169,1967,O40,bus,Ostbahnhof<> Robert-Koch-Platz,23,Ost,8
169,1967170,1967,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",strassenbahn,"S-Bhf. Friedrichshagen (Grenze)<> Rüdersdorf, Karl-Marx-Platz",39,Ost,20
170,1967171,1967,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),strassenbahn,S-Bhf. Rahnsdorf<> Woltersdorfer Schleuse,20,Ost,20
171,1967172,1967,A,u-bahn,Pankow (Vinetastr.)<> Thälmannplatz,19,Ost,2
172,1967173,1967,E,u-bahn,Alexanderplatz<> Friedrichsfelde,16,Ost,5
173,1967174,1967,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),Fähre,Kladow<> Wannsee,19,West,60
174,1967175,1967,69,strassenbahn,"Johannisthal, Haeckelstrasse<> Walter-Ulbricht-Stadion",84,Ost,20
175,1967176,1967,69E,strassenbahn,"Johannisthal, Haeckelstrasse<> Kniprodestrasse",55,Ost,20
