line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
A8E,autobus,"Sadowastr. - Chemnitzer Ecke Ulmenstr. - Alt-Biesdorf, Oberfeldstr. - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",10,21,,1964,east,
A9,autobus,Kurischestr. - Dimitroffstr. - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstr. - Bhf. Friedrichstr. - Oranienburger Tor - Platz vor Dem Neuen Tor - Scharnhorststr. Ecke Kielerstr.,7,27,,1964,east,
AD,autobus,"Diepensee - Kienberg - Waltersdorf - Bohnsdorf, Waldstr. - S-Bhf. Grünau",10,24,,1964,east,
AS,autobus,"Zühlsdorf - Summt, Seegarten - Triftweg, Lpg - Mühlenbeck, Schule - Mönchmühle - Schildow, Kirche",50,25,,1964,east,
A38,autobus,"Bohnsdorf, Waldstr. - Eichbuschplatz - Joachimstr. - S-Bhf. Grünau",150,13,,1964,east,
AL,autobus,"Neu-Lindenberg - Lindenberg - Malchow, Dorfstr.",32,15,,1964,east,
AZ,autobus,"Groß Ziethen - Klein Ziethen - Waßmannsdorf, Warteh. - Schönefeld, Kirche - Bhf. Schönefeld",20,24,,1964,east,
KBS 101,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Giebelsee - Strausberg,0,0,,1964,east,
KBS 101c,s-bahn,Strausberg - Strausberg Stadt - Strausberg Nord,0,0,,1964,east,
KBS 102,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,0,0,,1964,east,
KBS 103,s-bahn,Falkensee - Albrechtshof,0,0,,1964,east,
KBS 103,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,0,0,,1964,east,
KBS 103a,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof,0,0,,1964,east,
KBS 104,s-bahn,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen Neuendorf (b Bln) - Bergfelde (b Bln) - Schönfließ - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauserallee - Prenzlauerallee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurterallee - Ostkreuz - Warschauer Str. - Ostbahnhof - Jannowitzbrücke - Alexanderplatz,0,0,,1964,east,
KBS 104d,s-bahn,Hennigsdorf (b Bln) - Hennigsdorf Nord - Hohenschöpping - Velten (Mark),0,0,,1964,east,
KBS 106,s-bahn,Bernau (b Bln) - Zepernick (b Bernau) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauserallee - Prenzlauerallee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurterallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Oberspree - Spindlersfeld,0,0,,1964,east,
KBS 106a,s-bahn,Schönhauserallee - Prenzlauerallee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurterallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof,0,0,,1964,east,
O30,omnibus,"Kosterstr. - Andreasstr. - Küstrinerplatz - Warschauerstr. - Boxhagenerstr. Ecke Holteistr. - S-Bhf. Rummelsburg - Weitlingstr. - Bhf. Lichtenberg - Obus-Bf. Siegfriedstr. - Roederplatz - Proskauer Ecke Dolzigerstr. - Ebertystr. Ecke Leninallee - Greifswalderstr. Ecke Dimitroffstr. - Königstor - Alexanderplatz, Neue Königstr. - Klosterstr.",15,67,,1964,east,
O37,omnibus,"Marzahnerchaussee - Alt-Marzahn, Kirche - Elisabethstr. - S-Bhf. Biesdorf - Alt-Biesdorf, Oberfeldstr. - Alt-Friedrichsfelde, Am Tierpark - Bhf. Lichtenberg",15,26,,1964,east,
O40,omnibus,Ostbahnhof - Küstrinerplatz - Stalinallee - Leninplatz - Königstor - Prenzlauer Tor - Rosenthalerplatz - Oranienburger Tor - Robert-Koch-Platz,10,23,,1964,east,
"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",tram,"S-Bhf. Friedrichshagen (Grenze) - Schöneiche, Waldstr. - Schöneiche, Goethepark - Schöneiche, Dorfstr. - Schöneiche, Dorfaue - Schöneiche, Schillerstr. - Schöneiche, Grätzwalde - Schöneiche, Jägerstr. - Rüdersdorf, Berghof - Rüdersdorf, Thälmannstr. - Rüdersdorf, Heinitzstr. - Rüdersdorf, Post - Rüdersdorf, Schulstr. - Rüdersdorf, Karl-Marx-Platz",20,45,,1964,east,
S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),tram,"S-Bhf. Rahnsdorf - Goethestr. - Eichendamm - Lerchenstr. - Fasanenstr. - Thälmannplatz - Blumenstr. - Woltersdorf, Krankenhaus - Woltersdorfer Schleuse",20,20,,1964,east,
A38,autobus,"Bohnsdorf, Waldstr. - Eichbuschplatz - Joachimstr. - S-Bhf. Grünau",20,13,,1964,east,
A,u-bahn,Pankow (Vinetastr.) - Schönhauserallee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte - Thälmannplatz,2,19,,1964,east,
E,u-bahn,Alexanderplatz - Schillingstr. - Strausbergerplatz - Marchlewskistr. - Frankfurter Tor - Samariterstr. - Stalinallee (Ringbahn) - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),5,16,,1964,east,
