line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
3,autobus,"Düppel-Süd - Machnowerstr. - Rathaus Zehlendorf - Potsdamer-/Berlinerstr. - Winfriedstr. - Schützallee - Sophie-Charlottestr. - U-Bhf. Onkel Toms Hütte - U-Bhf. Krumme Lanke - Mexikoplatz - Potsdamerchaussee/Tierklinik Fu - Spanischeallee - An der Rehwiese - Wannseebadweg - Fernbahnhof Wannsee - Am Großen Wannsee - Jugenderholungsheim - Wannsee, Heckeshorn",15,46,,1982,west,
30,autobus,"U-Bhf. Rathaus Steglitz - Albrechtstr. - Breitestr. - Klingsorstr. - Bismarckstr. - Stindestr. - Siemensstr. - Leonorenstr. - Calandrellistr./Stadtbad, Rathaus - Lankwitz, Kirche - Mühlenstr. - Malteserstr./Hospital - Belßstr. - Eiswald-/Emmerichstr., Hochschule - Preysingstr. - Marienfelderallee - Hildburghauserstr. - Motzenerstr. - Nunsdorfer Ring/Süd - Schichauweg - Illigstr. - Steinstr. - Lichtenraderdamm - Alt-Lichtenrade - Lichtenrade Nahariyastr.",20,37,,1982,west,
31,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstr. - Tiefwerderweg - Grenadierstr. - Stresowplatz - Spandau, Markt - Rathaus Spandau - Klosterstr. - Elsfletherweg - Grünhoferweg - Nauenerstr. - Päwesinerweg - Egelpfuhlstr. - Harburgerweg - Brunsbüttelerdamm - Spandauerstr. - Eichholzbahn - Hackbuschstr. - Staaken Heidebergplan",10,28,,1982,west,
32,autobus,"U-Bhf. Rathaus Steglitz - Breitestr. - Klingsorstr. - Bismarckstr. - Stindestr. - Siemensstr. - Leonorenstr. - Calandrellistr. (Stadtbad) - Rathaus Lankwitz - Lankwitz, Kirche - Mühlenstr. - Malteserstr. - Belßstr. - Eiswaldstr. - Preysingstr. - Marchandstr. - Friedrichsrodaerstr. - Kloster ""zum Guten Hirten"" - Marienfelderallee - An der Heilandsweide - Stegerwaldstr. - Hranitzkystr. - Marienfelde Bahnstr.",10,28,,1982,west,
33,autobus,U-Bhf. Breitenbachplatz - Björnsonstr. - Gritznerstr. - Lepsiusstr. - U-Bhf. Schloßstr. - Steglitzer Kreuz - Filandastr. - Südendstr. - Klingsorstr. - Bismarckstr. - Munsterdamm - Liebenowzeile - Buhrowstr. - Attilastr. - Kurfürstenstr. - Gersdorfstr. - Rathausstr. - U-Bhf. Westphalweg - Eisenacherstr. - Kollostr. - Kosleckweg - Mariendorf Rixdorferstr. Ecke Dirschelweg,10,29,,1982,west,
34,autobus,"Spandau, Wasserwerk - Friedhof In den Kisseln - Zeppelinstr. - Askanierring - Wröhmännerpark - Rathaus Spandau - Brunsbüttelerdamm - Seeburgerstr. - Weißenburgerstr. - Adamstr. - Heerstr. - Jaczostr. - Gatowerstr. - Sandheideweg - Weinmeisterhornweg - Gatowerstr. ""biberburg"" - Gatow, Kirche - Groß-Glienickerweg - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Kladow, Ritterfelddamm - Schweizerhaus - Seekorso - Glienicke Gutshof",20,50,,1982,west,
35,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstr. - Pichelsdorferstr. - Adamstr. - Wilhelmstr. - Am Omnibushof - Gatowerstr./Heerstr. - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Gatowerstr. ""biberburg"" - Ortsgrenze Gatow - Gatow Kirche - Groß-Glienickerweg - Am Graben - Straße Zur Badewiese - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Finnensiedlung - Ritterfelddamm/Alt-Kladow - Krampnitzerweg - Kladow Hottengrund",20,37,,1982,west,
4,autobus,"Neu-Westend, Brixplatz - U-Bhf. Neu-Westend - U-Bhf. Theodor-Heuss-Platz - Ausstellungshallen - Icc/Omnibusbahnhof - Icc/Ausstellungshallen - Kurfürstendamm/Rathenauplatz. - Henriettenplatz - Joachim-Friedrichstr. - Hochmeisterplatz - U-Bhf. Fehrbellinerplatz - U-Bhf. Blissestr. - U-Bhf. Berlinerstr. - John-F.-Kennedy-Platz - Hauptstr. - Kaiser-Wilhelm-Platz - Katzbach-/Boelckestr. - Platz der Luftbrücke - Friesenstr. - Hermannstr./U-Bhf. Boddinstr. - Kienitzerstr. - U-Bhf. Karl-Marxstr. - Erkstr./U-Bhf. Rathaus Neukölln - Sonnenallee - Neukölln, Teupitzerstr.",10,64,,1982,west,
41,autobus,Rudow Stadtgrenze - U-Bhf. Rudow - Zwickauerdamm - Arnikaweg - Lipschitzallee - Grünerweg - Parchimerallee - Blaschkoallee - U-Bhf. Grenzallee - Naumburgerstr. - Sonnenallee - Saalestr. - Wildenbruchstr. - Pannierstr. - Hermannplatz - U-Bhf. Kottbusserdamm - U-Bhf. Kottbusser Tor - Oranienplatz - U-Bhf. Moritzplatz - Alexandrinenstr. - Alte Jakobstr. - Lindenstr. - Neuenburgerstr. - Gitschinerstr. - U-Bhf. Hallesches Tor,12,58,,1982,west,
48,autobus,Zehlendorf Fischerhüttenstr. Ecke Potsdamerstr. - Potsdamerstr. - Teltowerdamm - Berlinerstr. - Seehofstr. - Sundgauerstr. - Dahlemerweg - Drakestr. - Wrangelstr. - U-Bhf. Rathaus Steglitz - U-Bhf. Schloßstr. - U-Bhf. Walther-Schreiber-Platz - Kaisereiche - Breslauerplatz/Rathaus Friedenau - U-Bhf. Innsbruckerplatz - Dominicusstr. - Albertstr. - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstr. - Bülowstr. - U-Bhf. Kurfürstenstr. - Lützowstr. - Potsdamer Brücke - Tiergartenstr. Philharmonie,12,46,,1982,west,
