line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
84,tram,"Altglienicke, Am Falkenberg - Köpenicker Strasse - Benzolwerk - S-Bhf. Adlershof - Marktplatz - S-Bhf. Spindlersfeld - Köllnischer Platz - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - Seelenbinderstrasse - Hirschgarten, Fürstenwalder Damm - S-Bhf. Friedrichshagen - Brauerei - Friedrichshagen, Wasserwerk",20,52,13.6,1956,unified,
86,tram,"Alt-Schmöckwitz - Vetschauer Allee - Richtershorn - Regattahäuser - Bhf. Grünau - Chemische Fabrik - Vollkropfgraben - Köllnischer Platz - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd, Hubertus",20,53,16.17,1956,unified,
87,tram,"Rahnsdorf - Müggelseedamm - S-Bhf. Friedrichshagen - Brauerei - Hirschgartenm Fürstenwalderdamm - Seelenbinderstrasse - Bahnhofstrasse Ecke Lindenstrasse - Pionierrepublik - Parkstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Brückenstrasse, Bhf. Schöneweide - Köpenicker Landstrasse Ecke Baumschulenstrasse - Bulgarische Strasse - Elsenstrasse Ecke Am Treptower Park - Wiener Brücke",20,73,21.58,1956,unified,
88,tram,Stadtpark - Feuerbachstrasse Ecke Knausstrasse - Kaisereiche Ecke Rheinstrasse - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Eisenacherstrasse Ecke Hauptstrasse - Pallasstrasse Ecke Potsdamerstrasse - Bülowstrasse Ecke Potsdamerstrasse - Potsdamerstrasse Ecke Lützowstrasse - Anhalter Bahnhof - U-Bhf. Kochstrasse - Jerusalemerstrasse Ecke Oranienstrasse - U-Bhf. Moritzplatz - U-Bhf. Görlitzer Bahnhof - Spreewaldplatz - Wiener Brücke,15,45,,1956,unified,
91,tram,"Treptow, Spreeterrassen - Treptow, Rathaus - Bulgarischestrasse Ecke Köpenicker Landstrasse - Baumschulenstrasse - Grünauerstrasse, Bhf. Schöneweide - Königsheideweg - Johannisthal, Haeckelstrasse",20,23,6.33,1956,unified,
92,tram,"Treptow, Flutgraben - Elsenstrasse, S-Bhf. Treptow - Bulgarische Strasse - Baumschulenstrasse - Grünauerstrasse, Bhf. Schöneweide - Britzer Strasse - Oberspree",20,28,8.21,1956,unified,
94,tram,"Oranienplatz, Dresdenerstrasse - Kottbusser Tor - U-Bhf. Kottbusser Damm - Hermannplatz - Erkstrasse Ecke Sonnenallee - Bhf. Sonnenallee - Dammweg Ecke Sonnenallee - Neukölln, Schulenburgpark",15,20,,1956,unified,
95,tram,Attilaplatz - Berlinickeplatz - Hoeppnerstrasse Ecke Boelckestrasse - Adolf-Scheidt-Platz - U-Bhf. Flughafen - Gneisenaustrasse/Yorckstrasse - Hallesches Tor - Zossenerstrasse Ecke Blücherstrasse - Baerwaldstrasse Ecke Urbanstrasse - Urban-Krankenhaus - Hermannplatz - Erkstrasse Ecke Sonnenallee - Hertzbergplatz - Bhf. Sonnenallee - Schulenburgpark - Sonnenallee Ecke Schwarzer Weg,15,42,,1956,unified,
95,tram,"Baumschulenweg, Sonnenallee - Köpenicker landstrasse - S-Bhf. Schöneweide - Wilhelminenhofstrasse Ecke Edisonstrasse - Pionierrepublik - Köpenick, Lindenstrasse Ecke Bahnhofstrasse - Grünstrasse - Köpenick, Krankenhaus",20,37,10.95,1956,unified,
96,tram,"U-Bhf. Tempelhof - Alt-Tempelhof Ecke Tempelhofer Damm - Kaiserin-Augusta-Strasse Ecke Tempelhoferdamm - Attilaplatz - Bhf. Mariendorf - Lankwitz, Kirche - Bhf. Lichtefelde-Ost - Bismarckstrasse Ecke Wilhelmstrasse - Lindenstrasse Ecke Berlinerstrasse - Lichterfelde-Süd, Schwelmerstrasse",15,32,,1956,unified,
96,tram,"Machnower Schleuse - Zehlendorfer Damm - Neue Wagenhalle, Kleiststrasse - Teltow, Hamburger Platz - Stadthaus Teltow - Ruhlsdorfer Platz - Teltow, Paul-Gerhardt-Strasse",20,24,6.96,1956,unified,
98,tram,Mehringplatz (Hallesches Tor) - Yorckstrasse/Gneisenaustrasse - U-Bhf. Flughafen - U-Bhf. Paradestrasse - Bahnhof Tempelhof - Alt-Tempelhof - Kaiserin-Augusta-Strasse - Friedrich-Karl-Strasse - Kaiserstrasse - Prühßstrasse - Mariendorfer Damm Ecke Alt-Mariendorf - Grossbeerenstrasse Ecke Daimlerstrasse - Daimlerstrasse Ecke Birnhornweg,15,35,,1956,unified,
99,tram,"Lindenstrasse, Jerusalemer Kirche - Mehringplatz - Yorckstrasse/Gneisenaustrasse - U-Bhf. Flughafen - Bhf. Tempelhof - Alt-Tempelhof - Kaiserin-Augusta-Strasse - Friedrich-Karl-Strasse - Kaiserstrasse - Alt-Mariendorf - Rennbahn - Marienfelder Chaussee - Marienfelder Strasse - Bhf. Lichtenrade",15,49,,1956,unified,
