line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
49,tram,"Bucholz, Hauptstr. - Blankenfelderstr. - Rosenthalerstr. Ecke Bahnhofstr. - Blankenburgerstr. - Pankowerstr. - Galenusstr. - S-Bhf. Pankow-Heinersdorf - Klaustalerstr. - Stiftsweg - Pankow, Kirche - S-Bhf. Pankow (vinetastr.) - U-Bhf. Pankow - Bornholmerstr. Ecke Wisbyerstr. - Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Zionskirchstr. - Rosenthalerplatz - Hackescher Markt",10,38,,1989,east,
5,tram,"Marzahn, Henneckestr. - Otto-Winzer-Str. - Bruno-Leuschner-Str. - Alt-Marzahn - Elisabethstr. - S-Bhf. Springpfuhl - Rhinstr. - Siegfriedstr. - Betriebshof Lichtenberg - Bhf. Lichtenberg",20,29,,1989,east,
6,tram,Betriebshof Marzahn - Otto-Buchwitz-Str. - Bruno-Leuschner-Str. - Bruno-Baum-Str. - S-Bhf. Marzahn - Bwf Marzahn - Rhinstr. - Arendsweg - Zechlinerstr. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr.,10,32,,1989,east,
63,tram,"Hohenschönhausen, Zingsterstr. - Prerowerplatz - Gehrenseestr. - Hauptstr. - Simon-Bolivar-Str. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr. - Leninplatz - Hans-Beimler-Str. - Prenzlauerallee - Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor - Stadion Der Weltjugend",15,50,,1989,east,
63E,tram,"Hohenschönhausen, Zingsterstr. - Prerowerplatz - Gehrenseestr. - Hauptstr. - Simon-Bolivar-Str. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr. - Leninplatz - Hans-Beimler-Str. - Prenzlauerallee - Bhf. Rosa-Luxemburg-Platz - Weinmeisterstr.",15,43,,1989,east,
64,autobus,"Treptow, Karl-Kunger-Str. - S-Bhf. Treptower Park - Sowjetisches Ehrenmal - Treptow, Rathaus",15,12,,1989,east,
69,autobus,Kaulsdorferstr. - S-Bhf. Köpenick - Seelenbinderstr. - Kabelwerk - Wendenschloßstr. Ecke Salvador-Allende-Str. - Anemonenstr. - Müggelschlößchenweg,20,14,,1989,east,
7,autobus,"U-Bhf. Pankow, Vinetastr. - S-Bhf. Pankow - Pankow, Kirche - Bürgerpark - Kurt-Fischer-Platz - Nordend - Nordend-Arena - Blankenfelde - Bhf. Schildow - Glienickerstr. - Johannes-Diekmann-Str. - Glienicke",20,35,,1989,east,
70,tram,"Hohenschönhausen, Zingsterstr. - Prerowerplatz - Gehrenseestr. - Hauptstr. - Am Faulen See - Stadion Buschallee - Sulzfelderstr. - Indira-Gandhi-Str. Ecke Klement-Gottwald-Str. - Antonplatz - Ostseestr. Ecke Promenade - S-Bhf. Prenzlauerallee - Dimitroffstr. - Wilhelm-Pieck-Str. - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",15,53,,1989,east,
71,tram,"Heinersdorf, Romain-Rolland-Str. - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade - S-Bhf. Prenzlauerallee - Dimitroffstr. - Knaackstr. - Wilhelm-Pieck-Str. - U-Bhf. Rosa-Luxemburg-Platz - Weinmeisterstr. - Hackescher Markt - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",15,36,,1989,east,
