line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
74,tram,"Weißensee, Pasedagplatz - BVG-Bf. Weißensee - Klement-Gottwald-Allee Ecke Bernkastelerstr. - Antonplatz - S-Bhf. Greifswalderstr. - Dimitroffstr. - Königstor - Alexanderplatz, Grunerstr. - Jüdenstr., Molkenmarkt - Spittelmarkt - Leipzigerplatz",8,39,10.2,1960,unified,
74E,tram,"Klement-Gottwald-Allee - Antonplatz - S-Bhf. Greifswalderstr. - Dimitroffstr. - Königstor - Alexanderplatz, Grunerstr. - Jüdenstr., Molkenmarkt",8,26,7.5,1960,unified,
75,tram,"Bhf. Zoo, Kantstr. - Wilmersdorferstr. - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstr. - Reichssportfeldstr. - Stößenseebrücke - Pichelsdorferstr. - Weverstr., Strassenbahnhof - Seeburgerstr. - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Hakenfelde",20,57,,1960,unified,
76,tram,"Spandau, Johannesstift - Hohenzollernring - Hafenplatz - Spandau, Markt - Rathaus Spandau - Seeburgerstr. - Weverstr., Strassenbahnhof - Pichelsdorferstr. - Stössenseebrücke - Reichssportfeldstr. - Bhf. Heerstr. - Reichskanzlerplatz - Messedamm - Amtsgericht - Wilmersdorferstr. - Kanststr. Ecke Joachimsthalerstr.",20,60,,1960,unified,
77,tram,Bhf. Zoo - Wittenbergplatz - Grunewaldstr. - Bundesallee Ecke Berlinerstr. - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstr. - Rathaus Steglitz - Hindenburgdamm - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Wismarerstr. - Goerzallee,20,49,,1960,unified,
78,tram,Bhf. Zoo - Wittenbergplatz - Grunewaldstr. - Bundesallee Ecke Berlinerstr. - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstr. - Rathaus Steglitz - Hindenburgdamm - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Goerzallee - Lichterfelde Süd Lindenstr.,20,48,,1960,unified,
82,tram,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Bahnhofstr. Ecke Lindenstr. - Parkstr. - Wilhelminenhof- Ecke Edisonstr. - Treskowallee Ecke Ehrlichstr. - Blockdammweg Ecke Köpenickerchaussee - Hauptstr. Ecke Karlshorsterstr. - S-Bhf. Ostkreuz - Stralauerallee Ecke Markgrafendamm - Warschauerstr. - Ostbahnhof - Andreasstr. - Blumenstr./Schicklerstr. - Alexanderplatz, Grunerstr. - Elisabethstr.",20,75,20.9,1960,unified,
83,tram,Wendenschloß Ecke Ekhofstr. - Strassenbahnhof Köpenick - Schüßlerplatz - Lindenstr. Ecke Bahnhofstr. - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd - Hubertus - Bütowerstr. - S-Bhf. Mahlsdorf,20,47,,1960,unified,
84,tram,"Altglienicke, Am Falkenberg - Köpenickerstr. - Benzolwerk - S-Bhf. Adlershof - Marktplatz - S-Bhf. Spindlersfeld - Köllnischerplatz - Schüßlerplatz - Lindenstr. Ecke Bahnhofstr. - Seelenbinderstr. - Hirschgarten - Fürstenwalderdamm - S-Bhf. Friedrichshagen - Brauerei - Friedrichshagen, Wasserwerk",20,52,,1960,unified,
86,tram,"Alt-Schmöckwitz - Vetschauerallee - Richtershorn - Regattahäuser - Bhf. Grünau - Chemische Fabrik - Vollkropfgraben - Köllnischerplatz - Schüßlerplatz - Lindenstr. Ecke Bahnhofstr. - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd, Hubertus",20,53,,1960,unified,
