line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
28,autobus,U-Bhf. Tempelhof - Boelckestrasse - Werner-Voß-Damm - Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse/Rathaus Kreuzberg - U-Bhf. Mehringdamm - U-Bhf. Gneisenaustrasse/Zossenerstrasse - U-Bhf. Südstern - Urbanstrasse - Geibelstrasse - Wilmsstrasse - U-Bhf. Prinzenstrasse/Gitschinerstrasse - U-Bhf. Kottbusser Tor - Oranienstrasse - Mariannenplatz - Köpenickerstrasse - U-Bhf. Schlesisches Tor - Falckensteinstrasse - Schlesischestrasse Ecke Heckmannufer,15,44,,1980,west,
29,autobus,"Grunewald, Roseneck - Teplitzerstrasse - Franzensbaderstrasse/Sportplatz - Bismarckplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstr - U-Bhf. Kurfürstendamm - U-Bhf. Wittenbergplatz - An der Urania - Kurfürstenstrasse - Lützowplatz - Kluckstrasse - Potsdamer Brücke - Askanischer Platz - Friedrichstrasse/U-Bhf. Kochstrasse - Lindenstrasse - Alte Jakobstrasse - Alexandrinenstrasse - U-Bhf. Moritz-Platz - Oranienplatz",10,45,,1980,west,
3,autobus,"Düppel-Süd - Machnowerstrasse - Rathaus Zehlendorf - Potsdamer-/Berlinerstrasse - Clayallee - Winfriedstrasse - Schützallee - U-Bhf. Onkel Toms Hütte - U-Bhf. Krumme Lanke - Mexikoplatz - Potsdamer Chaussee/Tierklinik FU - Spanische Allee - Rehwiese - Wannseebadweg - Königstrasse - Am Großen Wannsee - Jugenderholungsheim - Wannsee, Heckeshorn",15,46,,1980,west,
30,autobus,"U-Bhf. Rathaus Steglitz - Albrechtstrasse - Breitestrasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Calandrellistrasse/Stadtbad, Rathaus - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse/Hospital - Belßstrasse - Eiswald-/Emmerichstrasse, Hochschule - Preysingstrasse - Marienfelder Allee - Hildburghauserstrasse - Motzenerstrasse - Nunsdorfer Ring/Süd - Schichauweg - Illigstrasse - Steinstrasse - Lichtenrader Damm - Alt-Lichtenrade - Lichtenrade Nahariyastrasse",20,37,,1980,west,
31,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstrasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Klosterstrasse - Elsflether Weg - Grünhofer Weg - Nauenerstrasse - Päwesiner Weg - Egelpfuhlstrasse - Harburger Weg - Brunsbütteler Damm - Spandauerstrasse - Eichholzbahn - Hackbuschstrasse - Staaken Heidebergplan",10,28,,1980,west,
32,autobus,"U-Bhf. Rathaus Steglitz - Breitestrasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Calandrellistrasse (Stadtbad) - Rathaus Lankwitz - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse - Belßstrasse - Eiswaldstrasse - Preysingstrasse - Marchandstrasse - Friedrichsrodaerstrasse - Kloster ""Zum guten Hirten"" - Marienfelder Allee - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Marienfelde Bahnstrasse",10,28,,1980,west,
33,autobus,U-Bhf. Breitenbachplatz - Björnsonstrasse - Gritznerstrasse - Lepsiusstrasse - U-Bhf. Schloßstrasse - Steglitzer Kreuz - Filandastrasse - Südendstrasse - Klingsorstrasse - Bismarckstrasse - Munsterdamm - Liebenowzeile - Buhrowstrasse - Attilastrasse - Kurfürstenstrasse - Gersdorfstrasse - Rathausstrasse - U-Bhf. Westphalweg - Eisenacherstrasse - Kollostrasse - Kosleckweg - Mariendorf Rixdorferstrasse Ecke Dirschelweg,10,29,,1980,west,
34,autobus,"Spandau, Wasserwerk - Zeppelinstrasse - Wröhmännerpark - Carl-Schurz-Strasse - Spandau, Markt - Rathaus Spandau - Brunsbütteler Damm - Seeburgerstrasse - Weißenburgerstrasse - Adamstrasse - Heerstrasse - Jaczostrasse - Gatowerstrasse - Sandheideweg - Weinmeisterhornweg - Gatowerstrasse ""Biberburg"" - Gatow, Kirche - Groß-Glienicker Weg - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Kladow, Ritterfelddamm - Schweizerhaus - Seekorso - Glienicke Gutshof",20,52,,1980,west,
34E,autobus,Alt-Gatow - Groß-Glienicker Weg - zum Dorf Gatow - Habichtswald,18,8,,1980,west,
35,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstrasse - Pichelsdorferstrasse - Adamstrasse - Wilhelmstrasse - Am Omnibushof - Gatowerstrasse - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Gatowerstrasse ""Biberburg"" - Ortsgrenze Gatow - Gatow Kirche - Groß-Glienicker Weg - Am Graben - Straße zur Badewiese - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Finnensiedlung - Ritterfelddamm/Alt-Kladow - Krampnitzer Weg - Kladow Hottengrund",20,35,,1980,west,
