line_name,type,stops,frequency (7:30),length (Time),length (km),year,east_west,info
A17,autobus,"Grunewald, Fontanestr. - Hagenplatz - Roseneck - Warnemünderstr. Ecke Breitestr. - U-Bhf. Rüdesheimerplatz - Friedrich-Wilhelm-Platz - Schloßstr. Ecke Rheinstr. - Rathaus Steglitz - Stadtpark - Leonorenstr. Ecke Siemensstr. - Stadion Lichterfelde - Königsbergerstr. Ecke Ostpreußendamm - Morgensternstr. Ecke Königsbergerstr. - Oberhoferplatz - Saaleckplatz",10.0,46.0,,1965,west,
A18,autobus,Saargemünderstr. Ecke Clayallee - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotte-Str. Ecke Clayallee - Scharfestr. Ecke Clayallee - Potsdamerstr. Ecke Clayallee - Mittelstr. Ecke Potsdamerstr. - Wolzogenstr. Ecke Potsdamerchaussee - Spanischeallee Ecke Potsdamerchaussee - Waldfriedhof - Quantzstr. Ecke Potsdamerchaussee - Kronprinzessinnenweg Ecke Königsstr. - Am Großen Wannsee Ecke Königsstr. - Pfaueninselchaussee Ecke Königsstr. - Rathaus Wannsee - Stölpchensee - Machnowerstr. Ecke Königsweg,20.0,30.0,,1965,west,
A19,autobus,Roseneck - Hagenplatz - Erdenerstr. Ecke Königsallee - Henriettenplatz - Wilmersdorferstr. Ecke Kurfürstendamm - Olivaerplatz - Joachim-Friedrich-Str. Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Potsdamerstr. Ecke Bülowstr. - Bautzenerstr. Ecke Yorckstr. - Katzbachstr. Ecke Yorckstr. - Mehringdamm - Flughafen Tempelhof,10.0,39.0,,1965,west,
A20,autobus,"Tegelort, Almazeile - Gerlindeweg Ecke Friederikestr. - Falkenplatz - Freiheitsweg - Heiligenseestr. Ecke Karolinenstr. - Karolinenstr. Ecke Hermsdorferdamm - U-Bhf. Tegel - Hatzfeldtallee Ecke Buddestr. - Martin-Luther-Friedhaus - Freie Scholle - Waldhornstr. Ecke Waidmannslusterdamm - Cyclopstr. Ecke Waidmannslusterdamm - Oraniendamm Ecke Waidmannslusterdamm - Am Vierrutenberg Ecke Zabel-Krüger-Damm - Lübars Dorfaue",15.0,36.0,,1965,west,
A21,autobus,Wilhelmsruherdamm/Wentowsteig - Oranienburgerstr. Ecke Wilhelmsruherdamm - Alt-Wittenau Ecke Eichborndamm - Breitenbachstr. Ecke Eichborndamm - Scharnweberstr. Ecke Eichborndamm - Kurt-Schumacher-Platz - Kaserne Südtor - Heckerdamm Ecke Kurt-Schumacherdamm - Olbersstr. Ecke Tegelerweg - Luisenplatz - Kantstr. - Stuttgarterplatz - Amtsgericht - Kurfürstendamm Ecke Joachim-Friedrichstr. - Hohenzollerndamm Ecke Seesenerstr. - U-Bhf. Fehrbellinerplatz,15.0,50.0,,1965,west,
A24,autobus,"Moabit, Wiebestr. - Gotzkowskystr. Ecke Turmstr. - Stromstr. Ecke Turmstr. - Rathenowerstr. Ecke Turmstr. - Alt-Moabit Ecke Rathenowerstr. - John-Foster-Dulles Ecke Spreeweg - Tiergartenstr. Ecke Großer Stern - Lützowplatz - Potsdamerstr. Ecke Schöneberger Ufer - Hafenplatz - Askanischerplatz - U-Bhf. Hallesches Tor - Alexandrinenstr. Ecke Neuenburgerstr. - Gneisenaustr. Ecke Zossenerstr. - Columbiadamm Ecke Friesenstr. - Flughafen Tempelhof",15.0,39.0,,1965,west,
A25,autobus,Unionplatz - Gotzkowskystr. - Hansaplatz - Ernst-Reuter-Platz - Bhf. Zoo - Kurfürstendamm Ecke Joachimstalerstr. - Lietzenburgerstr. Ecke Joachimstalerstr. - Pariserstr. Ecke Bundesallee - Berlinerstr. Ecke Bundesallee - Bundesplatz - Kaisereiche - Grazerplatz - Attilaplatz - Tempelhoferdamm Ecke Ordensmeisterstr. - Gottlieb-Dunkelstr. Ecke Tempelhoferweg - Britzerdamm Ecke Tempelhoferweg - U-Bhf. Parchimerallee - Grünerweg Ecke Parchimerallee,10.0,59.0,,1965,west,
A28,autobus,Loewenhardtdamm - Dudenstr. Ecke Katzbachstr. - Kreuzbergstr. Ecke Katzbachstr. - Yorckstr. Ecke Großbeerenstr. - Mehringdamm Ecke Yorckstr. - Zossenerstr. Ecke Gneisenaustr. - Südstern - Urban-Krankenhaus - U-Bhf. Prinzenstr. - U-Bhf. Kottbuser Tor - Oranienstr. Ecke Adalbertstr. - Mariannenplatz - Köpenickerstr. Ecke Manteufelstr. - U-Bhf. Schlesisches Tor - Heckmannufer Ecke Schlesischestr.,7.5,30.0,,1965,west,
A29,autobus,Roseneck - Berkaerstr. Ecke Teplitzerstr. - Franzensbaderstr. Ecke Hubertusallee - Bismarckplatz - Rathenauplatz - Henriettenplatz - Joachim-Friedrichstr. Ecke Kurfürstendamm - Wilmersdorferstr. Ecke Kurfürstendamm - Olivaerplatz - Uhlandstr. Ecke Kurfürstendamm - Joachimstalerstr. Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz - Lützowplatz - Lützowstr. Ecke Potsdamerstr. - Schönebergerstr. Ecke Hallesches Ufer - Askanischerplatz - U-Bhf. Kochstr. - Lindenstr. Ecke Oranienstr. - U-Bhf. Moritzplatz - Oranienplatz,10.0,40.0,,1965,west,
A31,autobus,Machandelweg - U-Bhf. Ruhleben - Teltowerstr. Ecke Ruhlebenerstr. - Stresowplatz - Breitestr. Ecke Charlottenstr. - Rathaus Spandau - Nauenerstr. Ecke Brunsbüttlerdamm - Magistratsweg Ecke Brunsbüttelerdamm - Hackbuschstr. Ecke Torweg - Heidebergplan,20.0,30.0,,1965,west,
