,line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
73,A 4,Brixplatz - Reichskanzlerplatz - Messedamm - Bhf. Halensee - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - Bundesallee Ecke Badensche Strasse - Rathaus Schöneberg - Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Flughafen - Friesenstrasse - U-Bhf. Boddinstrasse - Erkstrasse Ecke Sonnenallee - Harzer Strasse,10.0,56.0,bus,West,1961
81,A 48,Potsdamer Strasse Ecke Fischerhüttenstrasse - Teltower Damm - Sundgauer Strasse - Dahlemer Weg - Drakestrasse - Hindenburgdamm - Rathaus Steglitz - Bundesallee - Kaisereiche - Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - Goeben-/Pallasstrasse - U-Bhf. Bülowstrasse - Lützowstrasse - Margaretenstrasse,10.0,38.0,bus,West,1961
83,A 5,Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Hauptkinderheim - Teltower Strasse - Grenadierstrasse - Stresowplatz - Breite Strasse - Rathaus Spandau - Bhf. Spandau-West - Hochgerichtstrasse - Falkenseer Chaussee - Viersener Strasse - Wolburgsweg - Stadtrandstrasse - Waldkrankenhaus,10.0,24.0,bus,West,1961
84,A 50,Roseneck - Hohenzollerndamm - Elsterplatz - Forckenbeckstrasse - Flinsberger Platz - Cunostrasse - Bhf. Hohenzollerndamm - Konstanzer Strasse - Ruhrstrasse - Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauische Strasse - Prager Platz,10.0,15.0,bus,West,1961
85,A 51,Bhf. Wannsee - Königstrasse/Kronprinzessinnenweg - Am Grossen Wannsee - KoblanckStrasse - Colomierstrasse - Krankenhaus Wannsee - Zum Heckeshorn - Krankenhaus Heckeshorn,30.0,10.0,bus,West,1961
86,A 52,Alt-Marienfelde - Gutshof Marienfelde - Bhf. Buckower Chaussee - Lichtenrader Damm - Bühler Weg - Buckower Friedhof - Buckower Damm - Grüner Weg - Triftweg - Rudower Strasse - Efeuweg - Wildmeisterdamm - Köpenicker Strasse - Friedhof Rudow - Kanalstrasse - Mimosenweg,30.0,37.0,bus,West,1961
87,A 53,Schlachtensee - Waldemarplatz - Bhf. Lindenthaler Allee - U-Bhf. Krumme Lanke - Hartmannsweiler Weg - Potsdamer Strasse Ecke Fischerhüttenstrasse - Teltower Damm - Bhf. Zehlendorf - Knesebeckstrasse - Jänickestrasse - Dahlemer Weg - Osteweg - 4. Ring - Luzerner Strasse - Thuner Platz,20.0,26.0,bus,West,1961
91,A 6,Bhf. Wannsee - Königstrasse - Am Grossen Wannsee - Endestrasse - Pfaueninsel-Chaussee - Rathaus Wannsee - Friedenstrasse - Schäferberg - Nikolskoer Weg - Schloss Glienicke - Glienicker Brücke,60.0,13.0,bus,West,1961
92,A 60,"Roseneck, Hundekehl - Warnemünder/Berkaer Strasse - Zappoter/Oeynhauser Strasse - Hamburger Strasse, Rudolf-Mosse-Platz - U-Bhf. Heidelberger Platz - Brabanter Platz - Am Volkspark - Berliner Strasse - Postamt - Güntzelstrasse - Ludwigkirchstrasse/Pariser Strasse - Kurfürstendamm - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz",10.0,25.0,bus,West,1961
93,A 61,"ZobeltitzStrasse - U-Bhf. Scharnweberstrasse, Sportplatz - Schillingstrasse - U-Bhf. Kurt-Schumacher-Platz - Humboldtstrasse - Sebastianfriedhof - Teichstrasse - Aroser Allee - Osloer Strasse - Exerzierstrasse - Pankstrasse - Bhf. Gesundbrunnen - Rügener Strasse - Bernauer Strasse - Gartenplatz, Feldstrasse",10.0,32.0,bus,West,1961
