,stop_id,stop_name,type,in_lines
809,810,U-Bhf. Kurt-Schumacher-Platz,bus,"{'A61s', 'A62x'}"
810,811,U-Bhf. Leinestrasse,strassenbahn,{'27x'}
811,812,U-Bhf. Leopold-Platz,bus,{'A12'}
812,813,U-Bhf. Moritzplatz,bus,{'A75x'}
813,814,U-Bhf. Neukölln,strassenbahn,"{'47x', '15x', '26x'}"
814,815,U-Bhf. Onkel-Toms-Hütte,bus,"{'A66x', 'A3'}"
815,816,U-Bhf. Oskar-Helene-Heim,bus,"{'A1s', 'A3', 'A18', 'AS3s', 'A11'}"
816,817,U-Bhf. Prinzenstrasse,bus,{'A28s'}
817,818,U-Bhf. Ruhleben,bus,"{'A5s', 'AS1s', 'A31s'}"
818,819,U-Bhf. Ruhleben,strassenbahn,"{'53x', '54x'}"
819,820,U-Bhf. Rüdesheimer Platz,bus,{'A17'}
820,821,"U-Bhf. Scharnweberstrasse, Sportplatz",bus,{'A61s'}
821,822,U-Bhf. Schlesisches Tor,bus,{'A28s'}
822,823,U-Bhf. Seestrasse,bus,"{'A12', 'A16'}"
823,824,U-Bhf. Seestrasse,strassenbahn,{'3x'}
824,825,U-Bhf. Südstern,strassenbahn,{'3x'}
825,826,U-Bhf. Tegel,bus,"{'A14', 'A20', 'A15', 'A13'}"
826,827,U-Bhf. Tempelhof,bus,"{'A76x', 'A77x'}"
827,828,U-Bhf. Thielplatz,bus,{'A10'}
828,829,Uhlandstrasse,bus,"{'A50s', 'A29s'}"
829,830,Uhlandstrasse Ecke Kurfürstendamm,bus,{'A69x'}
830,831,Unionplatz,bus,{'A25x'}
831,832,Unter den Eichen Ecke Drakestrasse,bus,{'A11'}
832,833,Unter den Eichen Ecke Habelschwerdter Allee,bus,{'A11'}
833,834,Urban-Krankenhause,bus,{'A28s'}
834,835,Usedomer Strasse,bus,{'A71s'}
835,836,Verwaltungs-Gebäude,bus,{'A10'}
836,837,Viersener Strasse,bus,"{'A5s', 'A63x'}"
837,838,Viktoria-Luise-Platz,u-bahn,{'B III'}
838,839,Virchow-Krankenhaus,bus,{'A16'}
839,840,Vogelsang,bus,{'A68x'}
840,841,Voltastr.,u-bahn,{'D'}
841,842,Voltastrasse Ecke Watt Strasse,strassenbahn,{'2x'}
842,843,Waidmannslust,s-bahn,{'KBS 106'}
843,844,Waldemarplatz,bus,{'A53x'}
844,845,Waldemarstrasse,bus,{'A28s'}
845,846,Walderseestrasse,bus,{'A20'}
846,847,Waldfriedhof,bus,{'A18'}
847,848,Waldkrankenhaus,bus,{'A5s'}
848,849,Waldstrasse,bus,{'A20'}
849,850,Waldstrasse Ecke Turmstrasse,bus,"{'A1s', 'A72x'}"
850,851,Waldstrasse/Gotzkowskystrasse,bus,{'A70x'}
851,852,Wannsee,Fähre,{'Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt)'}
852,853,Wannsee,s-bahn,"{'KBS 104', 'KBS 102'}"
853,854,Warnem nder Strasse,bus,{'A17'}
854,855,Warnemünder/Berkaer Strasse,bus,{'A60s'}
855,856,Wedding,s-bahn,{'KBS 100'}
856,857,Weddingplatz,bus,"{'A70x', 'A72x'}"
857,858,Weddingplatz,strassenbahn,{'2x'}
858,859,Weichselstrasse,strassenbahn,"{'47x', '26x'}"
859,860,Weinmeisterhornweg,bus,"{'A35s', 'A34s', 'A13'}"
860,861,Wentowsteig,bus,{'A21'}
861,862,Wernerwerk,s-bahn,{'KBS 100c'}
862,863,Westend,s-bahn,{'KBS 100'}
863,864,Westkreuz,s-bahn,"{'KBS 101', 'KBS 102', 'KBS 100'}"
864,865,"Weverstrasse, Strassenbahnhof",strassenbahn,"{'76x', '75s'}"
865,866,Wiebestrasse,bus,{'A24x'}
866,867,Wiebestrasse Ecke Kaiserin-Augusta-Allee,bus,{'A72x'}
867,868,Wiebestrasse Ecke Kaiserin-Augusta-Allee,strassenbahn,{'3x'}
868,869,"Wiebestrasse, Strassenbahnhof",bus,{'A70x'}
869,870,Wiener Brücke,bus,{'A75x'}
870,871,Wiesbadener Strasse,bus,{'A16'}
871,872,Wiesenbaude,bus,{'A11'}
872,873,Wiesenbaude,strassenbahn,"{'73s', '74s'}"
873,874,Wiesenstrasse,bus,{'A70x'}
874,875,Wilderbruchstrasse Ecke Sonnenallee,strassenbahn,{'3x'}
875,876,Wildmeisterdamm,bus,{'A52s'}
876,877,Wildmeisterdamm,strassenbahn,{'47x'}
877,878,Wilhelmsruh,s-bahn,{'KBS 106'}
878,879,Wilhelmstrasse,bus,{'A17'}
879,880,Wilhelmstrasse Ecke Pichelsdorferstrasse,bus,"{'A35s', 'A34s'}"
880,881,Wilmersdorf,s-bahn,"{'KBS 100a', 'KBS 100'}"
881,882,Wilmersdorfer Strasse,bus,"{'A19', 'A29s'}"
882,883,Wilmersdorfer Strasse,strassenbahn,"{'76x', '75s'}"
883,884,Wilmersdorfer Strasse Ecke Kurfürstendamm,bus,{'A69x'}
884,885,Wilmersdorfer Strasse Ecke Kurfürstendamm,strassenbahn,{'3x'}
885,886,Wilmersdorfer Strasse Ecke Otto-Suhr-Alle,strassenbahn,{'3x'}
