stop_order,stop_id,line_id,distance_meters
4,1960103_unified,19609_unified,351.96867931355047
5,1960104_unified,19609_unified,445.61409332315895
6,1960105_unified,19609_unified,576.462726792745
7,1960106_unified,19609_unified,372.2424642814174
8,1960107_unified,19609_unified,442.00500071495446
9,1960108_unified,19609_unified,554.0019392475838
10,1960109_unified,19609_unified,428.7968826814452
11,1960110_unified,19609_unified,257.45648869654485
12,1960111_unified,19609_unified,661.18722586945
13,1960112_unified,19609_unified,372.02856990979325
14,1960113_unified,19609_unified,571.8019825266199
15,1960114_unified,19609_unified,
0,1960115_unified,196010_unified,1062.1265668923131
1,1960116_unified,196010_unified,1201.1477288951864
2,1960117_unified,196010_unified,967.7662497247464
3,1960118_unified,196010_unified,1424.983765755102
4,1960119_unified,196010_unified,1115.354469249847
5,1960120_unified,196010_unified,1850.7808589124793
6,1960121_unified,196010_unified,1006.0851891242353
7,1960122_unified,196010_unified,1485.441782351224
8,1960123_unified,196010_unified,1135.9990449615088
9,1960124_unified,196010_unified,734.5788192004492
10,1960125_unified,196010_unified,
0,1960126_unified,196011_unified,1266.0476425630343
1,1960127_unified,196011_unified,1426.1764999197446
2,1960128_unified,196011_unified,1832.4555563038914
3,1960129_unified,196011_unified,1537.3924517264536
4,1960130_unified,196011_unified,955.1140117057815
5,1960131_unified,196011_unified,1176.2770513881874
6,1960132_unified,196011_unified,1190.0024306273913
7,1960133_unified,196011_unified,2000.4913621205715
8,1960134_unified,196011_unified,1059.4644046769818
9,1960135_unified,196011_unified,1396.4716467217036
10,1960136_unified,196011_unified,1171.0250071380465
11,1960137_unified,196011_unified,3920.7165148665276
12,1960138_unified,196011_unified,1206.4915105080659
13,1960139_unified,196011_unified,
0,1960140_unified,196012_unified,1269.3365529436078
1,1960141_unified,196012_unified,2257.4894279626023
2,1960142_unified,196012_unified,584.7481998649841
3,1960143_unified,196012_unified,1213.7861786940603
4,1960144_unified,196012_unified,1622.0410594042503
5,1960145_unified,196012_unified,1024.5279285043634
6,1960146_unified,196012_unified,2137.771743243148
7,1960147_unified,196012_unified,304.1661846605168
8,1960148_unified,196012_unified,827.6699039615434
9,1960149_unified,196012_unified,615.2109227965924
10,1960150_unified,196012_unified,763.9882053524642
11,1960151_unified,196012_unified,1208.953903483075
12,1960152_unified,196012_unified,810.650890788585
13,1960153_unified,196012_unified,
0,1960154_unified,196013_unified,1062.1265668923131
1,1960155_unified,196013_unified,484.8593024039357
2,1960156_unified,196013_unified,362.8302661146504
3,1960157_unified,196013_unified,436.3314773761126
4,1960158_unified,196013_unified,858.3027402224645
5,1960159_unified,196013_unified,822.3349297930378
6,1960160_unified,196013_unified,660.1881252983035
7,1960161_unified,196013_unified,696.9579387407435
8,1960162_unified,196013_unified,885.1495968873576
9,1960163_unified,196013_unified,459.7007961922581
10,1960164_unified,196013_unified,
0,1960165_unified,196014_unified,1794.9958303572298
1,1960166_unified,196014_unified,859.8117259912431
2,1960167_unified,196014_unified,1631.079688240534
3,1960168_unified,196014_unified,1211.38801694089
4,1960169_unified,196014_unified,3.7624346665217243
5,1960170_unified,196014_unified,733.3218475991989
6,1960171_unified,196014_unified,1190.0024306273913
7,1960172_unified,196014_unified,1028.8220924860057
8,1960173_unified,196014_unified,712.5409801165836
9,1960174_unified,196014_unified,1426.6036384855327
10,1960175_unified,196014_unified,1029.6656765889231
11,1960176_unified,196014_unified,131.16241336217254
12,1960177_unified,196014_unified,507.1405548125373
13,1960178_unified,196014_unified,1289.6255488044558
14,1960179_unified,196014_unified,
0,1960180_unified,196015_unified,595.3430448431267
1,1960181_unified,196015_unified,1025.25169258668
2,1960182_unified,196015_unified,464.5817563357529
3,1960183_unified,196015_unified,1085.1595773663262
4,1960184_unified,196015_unified,457.5995562968838
5,1960185_unified,196015_unified,1239.9108862281507
6,1960186_unified,196015_unified,1138.5270636163884
7,1960187_unified,196015_unified,1028.310335717693
8,1960188_unified,196015_unified,1275.9481087827214
9,1960189_unified,196015_unified,1017.6326019610724
10,1960190_unified,196015_unified,616.0777014132343
11,1960191_unified,196015_unified,436.60953777503914
12,1960192_unified,196015_unified,560.2089330904453
13,1960193_unified,196015_unified,
0,1960194_unified,196016_unified,617.5591751686891
1,1960195_unified,196016_unified,464.5817563357529
2,1960196_unified,196016_unified,1085.1595773663262
3,1960197_unified,196016_unified,457.5995562968838
4,1960198_unified,196016_unified,1239.9108862281507
5,1960199_unified,196016_unified,1138.5270636163884
6,1960200_unified,196016_unified,1028.310335717693
7,1960201_unified,196016_unified,1275.9481087827214
8,1960202_unified,196016_unified,1017.6326019610724
9,1960203_unified,196016_unified,405.7837189451598
10,1960204_unified,196016_unified,
0,1960205_unified,196017_unified,631.5580680363825
1,1960206_unified,196017_unified,254.96779665740266
2,1960207_unified,196017_unified,989.833312326202
3,1960208_unified,196017_unified,440.3343869086589
4,1960209_unified,196017_unified,342.49070874547755
5,1960210_unified,196017_unified,577.599958304608
6,1960211_unified,196017_unified,1295.94705058729
7,1960212_unified,196017_unified,512.5230573151351
8,1960213_unified,196017_unified,324.08753126837104
9,1960214_unified,196017_unified,692.7662052128408
10,1960215_unified,196017_unified,889.0914558049886
11,1960216_unified,196017_unified,1302.9297646583661
12,1960217_unified,196017_unified,278.878372596535
13,1960218_unified,196017_unified,3630.704311374261
14,1960219_unified,196017_unified,2667.5528998810537
15,1960220_unified,196017_unified,
0,1960221_unified,196018_unified,3821.618177870984
1,1960222_unified,196018_unified,1846.3668569830002
