,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
116,Reinickendorf,s-bahn,"['KBS 153', 'KBS 152']","52.5779,13.3506",Q800496,['KBS 105']+ ['KBS 105']+ ['KBS 105']+ KBS 105+ KBS 105+ KBS 100c+ ['KBS 100c']+ ['KBS 152']+ ['KBS 153']+ 153,nan+ nan+ nan+ Berlin Alt-Reinickendorf station+ Berlin Alt-Reinickendorf station+ Berlin Alt-Reinickendorf station+ nan+ nan+ nan+ nan
117,Reinickendorfer Str.,u-bahn,['6'],"52.539911111111,13.370377777778",Q559249,"['C I']+ C II,C I+ C I+ C I+ ['6']+ ['6']",nan+ Reinickendorfer Straße+ Reinickendorfer Straße+ Reinickendorfer Straße+ nan+ nan
118,Rudow,u-bahn,['7'],"52.415833333333,13.496111111111",Q660024,['7']+ 7+ 7+ 7,nan+ nan+ nan+ nan
119,Ruhleben,u-bahn,['1'],"52.525555555556,13.241388888889",Q656401,['A1']+ ['A I']+ ['A I']+ B I+ B I+ A I+ ['1']+ ['1']+ ['1']+ 1+ 1+ 1,nan+ nan+ nan+ Ruhleben station+ Ruhleben station+ Ruhleben station+ nan+ nan+ nan+ nan+ nan+ nan
120,Rüdesheimer Platz,u-bahn,['2'],"52.473333333333,13.314444444444",Q167147,"['A2']+ ['A II']+ ['A II']+ B II,A II+ A II,B II+ A II+ ['2']+ ['2']+ ['2']+ 2+ 2+ 2",nan+ nan+ nan+ Rüdesheimer Platz+ Rüdesheimer Platz+ Rüdesheimer Platz+ nan+ nan+ nan+ nan+ nan+ nan
121,Savignyplatz,s-bahn,"['KBS 156', 'KBS 157']","52.5051746,13.3190659",Q554382,"['KBS 101', 'KBS 100c']+ ['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 103,KBS 102,KBS 101+ KBS 101,KBS 102+ KBS 100h,KBS 100g,KBS 100k+ ['KBS 100g', 'KBS 100k', 'KBS 100h']+ ['KBS 151', 'KBS 157', 'KBS 156']+ ['KBS 156']+ 156+ 3+ 3",nan+ nan+ nan+ Berlin Savignyplatz station+ Berlin Savignyplatz station+ Berlin Savignyplatz station+ nan+ nan+ nan+ nan+ nan+ nan
122,Scharnweberstr. (Eichborndamm),u-bahn,['6'],"52.566944444444,13.312777777778",Q557586,"C II,C I+ C I+ C I+ ['6']+ ['6']",Scharnweberstraße+ Scharnweberstraße+ Scharnweberstraße+ nan+ nan
123,Schlachtensee,s-bahn,['KBS 154'],"52.4401,13.2153",Q800509,['KBS 104a']+ ['KBS 104']+ ['KBS 104']+ KBS 104+ KBS 104+ KBS 100e+ ['KBS 100e']+ ['KBS 154']+ 1,nan+ nan+ nan+ Berlin-Schlachtensee station+ Berlin-Schlachtensee station+ Berlin-Schlachtensee station+ nan+ nan+ nan
124,Schlesisches Tor,u-bahn,['1'],"52.500833333333,13.441666666667",Q602282,"['B']+ ['B II']+ ['B I']+ B II,B I+ B II,B I+ A I,A II+ ['1']+ ['1']+ ['1']+ 1+ 1+ 1",nan+ nan+ nan+ Schlesisches Tor+ Schlesisches Tor+ Schlesisches Tor+ nan+ nan+ nan+ nan+ nan+ nan
125,Schloßstr.,u-bahn,['9'],,,,
