stop_order,stop_id,line_id
1,1967348_west,196728_west
2,1967349_west,196728_west
3,1967350_west,196728_west
4,1967351_west,196728_west
0,1967352_west,196729_west
1,1967353_west,196729_west
2,1967354_west,196729_west
3,1967355_west,196729_west
4,1967356_west,196729_west
5,1967357_west,196729_west
6,1967358_west,196729_west
7,1967359_west,196729_west
8,1967360_west,196729_west
9,1967361_west,196729_west
10,1967362_west,196729_west
11,1967363_west,196729_west
12,1967364_west,196729_west
13,1967365_west,196729_west
14,1967366_west,196729_west
15,1967367_west,196729_west
16,1967368_west,196729_west
0,1967369_west,196730_west
1,1967370_west,196730_west
2,1967371_west,196730_west
3,1967372_west,196730_west
4,1967373_west,196730_west
5,1967374_west,196730_west
6,1967375_west,196730_west
7,1967376_west,196730_west
0,1967377_west,196731_west
1,1967378_west,196731_west
2,1967379_west,196731_west
3,1967380_west,196731_west
4,1967381_west,196731_west
5,1967382_west,196731_west
6,1967383_west,196731_west
7,1967384_west,196731_west
8,1967385_west,196731_west
9,1967386_west,196731_west
10,1967387_west,196731_west
11,1967388_west,196731_west
12,1967389_west,196731_west
13,1967390_west,196731_west
0,1967391_west,196732_west
1,1967392_west,196732_west
2,1967393_west,196732_west
3,1967394_west,196732_west
4,1967395_west,196732_west
5,1967396_west,196732_west
0,1967397_west,196733_west
1,1967398_west,196733_west
2,1967399_west,196733_west
3,1967400_west,196733_west
4,1967401_west,196733_west
5,1967402_west,196733_west
6,1967403_west,196733_west
7,1967404_west,196733_west
8,1967405_west,196733_west
0,1967406_west,196734_west
1,1967407_west,196734_west
2,1967408_west,196734_west
3,1967409_west,196734_west
4,1967410_west,196734_west
5,1967411_west,196734_west
6,1967412_west,196734_west
7,1967413_west,196734_west
0,1967414_west,196735_west
1,1967415_west,196735_west
2,1967416_west,196735_west
3,1967417_west,196735_west
4,1967418_west,196735_west
5,1967419_west,196735_west
6,1967420_west,196735_west
7,1967421_west,196735_west
8,1967422_west,196735_west
9,1967423_west,196735_west
10,1967424_west,196735_west
11,1967425_west,196735_west
12,1967426_west,196735_west
13,1967427_west,196735_west
14,1967428_west,196735_west
15,1967429_west,196735_west
0,1967430_west,196736_west
1,1967431_west,196736_west
2,1967432_west,196736_west
3,1967433_west,196736_west
4,1967434_west,196736_west
5,1967435_west,196736_west
6,1967436_west,196736_west
7,1967437_west,196736_west
8,1967438_west,196736_west
9,1967439_west,196736_west
10,1967440_west,196736_west
11,1967441_west,196736_west
12,1967442_west,196736_west
13,1967443_west,196736_west
14,1967444_west,196736_west
0,1967445_west,196737_west
1,1967446_west,196737_west
2,1967447_west,196737_west
3,1967448_west,196737_west
4,1967449_west,196737_west
5,1967450_west,196737_west
6,1967451_west,196737_west
7,1967452_west,196737_west
8,1967453_west,196737_west
9,1967454_west,196737_west
10,1967455_west,196737_west
11,1967456_west,196737_west
12,1967457_west,196737_west
13,1967458_west,196737_west
14,1967459_west,196737_west
0,1967460_west,196738_west
1,1967461_west,196738_west
2,1967462_west,196738_west
3,1967463_west,196738_west
