line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Info
19,bus,West,Taubertstrasse - Lassenstrasse - Erdener Strasse - Herbertstrasse - Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz - Bleibtreustrasse - U-Bhf. Uhlandstrasse - U-Bhf. Kurfürstendamm - Gedächtnis-Kirche - Europa-Center - U-Bhf. Wittenbergplatz - An der Urania - U-Bhf. Nollendorfplatz - Potsdamer Strasse - Dennewitzplatz - Mansteinstrasse - U-Bhf. Yorckstrasse/S-Bhf. Großgörschenstrasse - S-Bhf. Yorckstrasse - katzbachstrasse - Großbeerenstrasse - U-Bhf. Mehringdamm - Kreuzbergstrasse - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,5,39,,1989,Verschiedene Abschnitte mit verschiedenen Zeiten
19,strassenbahn,Ost,"Scharnweberstrasse - Bhf. Frankfurter Allee - Rathaus Lichtenberg - Herzbergstrasse Ecke Ho-Chi-Minh-Strasse - Siegfriedstrasse Ecke Herzbergstrasse - Allee der Kosmonauten Ecke Rhinstrasse - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - U-Bhf. Tierpark - Bhf. Karlshorst - Wilhelminenhofstrasse Ecke Edinsonstrasse - Rathenaustrasse - Pionierpark - Bahnhof-/Lindenstrasse - Schloßplatz - Wendenschloßstrasse Ecke Müggelheimer Strasse - Köpenick, Krankenhaus",,,,1989,
2,bus,West,"U-Bhf. Friedrich-Wilhelm-Platz - Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - S-Bhf. Feuerbachstrasse - Bismarckstrasse - Lauenburger Platz - Bergstrasse - Selerweg - Steglitzer Damm - Halskestrasse - Siemensstrasse - Leonorenstrasse - Stadtbad Lankwitz - Rathaus Lankwitz - Lankwitz, Kirche - Thaliaweg - Havensteinstrasse - Dessauer Strasse - Lerbacher Weg - Blankenheiner Strasse - Brotteroder Strasse - Maximilian-Kaller-Strasse - Hildburghauser Strasse - Lichterfelder Ring - Tirschenreuther Ring - Waldsassener Strasse - Marienfelde, Waldsassener Strasse",7.5,33,,1989,
20,bus,West,"Almazeile - Friederikestrasse - Gerlindeweg - Schwarzspechtweg - Falkenplatz - Habichtstrasse/Strandbad - Försterweg - Zum Rallenweg - Gabelung - Schulzendorfer Weg - Ruppiner Chaussee - Waidmannsluster Damm Ecke Ziekowstrasse - U-Bhf. Tegel - Tegel-Center - Ziekowstrasse - Hatzfeldtallee - Waidmannsluster Damm Ecke Ziekowstrasse - Kettelerpfad - Am Brachfeldwinkel - Freie Scholle - Waldhornstrasse - Dianastrasse - Am Dianaplatz - S-Bhf. Waidmannslust - Oraniendamm - Schluchseestrasse - Titiseestrasse - Zabel-Krüger-Damm - Öschebronner Weg - Am Vierrutenberg - Klötzesteig - Alt-Lübars - Lübars, Alt Lübars",10,41,,1989,
20,strassenbahn,Ost,Bhf. Lichtenberg - Betriebshof Lichtenberg - Josef-Orlopp-Strasse - Herzbergstrasse Ecke Siegfriedstrasse - Ho-Chi-Minh-Strasse Ecke Herzbergstrasse - Leninallee Ecke Ho-Chi-Minh-Strasse - Hohenschönhauser Strasse Ecke Ho-Chi-Minh-Strasse - Omnibus-Betriebshof Ecke Indira-Gandhi-Strasse - Klement-Gottwald-Allee - Antonplatz - Roelckestrasse - Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackerscher Markt,,,,1989,
21,bus,West,Quickborner Strasse Märkisches Viertel - Zerpenschleuser Ring - Quickborner Strasse - Treuenbrietzener Strasse - Wesendorfer Strasse - Packereigraben - Wilhelmsruher Damm - Teschendorfer Weg - Tramper Weg - Wentowsteig - Tornower Weg - Schorfheidestrasse - Sallgaster Strasse - Finsterwalder Strasse - S-Bhf. Wittenau (Nordbahn) - Oranienburger Strasse - Techowpromenade - Alt-Wittenau - Am Nordgraben Ecke Oranienburgerstrasse - Rauthauspromenade - Eichborndamm - Pannwitzstrasse - Eichborndamm 167/Tor 5 - Olbendorfer Weg - Miraustrasse - Wackerweg - Auguste-Viktoria-Allee - U-Bhf. Scharnweber Strasse - General-Barby-Strasse - Hechelstrasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Napoleon - Kaserne Nordtor - Kaserne Südtor - Aristide-Briand-Brücke - Hinckeldeybrücke - Heckerdamm - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Krankenhaus Jungfernheide - U-Bhf. Jungfernheide,10,47,,1989,
21,strassenbahn,Ost,"Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse Ecke Dimitroffstrasse - Bötzowstrasse - Artur-Becker-Strasse Ecke Dimitroffstrasse - Leninallee Ecke Dimitroffstrasse - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistrasse Ecke Boxhagener Strasse - S-Bhf. Rummelsburg - VEB Gummiwerke - Heizkraftwerk - Hönower Wiesenweg - Liepnitzstrasse - Hermann-Duncker-Strasse Ecke Ehrlichstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Rathenaustrasse - Pionierpark - Bahnhof-/Lindenstrasse - Schloßplatz - Wendenschloßstrasse Ecke Müggelheimer Strasse - Köpenick, Krankenhaus",20,75,,1989,
22,bus,West,U-Bhf. Osloer Strasse - Drontheimer Strasse - Soldiner Strasse - Pankower Allee - Granatenstrasse - S-Bhf. Schönholz - Nordbahnstrasse - Raschdorffstrasse - Ementaler Strasse - Armbrustweg - Alt-Reinickendorf - Aroser Allee - U-Bhf. Paracelsus-Bad - Flottenstrasse - Tessenowstrasse - Schmitzweg - Alt-Wittenau - Oranienburger Strasse - Wilhelmsruher Damm - S-Bhf. Wittenau (Nordbahn) - Dannenwalder Weg - Schorfheidestrasse - Königshorster Strasse - Gemiende-Zentrum - Märkisches Zentrum - Wesendorfer Strasse - Senftenberger Ring-Ost - Seniorenzentrum - Calauer Strasse - Engelroder Weg - Eichhorster Weg - Lübarser Strasse - Bernhausener Ring - Hermsdorfer Strasse - Waidmannsluster Damm - Schluchseestrasse - Waidmannslust Titiseestrasse,15,47,,1989,
22,strassenbahn,Ost,"Rosenthal, Quickborner Strasse - Hauptstrasse - Siedlung - Kastanienallee - Nordendstrasse - Platanenstrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow (Vinetastrasse) - Bornholmer Strasse Ecke Wisbyer Strasse - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Zionskirchplatz - Brunnenstrasse - Invalidenstrasse, Post - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,48,,1989,
23,bus,Ost,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Normannenstrasse Ecke Germanenstrasse - Wolfmarsteig - Schönefelder Chaussee Ecke Dankmarsteig - Altglienicke, Kirche - Glienicker Weg - VEB Berlin-Chemie - Dörpfeldstrasse - S-Bhf. Adlershof - Rudower Chaussee",20,28,,1989,
