stop_name,type,location,in_lines,identifier,east-west
Badstrasse/Prinzenallee,bus,"52.55231378388406, 13.381413167559051",A71,,West
Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,"52.493899843231475, 13.403460093532933",95,,West
Bahnhof Friedrichstr. (Stadtbahn),u-bahn,"52.520111111111,13.388305555556",C I,Q3753274,West
Bahnhof Wedding,u-bahn,"52.5425,13.366111",C I,Q4018733,West
Bahnhofstrasse,strassenbahn,"52.40244986860125, 13.512704137216817",47,,West
Bayerischer Platz,u-bahn,"52.488333333333,13.340277777778",B III,Q668574,West
Beeskowdamm,bus,"52.40965850195346, 13.267308742502374",A1,,West
Behring-Krankenhaus,bus,"52.42410894567823, 13.251764544509987",A10,,West
Bellevue,s-bahn,"52.52,13.348055555556","KBS 101,KBS 102",Q374018,West
Belziger Strasse,strassenbahn,"52.48469759121592, 13.34547616644445",66,,West
Benschallee,bus,"52.42959261918116, 13.22400013419735",A18,,West
Benschallee Ecke Potsdamer Chaussee,bus,"52.429638035873005, 13.22393270091056",A3,,West
Bergstrasse,bus,"52.458183734651705, 13.329753854060407",A68,,West
Bergstrasse,strassenbahn,"52.45916314067555, 13.34768142911793",66,,West
Bergstrasse Ecke Bismarckstrasse,bus,"52.45863817204511, 13.33931462421719","A2, A75,A68",",",West
Berkaer Strasse,bus,"52.48209270683341, 13.281182952838728",A29,,West
"Berkaer Strasse, Elsterplatz",bus,"52.479592141367654, 13.285296936169493",AS3,,West
Berliner Strasse,bus,"52.48647817230135, 13.32051384057218",A60,,West
Berliner Strasse,bus,"52.48732335019939, 13.330965094326162",AS2,,West
Berliner Strasse Ecke Bundesallee,bus,"52.48735367071187, 13.33100210517226","A2,A25",,West
Berliner Strasse Ecke Bundesallee,strassenbahn,"52.48734559170921, 13.330985557716325",3,,West
Berlinickeplatz,bus,"52.46607292094852, 13.378516406213421",A73,,West
Berlinickeplatz,strassenbahn,"52.466329675590764, 13.378144688199017",96,,West
Bernauer Strasse,bus,"52.538252555466876, 13.396009073652834",A61,,West
Bernauer Strasse,bus,"52.57629905299874, 13.294692761311245",A13,,West
Bernauer Strasse Ecke Wolliner Strasse,bus,"52.539825749774046, 13.4015229935377","A71,A64",,West
Bernauer Strasse Ecke Wolliner Strasse,strassenbahn,"52.5399996,13.4020564",2,Q65719652,West
Bernauer Strasse/Brunnenstrasse,bus,"52.53829556916397, 13.396023771544826",A71,,West
Beusselstr.,s-bahn,"52.534444444444,13.329166666667",KBS 100,Q323219,West
Bezirksamt,bus,"52.54146443211212, 13.200850156157355",A63,,West
Bhf. Beusselstrasse,strassenbahn,"52.53430684410127, 13.32833762655072",3,,West
Bhf. Botanischer Garten,strassenbahn,"52.44730098506532, 13.3083006582632","77,78",,West
Bhf. Buckower Chaussee,bus,"52.41109589500145, 13.382466497921738",A52,,West
Bhf. Eichbornstrasse,bus,"52.57760143817809, 13.31554154716","A15,A21",,West
Bhf. Frohnau,bus,"52.63311782571585, 13.28947655939645","A15,A12",,West
Bhf. Gesundbrunnen,bus,"52.548738600413905, 13.387745851632966","A61,A71",,West
Bhf. Grunewald,bus,"52.488010147803465, 13.26315524644143",A17,,West
Bhf. Halensee,bus,"52.496865585452014, 13.289557340809273","A10,A29,A4,A19,A69",,West
Bhf. Heerstrasse,strassenbahn,"52.50857975740797, 13.258353900023156","75,76",,West
Bhf. Heiligensee,bus,"52.625151238346696, 13.229659068045944",A14,,West
Bhf. Hermannstrasse,strassenbahn,"52.4676866643192, 13.431210901516543",27,,West
Bhf. Hermsdorf,bus,"52.61953939324446, 13.30416069232153",A15,,West
Bhf. Hohenzollerndamm,bus,"52.48832716566947, 13.301436926268025","A65,A21,A50,AS3",,West
Bhf. Jungfernheide,bus,"52.530138785889896, 13.296018817180764","A65,A21,A62",,West
Bhf. Jungfernheide,strassenbahn,"52.53103413649224, 13.300559481238167",55,,West
Bhf. Lichtenrade,bus,"52.386683297852706, 13.395506929836833","AS2,A76",,West
Bhf. Lichterfelde-Ost,bus,"52.42911680950547, 13.329847267881705",A11,,West
Bhf. Lichterfelde-Ost,strassenbahn,"52.4289149405705, 13.329002919186095","73,96",,West
Bhf. Lichterfelde-West,bus,"52.44397675869793, 13.295628699942629",A11,,West
Bhf. Lichterfelde-West,strassenbahn,"52.442695165817675, 13.297046489476738","77,78",,West
Bhf. Lindenthaler Allee,bus,"52.43102570943782, 13.229881678326638","A3,A53",,West
Bhf. Mariendorf,bus,"52.446757741789085, 13.360550212856184",A33,,West
Bhf. Mariendorf,strassenbahn,"52.447078310256, 13.361439800164863",96,,West
Bhf. Marienfelde,bus,"52.42342246533686, 13.374664175181172","A32,A77",,West
Bhf. Marienfelde,strassenbahn,"52.42613307832105, 13.375057660174704",15,,West
Bhf. Neukölln,bus,"52.46969499227434, 13.44169179465082",A65,,West
Bhf. Nikolassee,bus,"52.43378197004219, 13.193152057415048",A3,,West
Bhf. Papestrasse,bus,"52.473987789402614, 13.36343102988242","A74,A73",,West
Bhf. Papestrasse,strassenbahn,"52.474088737380455, 13.363804736501839",60,,West
Bhf. PutlitzStrasse,bus,"52.53620612444645, 13.34371268088147",A16,,West
Bhf. Schulzendorf,bus,"52.61386001623567, 13.245879660333635",A14,,West
Bhf. Schöneberg,bus,"52.47997403855305, 13.352576760698511","A65,A73",,West
Bhf. Sonnenallee,bus,"52.473861610807525, 13.455874121666916","A65,A67",,West
Bhf. Sonnenallee,strassenbahn,"52.47414312526527, 13.455499525035636","15,95",,West
Bhf. Spandau,strassenbahn,"52.53469533777715, 13.199489615484376","53,54",,West
Bhf. Spandau-West,bus,"52.53497194201396, 13.198460334945361","A63,A5",,West
Bhf. Steglitz,bus,"52.4567389564548, 13.32114701824465",A33,,West
Bhf. Südende,bus,"52.44906892859584, 13.354097834514832",A33,,West
Bhf. Teltowkanal,strassenbahn,"52.45739188437929, 13.412438576146661",26,,West
Bhf. Tempelhof,bus,"52.47084694496318, 13.385638120230526",A68,,West
Bhf. Waidmannslust,bus,"52.60711750606285, 13.32022370793147",A20,,West
Bhf. Wannsee,bus,"52.42151302311533, 13.17810256503659","A3,A51,A6",,West
Bhf. Wedding,bus,"52.544296601785504, 13.369913083294957",A70,,West
Bhf. Westend,bus,"52.51866044969405, 13.28427669582671",A65,,West
Bhf. Wilhelmsruh,bus,"52.58102921945559, 13.363635067647111",A71,,West
Bhf. Wittenau,bus,"52.59721246906266, 13.332631469768408",A15,,West
Bhf. Wollankstrasse,bus,"52.56453849178735, 13.393420272477442",A70,,West
Bhf. Yorckstrasse,bus,"52.49297747613118, 13.369530914840707",A19,,West
Bhf. Zehlendorf,bus,"52.43121177777893, 13.259164408129196","A1,A53",,West
Bhf. Zoo,bus,"52.507029532025605, 13.333220118900503","A73,AS2,AS3,A25,A62,AS1,A2",,West
Bhf. Zoo,strassenbahn,"52.50719345524868, 13.332629878993917","2,55,77,78",,West
"Bhf. Zoo, Kantstrasse",strassenbahn,"52.50540350310839, 13.330367559360592","75,76",,West
Bismarckplatz,bus,"52.492064537089135, 13.28493897027407",A29,,West
Bismarckstrasse,bus,"52.45105788558934, 13.337947293504078",A33,,West
Bleibtreustrasse Ecke Kurfürstendamm,bus,"52.50160347596025, 13.319464110729676",A69,,West
Blohmstrasse Ecke Wünsdorfer Strasse,bus,"52.388693095651256, 13.394328971164002",A76,,West
Boddinstr.,u-bahn,"52.48,13.425277777778",D,Q819495,West
Bonhoeffer-Heim,bus,"52.57940412664757, 13.33327468081513",A62,,West
Borsigwerke,u-bahn,"52.5819,13.2907",C I,Q525185,West
Bosestrasse,bus,"52.46315599068398, 13.369986279678812",A74,,West
Botanischer Garten,bus,"52.458598799471524, 13.303436055459807","A1,A68",,West
Botanischer Garten,s-bahn,"52.44806,13.30722",KBS 104,Q800498,West
Brabanter Platz,bus,"52.48200661448961, 13.316219175470072",A60,,West
Breite Strasse,bus,"52.45435057367761, 13.328307509759025","A68,A33",,West
Breite Strasse,bus,"52.53613613360638, 13.20450629947795","A5,A31",,West
Breitenbachplatz,bus,"52.467219717443385, 13.309473490660878","A1,A32,A16",,West
Breitenbachplatz,u-bahn,"52.466388888889,13.308055555556","A II,B II",Q571339,West
Breitscheidplatz,bus,"52.504438063129996, 13.33564615707506","A19,A60,A29",,West
Bristolstrasse,bus,"52.558311542070335, 13.351189355013176",A12,,West
Britzer Damm Ecke Gradestrasse,bus,"52.45262467877224, 13.438590226068557",A73,,West
Britzer Damm Ecke Gradestrasse,strassenbahn,"52.45263570371839, 13.438520381888571",27,,West
Brixplatz,bus,"52.51907944117457, 13.25699370576959",A4,,West
Brunsb tteler Damm,bus,"52.53297092580436, 13.19828647148509",A31,,West
Buckower Ch.,s-bahn,"52.4103,13.3829",KBS 105,Q800499,West
Buckower Chaussee,bus,"52.414558044256225, 13.401161035852658",AS2,,West
Buckower Chaussee Ecke Lichtenrader Damm,bus,"52.41457113222887, 13.401203951196644",A76,,West
Buckower Damm,bus,"52.42368329841466, 13.436638725763267",A52,,West
Buckower Friedhof,bus,"52.42151537347778, 13.43036950960343",A52,,West
Bundesallee,bus,"52.46493052962428, 13.32853185257923","A74,A48,A17",,West
Bundesallee,strassenbahn,"52.46492119902574, 13.32837406654589",74,,West
Bundesallee,strassenbahn,"52.48733630342845, 13.331014163134173","60,77,78",,West
Bundesallee Ecke Badensche Strasse,bus,"52.48613795045858, 13.33110029774997",A4,,West
Bundesallee Ecke Rheinstrasse,strassenbahn,"52.46491462600472, 13.328502880037894",73,,West
Bundesplatz,bus,"52.478678991134835, 13.32860278411238","AS2,A25,A65,A16,A2",,West
Bundesplatz,strassenbahn,"52.4777799057296, 13.328566193541166","77,78",,West
Burgemeister Strasse Ecke Tempelhofer Damm,bus,"52.4570129343595, 13.383915410725029","A77,A76",,West
Buschkrug,strassenbahn,"52.452470895695484, 13.450748195174354",47,,West
Buschkrug Alle Ecke Blaschko-Allee,bus,"52.452543995347135, 13.452160354904555",A73,,West
Bötzowbahn,bus,"52.560942294746425, 13.171763262130519",A63,,West
Bühler Weg,bus,"52.41724643282917, 13.412638052235238",A52,,West
Bülowstr.,u-bahn,"52.497552777778,13.363419444444",A I,Q374881,West
Canovastrasse,bus,"52.46306323889937, 13.342852729949465",AS2,,West
Canovastrasse (Krankenhaus),strassenbahn,"52.4631967931949, 13.344688692199414",66,,West
Carl-Schurz-Strasse Ecke Am Juliusturm,bus,"52.539564379064075, 13.205586144912843",A13,,West
Cauerstrasse,bus,"52.51470519737728, 13.315222708879112",AS1,,West
Cauerstrasse,strassenbahn,"52.514690629578695, 13.315200881022642",55,,West
Ceciliengärten,strassenbahn,"52.475079473741275, 13.343064768876424",66,,West
Charlottenburg,s-bahn,"52.504722222222,13.303333333333","KBS 101,KBS 102",Q111326217,West
Clayallee,bus,"52.46042333572993, 13.274946148765821",A1,,West
Clayallee Ecke Berliner Strasse,bus,"52.435061281531794, 13.260469051198768",A66,,West
Clayallee Ecke Königin-Luise-Strasse,bus,"52.46044681153186, 13.274898269312029",A68,,West
Clayallee/Teltower Damm,bus,"52.4350547405869, 13.260361762838802",AS3,,West
Colomierstrasse,bus,"52.42928675585897, 13.164090298875724",A51,,West
Columbiadamm,bus,"52.48398171737193, 13.394418749054523",A24,,West
Corrensplatz,bus,"52.446014012041694, 13.284264679815902",A11,,West
Cunostrasse,bus,"52.485632143913, 13.296298367587678",A50,,West
Cyclopstrasse,bus,"52.60208376924525, 13.32483857919441",A12,,West
Dachdeckerweg Ecke Buckower Damm,strassenbahn,"52.43211471342048, 13.435208066542456",27,,West
Dahlem-Dorf,u-bahn,"52.456944444444,13.289444444444","A II,B II",Q668585,West
Dahlemer Weg,bus,"52.44179805042347, 13.282699371472702","A10,A48,A53",,West
Daimlerstrasse,bus,"52.42310029473227, 13.382719145401357",A77,,West
Daimlerstrasse,strassenbahn,"52.423949959899865, 13.380145054879522",15,,West
Dammweg,bus,"52.47029082500845, 13.464688258814357",A67,,West
Dammweg,strassenbahn,"52.47070358256429, 13.46392233215299",15,,West
Dammweg Ecke Sonnenallee,strassenbahn,"52.4702891791955, 13.464619670250386",95,,West
Daumstrasse,bus,"52.540609965802126, 13.232264733228831",A13,,West
Demminer Strasse Ecke Brunnenstrasse,bus,"52.54113697481197, 13.393805198148023",A64,,West
Detmolder Strasse,bus,"52.478864734081434, 13.320330304177688",A1,,West
Deutsche Oper (Bismarckstr.),u-bahn,"52.511944444444,13.310555555556","A III,A I, B I","Q869501, Q869501",West
Dominicusstrasse,bus,"52.481845594274056, 13.348295976204904","A4,A48",,West
Dominicusstrasse,strassenbahn,"52.48182811502358, 13.348369024265194","73,74",,West
Dominikus-Krankenhaus,bus,"52.626196524368744, 13.294495665499268",A15,,West
Donnersmarckplatz,bus,"52.62982465046043, 13.28047497184123","A15,A12",,West
"Doppel-Süd, Berlepschstrasse",bus,"52.42115284920077, 13.226688767210124",A66,,West
Drakestrasse,bus,"52.445733691746746, 13.293722374035292",A48,,West
Dudenstrasse,bus,"52.485078406979376, 13.376567552300232",A28,,West
Dyotzer Strasse,bus,"52.541513574478394, 13.168806761501132",A63,,West
Düppel-Kleinmachnow,s-bahn,"52.421388888889,13.226666666667",KBS 104a,Q44763529,West
Efeuweg,bus,"52.42961975739112, 13.47788675809725",A52,,West
Egelpfuhlstrasse,bus,"52.53353984351533, 13.169416926784528",A31,,West
Eichbornstr.,s-bahn,"52.5776,13.3169",KBS 105,Q800500,West
Eichkamp,bus,"52.48991827349885, 13.259541279740162",A69,,West
Eichkamp,s-bahn,"52.4987,13.2702",KBS 101,Q800504,West
EinemStrasse,bus,"52.500023072644105, 13.35409116646997",A16,,West
Elsenstraße Ecke Heidelberger Strasse,strassenbahn,"52.48686073879974, 13.451206024220186",3,,West
Elsterplatz,bus,"52.47977982878401, 13.285507613099716","A10,A50",,West
Emmentaler Strasse,bus,"52.5675354709663, 13.351240165364471",A12,,West
Emmentaler Strasse,bus,"52.570420696850896, 13.360956869321077",A71,,West
Emser Platz,bus,"52.492072890007414, 13.319251387534207",A50,,West
Endestrasse,bus,"52.41965961978957, 13.160396994674473",A6,,West
Englerallee,bus,"52.46177802552459, 13.304473295414123",A16,,West
Erdener Strasse,bus,"52.490558314289494, 13.276360031005654",A19,,West
Erkstrasse,bus,"52.48167227551806, 13.440052048368255",A67,,West
Erkstrasse Ecke Sonnenallee,bus,"52.481673740100334, 13.440111510727606",A4,,West
Erkstrasse Ecke Sonnenallee,strassenbahn,"52.48169987618706, 13.440143697235596",95,,West
Ernst-Reuter-Platz,bus,"52.511591823135106, 13.322571528312595",A2,,West
Ernst-Reuter-Platz,strassenbahn,"52.51161823664999, 13.32251039233923",2,,West
Ernst-Reuter-Platz,u-bahn,"52.511944444444,13.322222222222","A I,B I",Q658361,West
"Ernst-Reuter-Platz, Straße des 17. Juni",bus,"52.51415248820911, 13.349264931257151",A2,,West
Exerzierstrasse,bus,"52.553756646174705, 13.37716619556309",A61,,West
Eythstrasse,bus,"52.45972284347706, 13.366428299506616",A74,,West
Eythstrasse,strassenbahn,"52.45988973432991, 13.36224461313015",60,,West
Falkenplatz,bus,"52.58490937545724, 13.227619925618022",A20,,West
Falkenseer Chaussee,bus,"52.54750354783305, 13.184668062763297",A5,,West
Fehrbelliner Platz,bus,"52.49040638965375, 13.314204217177087","A74,A50",,West
Fehrbelliner Platz,strassenbahn,"52.49032472677901, 13.314317300484289","60,3",,West
Fehrbelliner Platz,u-bahn,"52.490277777778,13.314444444444","A II,B II",Q663245,West
Feuerbachstr.,s-bahn,"52.463611111111,13.332777777778",KBS 104,Q800501,West
Finckensteinallee,strassenbahn,"52.43264816323959, 13.294626828766564",74,,West
Flinsberger Platz,bus,"52.483689942018465, 13.29268111645926",A50,,West
Flughafen,bus,"52.470965141866394, 13.385641462324475","A19,A24",,West
Flughafen,u-bahn,"52.485556, 13.385833",C II,Q557582,West
Flughafen Tempelhof,bus,"52.48504444099743, 13.386014416287884","A77,A76",,West
Forckenbeckstrasse,bus,"52.482221394934605, 13.290044081376928",A50,,West
Franz-Körner-Strasse Ecke Britzer Damm,strassenbahn,"52.45588399633974, 13.437301610724912",27,,West
Frauenklinik,strassenbahn,"52.463949908172545, 13.427509548910932",15,,West
Freie Scholle,bus,"52.599851537868666, 13.301736158422598",A20,,West
Friedenau,s-bahn,"52.47,13.341",KBS 104,Q800471,West
Friedenstrasse,bus,"52.417223782342035, 13.138950169993388",A6,,West
Friedhof Rudow,bus,"52.42113122136662, 13.503199151482875",A52,,West
Friedhof Ruhleben,bus,"52.527735865422024, 13.231788317801291","A5,A31",,West
Friedrich-Wilhelm-Platz,bus,"52.47128806242274, 13.328362126543809",A2,,West
Friedrich-Wilhelm-Platz,strassenbahn,"52.47132415928576, 13.328417218543715","77,78",,West
Friedriche-Wilhelm-Platz,bus,"52.471408713269064, 13.327952650518178",A17,,West
Friedrichstr.,s-bahn,"52.52027777777778,13.386944444444444","KBS 106,KBS 104,KBS 101,KBS 105,KBS 103,KBS 102",Q111219456,West
Friesenstrasse,bus,"52.483950604682775, 13.394359749805426",A4,,West
Frohnau,s-bahn,"52.6325,13.2902",KBS 106,Q800472,West
Fuldastrasse,bus,"52.483802510465225, 13.435884392882318",A67,,West
Fürstenbrunner Weg,bus,"52.518378845111386, 13.280184750778325",AS1,,West
Gabelung,bus,"52.59988612656876, 13.25204128545515",A13,,West
Gartenfeld,s-bahn,"52.54695,13.24882",KBS 100c,Q96080469,West
"Gartenplatz, Feldstrasse",bus,"52.538565896675905, 13.384005277447793",A61,,West
Gartenstrasse Ecke Bernauer Strasse,bus,"52.53347451941179, 13.387474124225042",A12,,West
"Gatow, Kirche",bus,"52.48684680676539, 13.18215147844503","A34,A35",,West
Gatower Strasse,bus,"52.489436255649245, 13.180387588417426",A35,,West
Germaniapromenade Ecke Britzer Damm,strassenbahn,"52.4608966930734, 13.435060145023824",27,,West
Germaniastrasse,strassenbahn,"52.46053782557012, 13.418009045149528","15,26",,West
Germersheimer Platz,bus,"52.54433253766927, 13.187336363919895",A35,,West
Gesundbrunnen,s-bahn,"52.548611111111,13.389444444444","KBS 100,KBS 104,KBS 105,KBS 106",Q111239092,West
Gesundbrunnen,u-bahn,"52.548611,13.389444",D,Q3761416,West
Giesendorferstrasse Ecke Ostpreußendamm,strassenbahn,"52.42404034141401, 13.314380054820173",96,,West
Gleisdreieck,u-bahn,"52.49952,13.37409","A II,A I,B II,B I",Q678372,West
Glienicker Brücke,bus,"52.413474089031965, 13.091235881924467",A6,,West
Glogauer Strasse,strassenbahn,"52.493437003779434, 13.43739124697587",26,,West
Gneisenaustr.,u-bahn,"52.491388888889,13.395555555556",C I,Q668618,West
Gneisenaustrasse,bus,"52.491573255885584, 13.394331623371611",A24,,West
Goebelplatz,bus,"52.53812718171093, 13.27991414794248",A65,,West
Goeben-/Pallasstrasse,bus,"52.49428616497335, 13.361054367554111",A48,,West
Goerzallee,strassenbahn,"52.421239396012226, 13.297229913434496",77,,West
Goerzallee,strassenbahn,"52.421943941201924, 13.298506647186814",78,,West
Goethestrasse Ecke Lichtenrader Damm,bus,"52.40441062653864, 13.406187362835603",A76,,West
Goltzstrasse,bus,"52.38667572084441, 13.407934498494095",AS2,,West
Gorkistrasse,bus,"52.59059426195262, 13.292011153010927",A15,,West
GotenStrasse,strassenbahn,"52.47980106472719, 13.360246185256694",2,,West
Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg,bus,"52.460486783559624, 13.417983924217406","A25,A73",,West
GotzkowskyStrasse,bus,"52.52718356053599, 13.330470683683586",A24,,West
Gotzkowskybrücke,bus,"52.52381238362036, 13.329729120795239",A25,,West
Gotzkowskybrücke,strassenbahn,"52.52256202362077, 13.328976276425243",2,,West
Gotzkowskystrasse Ecke Turmstrasse,strassenbahn,"52.52723347192614, 13.330503468404352",3,,West
Grazer Platz,bus,"52.467636991817486, 13.347565807885369",A25,,West
Grenadierstrasse,bus,"52.530981925368565, 13.205371761701368","A5,A31",,West
Grenzallee,u-bahn,"52.463333333333,13.443888888889",C I,Q571836,West
Grenzstrasse,bus,"52.541822798579034, 13.378147647725354",A12,,West
GritznerStrasse,bus,"52.464372021076116, 13.31646473581109",A32,,West
Großer Stern,bus,"52.514524715463295, 13.349933192922938",A69,,West
Großglienicker Weg,bus,"52.483148805729485, 13.182630557348212","A34,A35",,West
Großgörschenstr.,s-bahn,"52.4922745,13.3678588",KBS 104,Q21776726,West
Grunewald,s-bahn,"52.4892,13.2614",KBS 102,Q457266,West
Grunewaldstrasse,bus,"52.48907804007202, 13.345000249198607",A73,,West
Grunewaldstrasse,strassenbahn,"52.489099571674906, 13.344928521367574","77,78",,West
Grunewaldstrasse Ecke Martin-Luther-Strasse,strassenbahn,"52.489114608736564, 13.344981706170403","2, 3",",",West
Grüner Weg,bus,"52.42955863550208, 13.453590733350595","A25,A52",,West
Grüntaler Straße Ecke Osloer Strasse,strassenbahn,"52.555331,13.3909979",3,Q65807452,West
Gutschmidtstrasse,bus,"52.437076827846255, 13.444129425003135",A25,,West
Gutschmidtstrasse Ecke Buckower Damm,strassenbahn,"52.44036543188374, 13.434740081887323",27,,West
Gutshof,bus,"52.47510904064348, 13.120710540203262",A34,,West
Gutshof Marienfelde,bus,"52.41088450558385, 13.373192649319066",A52,,West
Görlitzer Bahnhof (Oranienstr.),u-bahn,"52.4992,13.428","B II,B I",Q597759,West
Güntzelstrasse,bus,"52.49154575346882, 13.323206588873013",A60,,West
Hackbuschstrasse,bus,"52.53959956967987, 13.150244533066292",A31,,West
Hafenplatz,bus,"52.50392083524772, 13.375479875476426",A24,,West
Hafenplatz,bus,"52.54215888169655, 13.206044861619935","AS1,A34",,West
Hafenplatz,strassenbahn,"52.542292547760184, 13.206201126048732","53,75,54,76",,West
Hagenplatz,bus,"52.483382973651, 13.265818700272884","A19,A17",,West
Hainbuchenstrasse,bus,"52.63427133418521, 13.274824021447571",A12,,West
Hakenfelde,strassenbahn,"52.57886009874865, 13.210057800310379","53,75",,West
Halensee,s-bahn,"52.4961,13.2906",KBS 100,Q800476,West
Hallesches Tor,u-bahn,"52.497777777778,13.391111111111","B I,A II,B II,C I",Q658302,West
Halskestrasse,bus,"52.449975911659585, 13.34671540590703",A33,,West
"Hamburger Strasse, Rudolf-Mosse-Platz",bus,"52.475375170002664, 13.303566446005037",A60,,West
Hansaplatz,bus,"52.5179343319099, 13.342038193257153","A25,A16",,West
HardenbergStrasse,bus,"52.506181479310335, 13.332318460113605","AS2,AS3",,West
Hartmannsweiler Weg,bus,"52.43871188132932, 13.248833836243495",A53,,West
Harzer Strasse,bus,"52.48636830082275, 13.446318376662678",A4,,West
"Haselhorst, Kirche",bus,"52.5468281751583, 13.237065889883622",A10,,West
Hatzfeldallee,bus,"52.592072752436835, 13.28604590141529",A20,,West
Hauptkinderheim,bus,"52.52819346807093, 13.228649269163302",A5,,West
Hauptstrasse (Schöneberg),bus,"52.48187232227649, 13.348270377910302",A74,,West
Hauptstrasse (Schöneberg),strassenbahn,"52.47785084296006, 13.34322373343706","60,66",,West
Hauptstrasse Ecke Dominicusstrasse,bus,"52.48178377611229, 13.348418210727631","A75, A73",",",West
Hauptstrasse Ecke Dominicusstrasse,strassenbahn,"52.48179322469747, 13.348385662518401",2,,West
Havensteinstrasse Ecke Gallwitzallee,bus,"52.431932745971366, 13.346359890563553",A2,,West
Heckerdamm,bus,"52.53962816572025, 13.295048454368684","A21,A62",,West
Heckmannufer,bus,"52.49706082077895, 13.44923941809119",A28,,West
Heerstr.,s-bahn,"52.5086,13.2586",KBS 101,Q800502,West
Heerstrasse,bus,"52.51550447615084, 13.18456806294143","A34,A35",,West
Heerstrasse,bus,"52.51662457723462, 13.179022303033726",A13,,West
Heidebergplan,bus,"52.541074133887626, 13.147338727333166",A31,,West
Heidelberger Platz,u-bahn,"52.479808333333,13.313236111111","A II,B II",Q21777872,West
Heiligensee,s-bahn,"52.6247,13.2292",KBS 105,Q800475,West
