,stop_id,stop_name,type,location,in_lines,identifier,stop_description
264,1964264,Dimitroffstrasse,strassenbahn,"52.53918901477695, 13.42424530247013","69E,72,64,74E,63,71,69",nan,Dimitroffstrasse Ecke Prenzlauer Strasse
265,1964265,Dimitroffstrasse Ecke Leninallee,bus,"52.52644398829154, 13.447645022319072",A54,nan,nan
266,1964266,Dominicusstrasse Ecke Hauptstrasse,bus,"52.48180071652041, 13.348377997983935","A84,A75",nan,nan
267,1964267,Dominikus-Krankenhaus,bus,"52.626196524368744, 13.294495665499268",A15,nan,Dominikus-Krankenhaus
268,1964268,Donnersmarckplatz,bus,"52.62982465046043, 13.28047497184123","A12,A15",nan,Donnersmarckplatz
269,1964269,"Doppel-Süd, Berlepschstrasse",bus,"52.42115284920077, 13.226688767210124",A66,nan,nan
270,1964270,Dorfaue,strassenbahn,"52.478869891771325, 13.700379205739726","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",nan,nan
271,1964271,Drakestrasse,bus,"52.445733691746746, 13.293722374035292",A48,nan,Drakestrasse Ecke Unter den Eichen
272,1964272,Drakestrasse Ecke Ringstrasse,bus,"52.43979507204022, 13.300191166543234",A85,nan,nan
273,1964273,Dreilindenstrasse,bus,"52.42046329010259, 13.183323568986776",A53,nan,nan
274,1964274,Drontheimer Strasse Ecke Osloer Strasse,bus,"52.55646891407764, 13.377008238722954",A89,nan,nan
275,1964275,Dudenstrasse,bus,"52.485078406979376, 13.376567552300232",A28,nan,Dudenstrasse Ecke Katzbachstrasse
276,1964276,Dyotzer Strasse,bus,"52.541513574478394, 13.168806761501132",A63,nan,Dyotzer Strasse Ecke Seegefelder Strasse
277,1964277,Dönhoffplatz,strassenbahn,"52.509950568117645, 13.398144081918815",64,nan,nan
278,1964278,Düppel-Kleinmachnow,s-bahn,"52.421388888889,13.226666666667",KBS 100f,Q44763529,Berlin-Düppel railway station
279,1964279,Ebersstrasse Ecke Dominicusstrasse,bus,"52.48014768414275, 13.352146382023703","A65, A73",nan,nan
280,1964280,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,"52.54061076763243, 13.404559930731686",4,nan+ nan,nan+ nan
281,1964281,Ebertystrasse Ecke Leninallee,bus,"52.52722237261361, 13.450799684654514",O30,nan,Ebertystrasse Ecke Leninallee
282,1964282,Edisonstrasse,strassenbahn,"52.4619496,13.5139049","85,95",Q65951882,nan
283,1964283,Efeuweg,bus,"52.42961975739112, 13.47788675809725",A52,nan,Efeuweg Ecke Neuköllner Strasse
284,1964284,Egelingzeile,bus,"52.46361812486443, 13.369990724217713",A74,nan,nan
285,1964285,Egelpfuhlstrasse,bus,"52.53353984351533, 13.169416926784528","A31,A80",nan,Egelpfuhlstrasse Ecke Brunsbüttler Damm
286,1964286,Ehrenmal,bus,"52.57958419912971, 13.375974716701414","A45,A55,A58",nan,Ehrenmal
287,1964287,Eichborndamm Ecke Alt-Wittenau,bus,"52.591828552976516, 13.32639160518794",A12,nan,nan
288,1964288,Eichbornstr.,s-bahn,"52.5776,13.3169",KBS 100c,Q800500,Eichborndamm station
289,1964289,Eichbuschallee,bus,"52.47574296676633, 13.487312571777435",A47,nan,Eichbuschallee Ecke Neue Krugallee
290,1964290,Eichbuschplatz,bus,"52.39366126137233, 13.582046308470128",A38,nan,Eichbuschplatz
291,1964291,Eichendamm,strassenbahn,"52.45567448233044, 13.730971293129528",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),nan,nan
292,1964292,Eichkamp,bus,"52.48991827349885, 13.259541279740162",A69,nan,nan
293,1964293,Eichkamp,s-bahn,"52.4987,13.2702",KBS 100g,Q800504,Berlin Messe Süd railway station
294,1964294,Eichkampstrasse Ecke Alte Allee,bus,"52.491857630544814, 13.26346312119853",A88,nan,nan
295,1964295,Eichwalde,s-bahn,"52.3715,13.6152",KBS 103,Q19274479,Eichwalde station
296,1964296,Elisabethstrasse,bus,"52.53409533705918, 13.55949915809485",O37,nan,Elisabethstrasse Ecke Oberfeldstrasse
297,1964297,Elsenstrasse,strassenbahn,"52.48802829044681, 13.452728713947648",95,nan,nan
298,1964298,Elsheimer Strasse Ecke Berlepschstrasse,bus,"52.42566701496254, 13.243889889353003",A66,nan,nan
299,1964299,Elsterplatz,bus,"52.47977982878401, 13.285507613099716","A10,A50",nan,Elsterplatz
300,1964300,Elsässer Strasse,bus,"52.63337294510061, 13.345103420124245",A7,nan,nan
301,1964301,Emmentaler Strasse,bus,"52.5675354709663, 13.351240165364471","A12,A12S,A71",nan,Emmentaler Strasse Ecke Aroser Allee
302,1964302,Emmentaler Strasse,bus,"52.570420696850896, 13.360956869321077","A12,A12S,A71",nan,Emmentaler Strasse Ecke Residenzstraße
303,1964303,Emser Platz,bus,"52.492072890007414, 13.319251387534207",A50,nan,Emser Platz
304,1964304,Englerallee,bus,"52.46177802552459, 13.304473295414123",A16,nan,Englerallee
305,1964305,Erdener Strasse,bus,"52.490558314289494, 13.276360031005654",A19,nan,Erdener Strasse Ecke Königsallee
306,1964306,Erkner,s-bahn,"52.4296,13.7513",KBS 102,Q14434071,Erkner railway station
307,1964307,Erkstrasse,bus,"52.48167227551806, 13.440052048368255",A67,nan,Erkstrasse Ecke Sonnenallee
308,1964308,Erkstrasse Ecke Sonnenallee,strassenbahn,"52.48169987618706, 13.440143697235596",95,nan,nan
309,1964309,Ernst-Reuter-Platz,bus,"52.511591823135106, 13.322571528312595","A90,A86",nan,nan
310,1964310,Ernst-Reuter-Platz,u-bahn,"52.511944444444,13.322222222222",A I,Q658361,Ernst-Reuter-Platz metro station
311,1964311,Exerzierstrasse Ecke Badstrasse,bus,"52.55379746935533, 13.377146592521141",A61,nan,nan
312,1964312,Exerzierstrasse Ecke Schulstrasse,bus,"52.55394744930925, 13.371515849478492",A79,nan,nan
313,1964313,Eythstrasse,bus,"52.45972284347706, 13.366428299506616",A74,nan,nan
314,1964314,Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,"52.431470149043314, 13.718708856639706",A22,nan,Fahlenbergstrasse Ecke Fürstenwalder Allee
315,1964315,Falkenberger Chaussee,bus,"52.565816857333125, 13.511913714753",A39,nan,Falkenberger Chaussee Ecke Falkenberger Chaussee
316,1964316,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,"52.55036672097044, 13.509915032138812",63,nan,Falkenbergerstrasse Ecke Wartenberger Strasse
317,1964317,Falkenhöhe,bus,"52.400507029940435, 13.538229483128243",A23,nan,nan
318,1964318,Falkenplatz,bus,"52.58490937545724, 13.227619925618022",A20,nan,Falkenplatz
319,1964319,Falkensee,s-bahn,"52.559722,13.088889",KBS 103,Q5431918,Falkensee railway station
320,1964320,Falkenseer Chaussee,bus,"52.54750354783305, 13.184668062763297",A5,nan,Falkenseer Chaussee Ecke Zeppelinstrasse
321,1964321,Fasanenstrasse,strassenbahn,"52.45303125634222, 13.744280675634114",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),nan,nan
322,1964322,Fehrbelliner Platz,bus,"52.49040638965375, 13.314204217177087","A86,A74",nan,Fehrbelliner Platz
323,1964323,Fehrbelliner Platz,u-bahn,"52.490277777778,13.314444444444",A II,Q663245,U-Fehrbelliner Platz
324,1964324,Feldtmannstrasse,bus,"52.56401588379611, 13.46980857664685",A46,nan,Feldtmannstrasse Ecke Berliner Allee
325,1964325,Fennstrasse Ecke Tegeler Strasse,bus,"52.537921114358255, 13.361618236551074",A16,nan,nan
326,1964326,Feuerbachstr.,s-bahn,"52.463611111111,13.332777777778",KBS 100e,Q800501,Berlin Feuerbachstraße station
327,1964327,Feuerbachstrasse Ecke Bismarckstrasse,bus,"52.464513435475055, 13.338927866545799","A81,A2",nan,nan
328,1964328,"Fichtenau, Stadtgrenze",bus,"52.45479242349705, 13.701499962608066",A22,nan,"Fichtenau, Stadtgrenze"
329,1964329,Fichtestrasse Ecke Schopenhauerstrasse,bus,"52.47979924975105, 13.617292306977053",A8,nan,Fichtestrasse Ecke Schopenhauerstrasse
330,1964330,Flinsberger Platz,bus,"52.483689942018465, 13.29268111645926",A50,nan,Flinsberger Platz
331,1964331,Florastrasse,bus,"52.46147250684306, 13.325119089841486",A84,nan,nan
332,1964332,Flughafen,bus,"52.470965141866394, 13.385641462324475","A24,A19",nan,Flughafen
333,1964333,Flughafen,u-bahn,"52.485556, 13.385833",C II,Q557582,Platz der Luftbrücke
334,1964334,Fontanestrasse,bus,"52.58985938767378, 13.361193570257216",A58,nan,nan
335,1964335,Forckenbeckstrasse,bus,"52.482221394934605, 13.290044081376928",A50,nan,Forckenbeckstrasse Ecke Hohenzollerndamm
336,1964336,Frankfurter Allee,s-bahn,"52.514166666667,13.474722222222","KBS 106a,KBS 104,KBS 106",Q111250033,nan
337,1964337,Frankfurter Tor,strassenbahn,"52.5153903,13.4540172","4,13",Q65706246,nan
338,1964338,Frankfurter Tor,u-bahn,"52.515833333333,13.454166666667",E,Q568627,nan
339,1964339,Franz-Körner-Strasse Ecke Britzer Damm,bus,"52.45589548157786, 13.43725717384978",A91,nan,nan
340,1964340,Französische Strasse,bus,"52.51479530644954, 13.389211606710221",A59,nan,nan
341,1964341,Frauenklinik,strassenbahn,"52.463949908172545, 13.427509548910932",15,nan,Frauenklinik
342,1964342,Fredersdorf (b Bln),s-bahn,"52.5265,13.7625",KBS 101,Q15197387,Fredersdorf station
343,1964343,Freibad Grünau,strassenbahn,"52.4086224,13.604455",86,Q66489598,nan
344,1964344,Freie Scholle,bus,"52.599851537868666, 13.301736158422598",A20,nan,Freie Scholle
345,1964345,Freiheit,strassenbahn,"52.53269778633445, 13.207518439639045","54,53",nan,nan
346,1964346,Friedenau,s-bahn,"52.47,13.341",KBS 100e,Q800471,Berlin-Friedenau station
347,1964347,Friedenstrasse,bus,"52.417223782342035, 13.138950169993388",A6,nan,Friedenstrasse Ecke Königstrasse
348,1964348,Friedhof Rudow,bus,"52.42113122136662, 13.503199151482875",A52,nan,Friedhof Rudow
349,1964349,Friedhof Ruhleben,bus,"52.527735865422024, 13.231788317801291","A5,A31",nan,Friedhof Ruhleben
350,1964350,Friedrich-Junge-Strasse,bus,"52.49382897072681, 13.471572865851856",82P,nan,Friedrich-Junge-Strasse Ecke Alt-Stralau
351,1964351,Friedrich-Wilhelm-Platz,bus,"52.47128806242274, 13.328362126543809","A85,A2,A17",nan,Friedrich-Wilhelm-Platz
352,1964352,Friedrichsfelde (Tierpark),u-bahn,"52.506111111111,13.512777777778",E,Q429781,Friedrichsfelde
353,1964353,Friedrichsfelde Ost,s-bahn,"52.5141,13.5198",KBS 101,Q800473,Berlin-Friedrichsfelde Ost station
354,1964354,Friedrichshagen,s-bahn,"52.4574,13.6233",KBS 102,Q800474,Berlin-Friedrichshagen station
355,1964355,"Friedrichshagen, Wasserwerk",strassenbahn,"52.4560563,13.6419956",84,Q66362601,Wasserwerk Friedrichshagen
356,1964356,Friedrichstr.,s-bahn,"52.52027777777778,13.386944444444444","KBS 100d,KBS 101,KBS 100g,KBS 100c,KBS 100h,KBS 102,KBS 103,KBS 103a,KBS 100e",Q111219456,S-Bahnhof Friedrichstraße
357,1964357,Friedrichstrasse,bus,"52.51718498081941, 13.388821428784585","A9,A57",nan,nan
358,1964358,Frohnau,s-bahn,"52.6325,13.2902",KBS 100e,Q800472,Berlin-Frohnau station
359,1964359,"Frohnau, Invalidensiedlung",bus,"52.65584641928224, 13.29035792910375",A15,nan,nan
360,1964360,Fuldastrasse,bus,"52.483802510465225, 13.435884392882318",A67,nan,Fuldastrasse Ecke Sonnenallee
361,1964361,Fürstenbrunner Weg,bus,"52.518378845111386, 13.280184750778325",AS1s,nan,Fürstenbrunner Weg Ecke Spandauer Damm
362,1964362,Gabelung,bus,"52.59988612656876, 13.25204128545515",A13,nan,Gabelung
363,1964363,Galenusstrasse,strassenbahn,"52.5818183,13.4287678",49,Q66195410,nan
364,1964364,Gartenfeld,bus,"52.54719055045343, 13.247793329242997",A72,nan,nan
365,1964365,Gartenfeld,s-bahn,"52.54695,13.24882",KBS 100b,Q96080469,Gartenfeld
366,1964366,Gartenfelderstrasse Ecke Nonnendamm Allee,bus,"52.53935038939542, 13.232299966570043",A99,nan,nan
367,1964367,"Gartenplatz, Feldstrasse",bus,"52.538565896675905, 13.384005277447793",A61,nan,"Gartenplatz, Feldstrasse"
368,1964368,Gartenstadtweg,bus,"52.412313913821045, 13.56660267841369",A36,nan,Gartenstadtweg
369,1964369,Gartenstrasse,bus,"52.393046080600556, 13.525019920565521",A36,nan,nan
370,1964370,Gartenstrasse Ecke Bernauer Strasse,bus,"52.53347451941179, 13.387474124225042",A12,nan,nan
371,1964371,Gartenstrasse Ecke Grenzstrasse,bus,"52.54185206233087, 13.37811062641435",A90,nan,nan
372,1964372,"Gatow, Kirche",bus,"52.48684680676539, 13.18215147844503","A34,A35",nan,"Gatow, Kirche"
373,1964373,Gatower Strasse,bus,"52.489436255649245, 13.180387588417426","A34, A35",nan,Gatower Strasse Ecke Alt-Gatow
374,1964374,Gerlindeweg Ecke Friederikestrasse,bus,"52.57564385703113, 13.228964845529648",A20,nan,nan
375,1964375,Germaniapromenade Ecke Hermannstrasse,bus,"52.46089743652378, 13.435062821383825",A91,nan,nan
376,1964376,Germaniastrasse,strassenbahn,"52.46053782557012, 13.418009045149528",15,nan,Germaniastrasse
377,1964377,Germersheimer Platz,bus,"52.54433253766927, 13.187336363919895",A99,nan,Germersheimer Platz
378,1964378,Gesundbrunnen,s-bahn,"52.548611111111,13.389444444444","KBS 100d,KBS 100,KBS 100a,KBS 100c,KBS 100e",Q111239092,S-Bahnhof Berlin-Gesundbrunnen
379,1964379,Gesundbrunnen,u-bahn,"52.548611,13.389444",D,Q3761416,U-Bahnhof Gesundbrunnen
380,1964380,Giebelsee,s-bahn,"52.5291,13.791",KBS 101,Q7178217,Petershagen Nord railway station
381,1964381,Giesendorferstrasse Ecke Ostpreußendamm,strassenbahn,"52.424004043498876, 13.314394633539294",96,nan,nan
382,1964382,Gleisdreieck,u-bahn,"52.49952,13.37409","A I,A II",Q678372,Gleisdreieck
383,1964383,"Glienicke, Kirche",bus,"52.63062737184449, 13.312861916755343",A7,nan,"Glienicke, Kirche"
384,1964384,Glienicker Brücke,bus,"52.413474089031965, 13.091235881924467",A6,nan,Glienicker Brücke
385,1964385,Gneisenaustr.,u-bahn,"52.491388888889,13.395555555556",C I,Q668618,Gneisenaustraße
386,1964386,Gneisenaustrasse Ecke Zossener Strasse,bus,"52.49150139774128, 13.394363809880979",A24,nan,nan
387,1964387,Goebelplatz,bus,"52.53812718171093, 13.27991414794248",A65,nan,Goebelplatz
388,1964388,Goeben-/Pallasstrasse,bus,"52.49428616497335, 13.361054367554111",A48,nan,Goeben-/Pallasstrasse
389,1964389,Goerzallee,strassenbahn,"52.421943941201924, 13.298506647186814",96,nan,Goerzallee
390,1964390,Goethestrasse,strassenbahn,"52.455545765090996, 13.726377148130858",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),nan,nan
391,1964391,Goltzstrasse,bus,"52.38667572084441, 13.407934498494095",AS2s,nan,Goltzstrasse Ecke Bahnhofstrasse
392,1964392,Gorkistrasse,bus,"52.59059426195262, 13.292011153010927",A15,nan,nan
393,1964393,Gotenstrasse Ecke Torgauerstrasse,bus,"52.47978046569568, 13.360192355820017",A84,nan,nan
394,1964394,Gottlieb-Dunkel-Strasse Ecke Germaniastrasse,bus,"52.46056887553805, 13.417975404195007",A25,nan,nan
395,1964395,Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg,bus,"52.460486783559624, 13.417983924217406",A73,nan,nan
396,1964396,Gotzkowskybrücke,bus,"52.52381238362036, 13.329729120795239",A25,nan,Gotzkowskybrücke Ecke Alt-Moabit
397,1964397,Gotzkowskystrasse,bus,"52.527187214573765, 13.330550930001301",A24,nan,nan
398,1964398,Gradestrasse Ecke Tempelhofer Weg,strassenbahn,"52.452539318651766, 13.433056825223494",47,nan,nan
399,1964399,Grazer Platz,bus,"52.467636991817486, 13.347565807885369","A83,A25",nan,Grazer Platz
400,1964400,Greifswalder Str.,s-bahn,"52.539722222222,13.439444444444","KBS 106a,KBS 104,KBS 106",Q439246,Berlin Greifswalder Straße station
401,1964401,Greifswalder Strasse,bus,"52.53002871375482, 13.62681794411932","A44,A44E",nan,Greifswalder Strasse Ecke Hönower Strasse
402,1964402,Greifswalder Strasse,strassenbahn,"52.5364975,13.4334045","4,13",Q65548960,Greifswalder Straße/Danziger Straße
403,1964403,Greifswalderstrasse Ecke Dimitroffstrasse,bus,"52.5362177572407, 13.433017500945247",O30,nan,Greifswalderstrasse Ecke Dimitroffstrasse
404,1964404,Grenadierstrasse,bus,"52.530981925368565, 13.205371761701368",A31,nan,Grenadierstrasse Ecke Grunewaldstrasse
405,1964405,Grenzallee,u-bahn,"52.463333333333,13.443888888889",C I,Q571836,Grenzallee
406,1964406,Grenzstrasse,bus,"52.541822798579034, 13.378147647725354",A12,nan,Grenzstrasse Ecke Gerichtstrasse
407,1964407,Gritznerstrasse,bus,"52.46438146098689, 13.316483335491945",A32,nan,nan
408,1964408,Grottkauer Strasse,bus,"52.52796238368814, 13.600805280630896",A49,nan,Grottkauer Strasse Ecke Am Baltenring
409,1964409,Groß Ziethen,bus,"52.41404104155547, 13.438879163306126",AZ,nan,nan
410,1964410,Großbeerenstrasse Ecke Lankwitzer Strasse,strassenbahn,"52.437910165337165, 13.380481533598488",15,nan,nan
411,1964411,Große Seestrasse Ecke Klement-Gottwald-Allee,bus,"52.56000045883561, 13.467055661888581",A55,nan,nan
412,1964412,Große-Ziethen Chaussee Ecke Waltersdorfer Chaussee,strassenbahn,"52.40158342647793, 13.513562829889217",47,nan,nan
413,1964413,Großer Stern,bus,"52.514524715463295, 13.349933192922938","A69,A16",nan,nan
414,1964414,Großglienicker Weg,bus,"52.483148805729485, 13.182630557348212","A34,A35",nan,nan
415,1964415,Großgörschenstr.,s-bahn,"52.4922745,13.3678588",KBS 100e,Q21776726,Yorckstraße (Großgörschenstraße) station
416,1964416,Grunewald,s-bahn,"52.4892,13.2614",KBS 100h,Q457266,Berlin-Grunewald station
417,1964417,"Grunewald, Fontanestrasse",bus,"52.48728923056679, 13.263800173256355",A17,nan,nan
418,1964418,Grunewaldstrasse,bus,"52.48907804007202, 13.345000249198607",A73,nan,nan
419,1964419,Grunewaldstrasse Ecke Martin-Luther-Strasse,bus,"52.489052179432406, 13.345015381967391",A85,nan,nan
420,1964420,Grunewaldstrasse Ecke Ruhlebenerstrasse,bus,"52.53017272986947, 13.204684565238468",A92,nan,nan
421,1964421,Grünau,s-bahn,"52.4122,13.5746",KBS 103,Q111307258,S-Bahnhof Grünau
422,1964422,Grünbergallee station,s-bahn,"52.3992,13.5416","KBS 106a,KBS 103a",Q5612896,nan
423,1964423,Grünberger Strasse,strassenbahn,"52.5122359,13.452609",4,Q65706239,Grünberger Straße/Warschauer Straße
424,1964424,Grüner Weg,bus,"52.42955863550208, 13.453590733350595",A52,nan,Grüner Weg Ecke Johannisthaler Chaussee
425,1964425,Grüner Weg Ecke Buschkrug Allee,bus,"52.442742512360894, 13.45624531425605",A25,nan,nan
426,1964426,Grüner Weg Ecke Buschkrug Allee,strassenbahn,"52.44257243179654, 13.456440580599027",47,nan,nan
427,1964427,Grünstrasse,strassenbahn,"52.44496664892706, 13.57413386885382",86,nan,nan
428,1964428,Grüntaler Straße Ecke Osloer Strasse,bus,"52.55535324911242, 13.391390423377038",A89,nan,nan
429,1964429,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,"52.562178269666816, 13.454275093038184",A55,nan,nan
430,1964430,Gutschmidtstrasse Ecke Buckower Damm,bus,"52.44037172323985, 13.434787185803776",A91,nan,nan
431,1964431,Gutshof,bus,"52.47510904064348, 13.120710540203262",A34,nan,Gutshof
432,1964432,Görlitzer Bahnhof (Oranienstr.),u-bahn,"52.4992,13.428","A I,A II",Q597759,Görlitzer Bahnhof
433,1964433,Güntzelstrasse,bus,"52.49154575346882, 13.323206588873013",A60,nan,nan
434,1964434,Güteraußenring,bus,"52.599887239389226, 13.469297130431492",A42,nan,nan
435,1964435,Güterbahnhof Springpfuhl,bus,"52.52561231977731, 13.533687321893124",A43,nan,nan
436,1964436,Hackbuschstrasse,bus,"52.53959956967987, 13.150244533066292",A31,nan,Hackbuschstrasse Ecke Torstrasse
437,1964437,Hackescher Markt,strassenbahn,"52.5238354,13.402603",69,Q65094590,nan
438,1964438,"Hackescher Markt, Große Präsidentenstrasse",strassenbahn,"52.523392495650945, 13.40144677696498","49,63",nan,nan
439,1964439,Hafenplatz,bus,"52.50392083524772, 13.375479875476426",A24,nan,Hafenplatz Ecke Köthener Strasse
440,1964440,Hafenplatz,bus,"52.54215888169655, 13.206044861619935","A34,AS1s",nan,"Hafenplatz, Spandau"
441,1964441,Hafenplatz,strassenbahn,"52.542292547760184, 13.206201126048732","53,54,75,76,55",nan,Hafenplatz
442,1964442,Hagenplatz,bus,"52.483382973651, 13.265818700272884","A17,A19",nan,Hagenplatz
443,1964443,Hainbuchenstrasse Ecke Kastanienallee,bus,"52.63439314334195, 13.27475571542677",A12,nan,nan
444,1964444,Hakenfelde,strassenbahn,"52.57886009874865, 13.210057800310379","53,75,55",nan,Hakenfelde
445,1964445,Halensee,s-bahn,"52.4961,13.2906","KBS 100,KBS 100k",Q800476,Berlin-Halensee station
446,1964446,Halenseestrasse Ecke Messedamm,bus,"52.503580044744524, 13.278993774264324",A88,nan,nan
447,1964447,Hallesches Tor,u-bahn,"52.497777777778,13.391111111111","A I,C I,A II",Q658302,Hallesches Tor
448,1964448,Halskestrasse Ecke Attilastrasse Ecke Steglitzer Damm,bus,"52.45003698821141, 13.346681411732686",A33,nan,nan
449,1964449,Hamburger Platz,bus,"52.555394187589414, 13.438973139463632","A45,A56,A55",nan,Hamburger Platz
450,1964450,"Hamburger Strasse, Rudolf-Mosse-Platz",bus,"52.475375170002664, 13.303566446005037",A60,nan,"Hamburger Strasse, Rudolf-Mosse-Platz"
451,1964451,Hannoversche Strasse,strassenbahn,"52.52716496126181, 13.387046759579254",1,nan,nan
452,1964452,Hansaplatz,bus,"52.5179343319099, 13.342038193257153","A16,A25",nan,Hansaplatz
453,1964453,Hansaplatz,u-bahn,"52.517777777778,13.342222222222",G,Q287552,nan
454,1964454,Hardenbergstrasse,bus,"52.506154057324025, 13.33242747094564",AS3s,nan,nan
455,1964455,Hardenbergstrasse Ecke Joachimstalerstrasse,bus,"52.50618524939871, 13.332362408473958",AS2s,nan,nan
456,1964456,Hartmannsweiler Weg,bus,"52.43871188132932, 13.248833836243495",A53,nan,Hartmannsweiler Weg Ecke Fischerhüttenstrasse
457,1964457,Harzer Strasse,bus,"52.48636830082275, 13.446318376662678",A4,nan,nan
458,1964458,"Haselhorst, Kirche",bus,"52.5468281751583, 13.237065889883622",A10,nan,"Haselhorst, Kirche"
459,1964459,Hatzfeldtallee,bus,"52.59133642369986, 13.286579893431492",A20,nan,nan
460,1964460,Hauptstrasse (Schöneberg),bus,"52.48187232227649, 13.348270377910302",A74,nan,nan
461,1964461,Hauptstrasse Ecke Dominicusstrasse,bus,"52.48178377611229, 13.348418210727631",A73,nan+ nan,nan+ nan
462,1964462,Hauptstrasse Ecke Edelweißstrasse,bus,"52.586379262142074, 13.36752938856218","A45,A55",nan,nan
463,1964463,Hausotterstrasse Ecke Reginhardstrasse,bus,"52.56824258352487, 13.372568992710208",A79,nan,nan
464,1964464,Hausvogteiplatz,u-bahn,"52.513055555556,13.396666666667",A,Q656523,Hausvogteiplatz station
465,1964465,Havensteinstrasse Ecke Gallwitzstrasse,bus,"52.43195312312966, 13.3463631737626",A2,nan,nan
466,1964466,Heckerdamm,bus,"52.53962816572025, 13.295048454368684","A62,A21",nan,Heckerdamm Ecke Kurt-Schumacher-Damm
467,1964467,Heckmannufer,bus,"52.49706082077895, 13.44923941809119",A28,nan,Heckmannufer
468,1964468,Heerstr.,s-bahn,"52.5086,13.2586",KBS 100g,Q800502,Berlin Heerstraße station
469,1964469,Heerstrasse Ecke Gatower Strasse,bus,"52.51550447615084, 13.18456806294143","A35,A34",nan,nan
470,1964470,Heerstrasse Ecke Wilhelmstrasse,bus,"52.51662457723462, 13.179022303033726",A13,nan,nan
471,1964471,Heidebergplan,bus,"52.541074133887626, 13.147338727333166",A31,nan,Heidebergplan
472,1964472,Heidelberger Platz,u-bahn,"52.479808333333,13.313236111111",A II,Q21777872,Heidelberger Platz
473,1964473,Heidestrasse Ecke Fennstrasse,bus,"52.537317719730325, 13.360293228836",A83,nan,nan
474,1964474,Heiligensee,s-bahn,"52.6247,13.2292",KBS 100c,Q800475,Heiligensee station
475,1964475,Heiligenseestrasse,bus,"52.59796193636089, 13.275098894138587",A20,nan,Heiligenseestrasse Ecke Karolinenstraße
476,1964476,Heiligenseestrasse Ecke Ruppiner Chaussee,bus,"52.597949130907885, 13.275081276624867",A14,nan,nan
477,1964477,"Heinersdorf, Kirche",bus,"52.56826376476754, 13.440601903603064","A42,A55",nan,"Heinersdorf, Kirche"
478,1964478,"Heinersdorf, Kirche",strassenbahn,"52.5686908,13.4389053",71,Q65096107,Heinersdorf Kirche
479,1964479,"Heinersdorf, Romain-Rolland-Str.",strassenbahn,"52.5725511,13.4371063",71,Q65096052,Heinersdorf
480,1964480,Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,"52.4789566,13.5234316",82,Q65951921,nan
481,1964481,Heinrich-Heine-Strasse,strassenbahn,"52.51099529411967, 13.416420239383946",11,nan,nan
482,1964482,Heinrich-Mann-Platz,bus,"52.57297246262195, 13.392146133350426","A45,A55,A58",nan,Heinrich-Mann-Platz
483,1964483,Hennigsdorf (b Bln),s-bahn,"52.638,13.2057",KBS 104d,Q800909,Hennigsdorf station
484,1964484,Hennigsdorf Nord,s-bahn,"52.66,13.2033",KBS 104d,Q685717,nan
485,1964485,Henriettenplatz,bus,"52.49701780222877, 13.290339505649852","A69,A10,A29,A4,A19",nan,nan
486,1964486,Hermannplatz,bus,"52.48778872855567, 13.425393480017616","A67,A75",nan,Hermannplatz Ecke Sonnenallee
487,1964487,Hermannplatz,strassenbahn,"52.487085572732276, 13.424752445258537",95,nan,Hermannplatz
488,1964488,Hermannplatz,u-bahn,"52.48629,13.42455","D,C I",Q658929,Hermannplatz
489,1964489,Hermannstr.,s-bahn,"52.4675,13.431111111111","KBS 100,KBS 100k",Q111263802,S-Bahnhof Hermannstraße
490,1964490,Hermannstrasse,strassenbahn,"52.46476232618638, 13.432818109719008",15,nan,Hermannstrasse
491,1964491,Hermannstrasse Ecke Silbersteinstrasse,bus,"52.46644333425963, 13.43195484694859",A65,nan,nan
492,1964492,Hermsdorf,s-bahn,"52.6178,13.3069",KBS 100e,Q263189,Berlin-Hermsdorf station
493,1964493,Hermsdorfer Damm Ecke Berlinerstrasse,bus,"52.62242631668916, 13.312891819525612","A12,A12S",nan,Hermsdorfer Damm Ecke Karolinenstrasse
494,1964494,Hermsdorfer Damm Ecke Karolinenstrasse,bus,"52.596782782505926, 13.276626902280602",A15,nan,Hermsdorfer Damm Ecke Berliner Strasse
495,1964495,Hertzbergplatz,bus,"52.477487105395774, 13.448598156816837",A67,nan,Hertzbergplatz
496,1964496,Hertzbergplatz,strassenbahn,"52.4773735457893, 13.448843811492495",95,nan,Hertzbergplatz
497,1964497,Herzbergstrasse,strassenbahn,"52.52637,13.499036","69,69E",Q65684891,nan
498,1964498,"Hessenwinkel, Lindenstrasse",bus,"52.42653518647879, 13.728458969026482",A22,nan,"Hessenwinkel, Lindenstrasse"
