,stop_id,stop_name,type,location,in_lines,identifier,stop_description
840,1964840,Nollendorfplatz,u-bahn,"52.499166666667,13.353888888889","A I,A II,B I",Q571039,Nollendorfplatz metro station
841,1964841,Nordend,bus,"52.59006569360479, 13.401740566033476","A7,A7E",nan,Nordend
842,1964842,Nordend,strassenbahn,"52.5902104,13.4027524",46,Q65032696,Nordend
843,1964843,Nordendstrasse,strassenbahn,"52.588534,13.3882952",22,Q65428345,Nordendstraße
844,1964844,Normannenstrasse,bus,"52.41755553724523, 13.541493283222094",A23,nan,nan
845,1964845,Nöldnerplatz,s-bahn,"52.5038,13.4853",KBS 101,Q4892447,Nöldnerplatz station
846,1964846,Nürnberger Strasse Ecke Kurfürstenstrasse,bus,"52.50513952189661, 13.34119156469812",A69,nan,nan
847,1964847,Oberhofer Platz,bus,"52.42410259117963, 13.328170432694991",A17,nan,Oberhofer Platz
848,1964848,Oberlandstrasse Ecke Germaniastrasse,bus,"52.4634624867915, 13.402082629697773",A65,nan,nan
849,1964849,Oberspree,s-bahn,"52.4525,13.5382",KBS 106,Q15192700,Oberspree station
850,1964850,"Oberspree, Bruno-Bürgel-Weg",strassenbahn,"52.452777014581045, 13.537124836409932",92,nan,nan
851,1964851,Obus-Bf. Siegfriedstrasse,bus,"52.520558278471135, 13.49943441740371",O30,nan,nan
852,1964852,Oderberger Strasse Ecke Eberswalderstrasse,strassenbahn,"52.54061076763243, 13.404559930731686",13,nan,nan
853,1964853,Olbersstrasse,bus,"52.52929598515582, 13.296339498694374",A21,nan,nan
854,1964854,Olivaer Platz,bus,"52.50060275704949, 13.313110622018645","A19,A29",nan,Olivaer Platz Ecke Kurfürstendamm
855,1964855,Olympiastadion,s-bahn,"52.511,13.2416",KBS 100g,Q800506,nan
856,1964856,Omnibus-Bhf. Lichtenberger Strasse,strassenbahn,"52.5442346,13.4687215",3,Q65939077,nan
857,1964857,Onkel Toms Hütte,u-bahn,"52.450277777778,13.253333333333",A II,Q389214,Onkel Toms Hütte metro station
858,1964858,Onkel-Herse-Strasse,strassenbahn,"52.44827036160263, 13.453893782713148",47,nan,Onkel-Herse-Strasse
859,1964859,Onkel-Herse-Strasse Ecke Buschkrug Allee,bus,"52.44824147504898, 13.453925980928403",A67,nan,nan
860,1964860,Oranienburg,s-bahn,"52.7536,13.2496",KBS 104,Q2341669,Oranienburg station
861,1964861,Oranienburger Strasse,bus,"52.59544415987805, 13.333037366087483",A12S,nan,Oranienburger Strasse Ecke Wilhelmsruher Damm
862,1964862,Oranienburger Strasse Ecke Wilhelmsruher Damm,bus,"52.595500195951075, 13.332986520018668",A21,nan,nan
863,1964863,Oranienburger Tor,bus,"52.52716314203455, 13.38710905184874","A9,O40,A59",nan,"Oranienburger Tor, Hannoversche Strasse/Torstrasse"
864,1964864,Oranienburger Tor,strassenbahn,"52.5256031,13.3872745","11,1,70,46,69",Q65095375,U Oranienburger Tor
