stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
69,Anhalter Bahnhof,s-bahn,"KBS 100d,KBS 100c,KBS 100e","52.503055555556,13.381944444444",Q111324573,58,"KBS 104,KBS 105,KBS 106",S-Bahnhof Berlin Anhalter Bahnhof
70,Antonplatz,strassenbahn,"72,74E,3,74,70","52.5484803,13.4517416",Q65548849,59,"3,70,72,74E,74",Antonplatz
71,Antwerpener Strasse Ecke Luxemburgerstrasse,bus,A64,"52.54412983146483, 13.354948086368704",,,,
72,Argentinische Allee Ecke Fischerhüttenstrasse,bus,A53,"52.44271134249338, 13.24015363503932",,,,
73,Arnimallee,bus,A68,"52.45789378609326, 13.299570204130864",nan,61,A68,Arnimallee
74,Aroser Allee,bus,"A14,A61","52.57376245122369, 13.351970705456408",nan,62,"A61,A14",Aroser Allee Ecke Lindauer Strasse
75,Askanierring Ecke Falkenhagener Strasse ; Askanierring Ecke Falkenseer Chaussee,bus,"A34 ; A35,A63","52.54891706140618, 13.193495587303872 ;   52.545679974269035, 13.194267325495874",nan,63,"A34 ; A35,A63",Askanierring Ecke Falkenhagener Strasse ;   Askanierring Ecke Falkenhagener Damm
76,Askanischer Platz,bus,"A24,A75,A29","52.50447897041404, 13.382295467838158",nan,64,"A29,A75,A24",nan
77,Attilaplatz,bus,"AS2s,A25,A68","52.45590179888225, 13.376512495751076",nan,65,"A25,AS2,A68",Attilaplatz
78,Attilaplatz,strassenbahn,96,"52.455498340147045, 13.375619638525905",nan,66,96,Attilaplatz
79,Augsburger Str.,u-bahn,A II,"52.500556,13.336389",Q667035,67,"A II,B II",nan
80,Auguste-Viktoria-Allee,bus,A62,"52.569268504658915, 13.329801350092811",nan,68,A62,Auguste-Viktoria-Allee Ecke Ollenhauerstrasse
81,Badstrasse,bus,A70,"52.55228040855936, 13.381394276023574",nan,72,A70,Badstrasse Ecke Pankstrasse
82,Badstrasse/Prinzenallee,bus,A71,"52.55231378388406, 13.381413167559051",nan,73,A71,Badstrasse/Prinzenallee
83,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,95,"52.493899843231475, 13.403460093532933",nan,74,95,nan
84,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,C I,"52.520111111111,13.388305555556",Q3753274,75,C I,Friedrichstraße metro station
85,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,E,"52.510556,13.496389",Q3831986,76,E,Lichtenberg metro station
86,Bahnhof Wedding,u-bahn,C I,"52.5425,13.366111",Q4018733,77,C I,U-Bahnhof Wedding
88,Bahnhofstrasse Ecke Lindenstrasse,bus,A27,"52.45096281111, 13.572146868709519",nan,79,A27,Bahnhofstrasse Ecke Lindenstrasse
89,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"84,87","52.4505094,13.572684",Q66095701,80+ 724,"82,87+ 83,95,84,86",Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße
90,Barfusstrasse,bus,A12S,"52.558311542070335, 13.351189355013176",,,,
91,Baumschulenstrasse,strassenbahn,"92,95","52.469081846595664, 13.491329912138305",nan,81,"95,92",Baumschulenstrasse Ecke Köpenicker Landstrasse
92,Baumschulenstrasse Ecke Südostallee,bus,A47,"52.46095841731415, 13.481191835004426",nan,82,A47,Baumschulenstrasse Ecke Südostallee
93,Baumschulenweg,s-bahn,"KBS 106a,KBS 106,KBS 103,KBS 103a","52.4675,13.489722",Q324336,83,"KBS 103,KBS 103a,KBS 100a,KBS 106",Berlin-Baumschulenweg station
94,Bautzener Strasse Ecke Yorckstrasse,bus,A19,"52.49265331044414, 13.370954942054576",,,,
95,Bayerischer Platz,u-bahn,B I,"52.488333333333,13.340277777778",Q668574,84,B III,Bayerischer Platz station
96,Bayernring Ecke Tempelhofer,bus,A78,"52.48164004976185, 13.385828867118994",,,,
97,Bayernring Ecke Tempelhofer Damm,bus,"A76,A77","52.481634872864596, 13.385858395941424",,,,
98,Beeskowdamm Ecke Goerz Allee,bus,A1,"52.40988367033843, 13.273529095833517",,,,
99,Behring-Krankenhaus,bus,A10,"52.42410894567823, 13.251764544509987",nan,86,A10,Behring-Krankenhaus
100,Bellevue,s-bahn,"KBS 100h,KBS 100g","52.52,13.348055555556",Q374018,87,"KBS 101,KBS 102",Berlin Bellevue station
101,Belßstrasse,bus,A83,"52.42719908422464, 13.365826813492008",,,,
102,Benschallee,bus,A18,"52.42959261918116, 13.22400013419735",nan,89,A18,Benschallee Ecke Potsdamer Chaussee
103,Benschallee Ecke Potsdamer Chaussee,bus,A3,"52.429638035873005, 13.22393270091056",nan,90,A3,nan
104,Bergfelde (b Bln),s-bahn,KBS 104,"52.6702,13.3203",Q4891640,,,
105,Bergstrasse Ecke Bismarckstrasse,bus,"A81,A2","52.45863817204511, 13.33931462421719",nan+ nan,94+ 185,"A2+ A75,A68",nan+ nan
106,Bergstrasse Ecke Thorwaldstrasse,bus,A83,"52.45911303271541, 13.348433992418155",,,,
107,Berkaer Strasse,bus,A29,"52.48209270683341, 13.281182952838728",nan,95,A29,Berkaer Strasse Ecke Teplitzer Strasse
108,"Berkaer Strasse, Elsterplatz",bus,AS3s,"52.479592141367654, 13.285296936169493",nan,96,AS3,"Berkaer Strasse, Elsterplatz"
109,Berliner Strasse Ecke Suermondtstrasse,strassenbahn,70,"52.54900402056681, 13.501740363652805",,,,
110,Berliner Strasse Ecke Brandenburgischestrasse,bus,A60,"52.48646559054497, 13.320388485889481",,,,
111,Berliner Strasse Ecke Bundesallee,bus,"A2,AS2s,A25","52.48735367071187, 13.33100210517226",nan,98,"A2,A25",nan
112,Berliner Strasse Ecke Joachimstalerstrasse,bus,A81,"52.487347586247154, 13.330990285702837",,,,
113,Berlinickeplatz,strassenbahn,96,"52.466329675590764, 13.378144688199017",nan,101,96,Berlinickeplatz Ecke Manteuffelstrasse
114,Berlinickestrasse Ecke Albrechtstrasse,bus,A33,"52.45613384482348, 13.323889347619627",,,,
115,Bernau (b Bln),s-bahn,KBS 106,"52.6763,13.5931",Q479789,102,KBS 106,Bernau bei Berlin station
116,Bernauer Strasse,bus,A13,"52.57629905299874, 13.294692761311245",nan,103,A13,Bernauer Strasse Ecke Berliner Strasse
118,Bernauer Strasse Ecke Wolliner Strasse,bus,"A64,A71","52.539825749774046, 13.4015229935377",nan,104,"A71,A64",nan
119,Bernauer Strasse Ecke Brunnenstrasse,bus,"A71, A61","52.53829556916397, 13.396023771544826",nan,106,A71,Bernauer Strasse/Brunnenstrasse
120,Bersarinplatz,strassenbahn,"4,13","52.519215,13.4525257",Q65706258,107,"13,4",Bersarinplatz
121,Betriebsbahnhof Rummelsburg,s-bahn,KBS 102,"52.4939,13.4978",Q829009,108,KBS 102,Betriebsbahnhof Rummelsburg station
122,Betriebsbahnhof Schöneweide,s-bahn,"KBS 106a,KBS 103,KBS 103a","52.44676,13.52391",Q4526101,109,"KBS 103,KBS 100a,KBS 106",Berlin-Johannisthal railway station
123,Beusselstr.,s-bahn,"KBS 100a,KBS 100","52.534444444444,13.329166666667",Q323219,110,KBS 100,Berlin Beusselstraße station
124,Bezirksamt,bus,A63,"52.54146443211212, 13.200850156157355",nan,111,A63,Bezirksamt
126,Bhf. Frankfurter Allee,strassenbahn,3,"52.5138037,13.4773772",Q65948557,,,
127,Bhf. Friedrichstrasse,strassenbahn,11,"52.5192805,13.3884107",Q65095382,,,
128,Bhf. Friedrichstrasse,bus,"A57,A9,A59","52.5205606637086, 13.388231915342985",nan,119,"A57,A9",Bhf. Friedrichstrasse
129,Bhf. Friedrichstrasse,strassenbahn,"46,70","52.5192805,13.3884107",Q65095382,120,"46,70,1",nan
130,Bhf. Gesundbrunnen,bus,"A61,A71","52.548738600413905, 13.387745851632966",nan,122,"A61,A71",Bhf. Gesundbrunnen
