line_name,Stops,Frequency,Length (time),type,east-west,year
A18,U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Spanische Allee Ecke Potsdamerchaussee - Kronprinzessinen Weg Ecke Potsdamer Chaussee - Stölpchensee - Machnowerstrasse Ecke Königsweg,20,33,bus,West,1971
A19,Roseneck - Hagenplatz - Erdener Strasse Ecke Königsallee - Henriettenplatz - Wilmersdorfer Strasse Ecke Kurfürstendamm - Olivaer Platz  - Joachimstaler Strasse Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Potsdamer Strasse Ecke Bülowstrasse - Bautzener Strasse Ecke Yorckstrasse - Katzbachstrasse Ecke Yorckstrasse - Mehringdamm Ecke Gneisenaustrasse - Flughafen,10,39,bus,West,1971
A2,"U-Bhf. Friedrich-Wilhelm-Platz - Walter-Schreiber-Platz - Bismarcktrasse Ecke Feuerbachstrasse - Steglitzer Damm Ecke Bismarckstrasse - Leonorenstrasse Ecke Siemensstrasse - Lankwitz, Kirche - Lerbacher Weg - Sonderhauserstrasse Ecke Hildburghauserstrasse - Waldsassener Strasse Ecke Ahrensdorfer Strasse",10,31,bus,West,1971
A20,"Tegelort, Almazeile - Gerlindeweg - Falkenplatz - Freiheitsweg - Heiligenseestrasse Ecke Konradshöherstrasse - Karolinenstrasse Ecke Heiligenseestrasse - U-Bhf. Tegel - Hatzfeldtallee Ecke Waidmannsluster Damm - Martin-Luther-Friedhof - Freie Scholle - Waldhornstrasse Ecke Waidmannsluster - Cyclopstrasse Ecke Waidmannsluster - Oraniendamm Ecke Waidmannsluster - Am Vierrutenberg - Lübars, Alt-Lübars",15,40,bus,West,1971
A21,"Quickborner Strasse, Märkische Viertel - Wilhelmsruherdamm Ecke Dannenwalderweg - Oranienburger Strasse Ecke Eichborndamm - Alt-Wittenau Ecke Eichborndamm - Breitenbachstrasse Ecke Eichborndamm - Scharnweberstrasse Ecke Eichborndamm - Kurt-Schumacher-Platz - Heckerdamm Ecke Kurt-Schumacher Damm - Jakob-Kaiser-Platz - Luisenplatz - Kantstrasse Ecke Kaiser-Friedrichstrasse - Amtsgericht - Kurfürstendamm Ecke Joachim-Friedrichstrasse - Hohenzollerndamm Ecke Seesenerstrasse - Fehrbelliner Platz",15,56,bus,West,1971
A22,Kurt-Schumacher-Platz - Lindauer Allee Ecke Ollenhauerstrasse - Roedernallee Ecke Nordgraben - Märkisches Zentrum - Calauer Strasse Ecke Finsterwalderstrasse - Wittenauer Strasse Ecke Eichhorster Weg,15,27,bus,West,1971
A23,Hardenbergplatz - Ernst-Reuter-Platz - Hansaplatz - Gotzkowskystrasse Ecke Alt-Moabit - Turmstrasse Ecke Beusselstrasse - Seestrasse Ecke Beusselstrasse - Plötzensee - Reichweindamm - Jakob-Kaiser-Platz - Heckerdamm Ecke Kurt-Schumacher Damm - Halemweg Ecke Toeplerstrasse - Goebelplatz - Rohrdamm Ecke Nonnendamm Allee - Buolstrasse Ecke Rohrdamm,10,46,bus,West,1971
A24,Wiebestrasse Ecke Huttenstrasse - Gotzkowskystrasse Ecke Turmstrasse - Stromstrasse Ecke Turmstrasse - Rathenower Strasse  Ecke Turmstrasse - Alt-Moabit Ecke Paulstrasse - John-Foster-Dulles-Allee Ecke Spreeweg - Tiergartenstrasse Ecke Hofjägerstrasse - Lützowplatz - Potsdamer Strasse Ecke Lützowstrasse - Askanischer Platz - U-Bhf. Hallesches Tor - Gneisenaustrasse Ecke Zossenstrasse - Columbiadamm Ecke Friesenstrasse - Platz der Luftbrücke,15,41,bus,West,1971
A25,U-Bhf. Friedrich-Wlhelm-Patz - Kaisereiche - Grazer Platz - Attilaplatz - Tempelhofer Damm Ecke Ordensmeisterstrasse - Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg - Britzer Damm - U-Bhf. Parchimer Allee - Grüner Weg Ecke Buschkrugallee,10,36,bus,West,1971
A28,U-Bhf. Tempelhof - Dudenstrasse Ecke Katzbachstrasse - Mehringdamm Ecke Yorckstrasse - Urban-Krankenhaus - Mariannenplatz - U-Bhf. Schlesisches Tor - Heckmannufer Ecke Schlesischestrasse,15,35,bus,West,1971
A29,Roseneck - Berkaer Strasse Ecke Teplitzerstrasse - Bismarckplatz - Henriettenplatz - Joachim-Friedrich-Strasse Ecke Kurfürstendamm - Wilmersdorfer Strasse Ecke Kurfürstendamm - Olivaer Platz - Uhlandstrasse Ecke Kurfürstendamm - Joachimstaler Strasse Ecke Kurfürstendamm - Wittenbergplatz - Lützowplatz - Potsdamer Strasse Ecke Schöneberger Ufer - Askanischer Platz - U-Bhf. Kochstrasse - Oranienplatz,10,40,bus,West,1971
A3,Düppel-Süd - Ludwigsfelder Strasse Ecke Berlepschstrasse - Machnower Strasse Ecke Berlepschstrasse - Rathaus Zehlendorf - Schützallee Ecke Riemeisterstrasse - U-Bhf. Krumme Lanke - Lindenthaler Allee Ecke Potsdamerchaussee - Spanische Allee Ecke Potsdamerchaussee - Schopenhauer-Strasse Ecke Spanischeallee - Borussenstrasse Ecke Spanischeallee - Wannsee - Am Großen Wannsee Ecke Königstrasse - Koblanckstrasse Ecke Am Großen Wannsee - Krankenhaus Wannsee - Heckeshorn,15,46,bus,West,1971
A31,U-Bhf. Ruhleben - Stresowplatz - Rathaus Spandau - Nauener Strasse Ecke Brunsbütteler Damm - Magistratsweg Ecke Brunsbütteler Damm - Heidebergplan,20,28,bus,West,1971
A32,"Breitenbachplatz - Gritznerstrasse Ecke Schildhornstrasse - Schloßstrasse Ecke Albrechtstrasse - Rathaus Steglitz - Bismarckstrasse Ecke Albrechtstrasse - Lankwitz, Kirche - Belßstrasse Ecke Malteserstrasse - Alt-Marienfelde Ecke Marienfelder Allee - Stegerwaldstrasse Ecke Marienfelder Allee - Marienfelde, Bahnstrasse Ecke Marienfelder Allee",12,31,bus,West,1971
A33,Berlinickestrasse - Bismarckstrasse Ecke Steglitzer Damm - Heinrich-Seidel-Strasse Ecke Steglitzer Damm - Gersdorfstrasse Ecke Kaiserstrasse - Mariendorfer Damm Ecke Kaiserstrasse - Dirschelweg Ecke Rixdorfer Strasse,10,20,bus,West,1971
A34,"Spandau, Wasserwerk - Friedhof - Askanierring - Wröhmännerpark - Rathaus Spandau - Wilhelmstrasse - Adamstrasse - Heerstrasse - Gatower Strasse - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow - Schwiezerhaus - Gutshof",20,51,bus,West,1971
A35,"U-Bhf. Ruhleben - Teltower Strasse Ecke Charlottenburgerchaussee - Krowelstrasse - Pichelsdorfer Strasse Ecke Weißenburgerstrasse - Adamstrasse  Ecke Földerichstrasse - Wilhelmstrasse Ecke Adamstrasse - Heerstrasse Ecke Gatowerstrasse - Weinmeisterhornweg Ecke Gatowerstrasse - Gatow, Kirche - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow Ecke Kladowerdamm - Krampnitzer Weg - Hottengrund",20,35,bus,West,1971
A4,Brixplatz - Theodor-Heuss-Platz - Messedamm Ecke Masurenallee - Henriettenplatz - Hochmeisterplatz - Fehrbelliner Platz - Bundesallee Ecke Badenschestrasse - Rathaus Schöneberg - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Flughafen - Friesenstrasse Ecke Columbiadamm - Kienitzer Strasse Ecke Hermannstrasse - Sonnenallee Ecke Erkstrasse - Teuptitzerstrasse Ecke Kiehl-Ufer,12,56,bus,West,1971
A41,Gradestrasse - U-Bhf. Blaschko-Allee - Krankenhaus Neukölln - Zwickauer Damm Ecke Neuköllnerstrasse - Schönefelderstrasse Ecke Waltersdorferstrasse - Rudow Stadtgrenze,20,27,bus,West,1971
A48,"Potsdamer Strasse Ecke Fischerhüttenstrasse - Sundgauer Strasse Ecke Berlinerstrasse - Drakestrasse Ecke Unter den Eichen - Rathaus Steglitz - Walter-Schreiber-Platz - Innsbrucker Platz - Kaiser-Wilhelm-Platz - U-Bhf. Kurfürstenstrasse - Philharmonie, Tiergartenstrasse",12,39,bus,West,1971
A5,U-Bhf. Ruhleben - Stresowplatz - Rathaus Spandau - Falkenseer Chaussee Ecke Zeppelinstrasse - Waldkrankenhaus - Nervenklinik,10,30,bus,West,1971
A50,Roseneck - Forckenbeckstrasse Ecke Hohenzollerndamm - Rudolstädter Strasse Ecke Hohenzollerndamm - Fehrbelliner Platz - Martin-Luther-Strasse Ecke Hohenstaufenstrasse - Potsdamerstrasse Ecke Pallastrasse - Mansteinstrasse Ecke Yorckstrasse,10,26,bus,West,1971
A52,"Marienfelde, Stadtrand-Siedlung - Alt-Marienfelde Ecke Marienfelder Allee - Lichtenrader Damm Ecke Buckower Chaussee - Buckower Damm Ecke Alt-Buckow - U-Bhf. Johannisthaler Chaussee - Rudower Strasse Ecke Johannisthaler Chaussee - Wutzkyallee - Efeuweg - Stubenrauchstrasse",10,35,bus,West,1971
A53,"Nikolassee, Alemannenstrasse - Krottnaurerstrasse - Waldemarplatz - Argentinische Allee Ecke Matterhornstrasse - U-Bhf. Krumme Lanke - Teltower Damm Ecke Potsdamerstrasse - Rathaus Zehlendorf - Knesebeckstrasse Ecke Seehofstrasse - Dahlemer Weg Ecke Seehofstrasse - 4. Ring - Luzerner Strasse Ecke Appzellerstrasse - Thuner Platz - Wiesenbaude - Ostpreußendamm Ecke Königsberstrasse - Oberhofer Platz",20,40,bus,West,1971
A54,"Zoo, Hardenbergplatz - Ernst-Reuter-Platz - Cauerstrasse Ecke Otto-Suhr-Allee - Richard-Wagner-Platz - Luisenplatz - Fürstenbbrunner Weg Ecke Spandauer Damm - Schloß Ruhwald - U-Bhf. Ruhleben - Teltowerstrasse Ecke Charlottenburgerstrasse - Rathaus Spandau - Moritzstrasse Ecke Altstädter Ring - Wröhmännerpark - Lynarstrasse Ecke Schönwälderstrasse - Hohenzollernring - Johannesstift",10,46,bus,West,1971
A55,"Zoo, Hardenbergplatz - Ernst-Reuter-Platz - Cauerstrasse Ecke Otto-Suhr-Allee - Richard-Wagner-Platz - Luisenplatz - Osnabrückerstrasse Ecke Tauroggenerstrasse - Landgericht - Jakob-Kaiser-Platz - Quellweg Ecke Nonnendamm Allee - Paulsternstrasse Ecke Gartenfelderstrasse - Zitadellenweg Ecke Am Juliusturm - Carl-Schurz-Strasse Ecke Am Juliusturm - Wröhmannerpark - Hohenzollernring - Hakenfelde",15,47,bus,West,1971
A56,"U-Bhf. Ruhleben - Stresowplatz - Spandau, Markt - Wröhmännerpark - Hohenzollernring - Hakenfelde",20,24,bus,West,1971
