stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Hönowerstr.,omnibus,H,194657_unified,"52.53004029,13.62684184",,,,,,,,1946248.0,Mahlsdorf,Marzahn-Hellersdorf,unified,12623
Hönow,omnibus,H,194658_unified,"52.54667360,13.63739135",,,,,,,,1946247.0,,,unified,
Müggelheim,omnibus,27,194659_unified,"52.41018331,13.66589753",,,,,,,,1946351.0,Müggelheim,Treptow-Köpenick,unified,12559
Müggelheimerdamm,omnibus,27,194660_unified,"52.42399605,13.62897384",,,,,,,,1946352.0,Köpenick,Treptow-Köpenick,unified,12559
"Köpenick, Krankenhaus",omnibus,27,194661_unified,"52.43861201,13.59241126",,,,,,,,1946294.0,Köpenick,Treptow-Köpenick,unified,12557
Gesundbrunnen,s-bahn,KBS 100,194662_unified,"52.54861111,13.38944444",Q111239092,,,,,,,1946179.0,Gesundbrunnen,Mitte,unified,13357
Schönhauserallee,s-bahn,KBS 100,194663_unified,"52.54932900,13.41370600",Q111264493,,,,,,,1946487.0,Prenzlauer Berg,Pankow,unified,10439
Prenzlauerallee,s-bahn,KBS 100,194664_unified,"52.54477500,13.42611600",Q32661483,,,,,,,1946419.0,Prenzlauer Berg,Pankow,unified,10437
Greifswalderstr.,s-bahn,KBS 100,194665_unified,"52.53972222,13.43944444",Q439246,,,,,,,1946190.0,Prenzlauer Berg,Pankow,unified,10405
Frankfurterallee,s-bahn,KBS 100,194666_unified,"52.51416667,13.47472222",Q111250033,,,,,,,1946154.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10247
Ostkreuz,s-bahn,KBS 100,194667_unified,"52.50310000,13.46890000",Q111251530,,,,,,,1946389.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10245
Treptower Park,s-bahn,KBS 100,194668_unified,"52.49380000,13.46180000",Q559274,,,,,,,1946561.0,Alt-Treptow,Treptow-Köpenick,unified,12435
Sonnenallee,s-bahn,KBS 100,194669_unified,"52.47300000,13.45580000",Q481364,,,,,,,1946506.0,Neukölln,Neukölln,unified,12055
Neukölln,s-bahn,KBS 100,194670_unified,"52.46916667,13.44166667",Q111325412,,,,,,,1946365.0,Neukölln,Neukölln,unified,12055
Hermannstr.,s-bahn,KBS 100,194671_unified,"52.46750000,13.43111111",Q111263802,,,,,,,1946226.0,Neukölln,Neukölln,unified,12051
Tempelhof,s-bahn,KBS 100,194672_unified,"52.47080000,13.38540000",Q111264368,,,,,,,1946552.0,Tempelhof,Tempelhof-Schöneberg,unified,12099
Papestr.,s-bahn,KBS 100,194673_unified,"52.47560000,13.36440000",Q111323139,,,,,,,1946401.0,Schöneberg,Tempelhof-Schöneberg,unified,10829
Schöneberg,s-bahn,KBS 100,194674_unified,"52.47940000,13.35170000",Q543855,,,,,,,1946483.0,Schöneberg,Tempelhof-Schöneberg,unified,10827
Innsbruckerplatz,s-bahn,KBS 100,194675_unified,"52.47860000,13.34390000",Q111263876,,,,,,,1946249.0,Schöneberg,Tempelhof-Schöneberg,unified,10827
Wilmersdorf,s-bahn,KBS 100,194676_unified,"52.47765833,13.32852500",Q464094,,,,,,,1946606.0,Wilmersdorf,Charlottenburg-Wilmersdorf,unified,10715
Schmargendorf,s-bahn,KBS 100,194677_unified,"52.47967222,13.31244167",Q302810,,,,,,,1946478.0,Wilmersdorf,Charlottenburg-Wilmersdorf,unified,14197
Hohenzollerndamm,s-bahn,KBS 100,194678_unified,"52.48850000,13.30040000",Q800503,,,,,,,1946237.0,Halensee,Charlottenburg-Wilmersdorf,unified,10709
Halensee,s-bahn,KBS 100,194679_unified,"52.49610000,13.29060000",Q800476,,,,,,,1946210.0,Halensee,Charlottenburg-Wilmersdorf,unified,10711
Westkreuz,s-bahn,KBS 100,194680_unified,"52.50110000,13.28390000",Q678125,,,,,,,1946599.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,14055
Witzleben,s-bahn,KBS 100,194681_unified,"52.50780000,13.28360000",Q321266,,,,,,,1946618.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,14057
Westend,s-bahn,KBS 100,194682_unified,"52.51810000,13.28440000",Q323214,,,,,,,1946598.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,14059
Jungfernheide,s-bahn,KBS 100,194683_unified,"52.53035000,13.29943333",Q110977325,,,,,,,1946262.0,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,unified,10589
Beusselstr.,s-bahn,KBS 100,194684_unified,"52.53444444,13.32916667",Q323219,,,,,,,194655.0,Moabit,Mitte,unified,10553
Putlitzstr.,s-bahn,KBS 100,194685_unified,"52.53600000,13.34400000",Q465972,,,,,,,1946430.0,Moabit,Mitte,unified,10559
Wedding,s-bahn,KBS 100,194686_unified,"52.54250000,13.36610000",Q638604,,,,,,,1946587.0,Wedding,Mitte,unified,13353
Hermannstr.,s-bahn,KBS 100a,194687_unified,"52.46750000,13.43111111",Q111263802,,,,,,,1946226.0,Neukölln,Neukölln,unified,12051
Neukölln,s-bahn,KBS 100a,194688_unified,"52.46916667,13.44166667",Q111325412,,,,,,,1946365.0,Neukölln,Neukölln,unified,12055
Köllnische Heide,s-bahn,KBS 100a,194689_unified,"52.46940000,13.46750000",Q800505,,,,,,,1946290.0,Neukölln,Neukölln,unified,12057
Baumschulenweg,s-bahn,KBS 100a,194690_unified,"52.46750000,13.48972200",Q324336,,,,,,,194634.0,Baumschulenweg,Treptow-Köpenick,unified,12437
Schöneweide,s-bahn,KBS 100a,194691_unified,"52.45500000,13.50944444",Q111323931,,,,,,,1946485.0,Niederschöneweide,Treptow-Köpenick,unified,12487
Betriebsbahnhof Schöneweide,s-bahn,KBS 100a,194692_unified,"52.44676000,13.52391000",Q4526101,,,,,,,194654.0,Niederschöneweide,Treptow-Köpenick,unified,12487
Adlershof,s-bahn,KBS 100a,194693_unified,"52.43472222,13.54138889",Q323551,,,,,,,19460.0,Adlershof,Treptow-Köpenick,unified,12489
Grünau,s-bahn,KBS 100a,194694_unified,"52.41220000,13.57460000",Q111307258,,,,,,,1946201.0,Grünau,Treptow-Köpenick,unified,12527
Jungfernheide,s-bahn,KBS 100b,194695_unified,"52.53035000,13.29943333",Q110977325,,,,,,,1946262.0,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,unified,10589
Wernerwerk,s-bahn,KBS 100b,194696_unified,"52.53486300,13.27599000",Q96077001,,,,,,,1946597.0,Siemensstadt,Spandau,unified,13629
Siemensstadt,s-bahn,KBS 100b,194697_unified,"52.53923000,13.26365000",Q96080453,,,,,,,1946504.0,Siemensstadt,Spandau,unified,13629
Gartenfeld,s-bahn,KBS 100b,194698_unified,"52.54695000,13.24882000",Q96080469,,,,,,,1946177.0,Siemensstadt,Spandau,unified,13629
Spandau,s-bahn,KBS 100c,194699_unified,"52.53200000,13.20890000",Q800491,,,,,,,1946511.0,Spandau,Spandau,unified,13597
Pichelsberg,s-bahn,KBS 100c,1946100_unified,"52.51030000,13.22710000",Q800488,,,,,,,1946406.0,Westend,Charlottenburg-Wilmersdorf,unified,14055
Reichssportfeld,s-bahn,KBS 100c,1946101_unified,"52.51100000,13.24160000",Q800506,,,,,,,1946441.0,Westend,Charlottenburg-Wilmersdorf,unified,14055
Heerstr.,s-bahn,KBS 100c,1946102_unified,"52.50860000,13.25860000",Q800502,,,,,,,1946217.0,Westend,Charlottenburg-Wilmersdorf,unified,14052
Eichkamp,s-bahn,KBS 100c,1946103_unified,"52.49870000,13.27020000",Q800504,,,,,,,1946141.0,Westend,Charlottenburg-Wilmersdorf,unified,14055
Westkreuz,s-bahn,KBS 100c,1946104_unified,"52.50110000,13.28390000",Q678125,,,,,,,1946599.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,14055
Charlottenburg,s-bahn,KBS 100c,1946105_unified,"52.50472222,13.30333333",Q111326217,,,,,,,1946117.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,10627
Savignyplatz,s-bahn,KBS 100c,1946106_unified,"52.50517460,13.31906590",Q554382,,,,,,,1946467.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,10629
Zoologischer Garten,s-bahn,KBS 100c,1946107_unified,"52.50722222,13.33250000",Q111326238,,,,,,,1946631.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,10623
Tiergarten,s-bahn,KBS 100c,1946108_unified,"52.51440000,13.33650000",Q572112,,,,,,,1946557.0,Hansaviertel,Mitte,unified,10555
Bellevue,s-bahn,KBS 100c,1946109_unified,"52.52000000,13.34805556",Q374018,,,,,,,194637.0,Hansaviertel,Mitte,unified,10557
Lehrter Stadtbahnhof,s-bahn,KBS 100c,1946110_unified,"52.52530000,13.36940000",Q821299,,,,,,,1946310.0,Moabit,Mitte,unified,10557
Friedrichstr.,s-bahn,KBS 100c,1946111_unified,"52.52027778,13.38694444",Q111219456,,,,,,,1946169.0,Mitte,Mitte,unified,10117
Börse,s-bahn,KBS 100c,1946112_unified,"52.52260000,13.40220000",Q689312,,,,,,,1946113.0,Mitte,Mitte,unified,10178
Alexanderplatz,s-bahn,KBS 100c,1946113_unified,"52.52138889,13.41194444",Q111324700,,,,,,,19463.0,Mitte,Mitte,unified,10179
Jannowitzbrücke,s-bahn,KBS 100c,1946114_unified,"52.51482222,13.41795000",Q27955427,,,,,,,1946254.0,Mitte,Mitte,unified,10179
Schlesischer Bahnhof,s-bahn,KBS 100c,1946115_unified,"52.51000000,13.43470000",Q683239,,,,,,,1946473.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10243
Warschauerstr.,s-bahn,KBS 100c,1946116_unified,"52.50641667,13.45095556",Q111252298,,,,,,,1946585.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10245
Ostkreuz,s-bahn,KBS 100c,1946117_unified,"52.50310000,13.46890000",Q111251530,,,,,,,1946389.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10245
Treptower Park,s-bahn,KBS 100c,1946118_unified,"52.49380000,13.46180000",Q559274,,,,,,,1946561.0,Alt-Treptow,Treptow-Köpenick,unified,12435
Baumschulenweg,s-bahn,KBS 100c,1946119_unified,"52.46750000,13.48972200",Q324336,,,,,,,194634.0,Baumschulenweg,Treptow-Köpenick,unified,12437
Schöneweide,s-bahn,KBS 100c,1946120_unified,"52.45500000,13.50944444",Q111323931,,,,,,,1946485.0,Niederschöneweide,Treptow-Köpenick,unified,12487
Betriebsbahnhof Schöneweide,s-bahn,KBS 100c,1946121_unified,"52.44676000,13.52391000",Q4526101,,,,,,,194654.0,Niederschöneweide,Treptow-Köpenick,unified,12487
Adlershof,s-bahn,KBS 100c,1946122_unified,"52.43472222,13.54138889",Q323551,,,,,,,19460.0,Adlershof,Treptow-Köpenick,unified,12489
Grünau,s-bahn,KBS 100c,1946123_unified,"52.41220000,13.57460000",Q111307258,,,,,,,1946201.0,Grünau,Treptow-Köpenick,unified,12527
Schöneweide,s-bahn,KBS 100d,1946124_unified,"52.45500000,13.50944444",Q111323931,,,,,,,1946485.0,Niederschöneweide,Treptow-Köpenick,unified,12487
Oberspree,s-bahn,KBS 100d,1946125_unified,"52.45250000,13.53820000",Q15192700,,,,,,,1946377.0,Niederschöneweide,Treptow-Köpenick,unified,12439
Spindlersfeld,s-bahn,KBS 100d,1946126_unified,"52.44720000,13.56130000",Q4892371,,,,,,,1946520.0,Köpenick,Treptow-Köpenick,unified,12555
Bernau,s-bahn,KBS 103,1946127_unified,"52.67630000,13.59310000",Q479789,,,,,,,194651.0,,,unified,
Zepernick,s-bahn,KBS 103,1946128_unified,"52.65980000,13.53420000",Q801657,,,,,,,1946629.0,,,unified,
Röntgental,s-bahn,KBS 103,1946129_unified,"52.64870000,13.51360000",Q801386,,,,,,,1946463.0,,,unified,
Buch,s-bahn,KBS 103,1946130_unified,"52.63590000,13.49170000",Q4892359,,,,,,,1946105.0,Buch,Pankow,unified,13125
Karow,s-bahn,KBS 103,1946131_unified,"52.61500000,13.46920000",Q111324168,,,,,,,1946272.0,Karow,Pankow,unified,13125
Blankenburg,s-bahn,KBS 103,1946132_unified,"52.59150000,13.44350000",Q800469,,,,,,,194691.0,Blankenburg,Pankow,unified,13129
Pankow-Heinersdorf,s-bahn,KBS 103,1946133_unified,"52.57806530,13.42950930",Q4892366,,,,,,,1946398.0,Pankow,Pankow,unified,13189
Pankow-Schönhausen,s-bahn,KBS 103,1946134_unified,"52.56670000,13.41110000",Q653775,,,,,,,1946399.0,Pankow,Pankow,unified,13187
Bornholmerstr.,s-bahn,KBS 103,1946135_unified,"52.55428700,13.39798500",Q32662318,,,,,,,194694.0,Prenzlauer Berg,Pankow,unified,10439
Gesundbrunnen,s-bahn,KBS 103,1946136_unified,"52.54861111,13.38944444",Q111239092,,,,,,,1946179.0,Gesundbrunnen,Mitte,unified,13357
Humboldthain,s-bahn,KBS 103,1946137_unified,"52.54510000,13.37960000",Q481276,,,,,,,1946243.0,Gesundbrunnen,Mitte,unified,13357
Stettiner Bahnhof,s-bahn,KBS 103,1946138_unified,"52.53190000,13.38780000",Q673721,,,,,,,1946530.0,Mitte,Mitte,unified,10115
Potsdamerplatz,s-bahn,KBS 103,1946139_unified,"52.50940000,13.37660000",Q106086519,,,,,,,1946413.0,Mitte,Mitte,unified,10117
Anhalter Bahnhof,s-bahn,KBS 103,1946140_unified,"52.50305556,13.38194444",Q111324573,,,,,,,194617.0,Kreuzberg,Friedrichshain-Kreuzberg,unified,10963
Yorckstr.,s-bahn,KBS 103,1946141_unified,"52.49177778,13.37214167",Q21776729,,,,,,,1946623.0,Schöneberg,Tempelhof-Schöneberg,unified,10965
Papestr.,s-bahn,KBS 103,1946142_unified,"52.47560000,13.36440000",Q111323139,,,,,,,1946401.0,Schöneberg,Tempelhof-Schöneberg,unified,10829
Priesterweg,s-bahn,KBS 103,1946143_unified,"52.46010000,13.35630000",Q800508,,,,,,,1946425.0,Schöneberg,Tempelhof-Schöneberg,unified,12157
Südende,s-bahn,KBS 103,1946144_unified,"52.44810000,13.35360000",Q800511,,,,,,,1946543.0,Steglitz,Steglitz-Zehlendorf,unified,12247
Lankwitz,s-bahn,KBS 103,1946145_unified,"52.43860000,13.34170000",Q800481,,,,,,,1946306.0,Lankwitz,Steglitz-Zehlendorf,unified,12247
Lichterfelde Ost,s-bahn,KBS 103,1946146_unified,"52.43000000,13.32890000",Q111311299,,,,,,,1946319.0,Lichterfelde,Steglitz-Zehlendorf,unified,12209
Lichterfelde Süd,s-bahn,KBS 103,1946147_unified,"52.41000000,13.30860000",Q800482,,,,,,,1946320.0,Lichterfelde,Steglitz-Zehlendorf,unified,12207
Oranienburg,s-bahn,KBS 104,1946148_unified,"52.75360000,13.24960000",Q2341669,,,,,,,1946379.0,,,unified,
Lehnitz,s-bahn,KBS 104,1946149_unified,"52.74110000,13.26350000",Q4258498,,,,,,,1946308.0,,,unified,
Borgsdorf,s-bahn,KBS 104,1946150_unified,"52.71550000,13.27640000",Q4093486,,,,,,,194693.0,,,unified,
Birkenwerder,s-bahn,KBS 104,1946151_unified,"52.68850000,13.28880000",Q2343634,,,,,,,194688.0,,,unified,
