,stop_id,stop_description,type,in_lines,identifier,location,stop_name
1131,19601132,Thorwaldsenstrasse,strassenbahn,66,,"52.46136534165126, 13.345121264246712",Thorwaldsenstrasse
1132,19601133,Thuner Platz,bus,A53,,"52.42375896990032, 13.296184869051308",Thuner Platz
1133,19601134,Mohrenstraße metro station,u-bahn,"A I,A II",Q658391,"52.51167,13.38472",Thälmannplatz
1134,19601135,Berlin-Tiergarten station,s-bahn,"KBS 103,KBS 102,KBS 101",Q572112,"52.5144,13.3365",Tiergarten
1135,19601136,Tiergartenstrasse Ecke Hofjägerallee,bus,"A16,A69,A24",,"52.50960312444174, 13.351320889801638",Tiergartenstrasse
1136,19601137,Tierpark Berlin,strassenbahn,"69,69E",,"52.50297204519277, 13.520916474066839",Tierpark Berlin
1137,19601138,Tor 5,bus,A15,,"52.58357682284558, 13.320522582904216",Tor 5
1138,19601139,Traegerstrasse,strassenbahn,66,,"52.476296219875636, 13.341188525686016",Traegerstrasse
1139,19601140,"Treptow, Flutgraben",strassenbahn,92,,"52.49652089552196, 13.450211854195379","Treptow, Flutgraben"
1140,19601141,"Treptow, Rathaus",bus,A47,,"52.48358899866382, 13.480324760498638","Treptow, Rathaus"
1141,19601142,Berlin Treptower Park station,s-bahn,"KBS 103,KBS 100,KBS 103a",Q559274,"52.4938,13.4618",Treptower Park
1142,19601143,Treskowallee/Ehrlichstraße,strassenbahn,82,Q65951921,"52.4789566,13.5234316",Treskowallee Ecke Ehrlichstrasse
1143,19601144,Triftstrasse Ecke Müllerstrasse,bus,A64,,"52.54479384581092, 13.361911169867636",Triftstrasse
1144,19601145,Triftweg Ecke Johannisthaler Chausse,bus,A52,,"52.431024618021745, 13.45739670616807",Triftweg
1145,19601146,Trippsteinstrasse Ecke Brotteroder Strasse,bus,"A11,A2",,"52.41893958981137, 13.346149658204126",Trippsteinstrasse
1146,19601147,TurmStrasse Ecke Stromstrasse,bus,A16,,"52.52628495236362, 13.343149398961996",TurmStrasse
1147,19601148,Turmstrasse Ecke Wilsnacker Strasse,bus,A66,,"52.52639995421508, 13.35171729538701",Turmstrasse
1148,19601149,U Turmstraße,strassenbahn,25,Q121907140,"52.52637,13.34044",Turmstrasse
1149,19601150,Turmstrasse/Rathenower Strasse,bus,A70,,"52.52677998083022, 13.355183467556872",Turmstrasse/Rathenower Strasse
1150,19601151,U-Bhf Kottbusser Tor,bus,A28,,"52.499051258453434, 13.418359009880978",U-Bhf Kottbusser Tor
1151,19601152,U-Bhf. Boddinstrasse,bus,A4,,"52.48028651973042, 13.425279574612379",U-Bhf. Boddinstrasse
1152,19601153,U-Bhf. Boddinstrasse,strassenbahn,27,,"52.48027865367161, 13.4251690465859",U-Bhf. Boddinstrasse
1153,19601154,U-Bhf. Bülowstrasse,bus,A48,,"52.49787469517453, 13.362124599310649",U-Bhf. Bülowstrasse
1154,19601155,U-Bhf. Bülowstrasse,strassenbahn,"74,73,88",,"52.4977947071403, 13.362041491653272",U-Bhf. Bülowstrasse
1155,19601156,U-Bhf. Dahlem-Dorf,bus,A68,,"52.45807069736877, 13.289706947871178",U-Bhf. Dahlem-Dorf
1156,19601157,U Eberswalder Straße,strassenbahn,"46E,70,4,49,22,13,46",Q65088313,"52.5401928,13.4113979",U-Bhf. Dimitroffstrasse
1157,19601158,U-Bhf. Ernst-Reuter-Platz,bus,"A62,A25,AS1,A2",,"52.51164603099566, 13.322290858670174",U-Bhf. Ernst-Reuter-Platz
1158,19601159,U-Bhf. Ernst-Reuter-Platz,strassenbahn,"6,25,44,2,54,55",,"52.511726576083134, 13.32260139821175",U-Bhf. Ernst-Reuter-Platz
1159,19601160,U-Bhf. Fehrbelliner Platz,bus,"A1,AS3,A4,A21",,"52.490390927187676, 13.31417745809863",U-Bhf. Fehrbelliner Platz
1160,19601161,U-Bhf. Flughafen,bus,"A4,A19",,"52.48488595983176, 13.38599654703171",U-Bhf. Flughafen
1161,19601162,U-Bhf. Flughafen,strassenbahn,"99,95,98",,"52.484779980367215, 13.385962227231367",U-Bhf. Flughafen
1162,19601163,U-Bhf. Friedrichsfelde,bus,"A8,A43",,"52.50624112361932, 13.512853060220209",U-Bhf. Friedrichsfelde
1163,19601164,U-Bhf. Gesundbrunnen,bus,A14,,"52.548660755358114, 13.387873629581087",U-Bhf. Gesundbrunnen
1164,19601165,U-Bhf. Grenzallee,bus,A67,,"52.46369510254238, 13.444231731166557",U-Bhf. Grenzallee
1165,19601166,U-Bhf. Grenzallee,strassenbahn,"6,47",,"52.46348178875844, 13.444377273631815",U-Bhf. Grenzallee
1166,19601167,U-Bhf. Hallesches Tor,bus,A24,,"52.497910015148264, 13.391307667735301",U-Bhf. Hallesches Tor
1167,19601168,U-Bhf. Heidelberg Platz,bus,A65,,"52.48042873572808, 13.31278632857391",U-Bhf. Heidelberg Platz
1168,19601169,U-Bhf. Heidelberger Platz,bus,A60,,"52.48006162214815, 13.312159920359697",U-Bhf. Heidelberger Platz
1169,19601170,U-Bhf. Kaiserdamm,bus,"A10,A65",,"52.50999451351762, 13.28180313022396",U-Bhf. Kaiserdamm
1170,19601171,U-Bhf. Kochstrasse,strassenbahn,88,,"52.50671104890453, 13.39050917018471",U-Bhf. Kochstrasse
1171,19601172,U-Bhf. Kottbusser Tor,bus,A67,,"52.499122758255055, 13.4182411702772",U-Bhf. Kottbusser Tor
1172,19601173,U-Bhf. Krumme Lanke,bus,A3,,"52.44308074990891, 13.24046555211665",U-Bhf. Krumme Lanke
1173,19601174,U-Bhf. Kurt-Schumacher-Platz,bus,"A62,A64,A61",,"52.56338157214657, 13.32719915637487",U-Bhf. Kurt-Schumacher-Platz
1174,19601175,U-Bhf. Leinestrasse,strassenbahn,27,,"52.473591021401894, 13.428015562483331",U-Bhf. Leinestrasse
1175,19601176,U-Bhf. Leopoldplatz,bus,A64,,"52.54638728410018, 13.359182634014466",U-Bhf. Leopoldplatz
1176,19601177,U-Bhf. Moritzplatz,strassenbahn,88,,"52.503642228347914, 13.410708942561621",U-Bhf. Moritzplatz
1177,19601178,U-Bhf. Neanderstrasse,strassenbahn,64,,"52.511034507689814, 13.41638558442145",U-Bhf. Neanderstrasse
1178,19601179,U-Bhf. Neukölln,strassenbahn,"47,15",,"52.46965567921364, 13.441614939772098",U-Bhf. Neukölln
1179,19601180,U-Bhf. Onkel-Toms-Hütte,bus,A3,,"52.450068186477765, 13.251215083296572",U-Bhf. Onkel-Toms-H tte
1180,19601181,U-Bhf. Oskar-Helene-Heim,bus,"A3,AS3,A18,A11,A1",,"52.450279005868815, 13.270361987159156",U-Bhf. Oskar-Helene-Heim
1181,19601182,U-Bhf. Paradesstrasse,bus,A65,,"52.478191637509916, 13.385831195383249",U-Bhf. Paradesstrasse
1182,19601183,U-Bhf. Paradestrasse,strassenbahn,98,,"52.478209745217, 13.385797973983829",U-Bhf. Paradestrasse
1183,19601184,U-Bhf. Prinzenstrasse,bus,A28,,"52.49844153838657, 13.406643837212261",U-Bhf. Prinzenstrasse
1184,19601185,U-Bhf. Ernst-Reuter-Platz,strassenbahn,53,,"52.51159848537007, 13.322566719414151",U-Bhf. Reuter-Platz
1185,19601186,U-Bhf. Ruhleben,bus,"A5,A31,AS1",,"52.52596833151868, 13.241478578696297",U-Bhf. Ruhleben
1186,19601187,U-Bhf. Ruhleben,strassenbahn,"53,54",,"52.52595776615238, 13.241371866188729",U-Bhf. Ruhleben
1187,19601188,"U-Bhf. Rüdesheimer Platz, Wiesbadener Strasse",bus,A17,,"52.4720831087791, 13.314909778144818",U-Bhf. Rüdesheimer Platz
1188,19601189,"U-Bhf. Scharnweberstrasse, Sportplatz",bus,A61,,"52.56792223040469, 13.311949805424875","U-Bhf. Scharnweberstrasse, Sportplatz"
1189,19601190,U-Bhf. Schlesisches Tor,bus,A28,,"52.50108419874335, 13.441971259873345",U-Bhf. Schlesisches Tor
1190,19601191,U-Bhf. Seestrasse,bus,"A16,A12,A12S,A64",,"52.550315408708514, 13.352298502985231",U-Bhf. Seestrasse
1191,19601192,U-Bhf. Spichernstrasse,bus,"A25,A2",,"52.49661912400034, 13.330712965202862",U-Bhf. Spichernstrasse
1192,19601193,U-Bhf. Strausberger Platz,strassenbahn,1,,"52.51808306742478, 13.432938339097822",U-Bhf. Strausberger Platz
1193,19601194,U-Bhf. Südstern,strassenbahn,3,,"52.48899443353793, 13.40800672025058",U-Bhf. Südstern
1194,19601195,U-Bhf. Tegel,bus,"A13,A15,A20,A14",,"52.589503132547385, 13.283630715732999",U-Bhf. Tegel
1195,19601196,U-Bhf. Tempelhof,strassenbahn,96,,"52.465913635809336, 13.385525190230428",U-Bhf. Tempelhof
1196,19601197,U-Bhf. Thielplatz,bus,A10,,"52.45104520805668, 13.281736418792137",U-Bhf. Thielplatz
1197,19601198,U Vinetastraße,strassenbahn,22,Q65075426,"52.5596168,13.413232",U-Bhf. Vinestrasse
1198,19601199,U-Bhf. Vinetastrasse,bus,A7,,"52.55981894046453, 13.413208628380339",U-Bhf. Vinetastrasse
1199,19601200,U Vinetastraße,strassenbahn,"49,46E,46",Q65075426,"52.5596168,13.413232",U-Bhf. Vinetastrasse
1200,19601201,Uckermarkstrasse Ecke Am Baltenring,bus,A49,,"52.52145144349922, 13.596724604247981",Uckermarkstrasse
1201,19601202,Uhlenhorst,strassenbahn,"86,83",,"52.468276850494775, 13.5867542618861",Uhlenhorst
1202,19601203,Ulmenstrasse Ecke Chemnitzer Strasse,bus,A27,,"52.48730877811447, 13.574932033917504",Ulmenstrasse
1203,19601204,Under den Eichen Ecke Drakestrasse,bus,A11,,"52.44564069754048, 13.293802457130425",Under den Eichen
1204,19601205,Unionplatz,bus,A25,,"52.533059397499464, 13.337278814540305",Unionplatz
1205,19601206,Berlin Brandenburger Tor station,s-bahn,"KBS 105,KBS 106,KBS 104",Q477185,"52.516388888889,13.380833333333",Unter den Linden
1206,19601207,Urban-Krankenhaus,strassenbahn,95,,"52.493170013997506, 13.407958861404088",Urban-Krankenhaus
1207,19601208,Urban-Krankenhaus,bus,A28,,"52.493469358698874, 13.406245116325284",Urban-Krankenhause
1208,19601209,Usedomer Strasse Ecke Brunnenstrasse,bus,A71,,"52.541120501957316, 13.393769565044664",Usedomer Strasse
1209,19601210,Velten (Mark),s-bahn,KBS 105,Q19274518,"52.685,13.172222",Velten (Mark)
1210,19601211,Verwaltungs-Gebäude,bus,A10,,"52.537063326963775, 13.262285169635492",Verwaltungs-Gebäude
1211,19601212,Adlergestell/Vetschauer Allee,strassenbahn,86,Q66459670,"52.3864124,13.633786",Vetschauer Allee
1212,19601213,Viktoria-Luise-Platz,u-bahn,B III,Q178685,"52.496161111111,13.342702777778",Viktoria-Luise-Platz
1213,19601214,Virchow-Krankenhaus,bus,A16,,"52.54371513062133, 13.339317916518894",Virchow-Krankenhaus
1214,19601215,Vogelsang Ecke Königin-Luise-Strasse,bus,A68,,"52.45939482396207, 13.280296976660761",Vogelsang
1215,19601216,Vollkropfgraben,strassenbahn,86,Q66493847,"52.4386665,13.5714889",Vollkropfgraben
1216,19601217,Voltastraße,u-bahn,D,Q663308,"52.542093,13.393022",Voltastr.
1217,19601218,Voltastrasse,strassenbahn,2,,"52.541478016132466, 13.389258272917548",Voltastrasse
1218,19601219,"Waßmannsdorf, Warteh.",bus,AZ,,"52.37269773285082, 13.465032652682668","Waßmannsdorf, Warteh."
1219,19601220,Berlin-Waidmannslust station,s-bahn,KBS 104,Q800492,"52.6064,13.321",Waidmannslust
1220,19601221,Waldemarstrasse Ecke Adalbertstrasse,bus,A28,,"52.50326279588436, 13.420631417701001",Waldemarstrasse
1221,19601222,Walderseestrasse,bus,A20,,"52.575655932178144, 13.228965833395124",Walderseestrasse
1222,19601223,Waldesruh,bus,A8,,"52.48487246674627, 13.628942223225485",Waldesruh
1223,19601224,Waldfriedhof Zehlendorf Ecke Potsdamer Chaussee,bus,A18,,"52.42599572508999, 13.209246048971062",Waldfriedhof
1224,19601225,Waldkrankenhaus,bus,A5,,"52.56214542863615, 13.158340085815741",Waldkrankenhaus
1225,19601226,Waldstrasse/Gotzkowskystrasse,bus,A70,,"52.52721622390326, 13.330524512340718",Waldstrasse/Gotzkowskystrasse
1226,19601227,Walter-Ulbricht-Stadion,strassenbahn,69,,"52.535963327585435, 13.376321651970404",Walter-Ulbricht-Stadion
1227,19601228,Waltersdorf,bus,A38,,"52.36492901110609, 13.555712408051676",Waltersdorf
1228,19601229,Waltersdorfer Chaussee (Spinne),bus,AD/36,,"52.394164684841336, 13.521784916658106",Waltersdorfer Chaussee (Spinne)
1229,19601230,Waltersdorfer Chaussee (Spinne),bus,AZ,,"52.392853002264665, 13.522677096747554",Waltersforder Chaussee (Spinne)
1230,19601231,Wannsee,bus,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),,"52.42192223789253, 13.17584115774181",Wannsee
1231,19601232,S-Bahnhof Berlin Wannsee,s-bahn,"KBS 104b,KBS 102,KBS 104",Q111325896,"52.4214,13.1792",Wannsee
1232,19601233,Warnemünder Strasse Ecke Breite Strasse,bus,A17,,"52.47539576569938, 13.290488880070722",Warnem nder Strasse
1233,19601234,Warnemünder/Berkaer Strasse,bus,A60,,"52.47539682813685, 13.290437797038999",Warnem nder/Berkaer Strasse
1234,19601235,Warschauer Straße metro station,u-bahn,"B II,B I",Q18380174,"52.5051,13.4491",Warschauer Brücke
1235,19601236,S-Bahnhof Warschauer Straße,s-bahn,"KBS 100c,KBS 103,KBS 101,KBS 100b,KBS 102",Q111252298,"52.506416666667,13.450955555556",Warschauer Str.
1236,19601237,Warschauer Strasse Ecke Grünberger Strasse,bus,O30,,"52.512432267445355, 13.452598837307189",Warschauer Strasse
1237,19601238,S+U-Bahnhof Warschauer Straße (tram stop),strassenbahn,82,Q63490275,"52.50502,13.44863",Warschauer Strasse
1238,19601239,Wartburgplatz,strassenbahn,25,,"52.48753778413099, 13.34501784267965",Wartburgplatz
1239,19601240,"Wartenberg, Dorfstrasse",bus,A39,,"52.57484089632958, 13.518020972979759","Wartenberg, Dorfstrasse"
1240,19601241,"Wartenberg, Siedlung",bus,A39,,"52.58393195902164, 13.53076033685478","Wartenberg, Siedlung"
1241,19601242,Berlin-Wedding station,s-bahn,"KBS 100,KBS 103a,KBS 100c",Q638604,"52.5425,13.3661",Wedding
1242,19601243,Weddingplatz,bus,"A70,A12,A12S",,"52.54113612364086, 13.368501029385115",Weddingplatz
1243,19601244,Weddingplatz,strassenbahn,"35,25,2",,"52.54152535588228, 13.369198549039789",Weddingplatz
1244,19601245,"Weißensee, Feldtmannstrasse Ecke Berliner Allee",bus,A56,,"52.564009383174366, 13.469819807860086","Weißensee, Feldtmannstrasse"
1245,19601246,"Weißensee, Liebermannstrasse Ecke Piesporter Strasse",bus,A55,,"52.56102399602114, 13.477459977323056","Weißensee, Liebermannstrasse Ecke Piesporter Strasse"
1246,19601247,Pasedagplatz,strassenbahn,72,Q65954665,"52.5594027,13.4609594","Weißensee, Pasedagplatz"
1247,19601248,"Weißensee, Rennbahnstrasse Ecke Gustav-Adolf-Strasse",bus,A55,,"52.56218648050474, 13.454267038723398","Weißensee, Rennbahnstrasse Ecke Gustav-Adolf-Strasse"
1248,19601249,"Weißensee, Schwarzelfenweg",bus,A45,,"52.566620142161746, 13.464140428405006","Weißensee, Schwarzelfenweg"
1249,19601250,Weißenseer Weg Ecke Landsberger Allee,bus,O41,,"52.53303479533508, 13.476121708352885",Weißenseer Weg
1250,19601251,Landsberger Allee/Weißenseer Weg,strassenbahn,"64,63",Q65942700,"52.532258,13.476705",Weißenseer Weg
1251,19601252,Weichselstrasse,strassenbahn,"26,47",,"52.48313752772782, 13.431480309407663",Weichselstrasse
1252,19601253,"WeidendammBrücke, Bhf. Friedrichstrasse",strassenbahn,"70,1,46",,"52.52168602376861, 13.388097732360343","WeidendammBrücke, Bhf. Friedrichstrasse"
1253,19601254,Weinmeisterstraße metro station,u-bahn,D,Q661876,"52.525833333333,13.403888888889",Weinmeisterstr.
1254,19601255,Wendenschloß Ecke Ekhofstrasse,strassenbahn,83,,"52.41633000736971, 13.589690772826726",Wendenschloß Ecke Ekhofstrasse
1255,19601256,Wentowsteig Ecke Wilhelmsruher Damm,bus,A21,,"52.59694371557204, 13.360462949429833",Wentowsteig
1256,19601257,Berlin Wernerwerk station,s-bahn,"KBS 100d,KBS 100c",Q96077001,"52.534863,13.27599",Wernerwerk
1257,19601258,Berlin-Westend station,s-bahn,"KBS 100,KBS 100c",Q323214,"52.5181,13.2844",Westend
1258,19601259,Berlin Westkreuz station,s-bahn,"KBS 100c,KBS 103,KBS 101,KBS 100,KBS 102",Q678125,"52.5011,13.2839",Westkreuz
1259,19601260,"Weverstrasse, Strassenbahnhof",strassenbahn,"75,76",,"52.51946975407937, 13.19781896484702","Weverstrasse, Strassenbahnhof"
1260,19601261,Wichertstrasse Ecke Humannplatz,bus,A56,,"52.54871619453036, 13.420715020754026",Wicherstrasse
1261,19601262,Wichmannstrasse Ecke Budapester Strasse,bus,A66,,"52.506628876773426, 13.345693889047093",Wichmannstrasse
1262,19601263,Pasedagplatz,strassenbahn,74,Q65954665,"52.5594027,13.4609594","Wie ensee, Pasedagplatz"
1263,19601264,Wiebestrasse Ecke Sickingenstrasse,bus,A24,,"52.53119512537686, 13.319063771537584",Wiebestrasse
1264,19601265,Wiebestrasse,strassenbahn,3,,"52.52581092392458, 13.318056678375148",Wiebestrasse
1265,19601266,"Wiebestrasse, Strassenbahnhof",bus,A70,,"52.53066666255053, 13.319314794959219","Wiebestrasse, Strassenbahnhof"
1266,19601267,Wiebestrasse/Huttenstrasse,strassenbahn,35,,"52.528377524398394, 13.319408967722172",Wiebestrasse/Huttenstrasse
1267,19601268,Wiener Brücke,strassenbahn,"87,88",,"52.49588477409083, 13.43650068505988",Wiener Brücke
1268,19601269,Wiesbadener Strasse Ecke Südwestkorso,bus,A16,,"52.47164544021605, 13.319516803491332",Wiesbadener Strasse
1269,19601270,Wiesenbaude,bus,A11,,"52.430495242672045, 13.31180861060395",Wiesenbaude
1270,19601271,Wiesenbaude,strassenbahn,"74,73",,"52.43330952304924, 13.307272184416341",Wiesenbaude
1271,19601272,Wiesenstrasse Ecke Pankstrasse,bus,A70,,"52.54763571080132, 13.373871074090278",Wiesenstrasse
1272,19601273,Wildau railway station,s-bahn,KBS 103,Q8000974,"52.32,13.634",Wildau
1273,19601274,Wildmeisterdamm Ecke Neuköllner Strasse,bus,A52,,"52.425839839495815, 13.48325607958456",Wildmeisterdamm
1274,19601275,Wildmeisterdamm,strassenbahn,47,,"52.426124062490864, 13.48276594555747",Wildmeisterdamm
1275,19601276,Wilhelminenhofstraße/Edisonstraße,strassenbahn,82,Q65951882,"52.4619496,13.5139049",Wilhelminenhof- Ecke Edisonstrasse
1276,19601277,Wilhelminenhofstrasse,strassenbahn,"69,69E",,"52.460837970970566, 13.521054382869073",Wilhelminenhofstrasse
1277,19601278,Wilhelminenhofstraße/Edisonstraße,strassenbahn,87,Q65951882,"52.4619496,13.5139049",Wilhelminenhofstrasse Ecke Edisonstrasse
1278,19601279,Wilhelminenhofstraße/Edisonstraße,strassenbahn,95,Q65951882,"52.4619496,13.5139049","Wilhelminenhofstrasse, Edisonstrasse"
1279,19601280,Berlin Wilhelmshagen station,s-bahn,KBS 102,Q800494,"52.4386,13.7222",Wilhelmshagen
1280,19601281,Berlin-Wilhelmsruh station,s-bahn,KBS 104,Q800495,"52.5814,13.3631",Wilhelmsruh
1281,19601282,"Wilhelmsruh, Fontanestrasse",bus,"A45,A55",,"52.58985938767378, 13.361193570257216","Wilhelmsruh, Fontanestrasse"
1282,19601283,Wilhelmstrasse Ecke Berliner Strasse,bus,A17,,"52.43057879952989, 13.318592903820731",Wilhelmstrasse
1283,19601284,Berlin Bundesplatz station,s-bahn,"KBS 100a,KBS 100",Q464094,"52.477658333333,13.328525",Wilmersdorf
1284,19601285,Wilmersdorfer Strasse Ecke Kurfürstendamm,bus,"A66,A69,A19,A29",,"52.499967660537735, 13.306987838785277",Wilmersdorfer Strasse
1285,19601286,Wilmersdorfer Strasse,strassenbahn,"44,75,76",,"52.506692000645316, 13.306692426875525",Wilmersdorfer Strasse
1286,19601287,Winfriedstrasse Ecke Berliner Strasse,bus,AS3,,"52.437562011852606, 13.269450173477841",Winfriedstrasse
1287,19601288,Winifriedstrasse Ecke Clayallee,bus,A3,,"52.43922811177887, 13.262911865460357",Winifriedstrasse
1288,19601289,Wintersteinstrasse,strassenbahn,6,,"52.51803433122661, 13.30642871226906",Wintersteinstrasse
1289,19601290,Wismarer Strasse Ecke Goerzallee,bus,A1,,"52.42195191841697, 13.2985053942209",Wismarer Strasse
1290,19601291,Wittenau,bus,A62,,"52.596084138285406, 13.332857679505645",Wittenau
1291,19601292,S-Bahnhof Berlin-Wittenau,s-bahn,KBS 105,Q111264319,"52.597013,13.334329",Wittenau (Kremmener Bahn)
1292,19601293,S-Bahnhof Berlin-Wittenau,s-bahn,KBS 104,Q111264319,"52.597013,13.334329",Wittenau (Nordbahn)
1293,19601294,Wittenbergplatz,bus,"A62,A60,A29,A19,A69",,"52.50188939146253, 13.342697883756577",Wittenbergplatz
1294,19601295,Wittenbergplatz,strassenbahn,"6,25,78,2,77,54,55,53",,"52.50185025953713, 13.343098350806866",Wittenbergplatz
1295,19601296,Wittenbergplatz metro station,u-bahn,"B II,A I,B I,A II",Q692727,"52.501944444444,13.343055555556",Wittenbergplatz
1296,19601297,Berlin Messe Nord/ICC station,s-bahn,"KBS 100,KBS 100c",Q321266,"52.5078,13.2836",Witzleben
1297,19601298,Wolburgsweg Ecke Falkenseer Chaussee,bus,A5,,"52.550616013150325, 13.16810722103831",Wolburgsweg
1298,19601299,Berlin Wollankstraße station,s-bahn,"KBS 105,KBS 104",Q800515,"52.5651525,13.3923627",Wollankstr.
1299,19601300,Wolliner Strasse,bus,A71,,"52.53982922743302, 13.401577799029111",Wolliner Strasse
1300,19601301,Wolliner Straße,strassenbahn,"25,2",Q65719652,"52.5399996,13.4020564",Wolliner Strasse
1301,19601302,Wolzogenstrasse Ecke Potsdamer Chaussee,bus,A18,,"52.43229985926568, 13.235719207112487",Wolzogenstrasse
1302,19601303,Berlin Wuhlheide station,s-bahn,KBS 102,Q800514,"52.4689,13.5533",Wuhlheide
1303,19601304,Yorckstraße station,s-bahn,"KBS 105,KBS 106",Q21776729,"52.491777777778,13.372141666667",Yorckstr.
1304,19601305,"Yorckstrasse, Rathaus Kreuzberg",bus,A28,,"52.49358813377981, 13.384967556749217",Yorckstrasse
1305,19601306,Yorckstrasse Ecke Mehringdamm,strassenbahn,99,,"52.492901206042376, 13.387766831697483",Yorckstrasse
1306,19601307,Yorckstrasse/Gneisenaustrasse,strassenbahn,98,,"52.492962048633196, 13.387727495303821",Yorckstrasse/Gneisenaustrasse
1307,19601308,Zabel-Krüger-Damm & Oraniendamm,bus,"A12,A12S",,"52.60786610541416, 13.323845802997752",Zabel-Krüger-Damm
1308,19601309,Zappoter/Oeynhauser Strasse,bus,A60,,"52.47331132628728, 13.298669291589876",Zappoter/Oeynhauser Strasse
1309,19601310,Berlin-Zehlendorf station,s-bahn,"KBS 104a,KBS 104",Q737962,"52.4309,13.2584",Zehlendorf
1310,19601311,Berlin Storkower Straße station,s-bahn,"KBS 100,KBS 103a,KBS 100b,KBS 100c",Q800512,"52.5238,13.4644",Zentralviehhof
1311,19601312,Zepernick station,s-bahn,KBS 106,Q801657,"52.6598,13.5342",Zepernick (Kr Niederbarnim)
1312,19601313,Zeuthen railway station,s-bahn,KBS 103,Q8069824,"52.3486,13.6274",Zeuthen
1313,19601314,"Ziegenhals, VA Dienststelle",bus (Umlandlinie),Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,"52.3470916280972, 13.664196000865504","Ziegenhals, VA Dienststelle"
1314,19601315,Ziekowstrasse Ecke Gorkistrasse,bus,A14,,"52.59059426195262, 13.292011153010927",Ziekowstrasse
1315,19601316,Zitadellenweg,strassenbahn,55,,"52.5377758132997, 13.217204249093342",Zitadellenweg
1316,19601317,ZobeltitzStrasse Ecke General-Barby-Strasse,bus,A61,,"52.56898257894375, 13.317202802475165",ZobeltitzStrasse
1317,19601318,S-Bahnhof Berlin Zoologischer Garten,s-bahn,"KBS 103,KBS 102,KBS 101",Q111326238,"52.507222222222,13.3325",Zoologischer Garten
1318,19601319,Zoologischer Garten metro station,u-bahn,"A I,B I",Q4024764,"52.5058669,13.3330236",Zoologischer Garten
1319,19601320,Zossener Strasse Ecke Gneisenaustrasse,bus,A28,,"52.49160676567746, 13.394443897793668",Zossener Strasse
1320,19601321,Zum Heckeshorn Ecke Am Großen Wannsee,bus,A51,,"52.43307505069834, 13.164008736441371",Zum Heckeshorn
1321,19601322,ZweiBrücker Strasse Ecke Falkenseer Chaussee,bus,A63,,"52.54677409100436, 13.188764018875105",ZweiBrücker Strasse
1322,19601323,Afrikanische Strasse Ecke Seestrasse ,bus,A16,,"52.54630154020319, 13.343855247543928 ",Afrikanische Strasse
1323,19601324, Afrikanische Strasse Ecke Müllerstrasse,bus,A64,," 52.56092107945643, 13.333499647590612",Afrikanische Strasse
1324,19601325,Alt-Moabit Ecke Rathenower Strasse ,bus,A24,,"52.524078460891005, 13.357069143313803 ",Alt-Moabit
1325,19601326, Alt-Moabit Ecke Wilsnacker Strasse,bus,A66,," 52.52437871670591, 13.350938481047272",Alt-Moabit
1326,19601327,Alt-Wittenau Ecke Oranienburger Straße ,bus,A62,,"52.58972877186178, 13.334169215342472 ",Alt-Wittenau
1327,19601328, Alt-Wittenau Ecke Eichborndamm,bus,"A15,A21",," 52.59166508975595, 13.326326895395114",Alt-Wittenau
1328,19601329,Askanierring Ecke Falkenhagener Strasse ,bus,A34,,"52.54891706140618, 13.193495587303872 ",Askanierring
1329,19601330, Askanierring Ecke Falkenhagener Damm,bus,"A35,A63",," 52.545679974269035, 13.194267325495874",Askanierring
1330,19601331,Bergstrasse Ecke Bismarckstrasse ,bus,A2,,"52.45863201901168, 13.339308585029036 ",Bergstrasse
1331,19601332, Bergstrasse Ecke Körnerstrasse,bus,A68,," 52.458183734651705, 13.329753854060407",Bergstrasse
1332,19601333,Berliner Strasse Ecke Blissestrasse ,bus,A60,,"52.48647817230135, 13.32051384057218 ",Berliner Strasse
1333,19601334, Berliner Strasse Ecke Teltower Damm ,bus,A53,," 52.43506128153174, 13.260479781039699 ",Berliner Strasse
1334,19601335, Königsberger Strasse Ecke Ostpreußdendamm ,bus,A11,," 52.430812764146886, 13.317504947138493 ",Berliner Strasse
1335,19601336,  Bundesallee Ecke Berliner Strasse,bus,"AS2,A2",," 52.48732335019939, 13.330965094326162",Berliner Strasse
1336,19601337,Bernauer Strasse Ecke Berliner Strasse ,bus,A13,,"52.57629905299874, 13.294692761311245 ",Bernauer Strasse
1337,19601338, Bernauer Strasse Ecke Brunnenstrasse ,bus,A61,," 52.538252555466876, 13.396009073652834 ",Bernauer Strasse
1338,19601339, Bernauer Straße & Gartenstraße,bus,A64,," 52.53341403688134, 13.387603209024276",Bernauer Strasse
1339,19601340,Bismarckstrasse Ecke Bergstrasse ,bus,A68,,"52.458629268184715, 13.33930401807899 ",Bismarckstrasse
1340,19601341, Bismarckstrasse Ecke Steglitzer Damm ,bus,A33,," 52.45105788558934, 13.337947293504078 ",Bismarckstrasse
1341,19601342, Morgensternstrasse Ecke Königsberger Strasse,bus,A11,," 52.42807192993347, 13.325509812749845",Bismarckstrasse
1342,19601343,Breite Strasse Ecke Charlottenstrasse ,bus,"A5,A31",,"52.53613613360638, 13.20450629947795 ",Breite Strasse
1343,19601344, Breite Strasse Ecke Albrechtstrasse,bus,"A68,A33",," 52.45435057367761, 13.328307509759025",Breite Strasse
