,stop_id,stop_description,type,in_lines,identifier,location,stop_name
750,1960751,Märkisches Museum station,u-bahn,"A I,A II",Q657871,"52.511944444444,13.408888888889",Märkisches Museum
751,1960752,Möckernbrücke U-Bahn station,u-bahn,"B II,B I",Q704716,"52.499166666667,13.382777777778",Möckernbrücke
752,1960753,Mühlenweg Ecke Konradshöherstrasse,bus,A20,,"52.59350028783369, 13.248862690560857",Mühlenstrasse
753,1960754,Mühlenstrasse,strassenbahn,"3,4",,"52.508543937506005, 13.43489757970717",Mühlenstrasse
754,1960755,Nassauische Strasse Ecke Güntzelstrasse,bus,A50,,"52.4911618772095, 13.326528822264246",Nassauische Strasse
755,1960756,Nauener Platz,strassenbahn,"35,25",,"52.55153667645967, 13.367355320761433",Nauener Platz
756,1960757,Nauener Strasse & Brunsbütteler Damm,bus,A31,,"52.5340443007014, 13.18167584141312",Nauener Strasse
757,1960758,Nauener Strasse,strassenbahn,55,,"52.5384290651878, 13.182388284496431",Nauener Strasse
758,1960759,Heinrich-Heine-Straße station,u-bahn,D,Q663204,"52.510833333333,13.416388888889",Neanderstr.
759,1960760,Nettelbeckplatz,bus,A64,,"52.54467606570895, 13.370138361814583",Nettelbeckplatz
760,1960761,Nettelbeckplatz,strassenbahn,35,,"52.54423653105294, 13.369853072459598",Nettelbeckplatz
761,1960762,Neu-Lindenberg,bus,AL,,"52.600885625411856, 13.554794085696633",Neu-Lindenberg
762,1960763,Neu-Westend,u-bahn,B I,Q656431,"52.515555555556,13.261111111111",Neu-Westend
763,1960764,Neue Wagenhalle,strassenbahn,96,,"52.39221410393183, 13.231155595625713",Neue Wagenhalle
764,1960765,Neuenhagen station,s-bahn,KBS 101,Q7001614,"52.5208,13.7003",Neuenhagen (b Bln)
765,1960766,S-Bahnhof Berlin Neukölln,s-bahn,"KBS 100a,KBS 100",Q111325412,"52.469166666667,13.441666666667",Neukölln
766,1960767,Neukölln (Südring) metro station,u-bahn,C I,Q21272767,"52.469444,13.442222",Neukölln (Südring)
767,1960768,Neuköllnische Allee Ecke Grenzallee,bus,A67,,"52.468152065072715, 13.460620591028498",Neuköllnische Allee
768,1960769,"Niederschönhausen, Idastrasse bzw. Nordend",strassenbahn,46E,,"52.5826456245908, 13.412764320279857","Niedersch nhausen, Idastrasse bzw. Nordend"
769,1960770,Schillerstraße,strassenbahn,46,Q65032581,"52.5923051,13.41088","Niedersch nhausen, Schillerstrasse"
770,1960771,Berlin-Nikolassee station,s-bahn,"KBS 102,KBS 104",Q637052,"52.4317,13.1933",Nikolassee
771,1960772,Nikolskoer Weg Ecke Königstrasse,bus,A6,,"52.41405938531216, 13.109270752484141",Nikolskoer Weg
772,1960773,Nollendorfplatz,bus,A19,,"52.49968843634292, 13.353086438468269",Nollendorfplatz
773,1960774,Nollendorfplatz,strassenbahn,"55,53,54",,"52.49974136660471, 13.352878927585127",Nollendorfplatz
774,1960775,Nollendorfplatz metro station,u-bahn,"B III,A II,B II,A I,B I",Q571039,"52.499166666667,13.353888888889",Nollendorfplatz
775,1960776,Nonnendammallee,strassenbahn,35,,"52.538012066324, 13.24976268119185",Nonnendammallee
776,1960777,Berlin Nordbahnhof,s-bahn,"KBS 105,KBS 106,KBS 104",Q673721,"52.5319,13.3878",Nordbahnhof
777,1960778,Naturkundemuseum metro station,u-bahn,"C II,C I",Q554399,"52.531111111111,13.3825",Nordbahnhof
778,1960779,Nordend,bus,A7,,"52.59006569360479, 13.401740566033476",Nordend
779,1960780,Nordend,strassenbahn,46,Q65032696,"52.5902104,13.4027524",Nordend
780,1960781,Nordendstraße,strassenbahn,22,Q65428345,"52.588534,13.3882952",Nordendstrasse
781,1960782,Nordgraben Ecke Rödernallee,bus,A14,,"52.588002933439746, 13.339787574099258",Nordgraben
782,1960783,Nöldnerplatz station,s-bahn,KBS 101,Q4892447,"52.5038,13.4853",Nöldnerplatz
783,1960784,Oberhofer Platz,bus,A17,,"52.42410259117963, 13.328170432694991",Oberhofer Platz
784,1960785,Oberspree station,s-bahn,KBS 103a,Q15192700,"52.4525,13.5382",Oberspree
785,1960786,Oderberger Strasse,strassenbahn,"13,4",,"52.54058395613876, 13.404619006480333",Oderberger Strasse
786,1960787,Oderbruchstrasse Ecke Landsberger Allee,bus,O41,,"52.52965617389457, 13.461022889581898",Oderbruchstrasse
787,1960788,Olivaer Platz Ecke Kurfürstendamm,bus,"A66,A19,A29",,"52.50060275704949, 13.313110622018645",Olivaer Platz
788,1960789,Olympia-Stadion station,u-bahn,B I,Q656441,"52.517222222222,13.25",Olympia-Stadion
789,1960790,Onkel Toms Hütte metro station,u-bahn,"B II,A II",Q389214,"52.450277777778,13.253333333333",Onkel Toms Hütte
790,1960791,Onkel-Herse-Strasse,strassenbahn,47,,"52.44827036160263, 13.453893782713148",Onkel-Herse-Strasse
791,1960792,Oranienburg station,s-bahn,KBS 104,Q2341669,"52.7536,13.2496",Oranienburg
792,1960793,Berlin Oranienburger Straße station,s-bahn,"KBS 105,KBS 106,KBS 104",Q480249,"52.525,13.3929",Oranienburger Str.
793,1960794,"Oranienburger Tor, Hannoversche Strasse/Torstrasse",bus,O40,,"52.52716314203455, 13.38710905184874",Oranienburger Tor
794,1960795,U Oranienburger Tor,strassenbahn,"69,70,46",Q65095375,"52.5256031,13.3872745",Oranienburger Tor
795,1960796,Oranienburger Tor metro station,u-bahn,"C II,C I",Q571485,"52.524886111111,13.387477777778",Oranienburger Tor
796,1960797,"Oranienburger Tor, Hannoversche Strasse",strassenbahn,"46E,11",,"52.52693581242043, 13.384570821924626","Oranienburger Tor, Hannoversche Strasse"
797,1960798,Oraniendamm Ecke Zabel-Krüger-Damm,bus,A20,,"52.607835611203505, 13.323834478403686",Oraniendamm
798,1960799,Oranienplatz,bus,A67,,"52.50232370505019, 13.415510129463975",Oranienplatz
799,1960800,Oranienstrasse Ecke Adalbertstrasse,bus,A28,,"52.501310708954215, 13.419224612073883",Oranienstrasse
800,1960801,Oranienstrasse Ecke Lindenstrasse,strassenbahn,88,,"52.507080492429274, 13.3982819224346",Oranienstrasse
801,1960802,Ortsgrenze Gatow,bus,"A34,A35",,"52.4981601705565, 13.180014416479423",Ortsgrenze Gatow
802,1960803,Osdorfer Strasse Ecke Ostpreußendamm,strassenbahn,96,,"52.42121990188002, 13.310681971655695",Osdorfer Strasse
803,1960804,Oskar-Helene-Heim metro station,u-bahn,"B II,A II",Q681336,"52.450277777778,13.269722222222",Oskar-Helene-Heim
804,1960805,Louise-Schroeder-Platz,strassenbahn,35,Q65767112,"52.5570174,13.3659987",Osloer Strasse
805,1960806,Osnabrücker Strasse,strassenbahn,"55,3",,"52.52655659018374, 13.297414453709727",OsnaBrücker Strasse
806,1960807,Ossietzkyplatz,bus,A7,,"52.58150700684141, 13.404249587640239",Ossietzkyplatz
807,1960808,Ossietzkyplatz,strassenbahn,"46E,46",,"52.58100580136794, 13.404014807678767",Ossietzkyplatz
808,1960809,Ostbahnhof,bus,O40,,"52.50976670730252, 13.43372198235041",Ostbahnhof
809,1960810,S-Bahnhof Berlin Ostbahnhof,s-bahn,"KBS 103,KBS 102,KBS 101",Q111325075,"52.51,13.4347",Ostbahnhof
810,1960811,Ostbahnhof,strassenbahn,82,,"52.509107635417394, 13.43550619008533",Ostbahnhof
811,1960812,Osteweg Ecke Seehofstrasse,bus,A53,,"52.42102198114528, 13.281135801011326",Osteweg
812,1960813,S-Bahnhof Ostkreuz,s-bahn,"KBS 100c,KBS 103,KBS 101,KBS 100b,KBS 103a,KBS 100,KBS 102",Q111251530,"52.5031,13.4689",Ostkreuz
813,1960814,Ostseestrasse (Spitze),bus,A42,,"52.551051109585906, 13.430303771242599",Ostseestrasse (Spitze)
814,1960815,Oswinsteig Ecke Hohefeldstrasse,bus,A12S,,"52.624992235029175, 13.300834017106252",Oswinsteig
815,1960816,Otto-Suhr-Allee,strassenbahn,3,,"52.51801027861401, 13.304399353259491",Otto-Suhr-Allee
816,1960817,Otto-Suhr-Allee Ecke Cauerstrasse,bus,A1,,"52.51469791251031, 13.315136925389936",Otto-Surh-Allee
817,1960818,Pücklerstrasse Ecke Clayallee,bus,AS3,,"52.468566643885005, 13.27835662512682",P cklerstrasse
818,1960819,Pacelli-/Thielallee Ecke Königin-Luise-Straße,bus,A1,,"52.45819383818934, 13.287096949272522",Pacelli-/Thielallee
819,1960820,S-Bahnhof Pankow,s-bahn,"KBS 106,KBS 100b",Q111273850,"52.5667,13.4111",Pankow
820,1960821,Vinetastraße metro station,u-bahn,"A I,A II",Q570906,"52.559166666667,13.413333333333",Pankow (Vinetastr.)
821,1960822,"Pankow, Kirche",bus,"A45,A55",,"52.57124680898358, 13.410670715665145","Pankow, Kirche"
822,1960823,Pankow Kirche,strassenbahn,"49,46E,22,46",Q65055066,"52.5706452,13.4103115","Pankow, Kirche"
823,1960824,"Pankow, Rathaus",bus,"A7,A45,A55",,"52.56953908840178, 13.404186437171612","Pankow, Rathaus"
824,1960825,Rathaus Pankow,strassenbahn,"46E,22,46",Q65055060,"52.5694816,13.4038045","Pankow, Rathaus"
825,1960826,Berlin-Pankow-Heinersdorf station,s-bahn,"KBS 106,KBS 100b",Q4892366,"52.5780653,13.4295093",Pankow-Heinersdorf
826,1960827,Pankower Allee Ecke Provinzstrasse,bus,A14,,"52.564667911185886, 13.378087639243981",Pankower Allee
827,1960828,Pankower Allee,strassenbahn,35,,"52.5638192979938, 13.36426816706299",Pankower Allee
828,1960829,Pankstrasse Ecke Badstrasse,bus,"A61,A14",,"52.55229407958284, 13.38145934777098",Pankstrasse
829,1960830,S-Bahnhof Berlin Südkreuz,s-bahn,"KBS 105,KBS 100a,KBS 100,KBS 106",Q111323139,"52.4756,13.3644",Papestr.
830,1960831,Paradestraße metro station,u-bahn,C II,Q557543,"52.478055555556,13.386111111111",Paradestr.
831,1960832,Parchimer Allee,strassenbahn,47,,"52.44544295914785, 13.455088787662136",Parchimer Allee
832,1960833,Parkfriedhof Neukölln,strassenbahn,27,,"52.4287655422534, 13.434984329128367",Parkfriedhof Neukölln
833,1960834,Parkstrasse,strassenbahn,"87,82",,"52.45876522318908, 13.53993545855609",Parkstrasse
834,1960835,Paulsternstrasse Ecke Gartenfelder Strasse,bus,"A10,A13",,"52.54415774195884, 13.247126131065503",Paulsternstrasse
835,1960836,Paulsternstrasse,strassenbahn,55,,"52.538114851173546, 13.248435943349298",Paulsternstrasse
836,1960837,Perleberger Strasse Ecke Birkenstrasse,bus,A66,,"52.53077396792751, 13.347177821256501",Perleberger Strasse
837,1960838,Petersallee (Freilichtbühne Rehberge) Ecke Müllerstrasse,bus,A64,,"52.55871831481775, 13.337458424139857",Petersallee (Freilichtbühne Rehberge)
838,1960839,Pfaueninsel-Chaussee Ecke Königsstrasse,bus,"A3,A18,A6",,"52.41883762088876, 13.153039190703318",Pfaueninsel-Chaussee
839,1960840,Berlin-Pichelsberg railway station,s-bahn,"KBS 103,KBS 101",Q800488,"52.5103,13.2271",Pichelsberg
840,1960841,Pichelsdorfer Strasse Ecke Seeburger Strasse,bus,A13,,"52.52914294070602, 13.195638801936928",Pichelsdorfer Strasse
841,1960842,Pichelsdorfer Strasse,strassenbahn,"75,76",,"52.51307046642958, 13.196871153391022",Pichelsdorfer Strasse
842,1960843,Freizeit- und Erholungszentrum,strassenbahn,95,Q66104117,"52.4575779,13.5436031",Pionierrepublik
843,1960844,Pionierstrasse Ecke Zeppelinstrasse,bus,A63,,"52.551529603690966, 13.185506987271339",Pionierstrasse
844,1960845,Pistoriusstrasse Ecke Klement-Gottwald-Allee,bus,A45,,"52.55009435565474, 13.45900710843341",Pistoriusstrasse Ecke Klement-Gottwald-Allee
845,1960846,Plänterwald railway station,s-bahn,"KBS 103,KBS 103a",Q7205917,"52.4786,13.4733",Plänterwald
846,1960847,Podbielskiallee,u-bahn,"B II,A II",Q571324,"52.464444444444,13.296388888889",Podbielskiallee
847,1960848,"Postamt, Uhlandstrasse",bus,A60,,"52.48905066177084, 13.322770368720937",Postamt
848,1960849,"Postamt, Museum Dahlem",bus,A68,,"52.4580469214445, 13.291771531599098","Postamt, Museum Dahlem"
849,1960850,Potsdam Hauptbahnhof,s-bahn,KBS 102,Q647973,"52.3917,13.0667",Potsdam
850,1960851,Potsdamer Platz S-Bahn station,s-bahn,"KBS 105,KBS 106,KBS 104",Q106086519,"52.5094,13.3766",Potsdamer Platz
851,1960852,Potsdamer Platz,strassenbahn,"74,73",,"52.50948236131137, 13.375988156399634",Potsdamer Platz
852,1960853,Potsdamer Platz metro station,u-bahn,"A I,A II",Q3909578,"52.5092,13.3782",Potsdamer Platz
853,1960854,Potsdamer Strasse,strassenbahn,"3,2",,"52.497947693481, 13.362087448651582",Potsdamer Strasse
854,1960855,Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,A48,,"52.43576860452355, 13.256070911731433",Potsdamer Strasse Ecke Fischerh ttenstrasse
855,1960856,Prager Platz,bus,A50,,"52.49294694854429, 13.332964219632272",Prager Platz
856,1960857,Berlin Prenzlauer Allee station,s-bahn,"KBS 100,KBS 103a,KBS 100b,KBS 100c",Q32661483,"52.544775,13.426116",Prenzlauer Allee
857,1960858,Prenzlauer Allee/Danziger Straße,strassenbahn,"13,4",Q65222180,"52.5396522,13.4244789",Prenzlauer Allee
858,1960859,Prenzlauer Allee (Spitze),bus,A56,,"52.544670526661974, 13.427455280947829",Prenzlauer Allee (Spitze)
859,1960860,Prenzlauer Allee Ecke Wisbyer Strasse,strassenbahn,71,,"52.551183836372815, 13.43013561837268",Prenzlauer Allee Ecke Wisbyer Strasse
860,1960861,Prenzlauer Promenade,strassenbahn,"70,3,72",,"52.55155536618067, 13.43032253030515",Prenzlauer Promenade
861,1960862,Prenzlauer Promenade Ecke Kissingenstrasse,bus,A45,,"52.56795804833996, 13.427734373319213",Prenzlauer Promenade Ecke Kissingenstrasse
862,1960863,Prenzlauer Tor,strassenbahn,"71,72",,"52.52709114016772, 13.415809370320808",Prenzlauer Tor
863,1960864,Priesterweg railway station,s-bahn,"KBS 105,KBS 106",Q800508,"52.4601,13.3563",Priesterweg
864,1960865,Prinzenallee/Soldiner Strasse,bus,A71,,"52.55871759464676, 13.386248511741826",Prinzenallee/Soldiner Strasse
865,1960866,Prinzenstraße,u-bahn,"B II,B I",Q689797,"52.498333333333,13.406111111111",Prinzenstr.
866,1960867,Proskauer Ecke Dolziger Strasse,bus,O30,,"52.519874079766325, 13.463289228834057",Proskauer Ecke Dolziger Strasse
867,1960868,Provinzstrasse/Pankower Allee,bus,A71,,"52.56468777207285, 13.378063096396454",Provinzstrasse/Pankower Allee
868,1960869,Prühßstrasse Ecke Mariendorfer Damm,strassenbahn,98,,"52.443274813352325, 13.38622115632198",Prühßstrasse
869,1960870,Berlin Westhafen station,s-bahn,"KBS 100,KBS 103a,KBS 100c",Q465972,"52.536,13.344",Putlitzstr.
870,1960871,Päwesiner Weg Ecke Seeburger Strasse,bus,A13,,"52.52633953639178, 13.181877502746046",Päwesiner Weg
871,1960872,Quantzstrasse Ecke Potsdamer Chaussee,bus,A18,,"52.423135671729796, 13.202253537880683",Quantzstrasse
872,1960873,Quellweg,strassenbahn,"55,35",,"52.53666578461771, 13.268432707290442",Quellweg
873,1960874,Radelandstrasse Ecke Kisselnallee,bus,A63,,"52.55650975276803, 13.188691756681173",Radelandstrasse
874,1960875,Berlin-Rahnsdorf station,s-bahn,KBS 102,Q800489,"52.4516372,13.6899776",Rahnsdorf
875,1960876,Rahnsdorf/Waldschänke,strassenbahn,87,Q66361311,"52.443531694444445,13.685038",Rahnsdorf
876,1960877,Ramlerstrasse Ecke Brunnenstrasse,bus,A71,,"52.547125761071456, 13.389174502621508",Ramlerstrasse
877,1960878,Rangsdorf railway station,s-bahn,KBS 105,Q801345,"52.294444,13.430278",Rangsdorf
878,1960879,"Rankeplatz, Bundeshaus",bus,AS2,,"52.4977881279831, 13.330731790169496","Rankeplatz, Bundeshaus"
879,1960880,Rankeplatz/Bundeshaus,bus,AS3,,"52.497826190133736, 13.330710978777121",Rankeplatz/Bundeshaus
880,1960881,Rathaus Mariendorf,bus,A33,,"52.44527453682428, 13.379492384246559",Rathaus Mariendorf
881,1960882,Rathaus Neukölln,bus,A4,,"52.48152537358512, 13.434381079123925",Rathaus Neukölln
882,1960883,Rathaus Neukölln,strassenbahn,"6,26,47",,"52.48159489526684, 13.434274903483136",Rathaus Neukölln
883,1960884,Rathaus Neukölln,u-bahn,C I,Q628770,"52.481666666667,13.434166666667",Rathaus Neukölln
884,1960885,Rathaus Reinickendorf Alt-Wittenau,bus,A12S,,"52.591657836908254, 13.32633527572607",Rathaus Reinickendorf
885,1960886,Rathaus Schöneberg,bus,"A16,A4",,"52.48515473887597, 13.345086596743203",Rathaus Sch neberg
886,1960887,Rathaus Schöneberg,strassenbahn,"60,6,25",,"52.484790956462334, 13.345086356437134",Rathaus Sch neberg
887,1960888,Rathaus Schöneberg,u-bahn,B III,Q570926,"52.483116666667,13.341930555556",Rathaus Schöneberg
888,1960889,Rathaus Spandau,bus,"A5,A13,A31,A63,A34,AS1,A35",,"52.53480744415333, 13.199505517192808",Rathaus Spandau
889,1960890,Rathaus Spandau,strassenbahn,"55,75,76",,"52.53488081670858, 13.199058849732252",Rathaus Spandau
890,1960891,Rathaus Steglitz,bus,"A17,A32,A48,A68",,"52.45683244954579, 13.320757398114617",Rathaus Steglitz
891,1960892,Rathaus Steglitz,strassenbahn,"74,78,44,73,77",,"52.45691682931275, 13.320745348424166",Rathaus Steglitz
892,1960893,Rathaus Tempelhof,strassenbahn,99,,"52.462494115868374, 13.38523087984914",Rathaus Tempelhof
893,1960894,Rathaus Tiergarten,bus,A70,,"52.52649085974541, 13.338358982634196",Rathaus Tiergarten
894,1960895,Rathaus Wannsee,bus,"A3,A18,A6",,"52.418440129670444, 13.148872492834737",Rathaus Wannsee
895,1960896,Rathaus Zehlendorf,bus,"A3,AS3,A53",,"52.433207520111885, 13.259531923613192",Rathaus Zehlendorf
896,1960897,Rathenauplatz,bus,"A65,A69",,"52.49561134930413, 13.286573746568635",Rathenauplatz
897,1960898,Alt-Moabit/​Rathenower Str.,strassenbahn,"35,2",Q121863902,"52.52356,13.35779",Rathenower Strasse
898,1960899,Regattatribünen,strassenbahn,86,Q66490561,"52.4114287,13.5880881",Regattahäuser
899,1960900,Rehberge,u-bahn,"C II,C I",Q253850,"52.5567,13.3412",Rehberge
900,1960901,Reichenberger Strasse,strassenbahn,26,,"52.495535248263636, 13.430362951622532",Reichenberger Strasse
901,1960902,Reichskanzlerplatz,bus,A4,,"52.50929184084697, 13.27265693784035",Reichskanzlerplatz
902,1960903,Reichskanzlerplatz,strassenbahn,"75,76",,"52.5089140766086, 13.272251406623242",Reichskanzlerplatz
