,stop_id,stop_name,type,location,in_lines,identifier
1670,19841670,U-Bhf. Hallesches Tor,bus,"52.497910015148264, 13.391307667735301","{'41', '24'}",nan
1671,19841671,U-Bhf. Hansaplatz,bus,"52.51815899892448, 13.341596502400384","{'23', '16'}",nan
1672,19841672,U-Bhf. Heidelberger Platz,bus,"52.48006162214815, 13.312159920359697",{'60'},nan
1673,19841673,U-Bhf. Hohenzollernplatz,bus,"52.49379659973151, 13.323970282884028",{'60'},nan
1674,19841674,U-Bhf. Holzhauser Strasse,bus,"52.57637830312507, 13.294882286523327","{'13', '22E'}",nan
1675,19841675,U-Bhf. Innsbrucker Platz,bus,"52.47854726935916, 13.343828571364293","{'85', '75', '48', '83', '16'}",nan
1676,19841676,U-Bhf. Jakob-Kaiser-Platz,bus,"52.5366288023428, 13.293515323121461","{'21', '9', '62'}",nan
1677,19841677,U-Bhf. Johannisthaler Chaussee,bus,"52.429394188707796, 13.453232767711098",{'52'},nan
1678,19841678,U-Bhf. Jungfernheide,bus,"52.530138785889896, 13.296018817180764",{'99'},nan
1679,19841679,U-Bhf. Kaiserdamm,bus,"52.50999451351762, 13.28180313022396",{'10'},nan
1680,19841680,U-Bhf. Kaiserin-Augusta-Strasse,bus,"52.46037878446868, 13.384682849129337",{'68'},nan
1681,19841681,U-Bhf. Karl-Marx-Strasse,bus,"52.476103832656094, 13.439462912520211",{'4'},nan
1682,19841682,U-Bhf. Kleistpark,bus,"52.490870570920535, 13.360584287813918","{'84', '75', '83', '48'}",nan
1683,19841683,U-Bhf. Kochstrasse/Friedrichstrasse,bus,"52.506473260691784, 13.390526623502058",{'75'},nan
1684,19841684,U-Bhf. Konstanzer Strasse,bus,"52.49370028890023, 13.309995875980734","{'74', '1'}",nan
1685,19841685,U-Bhf. Kottbusser Damm,bus,"52.49276489731471, 13.422245830499508",{'41'},nan
1686,19841686,U-Bhf. Kottbusser Tor,bus,"52.499122758255055, 13.4182411702772","{'41', '28'}",nan
1687,19841687,U-Bhf. Krumme Lanke,bus,"52.44308074990891, 13.24046555211665","{'53', '3'}",nan
1688,19841688,U-Bhf. Kurfürstendamm,bus,"52.503774788766066, 13.33108911416442","{'69', '73', '9', '19'}",nan
1689,19841689,U-Bhf. Kurfürstenstrasse,bus,"52.49972761554077, 13.362749156897042","{'84', '75', '83', '48'}",nan
1690,19841690,U-Bhf. Kurt-Schumacher-Platz,bus,"52.56338157214657, 13.32719915637487","{'21', '8', '62', '61'}",nan
