Line description,Stops,Frequency,Length (time),Length (km),year
22E_bus_West,U-Bhf. Holzhauser Strasse - Wittestrasse - Soltauer Strasse - Breitenbachstrasse - Miraustrasse - Triftstrasse - Rathaus Reinickendorf - Alt-Wittenau,15,,,1976
23_bus_Ost,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Wolfmarsteig - Schönefelder Chaussee - Altglienicke, Kirche - Kanalbrücke - Glienicker Weg Ecke Köpenickerstrasse - VEB Berlin-Chemie - Adlergestell - S-Bhf. Adlershof",20,29,,1976
23_bus_West,"Zoo, Hardenbergplatz - Jebenstrasse/Amerikahaus - Steinplatz - U-Bhf. Ernst-Reuter-Platz - Hansaplatz - Gotzkowskystrasse - Hutten-/Turmstrasse - Wittstocker Strasse - Sickingen-/Siemensstrasse - Beusselstrasse/Goerdelerdamm - Hüttigpfad - Friedrich-Olbricht-Damm - Heckerdamm - Jakob-Kaiser-Platz - Kurt-Schumacher-Damm - Heilmannring - Goebelplatz - Quellweg - Nonnendammallee - Siemensstadt Rohrdamm E. Buolstraße",15,,,1976
24_bus_West,Moabit Wiebestrasse - Huttenstrasse - Reuchlinstrasse - Gotzkowskystrasse - Rathaus Tiergarten - U-Bhf. Turmstrasse - Krankenhaus Moabit - Wilsnacker Strasse - Rathenower Strasse - Alt-Moabit - John-F.-Dulles-Allee (Kongreßhalle) - Tiergartenstrasse - Lützowplatz - Magdeburger Platz - Potsdamer Strasse - Askanischer Platz - Großbeerenstrasse Ecke Hallesches Ufer - U-Bhf. Hallesches Tor/Mehring-Damm - U-Bhf. Gneisenaustrasse - Columbiadamm - Platz der Luftbrücke,15,41,,1976
25_bus_West,Britz-Süd - Fritz-Erler-Allee - Kormoranweg - Grüner Weg - Buschkrugallee Ecke Parchimer Allee - U-Bhf. Parchimer Allee - Britzer Damm - Gradestrasse - Karl-Elsasser Strasse - Gottlieb-Dunkel-Strasse - Germaniastrasse - Wenckebachstrasse - Tempelhofer Damm - Attilaplatz - Röblingstrasse/Arnulfstrasse - Priesterweg - Prellerweg - Auguste-Viktoria-Krankenhaus - Grazer Platz - Rubensstrasse - Friedenauer Brücke - Kaisereiche - U-Bhf. Friedrich-Wilhelm-Platz,12,,,1976
25_strassenbahn_Ost,Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Alte Försterei - Bahnhofstrasse - Gellnitzstrasse - Hirschgarten - Bölschestrasse - S-Bhf. Friedrichshagen - Hartlebenstrasse - Müggelseedamm - Rahnsdorf,20,48,,1976
26_strassenbahn_Ost,"Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Weinert-Klubhaus - Alte Försterei - Cardinalstrasse - Bahnhofstrasse - Grünstrasse - Wendenschloßstrasse - Köpenick, Krankenhaus",20,27,,1976
27_bus_Ost,"S-Bhf. Kaulsdorf - Chemnitzer Strasse - Jägerstrasse - Gehsener Strasse - S-Bhf. Köpenick - Lindenstrasse - Wendenschloßstrasse - Krankenhaus Köpenick - Müggelturm - Müggelheim, Dorf - Alt-Müggelheim",10,41,,1976
28_bus_West,U-Bhf. Tempelhof - Boelckestrasse - Werner-Voß Damm - Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse/Rathaus Kreuzberg - U-Bhf. Mehringdamm - U-Bhf. Gneisenaustrasse/Zossener Strasse - U-Bhf. Südstern - Urbanstrasse - Geibelstrasse - Wilmsstrasse - U-Bhf. Prinzenstrasse/Gitschiner Strasse - U-Bhf. Kottbusser Tor - Oranienstrasse - Mariannenplatz - Köpenicker Strasse - U-Bhf. Schlesisches Tor - Falckensteinstrasse - Schlesische Strasse E. Heckmannufer,15,,,1976
29_bus_West,"Grunewald, Roseneck - Teplitzer Strasse - Franzensbader Strasse/Sportplatz - Bismarckplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstr - U-Bhf. Kurfürstendamm - U-Bhf. Wittenbergplatz - An der Urania - Kurfürstenstrasse - Lützowplatz - Kluckstrasse - Potsdamer Brücke - Askanischer Platz - Friedrichstrasse/U-Bhf. Kochstrasse - Lindenstrasse - Alte Jakobstrasse  - Alexandrinenstrasse - U-Bhf. Moritz-Platz - Oranienplatz",10,,,1976
