,stop_name,type,location,in_lines,identifier,east-west
602,Karower Strasse Ecke Alt-Buch,bus,"52.6353147366511, 13.49919747411447",A42,,Ost
603,Kaserne Südtor,bus,"52.55685969560147, 13.3084342409763",A21,,West
604,Katzbachstrasse,bus,"52.491584280543336, 13.376725460315825",A19,,West
605,Kaulsdorf,s-bahn,"52.5121,13.5904",KBS 101,Q800478,Ost
606,"Kaulsdorf, Bausdorfstrasse",bus,"52.51256368150751, 13.601906818686038",A49,,Ost
607,Kinderheim,bus,"52.4898153097415, 13.481404230737937",A82P,,Ost
608,Kinderheim Ruhleben,bus,"52.52796709321304, 13.230713275419049",A31,,West
609,Kirchstrasse,bus,"52.61485248170046, 13.317034418727145",A12,,West
610,Kirschenallee,strassenbahn,"52.52037354122697, 13.267241546337495","53,54",,West
611,Kisselnallee Ecke Radelandstrasse,bus,"52.556501057441956, 13.188670871494672",A63,,West
612,Kladow,Fähre,"52.45151498638808, 13.147961938847912",Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),,West
613,Klausenerplatz,bus,"52.51924427298945, 13.291948741419509",A74,,West
614,Klausenerplatz,strassenbahn,"52.519202008553854, 13.291867366490655","53,54",,West
615,Klein Ziethen,bus,"52.379580499215606, 13.44656986522325",AZ,,Ost
616,"Kleinbahn, Buckower Damm",strassenbahn,"52.438022748003675, 13.434975544021462",27,,West
617,Klement-Gottwald-Allee Ecke Indira-Ghandi-Strasse,strassenbahn,"52.55207481375682, 13.465630856253787",3,,Ost
618,Klement-Gottwald-Allee Ecke Rennbahnstrasse,bus,"52.55694652931542, 13.466966083751453","A45, A46",",",Ost
619,Klement-Gottwald-Allee Ecke Rennbahnstrasse,strassenbahn,"52.5573986,13.4656872","72,74E,74",Q65954749,Ost
620,"Klingenberg, Blockdammweg",strassenbahn,"52.4842462,13.5104609","13,82",Q66085182,Ost
621,Klingsorstrasse,bus,"52.45309021884074, 13.33121103955973",A33,,West
622,Klinkeplatz,bus,"52.555551464661846, 13.198549783852652",AS1,,West
623,Klosterstr.,u-bahn,"52.516111111111,13.412222222222",A,Q657893,Ost
624,Klosterstrasse,bus,"52.51798604342281, 13.412126746747086",O30,,Ost
625,Klosterstraße Ecke Seeburger Straße,bus,"52.529157516749336, 13.19558509974695",A13,,West
626,Knesebeckstrasse,bus,"52.428912094809505, 13.267664971836647",A53,,West
627,Kniprodestrasse,strassenbahn,"52.5325286,13.4406868","13,4",Q65707391,Ost
628,Kniprodestrasse Ecke Ermländische Strasse,bus,"52.53214047166688, 13.441498411095067",A57,,Ost
629,KoblanckStrasse,bus,"52.426175417562064, 13.161460962278303",A51,,West
630,Kochstr.,u-bahn,"52.505897222222,13.390611111111",C I,Q201849,West
631,Kohlhasenbr ck,bus,"52.397602179732665, 13.143663292364124",A18,,West
632,"Kolonie ""Land in Sonne""",bus,"52.55462883361286, 13.511870302373488",A39,,Ost
633,Kongreßhalle,bus,"52.51763253396976, 13.363196975404886",A69,,West
634,Konstanzer Strasse,bus,"52.48857876641685, 13.308077083720315",A50,,West
635,Konsum Wernsdorf,bus,"52.36448396303661, 13.698441127852544",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
636,Konsum Ziegenhals,bus,"52.353014165379946, 13.671672670712805",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
637,Kopenhagener Strasse,bus,"52.574260461143574, 13.359154742049908",A14,,West
638,Kopernikusstrasse Ecke Warschauer Strasse,strassenbahn,"52.5105842,13.4526258","3,4",Q65950088,Ost
639,Kosterstrasse,bus,"52.51798604342281, 13.412126746747086",O30,,Ost
640,Kottbusser Brücke,bus,"52.496030844936435, 13.420070402767054",A67,,West
641,Kottbusser Damm (Schönleinstr.),u-bahn,"52.493055555556,13.421944444444",D,Q666868,West
642,Kottbusser Tor,u-bahn,"52.499166666667,13.418055555556","A II,D,B II,B I",Q819768,West
643,Kraftwerk Klingenberg,strassenbahn,"52.4881374,13.4958685","13, 82","Q66079524, Q66079524",Ost
644,Krampnitzer Weg,bus,"52.45227343259078, 13.13842230425098",A35,,West
645,Krankenhaus Havelh he,bus,"52.462919334280684, 13.15899083159388",A35,,West
646,Krankenhaus Havelhöhe,bus,"52.462919334280684, 13.15899083159388",A34,,West
647,Krankenhaus Heckeshorn,bus,"52.43498872792054, 13.161716693825408",A51,,West
648,Krankenhaus Hohengatow,bus,"52.470449875602235, 13.169391604448148","A34,A35",,West
649,Krankenhaus Köpenick,strassenbahn,"52.43861200573594, 13.592411258792163",95,,Ost
650,Krankenhaus Moabit,bus,"52.52631363859675, 13.347762408358612",A70,,West
651,Krankenhaus Neukölln,strassenbahn,"52.43977054074335, 13.459359057866306",47,,Unknown
652,Krankenhaus Tegel-Süd,bus,"52.57573397877684, 13.278749331662",A13,,West
653,Krankenhaus Wannsee,bus,"52.43102764694952, 13.164964517227903",A51,,West
654,Kreuzbergstrasse,bus,"52.48940663862394, 13.376689964763667",A28,,West
655,Kronprinzessinen Weg,bus,"52.41994047416807, 13.17530094854083",A18,,West
656,Krumme Lanke,u-bahn,"52.443333333333,13.241388888889","A II,B II",Q663945,West
657,Kurfürstendamm,bus,"52.498023305214666, 13.296217571157966","A60,AS2,AS3,A10,A21",,West
658,Kurfürstendamm Ecke Konstanzer Strasse,bus,"52.500599097108285, 13.31304940813286","A74,A1",,West
659,Kurfürstenstr.,u-bahn,"52.5,13.361944444444","B II,B I",Q690203,West
660,Kurfürstenstrasse,bus,"52.445643034300396, 13.36805209564975",A33,,West
661,Kurfürstenstrasse,u-bahn,"52.5,13.361944",A II,Q690203,West
662,Kurische Strasse,bus,"52.53541468899389, 13.439085794623837",A9,,Ost
663,Kurt-Fischer-Platz,bus,"52.57973292845757, 13.398330728468228",A7,,Ost
664,Kurt-Fischer-Platz,strassenbahn,"52.578668,13.3983016","46,22",Q65032974,Ost
665,Kurt-Schumacher-Damme,bus,"52.53691363313431, 13.29370181789795",A65,,West
666,Kurt-Schumacher-Platz,bus,"52.563438249109005, 13.32713028618972",A21,,West
667,Kurt-Schumacher-Platz,u-bahn,"52.563555555556,13.326572222222",C I,Q555916,West
668,Köllnische Heide,s-bahn,"52.4694,13.4675",KBS 100a,Q800505,West
669,Köllnischer Platz,strassenbahn,"52.4447189,13.5686225","84,86",Q66363379,Ost
670,Königin-Elisabeth-Strasse,bus,"52.5100262651791, 13.281782266209204","A65,A74",,West
671,Königin-Elisabeth-Strasse,strassenbahn,"52.51841661774004, 13.280185271122395","60,53,54",,West
672,Königin-Luise-Strasse,bus,"52.45831794711095, 13.287027476333241",A10,,West
673,Königin-Luise-Strasse,bus,"52.46046250414625, 13.274837141314253",AS3,,West
674,Königs Wusterhausen,s-bahn,"52.2966,13.6311",KBS 103,Q178002,Ost
675,Königstor,bus,"52.52520269485428, 13.419834994127731","O40,A57,A9",,Ost
676,Königstor,strassenbahn,"52.52821600265539, 13.423869016265495","74E,74",,Ost
677,Königstrasse,bus,"52.41987226002477, 13.175332944592043",A6,,West
678,Königstrasse/Kronprinzessinnenweg,bus,"52.41989533124603, 13.17532169204708",A51,,West
679,Köpenick,s-bahn,"52.4586,13.5808",KBS 102,Q800479,Ost
680,"Köpenick, Krankenhaus",bus,"52.43861200573594, 13.592411258792163",A27,,Ost
681,Köpenicker Landstrasse Ecke Baumschulenstrasse,strassenbahn,"52.46913201072182, 13.491340045687773",87,,Ost
682,Köpenicker Strasse,bus,"52.417188859212956, 13.493835883883817",A52,,West
683,Köpenicker Strasse,strassenbahn,"52.420483475304536, 13.538745338445915","47,84",,West
684,Köpenickerstrasse Ecke Manteuffelstrasse,bus,"52.50574939832715, 13.431940956927507",A28,,West
685,Körtingstrasse,bus,"52.43481849058747, 13.378266822562516",A77,,West
686,Körtingstrasse Ecke Großbeerenstrasse,strassenbahn,"52.434802727145076, 13.378295684287906",15,,West
687,Küstriner Platz,bus,"52.51324778107561, 13.439333192026231","O30,O40",,Ost
688,LPG Falkenberg,bus,"52.57043275562403, 13.536024836217607",A46,,Ost
689,Landgericht,bus,"52.52698925988807, 13.297167647658592","A65,A72",,West
690,Landsberger Chaussee Ecke Weißenseer Weg,strassenbahn,"52.532258,13.476705",3,Q65942700,Ost
691,Lange Strasse,bus,"52.42401188883506, 13.333131159875414",A11,,West
692,Langhans Strasse Ecke Gustav-Adolf-Strasse,bus,"52.55362785776103, 13.434716400018274",A45,,Ost
693,Langhansstrasse Ecke Gustav-Adolf-Strasse,bus,"52.55363454206649, 13.43469073771919",A55,,Ost
694,Lankwitz,s-bahn,"52.4386,13.3417",KBS 106,Q800481,West
695,"Lankwitz, Kirche",bus,"52.43629186979271, 13.345745387354132","A32,A2",,West
696,"Lankwitz, Kirche",strassenbahn,"52.43629411008752, 13.34577793920493",96,,West
697,Lauenburger Platz,bus,"52.461985842386426, 13.33927388252173",A75,,West
698,Lauterplatz,strassenbahn,"52.475528954378376, 13.340160154844037","73,74",,West
699,Lehnitz,s-bahn,"52.7411,13.2635",KBS 104,Q4258498,Ost
700,Lehrter Stadtbahnhof,s-bahn,"52.5253,13.3694","KBS 101,KBS 102",Q821299,West
701,Leibnizstrasse Ecke Kurfürstendamm,bus,"52.500647891248605, 13.313040549353639",A69,,West
702,Leibnizstrasse Ecke Otto-Suhr-Allee,bus,"52.51466735877481, 13.31516095265439",A62,,West
703,Leinestr.,u-bahn,"52.472777777778,13.428333333333",D,Q668563,West
704,Leipziger Strasse Ecke Wilhelmstrasse,strassenbahn,"52.51000007018473, 13.384208357671987",74,,Ost
705,Leninallee,s-bahn,"52.5295,13.4548","KBS 103a,KBS 106",Q800507,Ost
706,Leninallee,strassenbahn,"52.5259343,13.4462368","13,4",Q65553230,Ost
707,Leninplatz,bus,"52.523238998562235, 13.433594583798834",O40,,Ost
708,Leninplatz,strassenbahn,"52.5232658,13.4326457","64,63,1",Q65553105,Ost
709,LeonorenStrasse,bus,"52.444386837647556, 13.338876103590831","A32,A17",,West
710,Leonorenstrasse Ecke Siemensstrasse,bus,"52.44438057977062, 13.338875271971135",A2,,West
711,Leopoldplatz,bus,"52.54647397037027, 13.359233475022176",A64,,West
712,Leopoldplatz,u-bahn,"52.5465,13.3591",C I,Q1960809,West
713,Lepsiusstrasse,bus,"52.45883023513571, 13.315599065479873",A68,,West
714,Lerbacher Weg Ecke Gallwitzallee,bus,"52.425706884201745, 13.347621555992067",A2,,West
715,Lerchenstrasse,bus,"52.45518873071384, 13.734268401558374",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,Ost 
716,"Letteplatz, Strassenbahnhof",bus,"52.56410522486749, 13.371107480641978",A71,,West
717,Leuthingerweg,bus,"52.54180680726089, 13.163727103711182",A63,,West
718,Lichtenberg,s-bahn,"52.5106,13.4964",KBS 101,Q634247,Ost
719,Lichtenberger Strasse Ecke Berliner Allee,strassenbahn,"52.552032612200605, 13.465689924366766","72,74E,70,74",,Ost
720,Lichtenrade,s-bahn,"52.3876,13.3963",KBS 105,Q6543354,West
721,"Lichtenrade, Blohmstrasse Ecke Wünsdorfer Strasse",bus,"52.38867704828861, 13.394344156462488",AS2,,Unknown
722,"Lichtenrade, Goethestrasse",bus,"52.40437993547595, 13.406198387437845",AS2,,West
723,Lichtenrader Damm,bus,"52.41457407591286, 13.401100479114065",A52,,West
724,Lichterfelde Ost,s-bahn,"52.43,13.3289",KBS 106,Q111311299,West
725,Lichterfelde Süd,s-bahn,"52.41,13.3086",KBS 106,Q800482,West
726,Lichterfelde West,s-bahn,"52.4433,13.2947",KBS 104,Q111327103,West
727,Lichterfelde-West Lindenstrasse,strassenbahn,"52.416224714960904, 13.311832010279808","58,78",,West
728,Lindauer Strasse,bus,"52.573378512244474, 13.359026284637647","A71,A12",,West
729,Lindauer Strasse Ecke Residenzstrasse,bus,"52.57332805900587, 13.35899004155058",A72,,West
730,Lindenberg,bus,"52.602597712625055, 13.5250306401055",AL,,Ost
731,Lindenstrasse,bus,"52.41754704184675, 13.306637505969373",A1,,West
732,Lindenstrasse,strassenbahn,"52.50703628824205, 13.398245194666595",96,,West
733,Lindenthaler Allee,s-bahn,"52.4375,13.2325",KBS 104,Q315891,West
734,Lindenweg,bus,"52.58320838924275, 13.343677581838621","A12,A14",,West
735,Loewenhardtdamm,bus,"52.48165790097863, 13.374453287679744",A28,,West
736,Louise-Schroeder-Platz,bus,"52.55713317342601, 13.365513694540711",A16,,West
737,Ludwigkirchstrasse/Pariser Strasse,bus,"52.497535465268555, 13.324328066962357",A60,,West
738,Luise-Schröder-Platz,bus,"52.55757019957571, 13.365470778195588",A72,,West
739,Luisenplatz,bus,"52.52005408723936, 13.2995133852506","A65,A21,A62,AS1",,West
740,Luisenplatz,strassenbahn,"52.51951940474329, 13.300024347605849","53,3,54,55",,West
741,Lupsteiner Weg,bus,"52.40950895120702, 13.251647735398342",A10,,West
742,Lutherplatz,bus,"52.39011694014624, 13.089836574530883","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
743,Lutherstrasse,bus,"52.50104544166847, 13.34692193817342",A29,,West
744,Luxemburgplatz,u-bahn,"52.528333333333,13.410277777778",A,Q658790,Ost
745,Luzerner Strasse,bus,"52.42399460780493, 13.293333572320618",A53,,West
746,Lynastrasse,bus,"52.54898935768741, 13.210225795636823",AS1,,West
747,Lynastrasse Ecke Neuendorfer Strasse,strassenbahn,"52.54898037206874, 13.210198880046686","53,54",,West
748,"Lübars, Dorfaue",bus,"52.62095733281459, 13.358934481999336",A20,,West
749,Lübarser Strasse,bus,"52.602792196244636, 13.335729351721078",A15,,West
750,Lützowplatz,bus,"52.505029017314186, 13.351822867208506","A69,A16,A24",,West
751,Lützowstrasse,bus,"52.5030789103706, 13.36561126569968",A48,,West
752,Lützowstrasse,bus,"52.50531004879477, 13.35374234810531",A29,,West
753,Lützowstrasse,strassenbahn,"52.503071437757164, 13.365720679612895","73,74",,West
754,Machandelweg,bus,"52.52483519555124, 13.24567177943413","A5,A31",,West
755,Machnower Strasse Ecke Berlepschstrasse,bus,"52.42978244172841, 13.257044671164005",A66,,West
756,Magdalenenstr.,u-bahn,"52.5125,13.486388888889",E,Q473901,Ost
757,Magistratsweg,bus,"52.5331201414446, 13.158067208455051",A31,,West
758,Mahlow,s-bahn,"52.3602,13.4085",KBS 105,Q2641431,Ost
759,Mahlsdorf,s-bahn,"52.5121,13.6106",KBS 101,Q800484,Ost
760,Mahlsdorf-Süd,strassenbahn,"52.4741663,13.5991443",83,Q66368466,Ost
761,"Mahlsdorf-Süd, Hubertus",strassenbahn,"52.4741663,13.5991443","86,82",Q66368466,Ost
762,"Malchow, Dorfstrasse",bus,"52.580462270708544, 13.482797576255583","AL,A46",,Ost
763,Malchower Weg,bus,"52.56152031238405, 13.500485897507804",A46,,Ost
764,Marburger Strasse,bus,"52.50371964602222, 13.337728344178407",A62,,West
765,Marchandstrasse,bus,"52.423049326436605, 13.357354547531147",A32,,West
766,Marchlewskistr.,u-bahn,"52.516794444444,13.444991666667",E,Q551768,Ost
767,Margaretenstrasse,bus,"52.50894074108115, 13.36866960388795",A48,,West
768,Mariannenplatz,bus,"52.50228674193422, 13.42408622658593",A28,,West
769,Mariendorf,s-bahn,"52.4478,13.3609",KBS 105,Q800497,West
770,Mariendorfer Damm,bus,"52.445604468950826, 13.385816551199863","A77,AS2",,West
771,Mariendorfer Damm,strassenbahn,"52.44016299080784, 13.387234623097394",15,,West
772,Mariendorfer Friedhof,strassenbahn,"52.44953069256824, 13.404755931664896",15,,West
773,Mariendorfer Weg Ecke Hermannstrasse,strassenbahn,"52.46469083550148, 13.432907024217851",27,,West
774,Marienfelde,s-bahn,"52.4242,13.3747",KBS 105,Q800485,West
775,Marienfelder Allee,bus,"52.413790430379194, 13.362098895780415",A32,,West
776,Marienfelder Strasse,bus,"52.43338754214616, 13.353023554563793",A32,,West
777,Marienfelder Strasse Ecke Lichtenrader Damm,bus,"52.392477747609426, 13.40668482049751",A76,,West
778,Marienstrasse,bus,"52.42960010456386, 13.321303543636025",A11,,West
779,Markgrafendamm,bus,"52.49919969372071, 13.465742293248686",A82P,,Ost
780,Markgrafenstrasse Ecke Mariendorfer Damm,bus,"52.445553184518396, 13.385808538094254",A77,,West
781,Marktplatz Adlershof,strassenbahn,"52.43822, 13.548937",84,Q66363717,Ost
782,Martin-Luther-Friedhof,bus,"52.598400543805816, 13.298350500981082",A20,,West
783,Martin-Luther-Strasse Ecke Grunewaldstrasse,bus,"52.4891017368616, 13.34492200742072",A74,,West
784,Marx-Engels-Platz,bus,"52.51617617310524, 13.400937413635054","A57,A9",,Ost
785,Marx-Engels-Platz,s-bahn,"52.5226,13.4022","KBS 101,KBS 103,KBS 102",Q689312,Ost
786,"Marzahn, Berliner Chaussee",bus,"52.54469782123951, 13.564560329042491",A43,,Ost
787,Marzahner Chaussee,bus,"52.53978688562053, 13.53943029431785",O37,,Ost
788,Masurenallee,bus,"52.50642938866968, 13.280405207863838",A65,,West
789,Mattenbuder Pfad,bus,"52.61696067657215, 13.220550425237422",A14,,West
790,Mehringdamm,bus,"52.49293917608851, 13.38772030059097","A19,A28",,West
791,Mehringdamm,u-bahn,"52.493888888889,13.388333333333","C II,C I",Q657905,West
792,Mehringdamm Ecke Yorck Strasse,strassenbahn,"52.492954886841254, 13.387694356760754",3,,West
793,Mehringplatz,strassenbahn,"52.4979249057416, 13.39108106831653","95,96",,West
794,Messedamm,bus,"52.50446814877144, 13.279412101845791",A4,,West
795,Messedamm,strassenbahn,"52.50641938570246, 13.280392436943686","75,76",,West
796,Mimosenweg,bus,"52.42675928719203, 13.506179808906213",A52,,West
797,Mittelstrasse,bus,"52.43475141442549, 13.249262104251452",A18,,West
798,Mohriner Allee Ecke Buckower Damm,strassenbahn,"52.444210434540814, 13.433541378183778",27,,West
799,Molkenmarkt,strassenbahn,"52.51679321421663, 13.409330619020574","72,74E,74",,Ost
800,Moltkestrasse,strassenbahn,"52.440407040891834, 13.316309800686549","73,74",,West
801,Morgensternstrasse Ecke Wilhelmstrasse,bus,"52.42808959398118, 13.325491157001045","A11,A17",,West
802,Moritzplatz,bus,"52.50387355112676, 13.409983330065609",A67,,West
803,Moritzplatz,u-bahn,"52.503611111111,13.410833333333",D,Q374225,West
804,Motzstrasse,bus,"52.49717707606062, 13.346075923573181",A73,,West
805,Munsterdamm Ecke Grazer Damm,bus,"52.45901976387901, 13.34874691531987",A68,,West
806,Munsterdamm Ecke Steglitzer Damm,bus,"52.45003044948948, 13.346702868396282",A75,,West
807,Märkisches Museum,u-bahn,"52.511944444444,13.408888888889",A,Q657871,Ost
808,Möckernbrücke,u-bahn,"52.499166666667,13.382777777778","A II,B II,B I",Q704716,West
809,Müggelheim,bus,"52.41018331064196, 13.665897531850348",A27,,Ost
810,Müggelseeperle,bus,"52.42170168937569, 13.640893083169368",A27,,Ost
811,Mühlenstrasse,bus,"52.59350028783369, 13.248862690560857",A20,,West
812,Nachtigalplatz,bus,"52.55708816298035, 13.333841766869467",A64,,West
813,Nassauische Strasse,bus,"52.4911618772095, 13.326528822264246",A50,,West
814,Nauener Platz,bus,"52.551552618214714, 13.36737072883247",A72,,West
815,Nauener Strasse,bus,"52.5340443007014, 13.18167584141312",A31,,West
816,Nauener Strasse,strassenbahn,"52.5384290651878, 13.182388284496431",55,,West
817,Nettelbeckstrasse,bus,"52.501073025698915, 13.346723829543516",A69,,Unknown
818,Neu-Lindenberg,bus,"52.600885625411856, 13.554794085696633",AL,,Ost
819,Neu-Westend,u-bahn,"52.515555555556,13.261111111111",B I,Q656431,West
820,Neuenhagen (b Bln),s-bahn,"52.5208,13.7003",KBS 101,Q7001614,Ost
821,Neukölln,s-bahn,"52.469166666667,13.441666666667","KBS 100a,KBS 100",Q111325412,West
822,Neukölln (Südring),u-bahn,"52.469444,13.442222",C I,Q21272767,West
823,Neuköllnische Allee,bus,"52.468152065072715, 13.460620591028498",A67,,West
824,"Niederschönhausen, Schillerstrasse",strassenbahn,"52.5923051,13.41088",46,Q65032581,Ost
825,Nikolassee,s-bahn,"52.4317,13.1933","KBS 104,KBS 102",Q637052,West
826,Nikolskoer Weg,bus,"52.41405938531216, 13.109270752484141",A6,,West
827,Nollendorfplatz,bus,"52.49968843634292, 13.353086438468269",A19,,West
828,Nollendorfplatz,strassenbahn,"52.49974136660471, 13.352878927585127",55,,West
829,Nollendorfplatz,u-bahn,"52.499166666667,13.353888888889","A I,B I,A II,B II,B III",Q571039,West
830,"Nonnendammallee, Siemensstadt",bus,"52.537063326963775, 13.262285169635492",A72,,West
831,Nordend,bus,"52.59006569360479, 13.401740566033476",A7,,Ost
832,Nordend,strassenbahn,"52.5902104,13.4027524",46,Q65032696,Ost
833,Nordendstrasse,strassenbahn,"52.588534,13.3882952",22,Q65428345,Ost
834,Nöldnerplatz,s-bahn,"52.5038,13.4853",KBS 101,Q4892447,Ost
835,Nürnberger Strasse Ecke Kurfürstenstrasse,bus,"52.50513952189661, 13.34119156469812",A69,,West
836,Oberhofer Platz,bus,"52.42410259117963, 13.328170432694991",A17,,Unknown
837,Oberspree,s-bahn,"52.4525,13.5382",KBS 103a,Q15192700,Ost
838,"Oberspree, Bruno-Bürgel-Weg",strassenbahn,"52.452777014581045, 13.537124836409932",92,,Ost
839,Olivaer Platz,bus,"52.50060275704949, 13.313110622018645","A19,A29",,West
840,Olympia-Stadion,u-bahn,"52.517222222222,13.25",B I,Q656441,West
841,Olympiastadion,s-bahn,"52.511,13.2416",KBS 101,Q800506,West
842,Onkel Toms Hütte,u-bahn,"52.450277777778,13.253333333333","A II,B II",Q389214,West
843,Onkel-Herse-Strasse,strassenbahn,"52.44827036160263, 13.453893782713148",47,,West
844,Oranienburg,s-bahn,"52.7536,13.2496",KBS 104,Q2341669,Ost
845,Oranienburger Strasse,bus,"52.59544415987805, 13.333037366087483",A21,,West
846,Oranienburger Tor,bus,"52.52716314203455, 13.38710905184874","O40,A9",,Ost
847,Oranienburger Tor,strassenbahn,"52.5256031,13.3872745","46,70,11,1",Q65095375,Ost
848,Oraniendamm,bus,"52.607835611203505, 13.323834478403686",A20,,West
849,Oranienplatz,bus,"52.50232370505019, 13.415510129463975",A67,,West
850,Oranienstrasse,bus,"52.501310708954215, 13.419224612073883","A28,A75",,West
851,Ortsgrenze Gatow,bus,"52.4981601705565, 13.180014416479423","A34,A35",,West
852,Oskar-Helene-Heim,u-bahn,"52.450277777778,13.269722222222","A II,B II",Q681336,West
853,Osloer Strasse,bus,"52.55587669510938, 13.38424421097371","A70,A71",,West
854,Osloer Strasse,bus,"52.55671381712504, 13.373732523202998",A61,,West
855,OsnaBrücker Strasse,strassenbahn,"52.52655659018374, 13.297414453709727",55,,West
856,Ossietzkyplatz,strassenbahn,"52.58100580136794, 13.404014807678767",46,,Ost
857,Ostbahnhof,bus,"52.50976670730252, 13.43372198235041","Flughafen Schönefeld <> Strausberger Platz,O40",,Ost
858,Ostbahnhof,s-bahn,"52.51,13.4347","KBS 101,KBS 103,KBS 102",Q111325075,Ost
859,Ostbahnhof,strassenbahn,"52.509107635417394, 13.43550619008533","82,1",,Ost
860,Osteweg,bus,"52.42102198114528, 13.281135801011326",A53,,West
861,Ostkreuz,s-bahn,"52.5031,13.4689","KBS 103a,KBS 106,KBS 101,KBS 103,KBS 102",Q111251530,Ost
862,Ostpreußendamm Ecke Morgenstern Strasse,strassenbahn,"52.42585546925107, 13.316822725126194",96,,West
863,Otto-Suhr-Allee,bus,"52.51469791251031, 13.315136925389936",A1,,West
864,Pacelli-/Thielallee,bus,"52.45819383818934, 13.287096949272522",A1,,West
865,Pankow,s-bahn,"52.5667,13.4111",KBS 106,Q111273850,Ost
866,Pankow (Vinetastr.),u-bahn,"52.559166666667,13.413333333333",A,Q570906,Ost
867,"Pankow, Kirche",bus,"52.57124680898358, 13.410670715665145","A55,A45",,Ost
868,"Pankow, Kirche",strassenbahn,"52.5706452,13.4103115","49,22",Q65055066,Ost
869,"Pankow, Rathaus",bus,"52.56953908840178, 13.404186437171612","A55,A45,A7",,Ost
870,"Pankow, Rathaus",strassenbahn,"52.5694816,13.4038045",46,Q65055060,Ost
871,Pankow-Heinersdorf,s-bahn,"52.5780653,13.4295093",KBS 106,Q4892366,Ost
872,Pankower Allee,bus,"52.564667911185886, 13.378087639243981",A14,,West
873,Pankower Allee Ecke Residenzstrasse,bus,"52.56383591570264, 13.364287664704229",A72,,West
874,Pankstrasse,bus,"52.55229407958284, 13.38145934777098","A61,A14",,West
875,Papestr.,s-bahn,"52.4756,13.3644","KBS 100,KBS 100a,KBS 105,KBS 106",Q111323139,West
876,Paradestr.,u-bahn,"52.478055555556,13.386111111111",C II,Q557543,West
877,Paradestrasse,bus,"52.478185540036016, 13.385794074394854",A77,,West
878,Parchimer Allee,strassenbahn,"52.44544295914785, 13.455088787662136",47,,West
879,Pariser Strasse Ecke Bundesallee,bus,"52.496055111394334, 13.33060372058005",A25,,West
880,"Parkfriedhof Neukölln, Buckower Damm",strassenbahn,"52.428374721547385, 13.435001496921483",27,,West
881,Parkstrasse,strassenbahn,"52.45876522318908, 13.53993545855609","95,82,87",,Ost
882,Paulsternstrasse,bus,"52.54415774195884, 13.247126131065503","A10,A13",,West
883,Paulsternstrasse,strassenbahn,"52.538114851173546, 13.248435943349298",55,,West
884,Pfaueninsel-Chaussee,bus,"52.41883762088876, 13.153039190703318","A6,A18",,West
885,Pfaueninsel-Chaussee Ecke Königstrasse,bus,"52.41888024334639, 13.152988428835997",A3,,West
886,Pichelsberg,s-bahn,"52.5103,13.2271",KBS 101,Q800488,West
887,Pichelsdorfer Strasse,strassenbahn,"52.51307046642958, 13.196871153391022","75,76",,West
888,Pistoriusstrasse Ecke Klement-Gottwald-Allee,bus,"52.55009435565474, 13.45900710843341",A45,,Ost
889,Platz der Luftbrücke,bus,"52.48500811314645, 13.385984513056924","A77,A76",,West
890,Platz vor dem Neuen Tor,bus,"52.52921245715711, 13.378513556812177",A9,,Ost
891,Plänterwald,s-bahn,"52.4786,13.4733","KBS 103,KBS 103a, KBS 106","Q7205917, Q7205917",Ost
892,Podbielskiallee,u-bahn,"52.464444444444,13.296388888889","A II,B II",Q571324,West
893,Post,bus,"52.47029587176764, 13.786537970773646","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,Ost 
894,Postamt,bus,"52.48905066177084, 13.322770368720937",A60,,West
895,Potsdam,s-bahn,"52.3917,13.0667",KBS 102,Q647973,Ost
896,"Potsdam, Bassinplatz",bus,"52.40184658729142, 13.05866306072075","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
897,Potsdamer Platz,strassenbahn,"52.50948236131137, 13.375988156399634","73,74",,West
898,Potsdamer Strasse,bus,"52.50310985391171, 13.365680511254423","A29,A24",,West
899,Potsdamer Strasse Ecke Bülowstrasse,bus,"52.497900834061184, 13.362004472211375",A19,,West
900,Potsdamer Strasse Ecke Clayallee,bus,"52.43504800046437, 13.260425575475969","A1,A18",,West
901,Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,"52.4357751453625, 13.256027995378796",A48,,West
902,Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,"52.43581242860363, 13.256098874509126",A53,,West
903,Potsdamer Strasse Ecke Pallasstrasse,strassenbahn,"52.49437098285493, 13.361060066548905",3,,West
904,Prager Platz,bus,"52.49294694854429, 13.332964219632272",A50,,West
905,Prenzlauer Allee,s-bahn,"52.544775,13.426116",KBS 106,Q32661483,Ost
906,Prenzlauer Allee,strassenbahn,"52.5396522,13.4244789","13,4",Q65222180,Ost
