,stop_name,type,location,in_lines,identifier,east-west
122,Bhf. Frohnau,bus,"52.63311782571585, 13.28947655939645","A15,A12",,West
123,Bhf. Gesundbrunnen,bus,"52.548738600413905, 13.387745851632966","A61,A71",,West
124,Bhf. Groß Ziethen,bus,"52.39427199849872, 13.442667394442617",AZ,,Unknown
125,Bhf. Grunewald,bus,"52.488010147803465, 13.26315524644143",A17,,West
126,Bhf. Halensee,bus,"52.496865585452014, 13.289557340809273","A10,A29,A4,A19,A69",,West
127,Bhf. Heerstrasse,strassenbahn,"52.50857975740797, 13.258353900023156","75,76",,West
128,Bhf. Heiligensee,bus,"52.625151238346696, 13.229659068045944",A14,,West
129,Bhf. Hermannstrasse,strassenbahn,"52.4676866643192, 13.431210901516543",27,,West
130,Bhf. Hermsdorf,bus,"52.61953939324446, 13.30416069232153",A15,,West
131,Bhf. Hohenzollerndamm,bus,"52.48832716566947, 13.301436926268025","A65,A21,A50,AS3",,West
132,Bhf. Jungfernheide,bus,"52.530138785889896, 13.296018817180764","A65,A21,A62",,West
133,Bhf. Jungfernheide,strassenbahn,"52.53103413649224, 13.300559481238167",55,,West
134,Bhf. Köpenick,strassenbahn,"52.4582153,13.5790435",83,Q66370784,Ost
135,Bhf. Lichtenberg,bus,"52.5112875601879, 13.499591119128855","O30,O37",,Ost
136,Bhf. Lichtenberg,strassenbahn,"52.5123603,13.4977547",69,Q66013733,Ost
137,Bhf. Lichtenrade,bus,"52.386683297852706, 13.395506929836833","AS2,A76",,West
138,Bhf. Lichterfelde-Ost,bus,"52.42911680950547, 13.329847267881705",A11,,West
139,Bhf. Lichterfelde-Ost,strassenbahn,"52.4289149405705, 13.329002919186095","73,96",,West
140,Bhf. Lichterfelde-West,bus,"52.44397675869793, 13.295628699942629",A11,,West
141,Bhf. Lichterfelde-West,strassenbahn,"52.442695165817675, 13.297046489476738","77,78",,West
142,Bhf. Lindenthaler Allee,bus,"52.43102570943782, 13.229881678326638","A3,A53",,West
143,Bhf. Mahlow,bus,"52.36020392986998, 13.408712381285893","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
144,Bhf. Mariendorf,bus,"52.446757741789085, 13.360550212856184",A33,,West
145,Bhf. Mariendorf,strassenbahn,"52.447078310256, 13.361439800164863",96,,West
146,Bhf. Marienfelde,bus,"52.42342246533686, 13.374664175181172","A32,A77",,West
147,Bhf. Marienfelde,strassenbahn,"52.42613307832105, 13.375057660174704",15,,West
148,Bhf. Neukölln,bus,"52.46969499227434, 13.44169179465082",A65,,West
149,Bhf. Nikolassee,bus,"52.43378197004219, 13.193152057415048",A3,,West
150,Bhf. Papestrasse,bus,"52.473987789402614, 13.36343102988242","A74,A73",,West
151,Bhf. Papestrasse,strassenbahn,"52.474088737380455, 13.363804736501839",60,,West
152,Bhf. PutlitzStrasse,bus,"52.53620612444645, 13.34371268088147",A16,,West
153,Bhf. Rosenthal,strassenbahn,"52.598664,13.3726652",22,Q65364041,Ost
154,Bhf. Schulzendorf,bus,"52.61386001623567, 13.245879660333635",A14,,West
155,Bhf. Schöneberg,bus,"52.47997403855305, 13.352576760698511","A65,A73",,West
156,Bhf. Schöneweide,bus,"52.45374952013775, 13.510200397684477","A47,Flughafen Schönefeld <> Strausberger Platz,A26",,Ost
157,Bhf. Schöneweide,strassenbahn,"52.45640818289644, 13.509916574756422","95,69,92",,Ost
158,"Bhf. Schöneweide, Brückenstrasse",strassenbahn,"52.45648404130997, 13.509984392000785",87,,Ost
159,Bhf. Siegfriedstrasse,strassenbahn,"52.5123603,13.4977547",69,Q66013733,Ost
160,Bhf. Sonnenallee,bus,"52.473861610807525, 13.455874121666916","A65,A67",,West
161,Bhf. Sonnenallee,strassenbahn,"52.47414312526527, 13.455499525035636","15,95",,West
162,Bhf. Spandau,strassenbahn,"52.53469533777715, 13.199489615484376","53,54",,West
163,Bhf. Spandau-West,bus,"52.53497194201396, 13.198460334945361","A63,A5",,West
164,Bhf. Stalinallee,strassenbahn,"52.5153903,13.4540172",3,Q65706246,Ost
165,Bhf. Steglitz,bus,"52.4567389564548, 13.32114701824465",A33,,West
166,Bhf. Südende,bus,"52.44906892859584, 13.354097834514832",A33,,West
167,Bhf. Teltow,bus,"52.38887329700411, 13.300037338373293","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
168,Bhf. Teltowkanal,strassenbahn,"52.45739188437929, 13.412438576146661",26,,West
169,Bhf. Tempelhof,bus,"52.47084694496318, 13.385638120230526",A68,,West
170,Bhf. Waidmannslust,bus,"52.60711750606285, 13.32022370793147",A20,,West
171,Bhf. Wannsee,bus,"52.42151302311533, 13.17810256503659","A3,A51,A6",,West
172,Bhf. Wedding,bus,"52.544296601785504, 13.369913083294957",A70,,West
173,Bhf. Westend,bus,"52.51866044969405, 13.28427669582671",A65,,West
174,Bhf. Wilhelmsruh,bus,"52.58102921945559, 13.363635067647111",A71,,West
175,Bhf. Wittenau,bus,"52.59721246906266, 13.332631469768408",A15,,West
176,Bhf. Wollankstrasse,bus,"52.56453849178735, 13.393420272477442",A70,,West
177,Bhf. Yorckstrasse,bus,"52.49297747613118, 13.369530914840707",A19,,West
178,Bhf. Zehlendorf,bus,"52.43121177777893, 13.259164408129196","A1,A53",,West
179,Bhf. Zoo,bus,"52.507029532025605, 13.333220118900503","A73,AS2,AS3,A25,A62,AS1,A2",,West
180,Bhf. Zoo,strassenbahn,"52.50719345524868, 13.332629878993917","2,55,77,78",,West
181,"Bhf. Zoo, Kantstrasse",strassenbahn,"52.50540350310839, 13.330367559360592","75,76",,West
182,Biesdorf,s-bahn,"52.5131,13.5554",KBS 101,Q4892357,Ost
183,Birkenwerder,s-bahn,"52.6885,13.2888",KBS 104,Q2343634,Ost
184,Bismarckplatz,bus,"52.492064537089135, 13.28493897027407",A29,,West
185,Bismarckstrasse,bus,"52.45105788558934, 13.337947293504078",A33,,West
186,Björnsonstrasse,strassenbahn,"52.5544232,13.4030585",3,Q65920495,Ost
187,Blankenburg,s-bahn,"52.5915,13.4435",KBS 106,Q800469,Ost
188,"Blankenburg, Bahnhofstrasse",bus,"52.591380472079955, 13.453512267562314",A42,,Ost
189,Blankenburger Strasse Ecke Pasewalker Strasse,strassenbahn,"52.58856586829923, 13.430216508474143",49,,Ost
190,Blankenfelde,s-bahn,"52.3376,13.4158",KBS 105,Q111311372,Ost
191,"Blankenfelde, Hauptstrasse",bus,"52.63002534735451, 13.38262328371393",A7,,Ost
192,Bleibtreustrasse Ecke Kurfürstendamm,bus,"52.50160347596025, 13.319464110729676",A69,,West
193,Blohmstrasse Ecke Wünsdorfer Strasse,bus,"52.388693095651256, 13.394328971164002",A76,,West
194,Blumenstrasse,bus,"52.44932599725309, 13.759715132008731",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,Ost 
195,Boddinstr.,u-bahn,"52.48,13.425277777778",D,Q819495,West
196,"Bohnsdorf, Kirche",bus,"52.39948771402893, 13.555574431978044",AD/36,,Ost
197,"Bohnsdorf, Waldstrasse",bus,"52.389397192754984, 13.570666562153916",A38,,Ost
198,Bonhoeffer-Heim,bus,"52.57940412664757, 13.33327468081513",A62,,West
199,Borgsdorf,s-bahn,"52.7155,13.2764",KBS 104,Q4093486,Ost
200,Bornholmer Strasse Ecke Schönhauser Allee,strassenbahn,"52.5537705,13.4138898",49,Q65076842,Ost
201,Borsigwalder Weg,bus,"52.58482847787268, 13.29793542584195",A15,,Unknown
202,Borsigwerke,u-bahn,"52.5819,13.2907",C I,Q525185,West
203,Bosestrasse,bus,"52.46315599068398, 13.369986279678812",A74,,West
204,Botanischer Garten,bus,"52.458598799471524, 13.303436055459807","A1,A68",,West
205,Botanischer Garten,s-bahn,"52.44806,13.30722",KBS 104,Q800498,West
206,Boxhagenerstrasse Ecke Holteistrasse,bus,"52.508613193309614, 13.466277189422302",O30,,Ost
207,Boxhagenerstrasse Ecke Holteistrasse,strassenbahn,"52.5088235,13.465969","3, 13","Q65675805, Q65675805",Ost
208,Brabanter Platz,bus,"52.48200661448961, 13.316219175470072",A60,,West
209,Brauerei,strassenbahn,"52.44699265840037, 13.624251999339991",84,,Ost
210,Breite Strasse,bus,"52.45435057367761, 13.328307509759025","A68,A33",,West
211,Breite Strasse,bus,"52.53613613360638, 13.20450629947795","A5,A31",,West
212,Breitenbachplatz,bus,"52.467219717443385, 13.309473490660878","A1,A32,A16",,West
213,Breitenbachplatz,u-bahn,"52.466388888889,13.308055555556","A II,B II",Q571339,West
214,Breitscheidplatz,bus,"52.504438063129996, 13.33564615707506","A19,A60,A29",,West
215,Breslauer Strasse Ecke Andreasstrasse,strassenbahn,"52.51112572772843, 13.430544216648766",1,,Ost
216,Bristolstrasse,bus,"52.558311542070335, 13.351189355013176",A12,,West
217,Britzer Damm Ecke Gradestrasse,bus,"52.45262467877224, 13.438590226068557",A73,,West
218,Britzer Damm Ecke Gradestrasse,strassenbahn,"52.45263570371839, 13.438520381888571",27,,West
219,Brixplatz,bus,"52.51907944117457, 13.25699370576959",A4,,West
220,Brunnenstrasse,strassenbahn,"52.5324542,13.3974236","46,70",Q65691740,Ost
221,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,"52.5324542,13.3974236",11,Q65691740,Ost
222,Brunsb tteler Damm,bus,"52.53297092580436, 13.19828647148509",A31,,West
223,Buch,s-bahn,"52.6359,13.4917",KBS 106,Q4892359,Ost
224,"Buch, Kiesgruben",bus,"52.641758052786535, 13.515964627443202",A42,,Ost
225,"Buchholz, Hauptstrasse",strassenbahn,"52.619072064369824, 13.393383358408967",49,,Ost
226,Buckower Ch.,s-bahn,"52.4103,13.3829",KBS 105,Q800499,West
227,Buckower Chaussee,bus,"52.414558044256225, 13.401161035852658",AS2,,West
228,Buckower Chaussee Ecke Lichtenrader Damm,bus,"52.41457113222887, 13.401203951196644",A76,,West
229,Buckower Damm,bus,"52.42368329841466, 13.436638725763267",A52,,West
230,Buckower Friedhof,bus,"52.42151537347778, 13.43036950960343",A52,,West
231,Bundesallee,bus,"52.46493052962428, 13.32853185257923","A74,A48,A17",,West
232,Bundesallee,strassenbahn,"52.46492119902574, 13.32837406654589",74,,West
233,Bundesallee,strassenbahn,"52.48733630342845, 13.331014163134173","60,77,78",,West
234,Bundesallee Ecke Badensche Strasse,bus,"52.48613795045858, 13.33110029774997",A4,,West
235,Bundesallee Ecke Rheinstrasse,strassenbahn,"52.46491462600472, 13.328502880037894",73,,West
236,Bundesplatz,bus,"52.478678991134835, 13.32860278411238","AS2,A25,A65,A16,A2",,West
237,Bundesplatz,strassenbahn,"52.4777799057296, 13.328566193541166","77,78",,West
238,Burgemeister Strasse Ecke Tempelhofer Damm,bus,"52.4570129343595, 13.383915410725029","A77,A76",,West
239,Buschallee Ecke Berliner Allee,strassenbahn,"52.55388247845091, 13.467523731713502",72,,Ost
240,Buschallee Ecke Klement-Gottwald-Alle,bus,"52.55387831866095, 13.467451226079117",A46,,Ost
241,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,"52.5537598,13.4691966",70,Q65546661,Ost
242,Buschkrug,strassenbahn,"52.452470895695484, 13.450748195174354",47,,West
243,Buschkrug Alle Ecke Blaschko-Allee,bus,"52.452543995347135, 13.452160354904555",A73,,West
244,"Bölschestrasse, Brauerei",strassenbahn,"52.44699265840037, 13.624251999339991",87,,Ost
245,Bötzowbahn,bus,"52.560942294746425, 13.171763262130519",A63,,West
246,Bühler Weg,bus,"52.41724643282917, 13.412638052235238",A52,,West
247,Bülowstr.,u-bahn,"52.497552777778,13.363419444444",A I,Q374881,West
248,Bürgerwäldchen,strassenbahn,"52.4893741,13.6064139",83,Q66364551,Ost
249,Bürknersfelde,bus,"52.538889807153126, 13.534159376784622","A43,O37",,Ost
250,Canovastrasse,bus,"52.46306323889937, 13.342852729949465",AS2,,West
251,Canovastrasse (Krankenhaus),strassenbahn,"52.4631967931949, 13.344688692199414",66,,West
252,Carl-Schurz-Strasse Ecke Am Juliusturm,bus,"52.539564379064075, 13.205586144912843",A13,,West
253,Carl-von-Ossietzky-Werk,bus,"52.39701454468935, 13.243358010546082","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
254,Cauerstrasse,bus,"52.51470519737728, 13.315222708879112",AS1,,West
255,Cauerstrasse,strassenbahn,"52.514690629578695, 13.315200881022642",55,,West
256,Ceciliengärten,strassenbahn,"52.475079473741275, 13.343064768876424",66,,West
257,Charlottenburg,s-bahn,"52.504722222222,13.303333333333","KBS 101,KBS 102",Q111326217,West
258,Charlottenstrasse Ecke Leipziger Strasse,strassenbahn,"52.51050786460274, 13.391831492474326",72,,Ost
259,Chemische Fabrik,strassenbahn,"52.42696432509712, 13.573540465650169",86,,Ost
260,Chemnitzer Ecke Ulmenstrasse,bus,"52.48730504728054, 13.5749460378103","A8,A8E",,Ost
261,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,"52.505156423214295, 13.58155740370254",A27,,Ost
262,Clayallee,bus,"52.46042333572993, 13.274946148765821",A1,,West
263,Clayallee Ecke Berliner Strasse,bus,"52.435061281531794, 13.260469051198768",A66,,West
264,Clayallee Ecke Königin-Luise-Strasse,bus,"52.46044681153186, 13.274898269312029",A68,,West
265,Clayallee/Teltower Damm,bus,"52.4350547405869, 13.260361762838802",AS3,,West
266,Colomierstrasse,bus,"52.42928675585897, 13.164090298875724",A51,,West
267,Columbiadamm,bus,"52.48398171737193, 13.394418749054523",A24,,West
268,Corrensplatz,bus,"52.446014012041694, 13.284264679815902",A11,,West
269,Cunostrasse,bus,"52.485632143913, 13.296298367587678",A50,,West
