,stop_id,stop_name,type,in_lines,location,identifier
78,196178,Bahnhofstrasse Ecke Lindenstrasse,bus,A27,"52.45096281111, 13.572146868709519",
79,196179,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"82,87","52.4505094,13.572684",Q66095701
80,196180,Baumschulenstrasse,strassenbahn,"95,92","52.469081846595664, 13.491329912138305",
81,196181,Baumschulenstrasse Ecke Südostallee,bus,A47,"52.46095841731415, 13.481191835004426",
82,196182,Baumschulenweg,s-bahn,"KBS 103,KBS 103a,KBS 100a,KBS 106","52.4675,13.489722",Q324336
83,196183,Bayerischer Platz,u-bahn,B III,"52.488333333333,13.340277777778",Q668574
84,196184,Beeskowdamm,bus,A1,"52.40965850195346, 13.267308742502374",
85,196185,Behring-Krankenhaus,bus,A10,"52.42410894567823, 13.251764544509987",
86,196186,Bellevue,s-bahn,"KBS 101,KBS 102","52.52,13.348055555556",Q374018
87,196187,Belziger Strasse,strassenbahn,66,"52.48469759121592, 13.34547616644445",
88,196188,Benschallee,bus,A18,"52.42959261918116, 13.22400013419735",
89,196189,Benschallee Ecke Potsdamer Chaussee,bus,A3,"52.429638035873005, 13.22393270091056",
90,196190,Benzolwerk,strassenbahn,84,"52.426414690299055, 13.546444409734137",
91,196191,Bergstrasse,bus,A68,"52.458183734651705, 13.329753854060407",
92,196192,Bergstrasse,strassenbahn,66,"52.45916314067555, 13.34768142911793",
93,196193,Bergstrasse Ecke Bismarckstrasse,bus,A2,"52.45863817204511, 13.33931462421719",
94,196194,Berkaer Strasse,bus,A29,"52.48209270683341, 13.281182952838728",
95,196195,"Berkaer Strasse, Elsterplatz",bus,AS3,"52.479592141367654, 13.285296936169493",
96,196196,Berliner Strasse,bus,A60 ; AS2,"52.48647817230135, 13.32051384057218 ; 52.48732335019939, 13.330965094326162",
97,196197,Berliner Strasse Ecke Bundesallee,bus,"A2,A25","52.48735367071187, 13.33100210517226",
98,196198,Unter den Eichen Ecke Drakestrasse,bus,A11,"52.445733691746746, 13.293722374035292",
99,196199,Berlinickeplatz,bus,A73,"52.46607292094852, 13.378516406213421",
100,1961100,Berlinickeplatz,strassenbahn,96,"52.466329675590764, 13.378144688199017",
101,1961101,Bernau (b Bln),s-bahn,KBS 106,"52.6763,13.5931",Q479789
102,1961102,Bernauer Strasse,bus,A13 ; A61,"52.57629905299874, 13.294692761311245 ; 52.538252555466876, 13.396009073652834",
103,1961103,Bernauer Strasse Ecke Wolliner Strasse,bus,"A71,A64","52.539825749774046, 13.4015229935377",
104,1961104,Bernauer Strasse Ecke Wolliner Strasse,strassenbahn,2,"52.5399996,13.4020564",Q65719652
105,1961105,Bernauer Strasse/Brunnenstrasse,bus,A71,"52.53829556916397, 13.396023771544826",
106,1961106,Bersarinplatz,strassenbahn,"13,4","52.519215,13.4525257",Q65706258
107,1961107,Betriebsbahnhof Rummelsburg,s-bahn,KBS 102,"52.4939,13.4978",Q829009
108,1961108,Betriebsbahnhof Schöneweide,s-bahn,"KBS 103,KBS 100a,KBS 106","52.44676,13.52391",Q4526101
109,1961109,Beusselstr.,s-bahn,KBS 100,"52.534444444444,13.329166666667",Q323219
110,1961110,Bezirksamt,bus,A63,"52.54146443211212, 13.200850156157355",
111,1961111,Bf. Siegfriedstrasse,bus,O30,"52.52004640241046, 13.499373630980266",
112,1961112,Bhf. Beusselstrasse,strassenbahn,3,"52.53430684410127, 13.32833762655072",
113,1961113,Bhf. Botanischer Garten,strassenbahn,"77,78","52.44730098506532, 13.3083006582632",
114,1961114,Bhf. Buckower Chaussee,bus,A52,"52.41109589500145, 13.382466497921738",
115,1961115,Bhf. Drewitz,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)","52.383210942095026, 13.122280120317033",
116,1961116,Bhf. Eichbornstrasse,bus,"A15,A21","52.57760143817809, 13.31554154716",
117,1961117,Bhf. Eichwalde,bus,Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),"52.371950560017005, 13.614447144096058",
118,1961118,Bhf. Friedrichstrasse,bus,"A57,A9","52.5205606637086, 13.388231915342985",
119,1961119,Bhf. Friedrichstrasse,strassenbahn,"46,70,1","52.5192805,13.3884107",Q65095382
120,1961120,Bhf. Frohnau,bus,"A15,A12","52.63311782571585, 13.28947655939645",
121,1961121,Bhf. Gesundbrunnen,bus,"A61,A71","52.548738600413905, 13.387745851632966",
122,1961122,Bhf. Groß Ziethen,bus,AZ,"52.39427199849872, 13.442667394442617",
123,1961123,Bhf. Grunewald,bus,A17,"52.488010147803465, 13.26315524644143",
124,1961124,Bhf. Halensee,bus,"A10,A29,A4,A19,A69","52.496865585452014, 13.289557340809273",
125,1961125,Bhf. Heerstrasse,strassenbahn,"75,76","52.50857975740797, 13.258353900023156",
126,1961126,Bhf. Heiligensee,bus,A14,"52.625151238346696, 13.229659068045944",
127,1961127,Bhf. Hermannstrasse,strassenbahn,27,"52.4676866643192, 13.431210901516543",
128,1961128,Bhf. Hermsdorf,bus,A15,"52.61953939324446, 13.30416069232153",
129,1961129,Bhf. Hohenzollerndamm,bus,"A65,A21,A50,AS3","52.48832716566947, 13.301436926268025",
130,1961130,Bhf. Jungfernheide,bus,"A65,A21,A62","52.530138785889896, 13.296018817180764",
131,1961131,Bhf. Jungfernheide,strassenbahn,55,"52.53103413649224, 13.300559481238167",
132,1961132,Bhf. Köpenick,strassenbahn,83,"52.4582153,13.5790435",Q66370784
133,1961133,Bhf. Lichtenberg,bus,"O30,O37","52.5112875601879, 13.499591119128855",
134,1961134,Bhf. Lichtenberg,strassenbahn,69,"52.5123603,13.4977547",Q66013733
135,1961135,Bhf. Lichtenrade,bus,"AS2,A76","52.386683297852706, 13.395506929836833",
136,1961136,Bhf. Lichterfelde-Ost,bus,A11,"52.42911680950547, 13.329847267881705",
137,1961137,Bhf. Lichterfelde-Ost,strassenbahn,"73,96","52.4289149405705, 13.329002919186095",
138,1961138,Bhf. Lichterfelde-West,bus,A11,"52.44397675869793, 13.295628699942629",
139,1961139,Bhf. Lichterfelde-West,strassenbahn,"77,78","52.442695165817675, 13.297046489476738",
140,1961140,Bhf. Lindenthaler Allee,bus,"A3,A53","52.43102570943782, 13.229881678326638",
141,1961141,Bhf. Mahlow,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)","52.36020392986998, 13.408712381285893",
142,1961142,Bhf. Mariendorf,bus,A33,"52.446757741789085, 13.360550212856184",
143,1961143,Bhf. Mariendorf,strassenbahn,96,"52.447078310256, 13.361439800164863",
144,1961144,Bhf. Marienfelde,bus,"A32,A77","52.42342246533686, 13.374664175181172",
145,1961145,Bhf. Marienfelde,strassenbahn,15,"52.42613307832105, 13.375057660174704",
146,1961146,Bhf. Neukölln,bus,A65,"52.46969499227434, 13.44169179465082",
147,1961147,Bhf. Nikolassee,bus,A3,"52.43378197004219, 13.193152057415048",
148,1961148,Bhf. Papestrasse,bus,"A74,A73","52.473987789402614, 13.36343102988242",
149,1961149,Bhf. Papestrasse,strassenbahn,60,"52.474088737380455, 13.363804736501839",
150,1961150,Bhf. PutlitzStrasse,bus,A16,"52.53620612444645, 13.34371268088147",
151,1961151,Bhf. Rosenthal,strassenbahn,22,"52.598664,13.3726652",Q65364041
152,1961152,Bhf. Schulzendorf,bus,A14,"52.61386001623567, 13.245879660333635",
153,1961153,Bhf. Schöneberg,bus,"A65,A73","52.47997403855305, 13.352576760698511",
154,1961154,Bhf. Schöneweide,bus,"A47,Flughafen Schönefeld <> Strausberger Platz,A26","52.45374952013775, 13.510200397684477",
155,1961155,Bhf. Schöneweide,strassenbahn,"95,69,92","52.45640818289644, 13.509916574756422",
156,1961156,"Bhf. Schöneweide, Brückenstrasse",strassenbahn,87,"52.45648404130997, 13.509984392000785",
157,1961157,Bhf. Siegfriedstrasse,strassenbahn,69,"52.5123603,13.4977547",Q66013733
158,1961158,Bhf. Sonnenallee,bus,"A65,A67","52.473861610807525, 13.455874121666916",
159,1961159,Bhf. Sonnenallee,strassenbahn,"15,95","52.47414312526527, 13.455499525035636",
160,1961160,Bhf. Spandau,strassenbahn,"53,54","52.53469533777715, 13.199489615484376",
161,1961161,Bhf. Spandau-West,bus,"A63,A5","52.53497194201396, 13.198460334945361",
162,1961162,Bhf. Stalinallee,strassenbahn,3,"52.5153903,13.4540172",Q65706246
163,1961163,Bhf. Steglitz,bus,A33,"52.4567389564548, 13.32114701824465",
164,1961164,Bhf. Südende,bus,A33,"52.44906892859584, 13.354097834514832",
165,1961165,Bhf. Teltow,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)","52.38887329700411, 13.300037338373293",
166,1961166,Bhf. Teltowkanal,strassenbahn,26,"52.45739188437929, 13.412438576146661",
167,1961167,Bhf. Tempelhof,bus,A68,"52.47084694496318, 13.385638120230526",
168,1961168,Bhf. Waidmannslust,bus,A20,"52.60711750606285, 13.32022370793147",
169,1961169,Bhf. Wannsee,bus,"A3,A51,A6","52.42151302311533, 13.17810256503659",
170,1961170,Bhf. Wedding,bus,A70,"52.544296601785504, 13.369913083294957",
171,1961171,Bhf. Westend,bus,A65,"52.51866044969405, 13.28427669582671",
172,1961172,Bhf. Wilhelmsruh,bus,A71,"52.58102921945559, 13.363635067647111",
173,1961173,Bhf. Wittenau,bus,A15,"52.59721246906266, 13.332631469768408",
174,1961174,Bhf. Wollankstrasse,bus,A70,"52.56453849178735, 13.393420272477442",
175,1961175,Bhf. Yorckstrasse,bus,A19,"52.49297747613118, 13.369530914840707",
176,1961176,Bhf. Zehlendorf,bus,"A1,A53","52.43121177777893, 13.259164408129196",
177,1961177,Bhf. Zoo,bus,"A73,AS2,AS3,A25,A62,AS1,A2","52.507029532025605, 13.333220118900503",
178,1961178,Bhf. Zoo,strassenbahn,"2,55,77,78","52.50719345524868, 13.332629878993917",
179,1961179,"Bhf. Zoo, Kantstrasse",strassenbahn,"75,76","52.50540350310839, 13.330367559360592",
180,1961180,Biesdorf,s-bahn,KBS 101,"52.5131,13.5554",Q4892357
181,1961181,Birkenwerder,s-bahn,KBS 104,"52.6885,13.2888",Q2343634
182,1961182,Bismarckplatz,bus,A29,"52.492064537089135, 13.28493897027407",
183,1961183,Bismarckstrasse,bus,A33,"52.45105788558934, 13.337947293504078",
184,1961184,Bergstrasse Ecke Bismarckstrasse,bus,"A75,A68","52.45863817204511, 13.33931462421719",
185,1961185,Björnsonstrasse,strassenbahn,3,"52.5544232,13.4030585",Q65920495
186,1961186,Blankenburg,s-bahn,KBS 106,"52.5915,13.4435",Q800469
187,1961187,"Blankenburg, Bahnhofstrasse",bus,A42,"52.591380472079955, 13.453512267562314",
188,1961188,Blankenburger Strasse Ecke Pasewalker Strasse,strassenbahn,49,"52.58856586829923, 13.430216508474143",
189,1961189,Blankenfelde,s-bahn,KBS 105,"52.3376,13.4158",Q111311372
190,1961190,"Blankenfelde, Hauptstrasse",bus,A7,"52.63002534735451, 13.38262328371393",
191,1961191,Bleibtreustrasse Ecke Kurfürstendamm,bus,A69,"52.50160347596025, 13.319464110729676",
192,1961192,Blohmstrasse Ecke Wünsdorfer Strasse,bus,A76,"52.388693095651256, 13.394328971164002",
193,1961193,Blumenstrasse,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.44932599725309, 13.759715132008731",
194,1961194,Boddinstr.,u-bahn,D,"52.48,13.425277777778",Q819495
195,1961195,"Bohnsdorf, Kirche",bus,AD/36,"52.39948771402893, 13.555574431978044",
196,1961196,"Bohnsdorf, Waldstrasse",bus,A38,"52.389397192754984, 13.570666562153916",
197,1961197,Bonhoeffer-Heim,bus,A62,"52.57940412664757, 13.33327468081513",
198,1961198,Borgsdorf,s-bahn,KBS 104,"52.7155,13.2764",Q4093486
199,1961199,Bornholmer Strasse Ecke Schönhauser Allee,strassenbahn,49,"52.5537705,13.4138898",Q65076842
200,1961200,Borsigwalder Weg,bus,A15,"52.58482847787268, 13.29793542584195",
201,1961201,Borsigwerke,u-bahn,C I,"52.5819,13.2907",Q525185
202,1961202,Bosestrasse,bus,A74,"52.46315599068398, 13.369986279678812",
203,1961203,Botanischer Garten,bus,"A1,A68","52.458598799471524, 13.303436055459807",
204,1961204,Botanischer Garten,s-bahn,KBS 104,"52.44806,13.30722",Q800498
205,1961205,Boxhagenerstrasse Ecke Holteistrasse,bus,O30,"52.508613193309614, 13.466277189422302",
206,1961206,Brabanter Platz,bus,A60,"52.48200661448961, 13.316219175470072",
207,1961207,Brauerei,strassenbahn,84,"52.44699265840037, 13.624251999339991",
208,1961208,Breite Strasse,bus,"A5,A31 ; A68,A33","52.53613613360638, 13.20450629947795 ; 52.45435057367761, 13.328307509759025",
209,1961209,Breitenbachplatz,bus,"A1,A32,A16","52.467219717443385, 13.309473490660878",
210,1961210,Breitenbachplatz,u-bahn,"A II,B II","52.466388888889,13.308055555556",Q571339
211,1961211,Breitscheidplatz,bus,"A19,A60,A29","52.504438063129996, 13.33564615707506",
212,1961212,Breslauer Strasse Ecke Andreasstrasse,strassenbahn,1,"52.51112572772843, 13.430544216648766",
213,1961213,Bristolstrasse,bus,A12,"52.558311542070335, 13.351189355013176",
214,1961214,Britzer Damm Ecke Gradestrasse,bus,A73,"52.45262467877224, 13.438590226068557",
215,1961215,Brixplatz,bus,A4,"52.51907944117457, 13.25699370576959",
216,1961216,Brunnenstrasse,strassenbahn,"46,70","52.5324542,13.3974236",Q65691740
217,1961217,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,11,"52.5324542,13.3974236",Q65691740
218,1961218,Brunsb tteler Damm,bus,A31,"52.53297092580436, 13.19828647148509",
219,1961219,Buch,s-bahn,KBS 106,"52.6359,13.4917",Q4892359
220,1961220,"Buch, Kiesgruben",bus,A42,"52.641758052786535, 13.515964627443202",
221,1961221,"Buchholz, Hauptstrasse",strassenbahn,49,"52.619072064369824, 13.393383358408967",
222,1961222,Buckower Ch.,s-bahn,KBS 105,"52.4103,13.3829",Q800499
223,1961223,Buckower Chaussee,bus,AS2,"52.414558044256225, 13.401161035852658",
224,1961224,Buckower Chaussee Ecke Lichtenrader Damm,bus,A76,"52.41457113222887, 13.401203951196644",
225,1961225,Buckower Damm,bus,A52,"52.42368329841466, 13.436638725763267",
226,1961226,Buckower Friedhof,bus,A52,"52.42151537347778, 13.43036950960343",
227,1961227,Bundesallee ; Bundesallee Ecke Badensche Strasse,bus,"A74,A48,A17 ; A4","52.46493052962428, 13.32853185257923 ; 52.48613795045858, 13.33110029774997",
228,1961228,Bundesallee,strassenbahn,"60,77,78 ; 74","52.48733630342845, 13.331014163134173 ;   52.46492119902574, 13.32837406654589",
229,1961229,Berliner Strasse Ecke Bundesallee,strassenbahn,3,"52.48734559170921, 13.330985557716325",
230,1961230,Bundesallee Ecke Rheinstrasse,strassenbahn,73,"52.46491462600472, 13.328502880037894",
231,1961231,Bundesplatz,bus,"AS2,A25,A65,A16,A2","52.478678991134835, 13.32860278411238",
232,1961232,Bundesplatz,strassenbahn,"77,78","52.4777799057296, 13.328566193541166",
233,1961233,Burgemeister Strasse Ecke Tempelhofer Damm,bus,"A77,A76","52.4570129343595, 13.383915410725029",
234,1961234,Buschallee Ecke Berliner Allee,strassenbahn,72,"52.55388247845091, 13.467523731713502",
235,1961235,Buschallee Ecke Klement-Gottwald-Alle,bus,A46,"52.55387831866095, 13.467451226079117",
236,1961236,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,70,"52.5537598,13.4691966",Q65546661
237,1961237,Buschkrug,strassenbahn,47,"52.452470895695484, 13.450748195174354",
238,1961238,Buschkrug Alle Ecke Blaschko-Allee,bus,A73,"52.452543995347135, 13.452160354904555",
239,1961239,"Bölschestrasse, Brauerei",strassenbahn,87,"52.44699265840037, 13.624251999339991",
240,1961240,Bötzowbahn,bus,A63,"52.560942294746425, 13.171763262130519",
241,1961241,Bühler Weg,bus,A52,"52.41724643282917, 13.412638052235238",
242,1961242,Bülowstr.,u-bahn,A I,"52.497552777778,13.363419444444",Q374881
243,1961243,Bürgerwäldchen,strassenbahn,83,"52.4893741,13.6064139",Q66364551
244,1961244,Bürknersfelde,bus,"A43,O37","52.538889807153126, 13.534159376784622",
245,1961245,Canovastrasse,bus,AS2,"52.46306323889937, 13.342852729949465",
246,1961246,Canovastrasse (Krankenhaus),strassenbahn,66,"52.4631967931949, 13.344688692199414",
247,1961247,Carl-Schurz-Strasse Ecke Am Juliusturm,bus,A13,"52.539564379064075, 13.205586144912843",
248,1961248,Carl-von-Ossietzky-Werk,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)","52.39701454468935, 13.243358010546082",
249,1961249,Cauerstrasse,bus,AS1,"52.51470519737728, 13.315222708879112",
250,1961250,Cauerstrasse,strassenbahn,55,"52.514690629578695, 13.315200881022642",
251,1961251,Ceciliengärten,strassenbahn,66,"52.475079473741275, 13.343064768876424",
252,1961252,Charlottenburg,s-bahn,"KBS 101,KBS 102","52.504722222222,13.303333333333",Q111326217
253,1961253,Charlottenstrasse Ecke Leipziger Strasse,strassenbahn,72,"52.51050786460274, 13.391831492474326",
254,1961254,Chemische Fabrik,strassenbahn,86,"52.42696432509712, 13.573540465650169",
255,1961255,Chemnitzer Ecke Ulmenstrasse,bus,"A8,A8E","52.48730504728054, 13.5749460378103",
256,1961256,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,A27,"52.505156423214295, 13.58155740370254",
257,1961257,Clayallee,bus,A1,"52.46042333572993, 13.274946148765821",
258,1961258,Clayallee Ecke Berliner Strasse,bus,A66,"52.435061281531794, 13.260469051198768",
259,1961259,Clayallee Ecke Königin-Luise-Strasse,bus,A68,"52.46044681153186, 13.274898269312029",
260,1961260,Clayallee/Teltower Damm,bus,AS3,"52.4350547405869, 13.260361762838802",
261,1961261,Colomierstrasse,bus,A51,"52.42928675585897, 13.164090298875724",
262,1961262,Columbiadamm,bus,A24,"52.48398171737193, 13.394418749054523",
263,1961263,Corrensplatz,bus,A11,"52.446014012041694, 13.284264679815902",
264,1961264,Cunostrasse,bus,A50,"52.485632143913, 13.296298367587678",
265,1961265,Cyclopstrasse,bus,A12,"52.60208376924525, 13.32483857919441",
266,1961266,Dachdeckerweg Ecke Buckower Damm,strassenbahn,27,"52.43211471342048, 13.435208066542456",
267,1961267,Dahlem-Dorf,u-bahn,"A II,B II","52.456944444444,13.289444444444",Q668585
268,1961268,Dahlemer Weg,bus,"A10,A48,A53","52.44179805042347, 13.282699371472702",
269,1961269,Dahlewitz,s-bahn,KBS 105,"52.326389,13.419722",Q5208886
270,1961270,Daimlerstrasse,bus,A77,"52.42310029473227, 13.382719145401357",
271,1961271,Daimlerstrasse,strassenbahn,15,"52.423949959899865, 13.380145054879522",
272,1961272,Dammweg,bus,A67,"52.47029082500845, 13.464688258814357",
273,1961273,Dammweg,strassenbahn,15,"52.47070358256429, 13.46392233215299",
274,1961274,Dammweg Ecke Sonnenallee,strassenbahn,95,"52.4702891791955, 13.464619670250386",
275,1961275,Dankmarsteig,bus,A23,"52.412460454887416, 13.528705230313825",
276,1961276,Daumstrasse,bus,A13,"52.540609965802126, 13.232264733228831",
277,1961277,Degnerstrasse,strassenbahn,"64,63","52.54488036635163, 13.493949954029993",
278,1961278,Demminer Strasse Ecke Brunnenstrasse,bus,A64,"52.54113697481197, 13.393805198148023",
279,1961279,Detmolder Strasse,bus,A1,"52.478864734081434, 13.320330304177688",
280,1961280,Deutsche Oper (Bismarckstr.),u-bahn,"A III,A I","52.511944444444,13.310555555556",Q869501
281,1961281,Deutsche Oper (Bismarckstr.),u-bahn,B I,"52.511944444444,13.310555555556",Q869501
282,1961282,"Diepensee, Flughafen",bus,AD/36,"52.362110314401846, 13.548585893916993",
283,1961283,Dimitroffstr.,u-bahn,A,"52.541666666667,13.412222222222",Q571382
284,1961284,Dimitroffstrasse,bus,A9,"52.52644944679887, 13.447574773361476",
285,1961285,Dimitroffstrasse,strassenbahn,"64,63 ; 72,71 ; 74E,74","52.5264303512303, 13.447596791543624 ;   52.53918901477695, 13.42424530247013 ;  52.53617065447549, 13.433035147691381",
286,1961286,Dimitroffstrasse Ecke Leninallee,bus,O37,"52.52644398829154, 13.447645022319072",
