line_name,Stops,Frequency_7-30,Length (time),type,east-west,year,direction
83,Wendenschloß Ecke Ekhofstrasse - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Mahlsdorf-Süd - Bürgerwäldchen - Rahnsdorfer Strasse - S-Bhf. Mahlsdorf,20,44,strassenbahn,Ost,1964
84,"Am Falkenberg - Altglienicke, Kirche - S-Bhf. Adlershof - S-Bhf. Spindlersfeld - Luisenhain - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse Ecke Bahnhofstrasse - Hirschgarten - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei - Friedrichshagen, Wasserwerk",10,57,strassenbahn,Ost,1964
85,"Wendenschloß - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstrasse Ecke Hegelschule - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Johannisthal, Haeckelstrasse",20,42,strassenbahn,Ost,1964
86,"Alt-Schmöckwitz - Karolinenhof Mitte - Richtershorn - Freibad Grünau - S-Bhf. Grünau - Chemische Fabrik - Grünstrasse - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Hirtestrasse - Mahlsdorf-Süd, Hubertus",20,43,strassenbahn,Ost,1964
87,"Rahnsdorf - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei -  Hirschgarten - Seelenbinderstrasse Ecke Bahnhofstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Köpenicker Landstrasse Ecke Baumschulenstrasse - S-Bhf. Plänterwald - Am Treptower Park Ecke Elsenstrasse - Wiener Brücke",20,67,strassenbahn,Ost,1964
92,"Oberspree, Bruno-Bürgel-Weg - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Baumschulenweg - Sonnenallee Ecke Baumschulenstrasse",15,18,strassenbahn,Ost,1964
95,Krankenhaus Köpenick - Lindenstrasse Ecke Hegelschule - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Plänterwald - Elsenstrasse - Wiener Brücke,20,47,strassenbahn,Ost,1964
95,Mehringplatz - Zossener Strasse Ecke Blücherstrasse - Baerwaldstrasse Ecke Urbanstrasse - Urban-Krankenhaus - Hermannplatz - Erkstrasse Ecke Sonnenallee - Hertzbergplatz - Saalestrasse Ecke Sonnenallee - Dammweg Ecke Sonnenallee - Schulenburgpark - Schwarzer Weg Ecke Sonnenallee,15,25,strassenbahn,West,1964
96,"Lindenstrasse - Mehringplatz - Yorckstrasse - U-Bhf. Flughafen - Adolf-Scheidt-Platz - Berlinickeplatz - Attilaplatz - Ringstrasse Ecke Attilastrasse - Lankwitz, Kirche - Seydlitzstrasse Ecke Kaiser-Wilhelm-Strasse - Kranoldplatz - Ostpreußendamm Ecke Morgenstern Strasse - Giesendorferstrasse Ecke Ostpreußendamm - Wismarer Strasse Ecke Ostpreußendamm - Goerzallee",15,49,strassenbahn,West,1964
A 1,"Moabit, Waldstrasse Ecke Turmstrasse - Otto-Suhr-Allee Ecke Cauer Strasse - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Detmolder Strasse Ecke Blissestrasse - Breitenbachplatz - Botanischer Garten - Pacelli/Theilallee - Clayallee Ecke Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Rathaus Zehlendorf - Beeskowdamm Ecke Goerz Allee - Wismarer Strasse Ecke Lindenstrasse - Lindenstrasse Ecke Müllerstrasse",15,58,bus,West,1964
