line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year
23,bus,West,"S-Bhf. Tiergarten - U-Bhf. Hansaplatz - Elberfelder Strasse - Gotzkowskystrasse - Turm-/Beusselstrasse - Siemensstrasse - Seestrasse - Hüttigpfad - Schleuse Plötzensee - Stieffring - Reichweinstrasse - Bernhard-Lichtenberg-Strasse - Kurt-Schumacher-Damm - Heilmannring - U-Bhf. Halemweg - Toeplerstrasse - Goebelplatz - U-Bhf. Siemensdamm - Quellweg - U-Bhf. Rohrdamm - Harriesstrasse - Saatwinkler Damm - Mäckeritzbrücke - Saatwinkler Damm Mäkeritzwiesen",15,46,,1984
24,bus,West,"Moabit Wiebestrasse - Huttenstrasse - Reuchlinstrasse - Waldstrasse/Beusselstrasse - Rathaus Tiergarten - U-Bhf. Turmstrasse - Krankenhaus Moabit - Wilsnacker Strasse - Rathenower Strasse - Alt-Moabit - Schloß Bellevue - Tiergartenstrasse - Lützowplatz - Magdeburger Platz - Potsdamer Strasse - Askanischer Platz - Großbeerenstrasse - U-Bhf. Hallesches Tor - U-Bhf. Gneisenaustrasse - Columbiadamm - Platz der Luftbrücke",15,43,,1984
24,strassenbahn,Ost,Bernkasteler Strasse - Pasedagplatz - Buschallee - Lichtenberger Strasse - Albertinenstrasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Mollstrasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Orianienburger Tor - Stadion der Weltjugend - Wöhlertstrasse,12,36,,1984
25,bus,West,Britz-Süd - Fritz-Erler-Allee - Kormoranweg - Grüner Weg - Buschkrugallee - U-Bhf. Parchimer Allee - Britzer Damm - Gradestrasse - Karl-Elsasser-Strasse - Gottlieb-Dunkel-Strasse - Teilestrasse - Wenckebachstrasse - U-Bhf. Ullsteinstrasse - Attilaplatz - Alboinstrasse - Röblingstrasse/Arnulfstrasse - S-Bhf. Priesterweg - Prellerweg - Auguste-Viktoria-Krankenhaus - Grazer Platz - Rubensstrasse - Friedenauer Brücke - Kaisereiche - U-Bhf. Friedrich-Wilhelm-Platz,15,39,,1984
25,strassenbahn,Ost,Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Bahnhof-/Lindenstrasse - Seelenbinderstrasse - Brandenburgplatz - Hirschgarten - Bölschestrasse - S-Bhf. Friedrichshagen - Hartlebenstrasse - Müggelseedamm - Freibad Müggelsee - Rahnsdorf,20,47,,1984
26,strassenbahn,Ost,"Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Bahnhof-/Lindenstrasse - Schloßplatz - Wendenschloßstrasse - Köpenick, Krankenhaus",20,26,,1984
27,bus,Ost,"S-Bhf. Kaulsdorf - Alt-Kaulsdorf - Chemnitzer Strasse - Jägerstrasse - Gehsener Strasse - S-Bhf. Köpenick - Seelenbinderstrasse - Lindenstrasse - Müggelheimer Strasse - Krankenhaus Köpenick - Chausseehaus - Rübezahl - Müggelseeperle - Müggelheim, Dorf - Alt-Müggelheim",10,41,,1984
28,bus,West,U-Bhf. Tempelhof - Boelckestrasse - Werner-Voß-Damm - Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse/Rathaus Kreuzberg - U-Bhf. Mehringdamm - U-Bhf. Gneisenaustrasse - U-Bhf. Südstern - Urbanstrasse - Geibelstrasse - Urban-Krankenhaus - U-Bhf. Prinzenstrasse - U-Bhf. Kottbusser Tor - Oranienstrasse - Mariannenplatz - Köpenicker Strasse - U-Bhf. Schlesisches Tor - Falckensteinstrasse - Schlesische Strasse Ecke Heckmannufer,15,44,,1984
28,strassenbahn,Ost,Pasedagplatz - Bernkasteler Strasse - Buschallee - Lichtenberger Strasse - Albertinenstrasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Mollstrasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt,14,27,,1984
29,strassenbahn,Ost,"Weißensee, Kniprodeallee - Klement-Gottwald-Allee - Lichtenberger Strasse - Omnibus-Betriebshof - Hohenschönhauser Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse",20,22,,1984Keine Verbindung zwischen 7.17 und 14.16 auf Rückfahrt
